Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tessarastrum thiedei,Stichocorys delmontensis,Spongurus cauleti,Spongotrochus vitabilis,Spongocore puella,Siphocampe arachnea,Pterocanium korotnevi,Pseudodictyophimus horrida,Pseudodictyophimus gracilipes tetracanthus,Pseudodictyophimus amundseni,Phorticium clevei,Phormospyris thespios,Lophospyris pentagona quadriforis,Liriospyris cricus,Larcospira bulbosa,Hexalonche esmarki,Hexalonche ? nakasekoi,Hexacontium pachydermum,Euphysetta  elegans,Eucyrtidium saccoi,Eucyrtidium calvertense,Eucoronis fridtjofnanseni,Cyrtocapsella tetrapera,Cyrtocapsella kladaros,Cyrtocapsella japonica,Cyrtocapsella eldholmi,Cyrtocapsella ampullacea,Cycladophora davisiana cornutoides,Corythospyris reuschi,Corythospyris hispida,Corythospyris fiscella,Clathrospyris sandellae,Challengeron diodon,Ceratocyrtis stoermeri,Ceratocyrtis histricosa,Ceratocyrtis broeggeri,Botryostrobus auritus group,Artostrobus jorgenseni,Antarctissa whitei,Actinomma plasticum,Actinomma mirabile,Actinomma holtedahli,Acrosphaera spinosa echinoides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. thiedei        ,              ,104, 642,C, 15,H, 1,  25.00,    111.2500,Goll     ,Radiolarians                                 ,F              ,M                 ,SP                  ,T                       ,-                ,-                      ,-                ,R                  ,-                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,-                     ,R                      ,T                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,-                      ,-                     ,SP                         ,T                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. thiedei        ,              ,104, 642,C, 15,H, 2,  25.00,    112.7500,Goll     ,Radiolarians                                 ,A              ,M                 ,D                   ,-                       ,-                ,-                      ,-                ,R                  ,-                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,-                     ,SP                     ,                   ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,-                      ,-                     ,R                          ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. thiedei        ,              ,104, 642,C, 15,H, 3,  25.00,    114.2500,Goll     ,Radiolarians                                 ,F              ,M                 ,T                   ,-                       ,-                ,-                      ,-                ,R                  ,-                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,-                     ,-                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,R                    ,-                    ,-                     ,-                      ,-                  ,-                     ,-                      ,-                     ,-                          ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. thiedei        ,              ,104, 642,C, 15,H, 4,  25.00,    115.7500,Goll     ,Radiolarians                                 ,C              ,M                 ,VA                  ,T                       ,-                ,-                      ,-                ,R                  ,-                    ,-                         ,-                                         ,-                           ,-                ,T                    ,-                                ,-                 ,-                 ,-                 ,-                     ,-                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,T                    ,-                    ,-                     ,-                      ,-                  ,-                     ,-                      ,-                     ,D                          ,T                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. thiedei        ,              ,104, 642,C, 15,H, 5,  25.00,    117.2500,Goll     ,Radiolarians                                 ,A              ,M                 ,VA                  ,-                       ,-                ,-                      ,-                ,SP                 ,-                    ,-                         ,-                                         ,-                           ,-                ,R                    ,-                                ,-                 ,-                 ,-                 ,-                     ,-                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,-                      ,-                     ,R                          ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. thiedei        ,              ,104, 642,C, 15,H, 6,  25.00,    118.7500,Goll     ,Radiolarians                                 ,C              ,M                 ,VA                  ,R                       ,-                ,-                      ,-                ,R                  ,-                    ,-                         ,-                                         ,-                           ,-                ,T                    ,-                                ,-                 ,-                 ,-                 ,-                     ,-                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,-                      ,-                     ,R                          ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,L. bulbosa        ,              ,104, 642,C, 15,H, 7,  25.00,    120.2500,Goll     ,Radiolarians                                 ,A              ,M                 ,-                   ,R                       ,-                ,-                      ,-                ,SP                 ,-                    ,-                         ,-                                         ,-                           ,-                ,T                    ,T                                ,-                 ,SP                ,-                 ,-                     ,-                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,-                      ,-                     ,SP                         ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,L. bulbosa        ,              ,104, 642,C, 15,H, 7,  57.00,    120.5700,Goll     ,Radiolarians                                 ,F              ,M                 ,-                   ,-                       ,-                ,-                      ,-                ,A                  ,-                    ,-                         ,-                                         ,-                           ,-                ,T                    ,-                                ,-                 ,C                 ,-                 ,-                     ,-                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,-                      ,-                     ,-                          ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,H. esmarki        ,              ,104, 642,C, 16,H, 1,  25.00,    120.7500,Goll     ,Radiolarians                                 ,C              ,M                 ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,C                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,C                 ,-                     ,-                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,-                      ,-                     ,-                          ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,H. esmarki        ,              ,104, 642,C, 16,H, 2,  25.00,    122.2500,Goll     ,Radiolarians                                 ,R              ,P                 ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,                     ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,C                 ,-                     ,-                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,-                      ,-                     ,C                          ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,H. esmarki        ,              ,104, 642,C, 16,H, 3,  25.00,    123.7500,Goll     ,Radiolarians                                 ,F              ,P                 ,-                   ,-                       ,A                ,-                      ,-                ,C                  ,T                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,SP                ,-                     ,-                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,-                      ,-                     ,-                          ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. cauleti        ,              ,104, 642,C, 16,H, 4,  25.00,    125.2500,Goll     ,Radiolarians                                 ,C              ,M                 ,-                   ,-                       ,VA               ,-                      ,-                ,D                  ,-                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,T                     ,-                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,-                      ,-                     ,-                          ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. cauleti        ,              ,104, 642,C, 16,H, 5,  25.00,    126.7500,Goll     ,Radiolarians                                 ,C              ,P                 ,-                   ,-                       ,R                ,-                      ,-                ,A                  ,R                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,                      ,-                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,T                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,-                      ,-                     ,-                          ,                      ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. reuschi        ,              ,104, 642,C, 16,H, 6,  25.00,    128.2500,Goll     ,Radiolarians                                 ,A              ,M                 ,-                   ,-                       ,-                ,-                      ,-                ,D                  ,-                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,                      ,-                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,SP                    ,-                     ,-                       ,-                                 ,R                    ,-                    ,-                     ,-                      ,-                  ,-                     ,-                      ,-                     ,SP                         ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. reuschi        ,              ,104, 642,C, 16,H,CC,  18.00,    129.9100,Goll     ,Radiolarians                                 ,A              ,M                 ,-                   ,-                       ,-                ,-                      ,-                ,D                  ,-                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,C                     ,-                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,T                     ,-                     ,-                       ,-                                 ,C                    ,-                    ,-                     ,-                      ,-                  ,-                     ,-                      ,-                     ,C                          ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. reuschi        ,              ,104, 642,C, 17,H, 1,  25.00,    130.2500,Goll     ,Radiolarians                                 ,F              ,M                 ,-                   ,-                       ,-                ,-                      ,-                ,A                  ,-                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,T                     ,-                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,SP                   ,-                    ,-                     ,-                      ,-                  ,-                     ,-                      ,-                     ,SP                         ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,E.fridtjof-C.reusch.,              ,104, 642,C, 17,H, 2,  23.00,    131.7300,Goll     ,Radiolarians                                 ,F              ,M                 ,-                   ,-                       ,-                ,-                      ,-                ,                   ,-                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,SP                    ,-                      ,-                  ,-                 ,-                      ,T                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,D                    ,-                    ,-                     ,T                      ,-                  ,-                     ,-                      ,-                     ,A                          ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,E.fridtjof-C.reusch.,              ,104, 642,C, 17,H, 3,  25.00,    133.2500,Goll     ,Radiolarians                                 ,F              ,G                 ,-                   ,-                       ,-                ,-                      ,-                ,R                  ,-                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,SP                    ,-                      ,-                  ,-                 ,-                      ,SP                       ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,A                    ,-                    ,-                     ,R                      ,-                  ,-                     ,-                      ,-                     ,SP                         ,-                     ,-                 ,-                  ,-                 ,C                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,E.fridtjof-C.reusch.,              ,104, 642,C, 17,H, 4,  25.00,    134.7500,Goll     ,Radiolarians                                 ,F              ,G                 ,-                   ,-                       ,-                ,-                      ,-                ,SP                 ,SP                   ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,-                     ,-                      ,-                  ,-                 ,-                      ,SP                       ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,C                    ,-                    ,-                     ,SP                     ,-                  ,-                     ,-                      ,-                     ,-                          ,-                     ,-                 ,-                  ,-                 ,R                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,E.fridtjof-C.reusch.,              ,104, 642,C, 17,H, 5,  25.00,    135.0700,Goll     ,Radiolarians                                 ,C              ,G                 ,-                   ,-                       ,-                ,-                      ,-                ,SP                 ,R                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,-                     ,-                      ,-                  ,-                 ,-                      ,SP                       ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,C                    ,-                    ,-                     ,R                      ,-                  ,-                     ,-                      ,-                     ,D                          ,T                     ,-                 ,-                  ,-                 ,                    ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,E.fridtjof-C.reusch.,              ,104, 642,C, 17,H, 6,  25.00,    136.5700,Goll     ,Radiolarians                                 ,C              ,G                 ,-                   ,-                       ,-                ,-                      ,-                ,T                  ,T                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,-                     ,-                      ,-                  ,-                 ,-                      ,R                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,SP                   ,-                    ,-                     ,R                      ,-                  ,-                     ,-                      ,-                     ,R                          ,                      ,-                 ,-                  ,-                 ,A                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,E.fridtjof-C.reusch.,              ,104, 642,C, 17,H,CC,  14.00,    138.6500,Goll     ,Radiolarians                                 ,F              ,M                 ,-                   ,-                       ,-                ,-                      ,-                ,T                  ,-                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,-                     ,-                      ,-                  ,-                 ,-                      ,SP                       ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,R                    ,-                    ,-                     ,SP                     ,-                  ,-                     ,-                      ,-                     ,C                          ,-                     ,-                 ,-                  ,-                 ,T                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,E.fridtjof-C.reusch.,              ,104, 642,C, 18,H, 1,  25.00,    139.7500,Goll     ,Radiolarians                                 ,A              ,G                 ,-                   ,-                       ,-                ,-                      ,-                ,C                  ,-                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,-                     ,-                      ,-                  ,-                 ,-                      ,C                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,SP                   ,-                    ,-                     ,C                      ,-                  ,-                     ,-                      ,-                     ,T                          ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,E.fridtjof-C.reusch.,              ,104, 642,C, 18,H, 2,  25.00,    141.2500,Goll     ,Radiolarians                                 ,C              ,G                 ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,-                     ,-                      ,-                  ,T                 ,-                      ,T                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,R                    ,-                    ,-                     ,SP                     ,-                  ,-                     ,-                      ,-                     ,T                          ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,E.fridtjof-C.reusch.,              ,104, 642,C, 18,H, 3,  25.00,    142.7500,Goll     ,Radiolarians                                 ,C              ,G                 ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,-                     ,-                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,R                    ,-                    ,T                     ,SP                     ,-                  ,-                     ,-                      ,-                     ,T                          ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,E.fridtjof-C.reusch.,              ,104, 642,C, 18,H, 4,  25.00,    144.2500,Goll     ,Radiolarians                                 ,F              ,G                 ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,R                     ,-                      ,-                  ,-                 ,-                      ,SP                       ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,T                    ,-                    ,                      ,C                      ,-                  ,-                     ,-                      ,-                     ,-                          ,-                     ,-                 ,SP                 ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,E.fridtjof-C.reusch.,              ,104, 642,C, 18,H, 5,  25.00,    145.7500,Goll     ,Radiolarians                                 ,F              ,G                 ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,R                     ,-                      ,-                  ,-                 ,-                      ,C                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,T                    ,-                    ,T                     ,A                      ,-                  ,-                     ,-                      ,-                     ,T                          ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,E.fridtjof-C.reusch.,              ,104, 642,C, 18,H, 6,  25.00,    147.2500,Goll     ,Radiolarians                                 ,F              ,G                 ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,                      ,-                      ,-                  ,-                 ,-                      ,SP                       ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,T                    ,-                    ,                      ,R                      ,-                  ,-                     ,-                      ,-                     ,-                          ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,E.fridtjof-C.reusch.,              ,104, 642,C, 18,H,CC,  19.00,    148.1000,Goll     ,Radiolarians                                 ,F              ,G                 ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,T                     ,-                      ,-                  ,-                 ,-                      ,C                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,T                    ,-                    ,T                     ,C                      ,-                  ,-                     ,-                      ,-                     ,T                          ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,E.fridtjof-C.reusch.,              ,104, 642,C, 19,H, 1,  25.00,    149.2500,Goll     ,Radiolarians                                 ,R              ,G                 ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,T                     ,-                      ,-                  ,-                 ,-                      ,A                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,T                    ,-                    ,                      ,SP                     ,-                  ,-                     ,-                      ,-                     ,SP                         ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,E.fridtjof-C.reusch.,              ,104, 642,C, 19,H, 2,  25.00,    150.7500,Goll     ,Radiolarians                                 ,F              ,G                 ,-                   ,-                       ,-                ,-                      ,-                ,T                  ,-                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,A                     ,-                      ,-                  ,-                 ,-                      ,A                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,T                    ,-                    ,T                     ,C                      ,-                  ,-                     ,-                      ,-                     ,T                          ,-                     ,-                 ,T                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,E. fridtjofnanseni,              ,104, 642,C, 19,H, 3,  25.00,    152.2500,Goll     ,Radiolarians                                 ,F              ,G                 ,-                   ,-                       ,-                ,-                      ,-                ,                   ,-                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,SP                    ,-                      ,-                  ,-                 ,-                      ,C                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,                      ,C                      ,-                  ,-                     ,-                      ,-                     ,-                          ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,E. fridtjofnanseni,              ,104, 642,C, 19,H, 4,  25.00,    153.7500,Goll     ,Radiolarians                                 ,F              ,M                 ,-                   ,-                       ,-                ,-                      ,-                ,T                  ,-                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,SP                    ,-                      ,-                  ,-                 ,-                      ,SP                       ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,T                     ,C                      ,-                  ,-                     ,-                      ,-                     ,-                          ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,E. fridtjofnanseni,              ,104, 642,C, 19,H, 5,  25.00,    155.2500,Goll     ,Radiolarians                                 ,R              ,G                 ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,T                     ,-                      ,-                  ,-                 ,-                      ,A                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,C                      ,-                  ,-                     ,-                      ,-                     ,-                          ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
