Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist		Fossil Group                                 	Group Abundance	Group Preservation	Turborotalia pseudoampliapertura/increbescens	Turborotalia pseudoampliapertura	Turborotalia increbescens	Tenuitella munda	Tenuitella gemma	Tenuitella clemenciae	Tenuitella angustiumbilicata	Subbotina utilisindex	Subbotina angiporoides angiporoides	Subbotina angiporoides	Paragloborotalia pseudocontinuosa	Paragloborotalia opima opima	Paragloborotalia opima nana	Globorotaloides variabilis	Globorotaloides suteri	Globoquadrina tripartita	Globoquadrina tapuriensis	Globoquadrina sellii	Globoquadrina rohri	Globoquadrina praedehiscens	Dentoglobigerina sp. aff. D. larmeui	Dentoglobigerina galavisi	Dentoglobigerina baroemoenensis	Chiloguembelinid (unspecified taxon or taxa)	Catapsydrax unicavus	Catapsydrax sp.	Catapsydrax dissimilis dissimilis	Subbotina praeturritilina	Paragloborotalia sp.	Paragloborotalia siakensis	Globorotaloides sp. 1	Globorotalia obesa	Globigerina venezuelana	Globigerina sp. aff. G. ampliapertura	Globigerina sp. 1	Globigerina prasaepis	Globigerina ciperoensis	Globigerina ampliapertura	Dentoglobigerina larmeui	Dentoglobigerina globularis	Catapsydrax martini	Cassigerinella chipolensis	Globorotaloides permicus	Globigerina officinalis	Catapsydrax dissimilis ciperoensis	Subbotina brazieri	Globigerina praebulloides	Dentoglobigerina globularis/altispira globosa	Protentella sp.	Paragloborotalia semivera	Globorotaloides sp. 2	Globorotalia pseudokugleri (ancestral form)	Globigerinita juvenilis	Dentoglobigerina altispira globosa	Protentella sp. aff. P. prolixa	Protentella clavaticamerata	Globorotalia pseudokugleri	Globorotalia obesa/praesiphonifera	Globigerinella? sp.	Globigerina ouachitaensis	Globigerina ciperoensis ottnangiensis	Globigerina anguliofficinalis	Globorotalia mayeri/siakensis	Globoquadrina venezuelana	Catapsydrax dissimilis	Globorotalia opima nana	Globoquadrina binaiensis	Globoquadrina praedehiscens/dehiscens	Globoquadrina dehiscens	Globigerina woodi	Globigerina anguliofficinalis/angulisuturalis	Globorotalia kugleri	Dentoglobigerina altispira altispira	Globigerinoides primordius	Catapsydrax stainforthi	Globigerinoides quadrilobatus s.l.	Sphaeroidinellopsis disjuncta	Praeorbulina sp.	Globorotalia praescitula	Globigerinoides bisphericus	Globigerinatella insueta	Globoquadrina baroemoenensis	Globorotalia fohsi fohsi	Orbulina sp.	Sphaeroidinellopsis seminulina	Globoturborotalita nepenthes	Globorotalia limbata	Globigerinoides obliquus obliquus	Globigerinella siphonifera	Globigerinoides obliquus extremus	Neogloboquadrina acostaensis	Neogloboquadrina humerosa	Globorotalia plesiotumida	Globigerinoides conglobatus	Sphaeroidinella dehiscens	Pulleniatina sp.	Globorotalia tumida tumida	Globigerinoides elongatus	Globorotalia crassaformis	Globigerinoides ruber s.l.	Globigerinoides fistulosus	Neogloboquadrina dutertrei	Globorotalia scitula	Globoquadrina conglomerata	Globorotaloides hexagona	Globorotalia tosaensis	Candeina nitida	Globorotalia menardii s.l.	Globorotalia truncatulinoides	Globorotalia inflata	Comment

  SR	Early Miocene    	                 	N4b               	              	115	 710	A	 15	X	 1	 105.00	    133.4500	Vincent  		Planktonic Foraminifers                      	               	MG                	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	+                     	                        	                         	+                   	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	+                            	+                        	+                     	+                      	+                       	                                     	+                      	                 	                                             	+                   	+                                   	                          	+                      	                                  	                             	                	                        	                           	                        	                            	                        	            	                              	                            	                    	                                 	                          	                                 	                            	                         	                         	                           	                         	                	                          	                         	                         	                          	                          	                          	                    	                          	                        	                      	               	                          	                             	                    	benthic foraminifers few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Early Miocene    	                 	N4b               	              	115	 710	A	 15	X	 2	 105.00	    134.9500	Vincent  		Planktonic Foraminifers                      	               	MG                	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	+                     	                        	                         	+                   	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	+                                 	                               	                           	                          	                                  	                   	                         	                                     	                             	+                            	+                        	+                     	+                      	                        	                                     	+                      	                 	                                             	+                   	                                    	                          	                       	                                  	                             	                	                        	                           	                        	                            	                        	            	                              	                            	                    	                                 	                          	                                 	                            	                         	                         	                           	                         	                	                          	                         	                         	                          	                          	                          	                    	                          	                        	                      	               	                          	                             	                    	benthic foraminifers rare. ostracodes rare. radiolarians common. sponge spicules common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Early Miocene    	                 	N4a               	              	115	 710	A	 15	X	 3	 105.00	    136.4500	Vincent  		Planktonic Foraminifers                      	               	MG                	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	+                     	                        	                         	+                   	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	+                            	+                        	+                     	+                      	+                       	                                     	                       	                 	                                             	+                   	+                                   	                          	                       	                                  	                             	                	                        	                           	                        	                            	                        	            	                              	                            	                    	                                 	                          	                                 	                            	                         	                         	                           	                         	                	                          	                         	                         	                          	                          	                          	                    	                          	                        	                      	               	                          	                             	                    	benthic foraminifers few. radiolarians common. sponge spicules common. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Early Miocene    	                 	N4a               	              	115	 710	A	 15	X	 4	 105.00	    137.9500	Vincent  		Planktonic Foraminifers                      	               	P                 	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	+                     	                        	                         	+                   	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	+                            	+                        	+                     	+                      	                        	                                     	                       	                 	                                             	+?                  	                                    	                          	                       	                                  	                             	                	                        	                           	                        	                            	                        	            	                              	                            	                    	                                 	                          	                                 	                            	                         	                         	                           	                         	                	                          	                         	                         	                          	                          	                          	                    	                          	                        	                      	               	                          	                             	                    	benthic foraminifers rare. ostracodes rare. radiolarians common. sponge spicules abundant. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Early Miocene    	                 	N4a               	              	115	 710	A	 15	X	CC	   7.00	    139.4900	Vincent  		Planktonic Foraminifers                      	               	VP                	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	                      	                        	                         	                    	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	                             	+                        	+                     	                       	                        	                                     	                       	                 	                                             	                    	                                    	                          	                       	                                  	                             	                	                        	                           	                        	                            	                        	            	                              	                            	                    	                                 	                          	                                 	                            	                         	                         	                           	                         	                	                          	                         	                         	                          	                          	                          	                    	                          	                        	                      	               	                          	                             	                    	benthic foraminifers common. radiolarians abundant. sponge spicules abundant. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Early Miocene    	                 	N4a               	              	115	 710	A	 16	X	 1	 105.00	    143.1500	Vincent  		Planktonic Foraminifers                      	               	P                 	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	+                     	                        	                         	                    	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	+                            	+                        	+                     	                       	+                       	                                     	                       	                 	                                             	+                   	                                    	                          	                       	                                  	                             	                	                        	                           	                        	                            	                        	            	                              	                            	                    	                                 	                          	                                 	                            	                         	                         	                           	                         	                	                          	                         	                         	                          	                          	                          	                    	                          	                        	                      	               	                          	                             	                    	benthic foraminifers few. radiolarians abundant. sponge spicules abundant. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Early Miocene    	                 	N4a               	              	115	 710	A	 16	X	 2	 105.00	    144.6500	Vincent  		Planktonic Foraminifers                      	               	P/M               	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	+                     	                        	                         	+                   	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	+                            	+                        	+                     	+                      	+                       	                                     	                       	                 	                                             	+                   	                                    	                          	                       	                                  	                             	                	                        	                           	                        	                            	                        	            	                              	                            	                    	                                 	                          	                                 	                            	                         	                         	                           	                         	                	                          	                         	                         	                          	                          	                          	                    	                          	                        	                      	               	                          	                             	                    	benthic foraminifers few. ostracodes rare. radiolarians common. sponge spicules common. calcareous aggregates few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Oligocene        	                 	P22               	              	115	 710	A	 16	X	 3	  75.00	    145.8500	Premoli Silva	Planktonic Foraminifers                      	               	                  	                                             	                                	                         	                	+               	+                    	+                           	                     	                                   	                      	+                                	                            	+                          	                          	+                     	                        	+                        	+                   	+                  	+                          	+                                   	                         	+                              	                                            	+                   	+              	                                 	                         	                    	+                         	                     	                  	+                      	                                     	+                	                     	+                      	                         	+                       	+                          	                   	                          	                        	                       	+                                 	+                 	                         	+                                            	               	+                        	R                    	+                                          	+                      	+                                 	+                              	+                          	+                         	                                  	                   	                         	+                                    	                             	                             	                         	                      	                       	+                       	+                                    	cf                     	+                	+                                            	                    	                                    	                          	                       	                                  	                             	                	                        	                           	                        	                            	                        	            	                              	                            	                    	                                 	                          	                                 	                            	                         	                         	                           	                         	                	                          	                         	                         	                          	                          	                          	                    	                          	                        	                      	               	                          	                             	                    	from 115 SR. Chapter 19. Table 6. pages 298-299.

  SR	Oligocene        	                 	                  	              	115	 710	A	 16	X	 3	 105.00	    146.1500	Vincent  		Planktonic Foraminifers                      	               	P/M               	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	+                     	                        	                         	+                   	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	+                            	+                        	+                     	+                      	+                       	                                     	                       	                 	                                             	                    	                                    	                          	                       	                                  	                             	                	                        	                           	                        	                            	                        	            	                              	                            	                    	                                 	                          	                                 	                            	                         	                         	                           	                         	                	                          	                         	                         	                          	                          	                          	                    	                          	                        	                      	               	                          	                             	                    	benthic foraminifers few. ostracodes rare. radiolarians common. sponge spicules common. calcareous aggregates common. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Oligocene        	                 	                  	              	115	 710	A	 16	X	 4	 105.00	    147.6500	Vincent  		Planktonic Foraminifers                      	               	P                 	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	+                     	                        	                         	+                   	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	+                            	+                        	+                     	                       	                        	                                     	                       	                 	                                             	                    	                                    	                          	                       	                                  	                             	                	                        	                           	                        	                            	                        	            	                              	                            	                    	                                 	                          	                                 	                            	                         	                         	                           	                         	                	                          	                         	                         	                          	                          	                          	                    	                          	                        	                      	               	                          	                             	                    	benthic foraminifers few. ostracodes rare. radiolarians abundant. sponge spicules abundant. fish remains rare. calcareous aggregates few. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Oligocene        	                 	                  	              	115	 710	A	 16	X	CC	  22.00	    149.3600	Vincent  		Planktonic Foraminifers                      	               	VP                	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	+                     	                        	                         	                    	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	+                            	+                        	+                     	                       	                        	                                     	                       	                 	                                             	                    	                                    	                          	                       	                                  	                             	                	                        	                           	                        	                            	                        	            	                              	                            	                    	                                 	                          	                                 	                            	                         	                         	                           	                         	                	                          	                         	                         	                          	                          	                          	                    	                          	                        	                      	               	                          	                             	                    	benthic foraminifers common. ostracodes abundant. radiolarians abundant. sponge spicules common. fish remains rare. calcareous aggregates abundant.  foraminifers embedded common. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Oligocene        	                 	P22               	              	115	 710	A	 17	X	 3	  75.00	    155.5500	Premoli Silva	Planktonic Foraminifers                      	               	                  	                                             	                                	                         	                	+               	+                    	+                           	                     	                                   	                      	+                                	                            	+                          	+                         	+                     	+                       	cf                       	+                   	+                  	+                          	+                                   	                         	cf                             	                                            	                    	               	+                                	                         	                    	+                         	                     	                  	                       	                                     	+                	                     	+                      	                         	                        	                           	                   	                          	                        	                       	                                  	                  	+                        	                                             	               	                         	                     	+                                          	+                      	                                  	+                              	+                          	+                         	+                                 	+                  	+                        	+                                    	+                            	                             	                         	                      	                       	                        	                                     	                       	                 	                                             	                    	                                    	                          	                       	                                  	                             	                	                        	                           	                        	                            	                        	            	                              	                            	                    	                                 	                          	                                 	                            	                         	                         	                           	                         	                	                          	                         	                         	                          	                          	                          	                    	                          	                        	                      	               	                          	                             	                    	from 115 SR. Chapter 19. Table 6. pages 298-299.

  SR	Oligocene        	                 	P22               	              	115	 710	A	 18	X	 3	  75.00	    165.1500	Premoli Silva	Planktonic Foraminifers                      	               	                  	                                             	                                	                         	                	+               	+                    	                            	                     	                                   	                      	+                                	                            	+                          	                          	+                     	+                       	+                        	+                   	+                  	+                          	+                                   	                         	                               	                                            	+                   	               	+                                	+                        	                    	+                         	                     	                  	+                      	                                     	+                	                     	+                      	                         	+                       	+                          	+                  	+                         	                        	                       	+                                 	+                 	                         	                                             	+              	+                        	+                    	cf/VR                                      	+                      	+                                 	                               	                           	                          	                                  	                   	                         	                                     	                             	                             	                         	                      	                       	                        	                                     	                       	                 	                                             	                    	                                    	                          	                       	                                  	                             	                	                        	                           	                        	                            	                        	            	                              	                            	                    	                                 	                          	                                 	                            	                         	                         	                           	                         	                	                          	                         	                         	                          	                          	                          	                    	                          	                        	                      	               	                          	                             	                    	reworking present. from 115 SR. Chapter 19. Table 6. pages 298-299.

  SR	Oligocene        	                 	P22               	              	115	 710	A	 19	X	 3	  70.00	    174.8000	Premoli Silva	Planktonic Foraminifers                      	               	                  	                                             	                                	                         	                	+               	+                    	+                           	                     	                                   	                      	+                                	                            	+                          	+                         	+                     	                        	+                        	+                   	+                  	+                          	+                                   	                         	                               	                                            	                    	               	+                                	+                        	                    	+                         	                     	+                 	                       	                                     	                 	                     	                       	                         	                        	                           	+                  	                          	                        	+                      	+                                 	R                 	+                        	+                                            	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	                             	                         	                      	                       	                        	                                     	                       	                 	                                             	                    	                                    	                          	                       	                                  	                             	                	                        	                           	                        	                            	                        	            	                              	                            	                    	                                 	                          	                                 	                            	                         	                         	                           	                         	                	                          	                         	                         	                          	                          	                          	                    	                          	                        	                      	               	                          	                             	                    	from 115 SR. Chapter 19. Table 6. pages 298-299.
