Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinella dehiscens	Pulleniatina primalis	Pulleniatina obliquiloculata	Orbulina universa	Orbulina bilobata	Neogloboquadrina pseudopima/dutertrei	Neogloboquadrina pseudopima	Neogloboquadrina pachyderma	Neogloboquadrina dutertrei	Neogloboquadrina cf. N. dutertrei	Hastigerina pelagica	Globorotaloides hexagona	Globorotalia wilesi	Globorotalia viola	Globorotalia ungulata	Globorotalia tumida	Globorotalia truncatulinoides	Globorotalia tosaensis	Globorotalia scitula	Globorotalia ronda	Globorotalia puncticulata	Globorotalia menardii	Globorotalia inflata	Globorotalia incisa	Globorotalia hirsuta	Globorotalia hessi	Globorotalia fimbriata	Globorotalia exilis	Globorotalia crassula	Globorotalia crassaformis	Globorotalia bermudezi	Globorotalia aff. G. cavernula	Globoquadrina conglomerata	Globigerinoides tenellus	Globigerinoides sacculifer	Globigerinoides ruber	Globigerinoides quadrilobatus	Globigerinoides obliquus	Globigerinoides extremus	Globigerinoides conglobatus	Globigerinita glutinata	Globigerinella aequilateralis	Globigerina umbilicata	Globigerina rubescens	Globigerina quinqueloba	Globigerina falconensis	Globigerina decoraperta	Globigerina cf. G. foliata	Globigerina bulloides	Candeina nitida	Bolliella calida	Beella digitata	Comment
  SR	                 	                 	                  	              	164	 997	A	  4	H	 1	 114.00	     23.0400	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	2.5%                 	1.4%                        	2.2%             	.0%              	.0%                                  	.0%                        	.0%                        	7.2%                      	.4%                              	.0%                 	.0%                     	.0%                	1.8%              	.0%                  	.0%                	3.2%                         	.0%                   	.0%                 	.0%               	.0%                      	.4%                  	1.8%                	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	3.2%                     	.0%                   	.0%                           	.0%                       	.0%                     	15.1%                     	37.4%                	.0%                          	.0%                     	.0%                     	.4%                        	10.1%                  	9.0%                         	.0%                   	.4%                  	.0%                    	2.9%                   	.0%                    	.0%                       	.4%                  	.0%            	.0%             	.4%            	Total Foram Count 278. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  4	H	 2	  39.00	     23.7900	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	3.0%                 	.0%                         	2.3%             	.0%              	.0%                                  	.0%                        	.0%                        	7.2%                      	.0%                              	.0%                 	.0%                     	.0%                	.8%               	.0%                  	.0%                	6.1%                         	.8%                   	.0%                 	1.9%              	.0%                      	8.4%                 	3.4%                	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	.4%                      	.0%                   	.0%                           	.0%                       	.0%                     	5.7%                      	36.1%                	.0%                          	.0%                     	.0%                     	3.8%                       	8.7%                   	2.3%                         	.0%                   	4.9%                 	.0%                    	3.4%                   	.0%                    	.0%                       	.4%                  	.0%            	.0%             	.4%            	Total Foram Count 263. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  4	H	 3	  39.00	     25.2900	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	.0%                  	.0%                         	1.0%             	.0%              	.0%                                  	.0%                        	.0%                        	7.2%                      	.0%                              	.0%                 	.0%                     	.0%                	4.1%              	.0%                  	.0%                	4.8%                         	.7%                   	.0%                 	.0%               	.0%                      	3.4%                 	14.7%               	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	9.2%                     	.3%                   	.0%                           	.0%                       	.0%                     	7.5%                      	36.9%                	.0%                          	.0%                     	.0%                     	.3%                        	2.0%                   	3.4%                         	.0%                   	.0%                  	.0%                    	3.1%                   	.0%                    	.0%                       	1.4%                 	.0%            	.0%             	.0%            	Total Foram Count 293. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  4	H	 3	 114.00	     26.0400	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	.8%                  	.0%                         	4.3%             	.0%              	.0%                                  	.0%                        	.0%                        	6.3%                      	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	5.5%                         	.4%                   	.4%                 	3.5%              	.0%                      	2.8%                 	.4%                 	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	1.6%                     	.0%                   	.0%                           	.0%                       	.0%                     	5.9%                      	51.6%                	.0%                          	.0%                     	.0%                     	3.5%                       	5.9%                   	2.0%                         	.0%                   	.0%                  	.0%                    	2.8%                   	1.6%                   	.0%                       	.8%                  	.0%            	.0%             	.0%            	Total Foram Count 254. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  4	H	 4	  39.00	     26.7900	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	.0%                  	.0%                         	.3%              	.0%              	.0%                                  	.0%                        	.0%                        	11.2%                     	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	.6%                          	.6%                   	.0%                 	3.3%              	.0%                      	5.5%                 	3.6%                	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	3.0%                     	.0%                   	.0%                           	.9%                       	.3%                     	.0%                       	57.9%                	.0%                          	.0%                     	.0%                     	2.7%                       	2.1%                   	3.0%                         	.0%                   	.9%                  	.0%                    	1.8%                   	.0%                    	.0%                       	2.1%                 	.0%            	.0%             	.0%            	Total Foram Count 330. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  4	H	 5	  39.00	     28.2900	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	.0%                  	.0%                         	1.9%             	.0%              	.0%                                  	.0%                        	.0%                        	19.2%                     	.0%                              	.0%                 	.0%                     	.0%                	1.6%              	.0%                  	.0%                	3.0%                         	.5%                   	.0%                 	1.9%              	.0%                      	6.9%                 	10.2%               	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	1.4%                     	.0%                   	.0%                           	.0%                       	.0%                     	8.2%                      	28.3%                	.0%                          	.0%                     	.0%                     	1.6%                       	6.0%                   	1.9%                         	.0%                   	2.5%                 	.0%                    	4.1%                   	.0%                    	.0%                       	.5%                  	.0%            	.0%             	.0%            	Total Foram Count 364. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  4	H	 6	 114.00	     30.5400	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	1.0%                 	.5%                         	1.9%             	.0%              	.0%                                  	.0%                        	.0%                        	5.8%                      	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	8.7%                         	.0%                   	.0%                 	.0%               	.0%                      	.0%                  	21.8%               	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	6.3%                     	.0%                   	.0%                           	.0%                       	.0%                     	7.3%                      	35.9%                	.0%                          	.0%                     	.0%                     	.0%                        	1.5%                   	4.9%                         	.0%                   	.0%                  	.0%                    	1.9%                   	.0%                    	.0%                       	2.4%                 	.0%            	.0%             	.0%            	Total Foram Count 206. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  4	H	 7	  39.00	     31.2900	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	.0%                  	.4%                         	4.6%             	.0%              	.0%                                  	.0%                        	.0%                        	8.8%                      	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	6.3%                         	.0%                   	.4%                 	.0%               	.0%                      	1.3%                 	21.8%               	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	7.6%                     	.0%                   	.0%                           	.0%                       	.0%                     	2.9%                      	23.9%                	.0%                          	.0%                     	.0%                     	.4%                        	2.9%                   	8.8%                         	.0%                   	.8%                  	.0%                    	4.6%                   	.0%                    	.0%                       	4.2%                 	.0%            	.0%             	.0%            	Total Foram Count 238. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  5	H	 1	  39.00	     31.7900	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	.3%                  	.3%                         	4.7%             	.0%              	.0%                                  	.0%                        	.0%                        	7.1%                      	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	4.0%                         	.0%                   	.3%                 	.0%               	.0%                      	.7%                  	13.5%               	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	5.4%                     	.0%                   	.0%                           	.0%                       	.0%                     	4.7%                      	36.0%                	.0%                          	.0%                     	.0%                     	.3%                        	1.7%                   	6.4%                         	.0%                   	.0%                  	.3%                    	13.1%                  	.0%                    	.0%                       	1.0%                 	.0%            	.0%             	.0%            	Total Foram Count 297. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  5	H	 1	 114.00	     32.5400	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	.4%                  	.4%                         	4.4%             	.1%              	.0%                                  	.0%                        	.0%                        	14.9%                     	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	6.4%                         	.0%                   	.3%                 	.4%               	.0%                      	.9%                  	17.9%               	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	7.9%                     	.0%                   	.0%                           	.0%                       	.0%                     	7.9%                      	24.8%                	.0%                          	.0%                     	.0%                     	1.3%                       	.4%                    	6.6%                         	.0%                   	.3%                  	.0%                    	3.8%                   	.1%                    	.0%                       	.6%                  	.1%            	.0%             	.0%            	Total Foram Count 686. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  5	H	 2	  39.00	     33.2900	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	.9%                  	.0%                         	.4%              	.0%              	.0%                                  	.0%                        	.0%                        	6.1%                      	.0%                              	.0%                 	.0%                     	.0%                	.4%               	.0%                  	.0%                	2.6%                         	.0%                   	.0%                 	.0%               	.0%                      	8.3%                 	29.4%               	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	3.9%                     	.0%                   	.0%                           	.0%                       	.0%                     	15.4%                     	24.1%                	.0%                          	.0%                     	.0%                     	.0%                        	.4%                    	2.2%                         	.0%                   	.0%                  	.0%                    	4.4%                   	.0%                    	.0%                       	1.3%                 	.0%            	.0%             	.0%            	Total Foram Count 228. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  5	H	 2	 114.00	     34.0400	Okada    	Planktonic Foraminifers                      	               	                  	.3%                      	.6%                  	.6%                         	2.1%             	.0%              	.0%                                  	.0%                        	.0%                        	7.8%                      	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	5.7%                         	.0%                   	.0%                 	1.8%              	.0%                      	.3%                  	9.0%                	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	4.8%                     	.0%                   	.0%                           	.0%                       	.0%                     	20.3%                     	32.5%                	.0%                          	.0%                     	.0%                     	.6%                        	2.1%                   	9.0%                         	.0%                   	.0%                  	.0%                    	2.1%                   	.3%                    	.0%                       	.3%                  	.0%            	.0%             	.0%            	Total Foram Count 335. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  5	H	 3	  39.00	     34.7900	Okada    	Planktonic Foraminifers                      	               	                  	.3%                      	1.6%                 	1.3%                        	3.2%             	.0%              	.0%                                  	.0%                        	.0%                        	7.6%                      	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	3.8%                         	.0%                   	.0%                 	.0%               	.0%                      	2.8%                 	23.7%               	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	.9%                      	.0%                   	.0%                           	.0%                       	.0%                     	19.3%                     	22.8%                	.0%                          	.0%                     	.0%                     	1.6%                       	3.5%                   	3.8%                         	.0%                   	.6%                  	.0%                    	1.9%                   	.0%                    	.0%                       	.6%                  	.3%            	.0%             	.3%            	Total Foram Count 316. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  5	H	 3	 114.00	     35.5400	Okada    	Planktonic Foraminifers                      	               	                  	.6%                      	.3%                  	.9%                         	.6%              	.0%              	.0%                                  	.0%                        	.0%                        	18.5%                     	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	5.5%                         	.0%                   	.0%                 	.3%               	.0%                      	1.2%                 	12.7%               	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	3.6%                     	.0%                   	.0%                           	.0%                       	.0%                     	19.7%                     	24.2%                	.0%                          	.0%                     	.0%                     	.9%                        	2.7%                   	3.6%                         	.0%                   	.0%                  	.0%                    	1.2%                   	1.5%                   	.0%                       	1.5%                 	.3%            	.0%             	.0%            	Total Foram Count 330. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  5	H	 4	  39.00	     36.2900	Okada    	Planktonic Foraminifers                      	               	                  	.2%                      	.5%                  	1.0%                        	2.5%             	.0%              	.0%                                  	.0%                        	.0%                        	21.8%                     	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	3.2%                         	.0%                   	.2%                 	.0%               	.0%                      	3.0%                 	14.1%               	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	1.0%                     	.0%                   	.0%                           	.0%                       	.0%                     	23.1%                     	15.1%                	.0%                          	.0%                     	.0%                     	.0%                        	1.7%                   	4.2%                         	.0%                   	.7%                  	.0%                    	3.2%                   	.0%                    	.0%                       	4.2%                 	.0%            	.0%             	.0%            	Total Foram Count 403. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  5	H	 4	 114.00	     37.0400	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	.8%                  	.4%                         	.8%              	.0%              	.0%                                  	.0%                        	.0%                        	23.2%                     	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	1.2%                         	.0%                   	.4%                 	.0%               	.0%                      	2.8%                 	13.0%               	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	4.3%                     	.0%                   	.0%                           	.0%                       	.0%                     	20.5%                     	23.2%                	.0%                          	.0%                     	.0%                     	.8%                        	2.4%                   	2.8%                         	.8%                   	.0%                  	.0%                    	1.2%                   	.0%                    	.0%                       	1.6%                 	.0%            	.0%             	.0%            	Total Foram Count 254. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  5	H	 5	  39.00	     37.7900	Okada    	Planktonic Foraminifers                      	               	                  	.2%                      	.9%                  	.2%                         	.9%              	.0%              	.0%                                  	.0%                        	.0%                        	16.0%                     	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	3.3%                         	.0%                   	.0%                 	.0%               	.0%                      	3.3%                 	17.9%               	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	2.1%                     	.0%                   	.0%                           	.0%                       	.0%                     	20.0%                     	22.4%                	.0%                          	.0%                     	.0%                     	.5%                        	4.0%                   	3.8%                         	.0%                   	.7%                  	.0%                    	3.5%                   	.0%                    	.0%                       	.2%                  	.0%            	.0%             	.0%            	Total Foram Count 425. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  5	H	 5	 114.00	     38.5400	Okada    	Planktonic Foraminifers                      	               	                  	.3%                      	.0%                  	.3%                         	1.6%             	.0%              	.0%                                  	.0%                        	.0%                        	20.6%                     	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	4.5%                         	.0%                   	.0%                 	.3%               	.0%                      	1.3%                 	16.1%               	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	4.5%                     	.0%                   	.0%                           	.0%                       	.0%                     	18.3%                     	23.2%                	.0%                          	.0%                     	.0%                     	.6%                        	1.0%                   	4.5%                         	.0%                   	.3%                  	.0%                    	1.3%                   	.0%                    	.0%                       	1.3%                 	.0%            	.0%             	.0%            	Total Foram Count 311. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  5	H	 6	  39.00	     39.2900	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	1.0%                 	1.0%                        	3.1%             	.0%              	.0%                                  	.0%                        	.0%                        	19.9%                     	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	1.7%                         	.0%                   	.0%                 	.0%               	.0%                      	2.7%                 	13.4%               	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	3.8%                     	.0%                   	.0%                           	.0%                       	.0%                     	21.3%                     	22.0%                	.0%                          	.0%                     	.0%                     	.3%                        	.3%                    	5.2%                         	.0%                   	.3%                  	.0%                    	1.4%                   	.0%                    	.0%                       	2.4%                 	.0%            	.0%             	.0%            	Total Foram Count 291. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  5	H	 6	 114.00	     40.0400	Okada    	Planktonic Foraminifers                      	               	                  	.3%                      	1.4%                 	.0%                         	.6%              	.0%              	.0%                                  	.0%                        	.0%                        	19.1%                     	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	2.6%                         	.3%                   	.0%                 	.3%               	.0%                      	1.7%                 	11.6%               	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	3.5%                     	.0%                   	.0%                           	.0%                       	.0%                     	22.0%                     	21.7%                	.0%                          	.0%                     	.0%                     	.3%                        	3.8%                   	4.6%                         	.0%                   	.0%                  	.0%                    	2.3%                   	2.6%                   	.0%                       	1.2%                 	.0%            	.0%             	.0%            	Total Foram Count 345. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  5	H	 7	  39.00	     40.7900	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	1.0%                 	.5%                         	3.1%             	.0%              	.0%                                  	.0%                        	.0%                        	19.4%                     	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	5.1%                         	.0%                   	.0%                 	.0%               	.0%                      	2.3%                 	14.0%               	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	2.8%                     	.0%                   	.0%                           	.0%                       	1.0%                    	21.9%                     	18.1%                	.0%                          	.0%                     	.0%                     	.3%                        	2.0%                   	2.8%                         	.0%                   	.8%                  	.0%                    	2.8%                   	.0%                    	.0%                       	2.0%                 	.0%            	.0%             	.0%            	Total Foram Count 392. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  6	H	 1	  39.00	     41.2900	Okada    	Planktonic Foraminifers                      	               	                  	1.6%                     	.0%                  	1.6%                        	3.2%             	.0%              	.0%                                  	.0%                        	.0%                        	12.9%                     	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	16.1%                        	.0%                   	.0%                 	.0%               	.0%                      	.0%                  	8.1%                	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	.0%                      	.0%                   	.0%                           	.0%                       	.0%                     	6.5%                      	29.0%                	.0%                          	.0%                     	.0%                     	8.1%                       	9.7%                   	3.2%                         	.0%                   	.0%                  	.0%                    	.0%                    	.0%                    	.0%                       	.0%                  	.0%            	.0%             	.0%            	Total Foram Count   62. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  6	H	 1	 114.00	     42.0400	Okada    	Planktonic Foraminifers                      	               	                  	.3%                      	1.3%                 	1.6%                        	5.2%             	.0%              	.0%                                  	.0%                        	.0%                        	50.3%                     	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	.3%                          	.0%                   	.0%                 	.0%               	.0%                      	.0%                  	11.9%               	.3%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	1.0%                     	.0%                   	.0%                           	.0%                       	.0%                     	7.7%                      	10.6%                	.0%                          	.0%                     	.0%                     	.6%                        	3.2%                   	2.3%                         	.0%                   	.0%                  	.0%                    	.6%                    	.0%                    	.0%                       	2.3%                 	.0%            	.0%             	.3%            	Total Foram Count 310. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  6	H	 2	  39.00	     42.7900	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	5.4%                 	.0%                         	6.3%             	.0%              	.0%                                  	.0%                        	.0%                        	11.7%                     	.0%                              	.0%                 	.0%                     	.0%                	1.8%              	.0%                  	.0%                	1.8%                         	1.8%                  	.0%                 	.0%               	.0%                      	.0%                  	.0%                 	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	3.6%                     	.0%                   	.0%                           	.0%                       	.0%                     	28.8%                     	12.6%                	.0%                          	.0%                     	.0%                     	6.3%                       	1.8%                   	9.0%                         	.0%                   	.0%                  	.0%                    	5.4%                   	.0%                    	.0%                       	3.6%                 	.0%            	.0%             	.0%            	Total Foram Count 111. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  6	H	 3	  39.00	     44.2900	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	8.0%                 	2.5%                        	3.7%             	.0%              	.0%                                  	.0%                        	.0%                        	9.6%                      	.0%                              	.0%                 	.0%                     	1.2%               	.0%               	.0%                  	.0%                	1.9%                         	.6%                   	.0%                 	.0%               	.0%                      	.0%                  	6.5%                	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	9.9%                     	.0%                   	.0%                           	.0%                       	.0%                     	14.8%                     	23.1%                	.0%                          	.0%                     	.0%                     	1.2%                       	4.6%                   	9.3%                         	.0%                   	.0%                  	.0%                    	3.1%                   	.0%                    	.0%                       	.0%                  	.0%            	.0%             	.0%            	Total Foram Count 324. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  6	H	 3	 114.00	     45.0400	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	5.0%                 	2.3%                        	5.3%             	.0%              	.0%                                  	.0%                        	.0%                        	17.2%                     	.0%                              	.0%                 	.0%                     	.0%                	1.3%              	.0%                  	.0%                	4.3%                         	.0%                   	.3%                 	5.6%              	.0%                      	.0%                  	6.3%                	.3%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	5.3%                     	.0%                   	.0%                           	.0%                       	.0%                     	10.9%                     	19.9%                	.0%                          	.0%                     	.0%                     	.7%                        	4.3%                   	4.6%                         	.0%                   	.0%                  	.0%                    	3.6%                   	.0%                    	.0%                       	2.0%                 	.3%            	.0%             	.3%            	Total Foram Count 302. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  6	H	 4	  39.00	     45.7900	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	3.9%                 	.6%                         	3.3%             	.0%              	.0%                                  	.0%                        	.0%                        	11.0%                     	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	6.2%                         	.0%                   	.0%                 	.0%               	.0%                      	.0%                  	8.6%                	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	2.1%                     	.0%                   	.0%                           	.0%                       	.0%                     	.0%                       	49.0%                	.0%                          	.0%                     	.0%                     	.9%                        	7.1%                   	2.7%                         	.0%                   	.9%                  	.0%                    	3.0%                   	.0%                    	.0%                       	.9%                  	.0%            	.0%             	.0%            	Total Foram Count 337. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  6	H	 4	 114.00	     46.5400	Okada    	Planktonic Foraminifers                      	               	                  	.3%                      	1.0%                 	.5%                         	2.5%             	.0%              	.0%                                  	.0%                        	.0%                        	14.2%                     	.0%                              	.0%                 	.0%                     	.0%                	.5%               	.0%                  	.0%                	6.1%                         	.0%                   	.0%                 	.3%               	.0%                      	.0%                  	6.6%                	.8%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	1.5%                     	.0%                   	.0%                           	.0%                       	.0%                     	10.1%                     	40.0%                	.0%                          	.0%                     	.0%                     	1.3%                       	2.0%                   	4.6%                         	.0%                   	.0%                  	.0%                    	3.5%                   	.0%                    	.0%                       	4.3%                 	.0%            	.0%             	.0%            	Total Foram Count 395. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  6	H	 5	  39.00	     47.2900	Okada    	Planktonic Foraminifers                      	               	                  	.5%                      	1.8%                 	1.8%                        	3.7%             	.0%              	.0%                                  	.0%                        	.0%                        	47.2%                     	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	2.4%                         	.0%                   	.5%                 	.0%               	.0%                      	.0%                  	.5%                 	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	.5%                      	.0%                   	.0%                           	.0%                       	.0%                     	.3%                       	21.3%                	.3%                          	.0%                     	.0%                     	.3%                        	3.9%                   	7.9%                         	.0%                   	.5%                  	.0%                    	2.4%                   	.0%                    	.0%                       	3.9%                 	.3%            	.0%             	.0%            	Total Foram Count 381. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  6	H	 6	  39.00	     48.7900	Okada    	Planktonic Foraminifers                      	               	                  	.5%                      	4.4%                 	5.8%                        	9.3%             	.0%              	.0%                                  	.0%                        	.2%                        	12.9%                     	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	.7%                          	.5%                   	.0%                 	1.4%              	.0%                      	.0%                  	.0%                 	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	1.2%                     	.0%                   	.0%                           	.0%                       	.0%                     	16.6%                     	26.6%                	.0%                          	.0%                     	.0%                     	4.7%                       	7.5%                   	3.7%                         	.0%                   	.7%                  	.0%                    	1.4%                   	.0%                    	.0%                       	1.9%                 	.0%            	.0%             	.0%            	Total Foram Count 428. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  6	H	 7	  39.00	     50.2900	Okada    	Planktonic Foraminifers                      	               	                  	.6%                      	.6%                  	.6%                         	4.2%             	.0%              	.0%                                  	.0%                        	.0%                        	27.9%                     	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	6.2%                         	.0%                   	.0%                 	.0%               	.0%                      	.0%                  	20.0%               	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	.3%                      	.0%                   	.0%                           	.0%                       	.0%                     	7.9%                      	16.9%                	.0%                          	.0%                     	.0%                     	2.0%                       	6.8%                   	3.1%                         	.0%                   	.0%                  	.0%                    	1.7%                   	.6%                    	.0%                       	.8%                  	.0%            	.0%             	.0%            	Total Foram Count 355. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  7	H	 1	  37.00	     50.7700	Okada    	Planktonic Foraminifers                      	               	                  	.6%                      	.6%                  	.3%                         	1.4%             	.0%              	.0%                                  	.0%                        	.0%                        	24.2%                     	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	2.2%                         	.3%                   	.0%                 	.0%               	.0%                      	.0%                  	1.4%                	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	.6%                      	.0%                   	.0%                           	.0%                       	.0%                     	15.3%                     	36.4%                	.0%                          	.0%                     	.0%                     	.3%                        	8.9%                   	6.4%                         	.0%                   	.0%                  	.0%                    	1.4%                   	.0%                    	.0%                       	.0%                  	.0%            	.0%             	.0%            	Total Foram Count 360. From 164SR.Ch 34.Table 1.

