Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria barnesae	Stradneria crenulata	Quadrum eptabrachium	Prediscosphaera intercisa	Micula decussata 2	Micula decussata 1	Micula concava	Microrhabdulus decoratus	Marthasterites furcatus	Manivitella pemmatoidea	Lithastrinus septenarius	Lithastrinus grillii	Gartnerago obliquum	Gartnerago diversum	Eiffellithus turriseiffelii	Eiffellithus eximius	Cribrosphaerella ehrenbergii	Tribrachiatus orthostylus	Discoaster multiradiatus	Discoaster binodosus	Discoaster barbadiensis	Coccolithus eopelagicus	Sphenolithus radians	Discoaster kuepperi	Discoaster elegans	Discoaster diastypus	Coccolithus formosus	Chiasmolithus grandis	Toweius magnicrassus	Discoaster lodoensis	Discoaster gemmifer	Cyclicargolithus gammation	Coccolithus pelagicus	Reticulofenestra dictyoda	Neococcolithes dubius	Helicosphaera seminulum	Discoaster mirus	Discoaster cruciformis	Chiasmolithus solitus	Chiasmolithus expansus	Chiasmolithus eograndis	Chiasmolithus consuetus	Campylosphaera dela	Sphenolithus elongatus	Helicosphaera lophota	Discoaster sublodoensis	Discoaster strictus	Discoaster saipanensis	Discoaster nodifer	Chiasmolithus gigas	Coccolithus staurion	Reticulofenestra samodurovii	Discoaster wemmelensis	Discoaster praebifax	Nannotetrina pappii	Nannotetrina fulgens	Cyclicargolithus luminis	Sphenolithus furcatolithoides	Nannotetrina cristata	Discoaster delicatus	Chiasmolithus bidens	Transversopontis pulcher	Sphenolithus orphanknollensis	Markalius inversus	Triquetrorhabdulus carinatus	Cyclicargolithus floridanus	Triquetrorhabdulus auritus	Sphenolithus moriformis	Sphenolithus ciperoensis	Reticulofenestra lockerii	Reticulofenestra gartneri	Helicosphaera truempyi	Discoaster druggii (small)	Discoaster deflandrei	Cyclicargolithus abisectus	Triquetrorhabdulus milowii	Discoaster sp. cf. D. variabilis	Discoaster saundersi	Discoaster nephados	Coronocyclus nitescens (circular)	Reticulofenestra minutula	Helicosphaera obliqua	Helicosphaera kamptneri/carteri	Helicosphaera granulata	Discoaster obtusus	Discoaster druggii	Coccolithus miopelagicus	Helicosphaera intermedia	Helicosphaera ampliaperta	Discoaster sp. cf. D. adamanteus	Triquetrorhabdulus milowii/auritus	Reticulofenestra haqii	Helicosphaera euphratis	Clausicoccus sp. cf. C. fenestratus	Pontosphaera multipora	Orthorhabdus serratus	Discoaster sp. cf. D. exilis	Reticulofenestra minuta	Geminilithella rotula	Discoaster calculosus	Coccolithus pelagicus (w/ bar)	Sphenolithus belemnos	Pontosphaera plana	Discoaster lidzi	Calcidiscus leptoporus	Helicosphaera recta	Sphenolithus heteromorphus	Sphenolithus dissimilis	Solidopons petrae	Helicosphaera acuta	Discoaster variabilis	Reticulofenestra pseudoumbilicus	Calcidiscus macintyrei	Hayaster perplexus	Discoaster sanmiguelensis	Discoaster petaliformis	Discoaster exilis	Sphenolithus abies	Helicosphaera rhomba	Discoaster signus	Discoaster braarudii	Triquetrorhabdulus rugosus	Triquetrorhabdulus farnsworthii	Discoaster challengeri	Discoaster bollii	Catinaster mexicanus	Catinaster coalitus	Discoaster sp. cf. D. bolli	Discoaster pseudovariabilis	Discoaster brouweri	Discoaster surculus	Discoaster hamatus	Catinaster calyculus	Discoaster triradiatus	Discoaster calcaris	Discoaster quadramus	Discoaster prepentaradiatus	Discoaster neorectus	Sphenolithus neoabies	Rhabdosphaera clavigera	Minylitha convallis	Discoaster pentaradiatus	Discoaster neohamatus	Discoaster quinqueramus	Amaurolithus delicatus	Gephyrocapsa spp. (small)	Discoaster asymmetricus	Discoaster berggrenii	Amaurolithus primus	Pontosphaera indooceanica	Discoaster blackstockae	Scapholithus fossilis	Florisphaera profunda	Pontosphaera japonica	Ceratolithus armatus	Ceratolithus acutus	Ceratolithus separatus/rugosus	Ceratolithus rugosus	Amaurolithus tricorniculatus	Discoaster icarus	Ceratolithus armatus/rugosus	Helicosphaera elongata	Helicosphaera wallichii	Pseudoemiliania lacunosa (small)	Ceratolithus cristatus	Helicosphaera sellii	Pseudoemiliania lacunosa	Gephyrocapsa aperta	Scyphosphaera pulcherrima	Discoaster tamalis	Ceratolithus separatus	Umbilicosphaera sibogae	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Syracosphaera pulchra	Helicosphaera neogranulata	Helicosphaera inversa	Helicosphaera burkei	Micrantholithus sp.	Comment

  SR	Late Oligocene   	                 	CP19b             	              	159	 960	A	 12	R	 2	  94.00	    100.0400	Shafik   	Nannofossils                                 	C              	M                 	                    	                    	                    	                         	                  	                  	              	                        	                       	                       	                        	                    	                   	                   	                           	                    	                            	                         	                        	                    	                       	                       	                    	                   	                  	                    	                    	                     	                    	                    	                   	                          	F                    	                         	                     	                       	                	                      	                     	                      	                       	                       	                   	                      	                     	                       	                   	                      	                  	                   	                    	                            	                      	                    	                   	                    	                        	                             	                     	                    	                    	                        	                             	                  	F                           	A                          	F                         	F                      	R                       	F                        	R                        	F                     	F                         	F                    	R                         	                          	                                	                    	                   	                                 	                         	                     	                               	                       	                  	                  	                        	                        	                         	                                	                                  	                      	                       	                                   	                      	                     	                            	                       	                     	                     	                              	                     	                  	                	                      	                   	                          	                       	                 	                   	                     	                                	                      	                  	                         	                       	                 	                  	                    	                 	                    	                          	                               	                      	                 	                    	                   	                           	                           	                   	                   	                  	                    	                      	                   	                    	                           	                    	                     	                       	                   	                        	                     	                       	                      	                         	                       	                     	                   	                         	                       	                     	                     	                     	                    	                   	                              	                    	                            	                 	                            	                      	                       	                                	                      	                    	                        	                   	                         	                  	                      	                       	                     	                         	                     	                          	                     	                    	                   	From Leg 159 Ch 32 Table 3

  SR	Late Oligocene   	                 	CP19              	              	159	 960	A	 13	R	CC	   0.00	    107.7000	Shafik   	Nannofossils                                 	T              	P                 	                    	                    	                    	                         	                  	                  	              	                        	                       	                       	                        	                    	                   	                   	                           	                    	                            	                         	                        	                    	                       	                       	                    	                   	                  	                    	                    	                     	                    	                    	                   	                          	                     	                         	                     	                       	                	                      	                     	                      	                       	                       	                   	                      	                     	                       	                   	                      	                  	                   	                    	                            	                      	                    	                   	                    	                        	                             	                     	                    	                    	                        	                             	                  	VR                          	VR                         	                          	                       	                        	                         	                         	                      	                          	                     	                          	                          	                                	                    	                   	                                 	                         	                     	                               	                       	                  	                  	                        	                        	                         	                                	                                  	                      	                       	                                   	                      	                     	                            	                       	                     	                     	                              	                     	                  	                	                      	                   	                          	                       	                 	                   	                     	                                	                      	                  	                         	                       	                 	                  	                    	                 	                    	                          	                               	                      	                 	                    	                   	                           	                           	                   	                   	                  	                    	                      	                   	                    	                           	                    	                     	                       	                   	                        	                     	                       	                      	                         	                       	                     	                   	                         	                       	                     	                     	                     	                    	                   	                              	                    	                            	                 	                            	                      	                       	                                	                      	                    	                        	                   	                         	                  	                      	                       	                     	                         	                     	                          	                     	                    	                   	Uncertain zone assignment. From Leg 159 Ch 32 Table 3

  SR	Middle Eocene    	                 	CP13b             	              	159	 960	A	 14	R	 1	   9.00	    116.9900	Shafik   	Nannofossils                                 	A              	M                 	                    	                    	                    	                         	                  	                  	              	                        	                       	                       	                        	                    	                   	                   	                           	                    	                            	                         	                        	                    	F                      	F                      	F                   	                   	                  	                    	F                   	                     	                    	                    	                   	                          	                     	C                        	                     	C                      	                	                      	F                    	                      	                       	R                      	R                  	F                     	F                    	                       	F                  	F                     	                  	R                  	R                   	                            	                      	                    	                   	C                   	                        	F                            	                     	                    	                    	                        	                             	                  	                            	                           	                          	                       	                        	                         	                         	                      	                          	                     	                          	                          	                                	                    	                   	                                 	                         	                     	                               	                       	                  	                  	                        	                        	                         	                                	                                  	                      	                       	                                   	                      	                     	                            	                       	                     	                     	                              	                     	                  	                	                      	                   	                          	                       	                 	                   	                     	                                	                      	                  	                         	                       	                 	                  	                    	                 	                    	                          	                               	                      	                 	                    	                   	                           	                           	                   	                   	                  	                    	                      	                   	                    	                           	                    	                     	                       	                   	                        	                     	                       	                      	                         	                       	                     	                   	                         	                       	                     	                     	                     	                    	                   	                              	                    	                            	                 	                            	                      	                       	                                	                      	                    	                        	                   	                         	                  	                      	                       	                     	                         	                     	                          	                     	                    	                   	From Leg 159 Ch 32 Table 3

  SR	Middle Eocene    	                 	CP13a             	              	159	 960	A	 14	R	 1	  18.00	    117.0800	Shafik   	Nannofossils                                 	A              	M                 	                    	                    	                    	                         	                  	                  	              	                        	                       	                       	                        	                    	                   	                   	                           	                    	                            	                         	                        	F                   	C                      	                       	F                   	                   	                  	                    	F                   	                     	                    	                    	                   	                          	F                    	C                        	                     	F                      	                	F                     	C                    	                      	                       	                       	F                  	                      	F                    	                       	C                  	                      	                  	                   	F                   	                            	                      	                    	F                  	F                   	                        	F                            	                     	                    	                    	R                       	F                            	R                 	                            	                           	                          	                       	                        	                         	                         	                      	                          	                     	                          	                          	                                	                    	                   	                                 	                         	                     	                               	                       	                  	                  	                        	                        	                         	                                	                                  	                      	                       	                                   	                      	                     	                            	                       	                     	                     	                              	                     	                  	                	                      	                   	                          	                       	                 	                   	                     	                                	                      	                  	                         	                       	                 	                  	                    	                 	                    	                          	                               	                      	                 	                    	                   	                           	                           	                   	                   	                  	                    	                      	                   	                    	                           	                    	                     	                       	                   	                        	                     	                       	                      	                         	                       	                     	                   	                         	                       	                     	                     	                     	                    	                   	                              	                    	                            	                 	                            	                      	                       	                                	                      	                    	                        	                   	                         	                  	                      	                       	                     	                         	                     	                          	                     	                    	                   	From Leg 159 Ch 32 Table 3

  SR	Middle Eocene    	                 	CP13a             	              	159	 960	A	 14	R	 1	  28.00	    117.1800	Shafik   	Nannofossils                                 	A              	M                 	                    	                    	                    	                         	                  	                  	              	                        	                       	                       	                        	                    	                   	                   	                           	                    	                            	                         	                        	                    	C                      	                       	                    	                   	                  	                    	F                   	                     	                    	VR                  	                   	                          	F                    	C                        	F                    	F                      	                	                      	C                    	                      	                       	                       	                   	                      	F                    	                       	C                  	                      	                  	                   	                    	F                           	                      	R                   	                   	C                   	                        	F                            	                     	                    	                    	                        	                             	                  	                            	                           	                          	                       	                        	                         	                         	                      	                          	                     	                          	                          	                                	                    	                   	                                 	                         	                     	                               	                       	                  	                  	                        	                        	                         	                                	                                  	                      	                       	                                   	                      	                     	                            	                       	                     	                     	                              	                     	                  	                	                      	                   	                          	                       	                 	                   	                     	                                	                      	                  	                         	                       	                 	                  	                    	                 	                    	                          	                               	                      	                 	                    	                   	                           	                           	                   	                   	                  	                    	                      	                   	                    	                           	                    	                     	                       	                   	                        	                     	                       	                      	                         	                       	                     	                   	                         	                       	                     	                     	                     	                    	                   	                              	                    	                            	                 	                            	                      	                       	                                	                      	                    	                        	                   	                         	                  	                      	                       	                     	                         	                     	                          	                     	                    	                   	From Leg 159 Ch 32 Table 3

  SR	Middle Eocene    	                 	CP13a             	              	159	 960	A	 14	R	 1	  37.00	    117.2700	Shafik   	Nannofossils                                 	A              	M                 	                    	                    	                    	                         	                  	                  	              	                        	                       	                       	                        	                    	                   	                   	                           	                    	                            	                         	                        	F                   	C                      	R                      	F                   	R                  	                  	                    	F                   	                     	                    	                    	F                  	                          	                     	                         	R                    	F                      	                	                      	                     	                      	R                      	                       	F                  	F                     	                     	VR                     	                   	                      	                  	                   	R                   	C                           	                      	                    	F                  	R                   	                        	F                            	F                    	F                   	R                   	                        	                             	                  	                            	                           	                          	                       	                        	                         	                         	                      	                          	                     	                          	                          	                                	                    	                   	                                 	                         	                     	                               	                       	                  	                  	                        	                        	                         	                                	                                  	                      	                       	                                   	                      	                     	                            	                       	                     	                     	                              	                     	                  	                	                      	                   	                          	                       	                 	                   	                     	                                	                      	                  	                         	                       	                 	                  	                    	                 	                    	                          	                               	                      	                 	                    	                   	                           	                           	                   	                   	                  	                    	                      	                   	                    	                           	                    	                     	                       	                   	                        	                     	                       	                      	                         	                       	                     	                   	                         	                       	                     	                     	                     	                    	                   	                              	                    	                            	                 	                            	                      	                       	                                	                      	                    	                        	                   	                         	                  	                      	                       	                     	                         	                     	                          	                     	                    	                   	From Leg 159 Ch 32 Table 3

  SR	Middle Eocene    	                 	CP13a             	              	159	 960	A	 14	R	CC	  12.00	    117.5900	Shafik   	Nannofossils                                 	A              	P                 	                    	                    	                    	                         	                  	                  	              	                        	                       	                       	                        	                    	                   	                   	                           	                    	                            	                         	                        	                    	C                      	R                      	C                   	R                  	                  	                    	F                   	                     	                    	                    	                   	                          	                     	C                        	F                    	F                      	                	                      	                     	R                     	                       	                       	                   	F                     	F                    	                       	                   	C                     	                  	                   	                    	F                           	                      	                    	F                  	R                   	VR                      	                             	                     	                    	                    	                        	                             	                  	                            	                           	                          	                       	                        	                         	                         	                      	                          	                     	                          	                          	                                	                    	                   	                                 	                         	                     	                               	                       	                  	                  	                        	                        	                         	                                	                                  	                      	                       	                                   	                      	                     	                            	                       	                     	                     	                              	                     	                  	                	                      	                   	                          	                       	                 	                   	                     	                                	                      	                  	                         	                       	                 	                  	                    	                 	                    	                          	                               	                      	                 	                    	                   	                           	                           	                   	                   	                  	                    	                      	                   	                    	                           	                    	                     	                       	                   	                        	                     	                       	                      	                         	                       	                     	                   	                         	                       	                     	                     	                     	                    	                   	                              	                    	                            	                 	                            	                      	                       	                                	                      	                    	                        	                   	                         	                  	                      	                       	                     	                         	                     	                          	                     	                    	                   	From Leg 159 Ch 32 Table 3

  SR	Middle Eocene    	                 	CP12a             	              	159	 960	A	 15	R	 1	  11.00	    126.7100	Shafik   	Nannofossils                                 	C              	P                 	                    	                    	                    	                         	                  	                  	              	                        	                       	                       	                        	                    	                   	                   	                           	                    	                            	                         	                        	F                   	F                      	R                      	                    	F                  	                  	                    	                    	                     	                    	F                   	                   	                          	R                    	                         	                     	                       	F               	F                     	                     	                      	?                      	                       	                   	                      	                     	F                      	                   	                      	                  	                   	                    	                            	                      	R                   	                   	                    	                        	                             	                     	                    	                    	                        	                             	                  	                            	                           	                          	                       	                        	                         	                         	                      	                          	                     	                          	                          	                                	                    	                   	                                 	                         	                     	                               	                       	                  	                  	                        	                        	                         	                                	                                  	                      	                       	                                   	                      	                     	                            	                       	                     	                     	                              	                     	                  	                	                      	                   	                          	                       	                 	                   	                     	                                	                      	                  	                         	                       	                 	                  	                    	                 	                    	                          	                               	                      	                 	                    	                   	                           	                           	                   	                   	                  	                    	                      	                   	                    	                           	                    	                     	                       	                   	                        	                     	                       	                      	                         	                       	                     	                   	                         	                       	                     	                     	                     	                    	                   	                              	                    	                            	                 	                            	                      	                       	                                	                      	                    	                        	                   	                         	                  	                      	                       	                     	                         	                     	                          	                     	                    	                   	From Leg 159 Ch 32 Table 3

  SR	Middle Eocene    	                 	CP12a             	              	159	 960	A	 15	R	 1	  15.00	    126.7500	Shafik   	Nannofossils                                 	C              	M                 	                    	                    	                    	                         	                  	                  	              	                        	                       	                       	                        	                    	                   	                   	                           	                    	                            	                         	                        	F                   	C                      	F                      	                    	                   	                  	                    	F                   	VR                   	                    	F                   	                   	                          	F                    	                         	                     	                       	                	                      	F                    	                      	                       	                       	                   	                      	                     	                       	                   	                      	                  	                   	                    	F                           	F                     	                    	                   	                    	                        	                             	                     	                    	                    	                        	                             	                  	                            	                           	                          	                       	                        	                         	                         	                      	                          	                     	                          	                          	                                	                    	                   	                                 	                         	                     	                               	                       	                  	                  	                        	                        	                         	                                	                                  	                      	                       	                                   	                      	                     	                            	                       	                     	                     	                              	                     	                  	                	                      	                   	                          	                       	                 	                   	                     	                                	                      	                  	                         	                       	                 	                  	                    	                 	                    	                          	                               	                      	                 	                    	                   	                           	                           	                   	                   	                  	                    	                      	                   	                    	                           	                    	                     	                       	                   	                        	                     	                       	                      	                         	                       	                     	                   	                         	                       	                     	                     	                     	                    	                   	                              	                    	                            	                 	                            	                      	                       	                                	                      	                    	                        	                   	                         	                  	                      	                       	                     	                         	                     	                          	                     	                    	                   	From Leg 159 Ch 32 Table 3

  SR	Middle Eocene    	                 	CP12a             	              	159	 960	A	 15	R	 1	  39.00	    126.9900	Shafik   	Nannofossils                                 	T              	P                 	                    	                    	                    	                         	                  	                  	              	                        	                       	                       	                        	                    	                   	                   	                           	                    	                            	                         	                        	                    	F                      	                       	                    	                   	                  	                    	                    	                     	                    	R                   	                   	                          	                     	                         	                     	                       	                	                      	                     	                      	                       	                       	                   	                      	                     	                       	                   	                      	                  	                   	                    	                            	                      	                    	                   	                    	                        	                             	                     	                    	                    	                        	                             	                  	                            	                           	                          	                       	                        	                         	                         	                      	                          	                     	                          	                          	                                	                    	                   	                                 	                         	                     	                               	                       	                  	                  	                        	                        	                         	                                	                                  	                      	                       	                                   	                      	                     	                            	                       	                     	                     	                              	                     	                  	                	                      	                   	                          	                       	                 	                   	                     	                                	                      	                  	                         	                       	                 	                  	                    	                 	                    	                          	                               	                      	                 	                    	                   	                           	                           	                   	                   	                  	                    	                      	                   	                    	                           	                    	                     	                       	                   	                        	                     	                       	                      	                         	                       	                     	                   	                         	                       	                     	                     	                     	                    	                   	                              	                    	                            	                 	                            	                      	                       	                                	                      	                    	                        	                   	                         	                  	                      	                       	                     	                         	                     	                          	                     	                    	                   	From Leg 159 Ch 32 Table 3

  SR	Middle Eocene    	                 	CP12a             	              	159	 960	A	 15	R	 1	 101.00	    127.6100	Shafik   	Nannofossils                                 	C              	P                 	                    	                    	                    	                         	                  	                  	              	                        	                       	                       	                        	                    	                   	                   	                           	                    	                            	                         	                        	F                   	C                      	                       	                    	F                  	                  	                    	F                   	F                    	                    	F                   	                   	VR                        	F                    	                         	                     	                       	F               	F                     	                     	                      	                       	                       	F                  	                      	                     	R                      	                   	F                     	                  	                   	R                   	                            	                      	                    	                   	                    	                        	                             	                     	                    	                    	                        	                             	                  	                            	                           	                          	                       	                        	                         	                         	                      	                          	                     	                          	                          	                                	                    	                   	                                 	                         	                     	                               	                       	                  	                  	                        	                        	                         	                                	                                  	                      	                       	                                   	                      	                     	                            	                       	                     	                     	                              	                     	                  	                	                      	                   	                          	                       	                 	                   	                     	                                	                      	                  	                         	                       	                 	                  	                    	                 	                    	                          	                               	                      	                 	                    	                   	                           	                           	                   	                   	                  	                    	                      	                   	                    	                           	                    	                     	                       	                   	                        	                     	                       	                      	                         	                       	                     	                   	                         	                       	                     	                     	                     	                    	                   	                              	                    	                            	                 	                            	                      	                       	                                	                      	                    	                        	                   	                         	                  	                      	                       	                     	                         	                     	                          	                     	                    	                   	From Leg 159 Ch 32 Table 3
