original_abundance,expedition,taxon_group,normalized_abundance,definition,notes,type
47,375,planktic_forams,47,count,,taxa
48,321,benthic_forams,48,count,,taxa
48,344,benthic_forams,48,count,,taxa
48,363,planktic_forams,48,count,,taxa
49,321,benthic_forams,49,count,,taxa
49,344,benthic_forams,49,count,,taxa
49,363,planktic_forams,49,count,,taxa
50,321,benthic_forams,50,count,,taxa
50,344,benthic_forams,50,count,,taxa
50,363,planktic_forams,50,count,,taxa
52,344,benthic_forams,52,count,,taxa
53,344,benthic_forams,53,count,,taxa
53,375,planktic_forams,53,count,,taxa
54,344,benthic_forams,54,count,,taxa
55,321,benthic_forams,55,count,,taxa
55,344,benthic_forams,55,count,,taxa
57,344,benthic_forams,57,count,,taxa
58,321,benthic_forams,58,count,,taxa
58,344,benthic_forams,58,count,,taxa
60,321,benthic_forams,60,count,,taxa
60,375,planktic_forams,60,count,,taxa
61,344,benthic_forams,61,count,,taxa
61,363,planktic_forams,61,count,,taxa
62,344,benthic_forams,62,count,,taxa
63,344,benthic_forams,63,count,,taxa
63,363,planktic_forams,63,count,,taxa
65,344,benthic_forams,65,count,,taxa
66,321,benthic_forams,66,count,,taxa
66,344,benthic_forams,66,count,,taxa
67,344,benthic_forams,67,count,,taxa
67,363,planktic_forams,67,count,,taxa
70,321,benthic_forams,70,count,,taxa
71,344,benthic_forams,71,count,,taxa
73,344,benthic_forams,73,count,,taxa
74,344,benthic_forams,74,count,,taxa
76,344,benthic_forams,76,count,,taxa
78,344,benthic_forams,78,count,,taxa
80,321,benthic_forams,80,count,,taxa
80,344,benthic_forams,80,count,,taxa
80,363,planktic_forams,80,count,,taxa
84,344,benthic_forams,84,count,,taxa
91,344,benthic_forams,91,count,,taxa
98,363,planktic_forams,98,count,,taxa
99,363,planktic_forams,99,count,,taxa
100,344,benthic_forams,100,count,,taxa
100,363,planktic_forams,100,count,,taxa
108,321,benthic_forams,108,count,,taxa
112,321,benthic_forams,112,count,,taxa
114,344,benthic_forams,114,count,,taxa
115,344,benthic_forams,115,count,,taxa
121,344,benthic_forams,121,count,,taxa
127,344,benthic_forams,127,count,,taxa
134,344,benthic_forams,134,count,,taxa
135,344,benthic_forams,135,count,,taxa
136,344,benthic_forams,136,count,,taxa
147,344,benthic_forams,147,count,,taxa
177,363,planktic_forams,177,count,,taxa
189,344,benthic_forams,189,count,,taxa
205,344,benthic_forams,205,count,,taxa
0,363,benthic_forams,0,count (>100 specimens counted),,taxa
1,363,benthic_forams,1,count (>100 specimens counted),,taxa
2,363,benthic_forams,2,count (>100 specimens counted),,taxa
3,363,benthic_forams,3,count (>100 specimens counted),,taxa
4,363,benthic_forams,4,count (>100 specimens counted),,taxa
5,363,benthic_forams,5,count (>100 specimens counted),,taxa
6,363,benthic_forams,6,count (>100 specimens counted),,taxa
7,363,benthic_forams,7,count (>100 specimens counted),,taxa
8,363,benthic_forams,8,count (>100 specimens counted),,taxa
9,363,benthic_forams,9,count (>100 specimens counted),,taxa
10,363,benthic_forams,10,count (>100 specimens counted),,taxa
11,363,benthic_forams,11,count (>100 specimens counted),,taxa
12,363,benthic_forams,12,count (>100 specimens counted),,taxa
13,363,benthic_forams,13,count (>100 specimens counted),,taxa
14,363,benthic_forams,14,count (>100 specimens counted),,taxa
15,363,benthic_forams,15,count (>100 specimens counted),,taxa
16,363,benthic_forams,16,count (>100 specimens counted),,taxa
17,363,benthic_forams,17,count (>100 specimens counted),,taxa
18,363,benthic_forams,18,count (>100 specimens counted),,taxa
19,363,benthic_forams,19,count (>100 specimens counted),,taxa
20,363,benthic_forams,20,count (>100 specimens counted),,taxa
21,363,benthic_forams,21,count (>100 specimens counted),,taxa
22,363,benthic_forams,22,count (>100 specimens counted),,taxa
23,363,benthic_forams,23,count (>100 specimens counted),,taxa
24,363,benthic_forams,24,count (>100 specimens counted),,taxa
25,363,benthic_forams,25,count (>100 specimens counted),,taxa
26,363,benthic_forams,26,count (>100 specimens counted),,taxa
27,363,benthic_forams,27,count (>100 specimens counted),,taxa
28,363,benthic_forams,28,count (>100 specimens counted),,taxa
29,363,benthic_forams,29,count (>100 specimens counted),,taxa
30,363,benthic_forams,30,count (>100 specimens counted),,taxa
31,363,benthic_forams,31,count (>100 specimens counted),,taxa
32,363,benthic_forams,32,count (>100 specimens counted),,taxa
35,363,benthic_forams,35,count (>100 specimens counted),,taxa
36,363,benthic_forams,36,count (>100 specimens counted),,taxa
39,363,benthic_forams,39,count (>100 specimens counted),,taxa
40,363,benthic_forams,40,count (>100 specimens counted),,taxa
41,363,benthic_forams,41,count (>100 specimens counted),,taxa
42,363,benthic_forams,42,count (>100 specimens counted),,taxa
43,363,benthic_forams,43,count (>100 specimens counted),,taxa
45,363,benthic_forams,45,count (>100 specimens counted),,taxa
48,363,benthic_forams,48,count (>100 specimens counted),,taxa
49,363,benthic_forams,49,count (>100 specimens counted),,taxa
54,363,benthic_forams,54,count (>100 specimens counted),,taxa
56,363,benthic_forams,56,count (>100 specimens counted),,taxa
65,363,benthic_forams,65,count (>100 specimens counted),,taxa
69,363,benthic_forams,69,count (>100 specimens counted),,taxa
71,363,benthic_forams,71,count (>100 specimens counted),,taxa
96,363,benthic_forams,96,count (>100 specimens counted),,taxa
97,363,benthic_forams,97,count (>100 specimens counted),,taxa
107,363,benthic_forams,107,count (>100 specimens counted),,taxa
0,371,ostracods,0,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
1,371,ostracods,1,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
2,371,ostracods,2,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
3,371,ostracods,3,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
4,371,ostracods,4,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
5,371,ostracods,5,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
6,371,ostracods,6,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
7,371,ostracods,7,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
8,371,ostracods,8,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
9,371,ostracods,9,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
10,371,ostracods,10,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
11,371,ostracods,11,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
12,371,ostracods,12,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
13,371,ostracods,13,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
14,371,ostracods,14,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
15,371,ostracods,15,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
16,371,ostracods,16,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
18,371,ostracods,18,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
19,371,ostracods,19,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
20,371,ostracods,20,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
21,371,ostracods,21,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
22,371,ostracods,22,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
26,371,ostracods,26,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
27,371,ostracods,27,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
29,371,ostracods,29,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
30,371,ostracods,30,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
31,371,ostracods,31,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
32,371,ostracods,32,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
33,371,ostracods,33,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
35,371,ostracods,35,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
48,371,ostracods,48,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
49,371,ostracods,49,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
57,371,ostracods,57,"count (based on 5-10 trays of sediment, one tray is roughly 45 cm2 of sediment)",,taxa
0,362,planktic_forams,0,count (fewer than ~150 specimen counted),,taxa
1,362,planktic_forams,1,count (fewer than ~150 specimen counted),,taxa
2,362,planktic_forams,2,count (fewer than ~150 specimen counted),,taxa
3,362,planktic_forams,3,count (fewer than ~150 specimen counted),,taxa
4,362,planktic_forams,4,count (fewer than ~150 specimen counted),,taxa
5,362,planktic_forams,5,count (fewer than ~150 specimen counted),,taxa
6,362,planktic_forams,6,count (fewer than ~150 specimen counted),,taxa
7,362,planktic_forams,7,count (fewer than ~150 specimen counted),,taxa
8,362,planktic_forams,8,count (fewer than ~150 specimen counted),,taxa
10,362,planktic_forams,10,count (fewer than ~150 specimen counted),,taxa
11,362,planktic_forams,11,count (fewer than ~150 specimen counted),,taxa
12,362,planktic_forams,12,count (fewer than ~150 specimen counted),,taxa
13,362,planktic_forams,13,count (fewer than ~150 specimen counted),,taxa
16,362,planktic_forams,16,count (fewer than ~150 specimen counted),,taxa
17,362,planktic_forams,17,count (fewer than ~150 specimen counted),,taxa
18,362,planktic_forams,18,count (fewer than ~150 specimen counted),,taxa
20,362,planktic_forams,20,count (fewer than ~150 specimen counted),,taxa
21,362,planktic_forams,21,count (fewer than ~150 specimen counted),,taxa
23,362,planktic_forams,23,count (fewer than ~150 specimen counted),,taxa
24,362,planktic_forams,24,count (fewer than ~150 specimen counted),,taxa
25,362,planktic_forams,25,count (fewer than ~150 specimen counted),,taxa
26,362,planktic_forams,26,count (fewer than ~150 specimen counted),,taxa
28,362,planktic_forams,28,count (fewer than ~150 specimen counted),,taxa
29,362,planktic_forams,29,count (fewer than ~150 specimen counted),,taxa
30,362,planktic_forams,30,count (fewer than ~150 specimen counted),,taxa
35,362,planktic_forams,35,count (fewer than ~150 specimen counted),,taxa
38,362,planktic_forams,38,count (fewer than ~150 specimen counted),,taxa
40,362,planktic_forams,40,count (fewer than ~150 specimen counted),,taxa
51,362,planktic_forams,51,count (fewer than ~150 specimen counted),,taxa
53,362,planktic_forams,53,count (fewer than ~150 specimen counted),,taxa
1,342,nannofossils,1,count (per field of view),,taxa
2,342,nannofossils,2,count (per field of view),,taxa
3,342,nannofossils,3,count (per field of view),,taxa
4,342,nannofossils,4,count (per field of view),,taxa
5,342,nannofossils,5,count (per field of view),,taxa
6,342,nannofossils,6,count (per field of view),,taxa
7,342,nannofossils,7,count (per field of view),,taxa
8,342,nannofossils,8,count (per field of view),,taxa
10,342,nannofossils,10,count (per field of view),,taxa
20,342,nannofossils,20,count (per field of view),,taxa
22,342,nannofossils,22,count (per field of view),,taxa
25,342,nannofossils,25,count (per field of view),,taxa
1,318,diatoms,1,count (two 22mm traverses of a smear slide at 630x magnification),,taxa
1,318,dinoflagellates,1,count (two 22mm traverses of a smear slide at 630x magnification),,taxa
2,318,dinoflagellates,2,count (two 22mm traverses of a smear slide at 630x magnification),,taxa
3,318,dinoflagellates,3,count (two 22mm traverses of a smear slide at 630x magnification),,taxa
4,318,dinoflagellates,4,count (two 22mm traverses of a smear slide at 630x magnification),,taxa
5,318,dinoflagellates,5,count (two 22mm traverses of a smear slide at 630x magnification),,taxa
6,318,dinoflagellates,6,count (two 22mm traverses of a smear slide at 630x magnification),,taxa
8,318,dinoflagellates,8,count (two 22mm traverses of a smear slide at 630x magnification),,taxa
11,318,dinoflagellates,11,count (two 22mm traverses of a smear slide at 630x magnification),,taxa
19,318,dinoflagellates,19,count (two 22mm traverses of a smear slide at 630x magnification),,taxa
D,344,nannofossils,D,dominant (>100 specimens per field of view at 1000× magnification),,taxa
D,320,nannofossils,D,dominant (>100 specimens per field of view),,taxa
D,323,nannofossils,D,dominant (>100 specimens per field of view),,taxa
D,375,nannofossils,D,dominant (>100 specimens per field of view),,taxa
D,346,nannofossils,D,dominant (>100 specimens per field of view),,taxa
D,356,benthic_forams,D,dominant (>30% benthic foraminiferal specimens in total assemblage),,taxa
D,349,planktic_forams,D,dominant (>30% of ~400 specimens),,taxa
D,342,benthic_forams,D,dominant (>30% of benthic foraminiferal assemblage),,taxa
D,320,planktic_forams,D,dominant (>30% of foraminiferal assemblage),,taxa
D,321,planktic_forams,D,dominant (>30% of foraminiferal assemblage),,taxa
D,323,planktic_forams,D,dominant (>30% of foraminiferal assemblage),,taxa
D,346,benthic_forams,D,dominant (>30% of foraminiferal assemblage),,taxa
D,346,planktic_forams,D,dominant (>30% of foraminiferal assemblage),,taxa
d,346,planktic_forams,D,dominant (>30% of foraminiferal assemblage),,taxa
D,369,benthic_forams,D,dominant (>30% of sediment particles),,taxa
D,367,planktic_forams,D,dominant (>30% of the assemblage),,taxa
D,368,planktic_forams,D,dominant (>30% of the assemblage),,taxa
D,361,benthic_forams,D,dominant (>30% of the benthic foraminifer assemblage),,taxa
D,361,planktic_forams,D,dominant (>30% of the planktonic foraminiferal assemblage),,taxa
D,353,planktic_forams,D,dominant (>30% of the planktonic foraminiferal assemblage),,taxa
D,355,planktic_forams,D,dominant (>30% of the planktonic foraminiferal assemblage),,taxa
D,341,benthic_forams,D,dominant (>30% of total assemblage),,taxa
D,341,planktic_forams,D,dominant (>30% of total assemblage),,taxa
D,350,benthic_forams,D,dominant (>30% of total assemblage),,taxa
D,350,planktic_forams,D,dominant (>30% of total assemblage),,taxa
D,339,benthic_forams,D,dominant (>30%),,taxa
D,339,planktic_forams,D,dominant (>30%),,taxa
D,340,planktic_forams,D,dominant (>30%),,taxa
D,321,diatoms,D,dominant (>50 valves per counted transect),,taxa
D,349,nannofossils,D,"dominant (>50%, or 100 specimens per field of view)",,taxa
D,367,nannofossils,D,"dominant (>50%, or 100 specimens per field of view)",,taxa
D,368,nannofossils,D,"dominant (>50%, or 100 specimens per field of view)",,taxa
D,371,dinoflagellates,D,dominant (>90% of palynomorphs),,taxa
D,371,palynology,D,dominant (>90% of palynomorphs),,taxa
D,375,planktic_forams,D,dominant (foraminifers compose >50% of the washed sample),,taxa
F,374,ebridians,F,"undefined, ebridians not discussed in methods, suggest few (1%-10% of palynomorphs)",,taxa
X,374,ebridians,X,"undefined, ebridians not discussed in methods, suggest <0.1% of palynomorphs",,taxa
R,374,ebridians,R,"undefined, ebridians not discussed in methods, suggest rare (<1% of palynomorphs)",,taxa
F,342,benthic_forams,F,few (>1% to <10% of benthic assemblage),,taxa
F,342,radiolarians,F,few (>1%–4% of census),,taxa
F,351,radiolarians,F,few (>1%-5% of slide),,taxa
F,320,radiolarians,F,few (>10–100 specimens per slide),,taxa
F,321,radiolarians,F,few (>10–100 specimens per slide),,taxa
F,321,silicoflagellates,F,few (>10–100 specimens per slide),,taxa
F,323,radiolarians,F,few (>10–100 specimens per slide),,taxa
F,321,diatoms,F,few (>1–10 valves per counted transect),,taxa
F,368,diatoms,F,few (>1–10 valves per counted transect),,taxa
F,344,radiolarians,F,few (>1–5 specimens per slide traverse),,taxa
F,362,radiolarians,F,few (>1–5 specimens per slide traverse),,taxa
F,355,radiolarians,F,few (>5% of 10% of the total sample),,taxa
F,320,planktic_forams,F,few (>5% to <10% of foraminifer assemblage),,taxa
F,321,planktic_forams,F,few (>5% to <10% of foraminifer assemblage),,taxa
F,323,planktic_forams,F,few (>5% to <10% of foraminifer assemblage),,taxa
F,369,benthic_forams,F,few (>5% to <10% of sediment particles),,taxa
F,356,benthic_forams,F,few (>5%–10% benthic foraminifer specimens in total assemblage),,taxa
F,374,benthic_forams,F,few (>5%–10% of species on the tray),,taxa
F,374,planktic_forams,F,few (>5%–10% of species on the tray),,taxa
F,367,planktic_forams,F,few (>5%−10% of the assemblage),,taxa
F,368,planktic_forams,F,few (>5%−10% of the assemblage),,taxa
F,363,planktic_forams,F,few (>5%–10% of the planktonic foraminiferal assemblage),,taxa
F,369,planktic_forams,F,few (>5%–10% of the planktonic foraminiferal assemblage),,taxa
F,341,benthic_forams,F,few (>5%–10% of total assemblage),,taxa
f,341,benthic_forams,F,few (>5%–10% of total assemblage),,taxa
F,341,planktic_forams,F,few (>5%–10% of total assemblage),,taxa
F,340,planktic_forams,F,few (>5%-10%),,taxa
F,330,planktic_forams,F,few (>5%–10%),,taxa
F,339,benthic_forams,F,few (>5%–10%),,taxa
F,339,planktic_forams,F,few (>5%–10%),,taxa
F,340,benthic_forams,F,few (>5–10 specimens),,taxa
F,318,silicoflagellates,F,few (≥1 valve every 10 fields of view and <1 valve per field of view),,taxa
F,318,diatoms,F,few (≥1 valve every 10 fields of view and <1 valve per field of view).,,taxa
F,318,dinoflagellates,F,few (≥1 valve every 10 fields of view and <1 valve per field of view).,,taxa
F,318,ebridians,F,few (≥1 valve every 10 fields of view and <1 valve per field of view).,,taxa
F,355,diatoms,F,few (≥1 valve every 10 fields of view and <1 valve per field of view),,taxa
F,361,diatoms,F,few (≥1 valve every 10 fields of view and <1 valve per field of view),,taxa
F,361,radiolarians,F,few (≥1 valve every 10 fields of view and <1 valve per field of view),,taxa
F,353,diatoms,F,few (≥1 valve every 10 fields of view and <1 valve per field of view),,taxa
F,341,diatoms,F,few (≥1 valve every 10 fields of view and <1 valve per field of view),,taxa
F,349,nannofossils,F,"few (0.1%–1%, or 1 specimen per 1–10 fields of view)",,taxa
F,367,nannofossils,F,"few (0.1%–1%, or 1 specimen per 1–10 fields of view)",,taxa
F,368,nannofossils,F,"few (0.1%–1%, or 1 specimen per 1–10 fields of view)",,taxa
F,318,benthic_forams,F,few (0.1%–1.0% of total assemblage),,taxa
F,318,planktic_forams,F,few (0.1%–1.0% of total assemblage),,taxa
F,320,nannofossils,F,few (1 specimen per 1–10 fields of view),,taxa
F,323,nannofossils,F,few (1 specimen per 1–10 fields of view),,taxa
F,330,nannofossils,F,few (1 specimen per 1–10 fields of view),,taxa
F,359,nannofossils,F,few (1 specimen per 1–10 fields of view),,taxa
F,371,nannofossils,F,few (1 specimen per 1–10 fields of view),,taxa
f,371,nannofossils,F,few (1 specimen per 1–10 fields of view),,taxa
F,375,nannofossils,F,few (1 specimen per 1–10 fields of view),,taxa
F,342,nannofossils,F,few (1 specimen per 1–10 fields of view),,taxa
F-C,342,nannofossils,F-C,"undefined, suggest ~1 specimen per field of view",,taxa
Freq,342,nannofossils,Freq,"undefined, suggest >1 specimen per 1-10 fields of view",,taxa
F,361,nannofossils,F,few (1 specimen per 1–10 fields of view),,taxa
F,346,nannofossils,F,few (1 specimen per 1–10 fields of view),,taxa
F,362,nannofossils,F,few (1 specimen per 1–10 fields of view),,taxa
F,339,nannofossils,F,few (1 specimen per 2–10 fields of view),,taxa
f,339,nannofossils,F,few (1 specimen per 2–10 fields of view),,taxa
F,356,nannofossils,F,few (1 specimen per 2–10 fields of view at 1000× magnification),,taxa
F,355,nannofossils,F,few (1 specimen per 2–10 fields of view),,taxa
F,363,nannofossils,F,few (1 specimen per 2–10 fields of view),,taxa
f,363,nannofossils,F,few (1 specimen per 2–10 fields of view),,taxa
F,369,nannofossils,F,few (1 specimen per 2–10 fields of view),,taxa
F,353,nannofossils,F,few (1 specimen per 2-10 fields of view at 1000x magnification),,taxa
F,340,nannofossils,F,few (1 specimen per 11–100 fields of view),,taxa
F,352,nannofossils,F,few (1% or less of slide),,taxa
F,371,dinoflagellates,F,few (1%–10% of palynomorphs),,taxa
F,371,palynology,F,few (1%–10% of palynomorphs),,taxa
F,374,dinoflagellates,F,few (1%–10% of palynomorphs),,taxa
F,374,palynology,F,few (1%–10% of palynomorphs),,taxa
F,346,radiolarians,F,few (1%–4% of the radiolarian assemblage),,taxa
F,353,planktic_forams,F,few (1%-5% of the planktonic foraminiferal assemblage),,taxa
F,371,benthic_forams,F,few (10%–19% species on the tray),,taxa
F,371,planktic_forams,F,few (10%–19% species on the tray),,taxa
F,339,palynology,F,few (100–500/cm3),,taxa
F,342,planktic_forams,F,few (10–19 specimens on the tray),,taxa
F,350,nannofossils,F,few (1-10 specimens per 2-10 fields of view),,taxa
F,354,nannofossils,F,few (1-10 specimens per 2-10 fields of view at 1000× magnification),,taxa
F,362,diatoms,F,few (1–2 valves per field of view),,taxa
f,346,diatoms,F,few (2 valves in two slide transects),,taxa
F,346,diatoms,F,few (2 valves in two slide transects),,taxa
F,351,nannofossils,F,few (2-10 specimens per 2-10 fields of view),,taxa
F,324,benthic_forams,F,few (4–5 specimens),,taxa
F,324,planktic_forams,F,few (4–5 specimens),,taxa
F,346,benthic_forams,F,few (5% to <10% of foraminiferal assemblage),,taxa
F,346,planktic_forams,F,few (5% to <10% of foraminiferal assemblage),,taxa
F,349,planktic_forams,F,few (5%–10% of ~400 specimens),,taxa
F,361,benthic_forams,F,few (5%–10% of the benthic foraminifer assemblage),,taxa
f,361,planktic_forams,F,few (5%–10% of the planktonic foraminifer assemblage),,taxa
F,361,planktic_forams,F,few (5%–10% of the planktonic foraminifer assemblage),,taxa
F,355,planktic_forams,F,few (5%–10% of the planktonic foraminifer assemblage),,taxa
F,349,radiolarians,F,few (5%–10% of the total sample),,taxa
F,350,benthic_forams,F,few (5%-10% of total assemblage),,taxa
F,350,planktic_forams,F,few (5%-10% of total assemblage),,taxa
F,351,benthic_forams,F,few (5%-10% of total biogenic assemblage),,taxa
F,351,planktic_forams,F,few (5%-10% of total biogenic assemblage),,taxa
F,356,planktic_forams,F,few (5%–10% planktonic foraminifer specimens in total assemblage),,taxa
F,362,planktic_forams,F,few (5−10 specimens),,taxa
F,341,radiolarians,F,few (5–10 specimens per 300 counts),,taxa
F,354,planktic_forams,F,few (6%−10% of the assemblage),,taxa
(F),375,planktic_forams,F,few (foraminifers compose 1%–5% of the washed sample),,taxa
F,375,benthic_forams,F,few (foraminifers compose 1%–5% of the washed sample),,taxa
F,375,bolboformids,F,few (foraminifers compose 1%–5% of the washed sample),,taxa
F,375,planktic_forams,F,few (foraminifers compose 1%–5% of the washed sample),,taxa
F,318,palynology,F,few (qualitative),,taxa
F-C,318,diatoms,F-C,"undefined, few to common (~1 valve per field of view)",,taxa
Freq,344,nannofossils,Freq,frequent (1 specimen per 1–10 fields of view at 1000× magnification),,taxa
F,324,nannofossils,Freq,frequent (1 specimen per 1–10 fields of view),,taxa
F,374,radiolarians,Freq,frequent (1 specimen per 2–5 fields of view),,taxa
F,374,diatoms,Freq,frequent (1 valve in every 10 fields of view),,taxa
Indeterminate due to data source,371,planktic_forams,Ind,Indeterminate due to data source,,taxa
Indeterminate due to data source,374,radiolarians,Ind,Indeterminate due to data source,,taxa
Ma,346,diatoms,Ma,massive (>10 valves in two slide transects),,taxa
P,346,radiolarians,P,present (<0.2%),,taxa
P,353,nannofossils,P,present (<1 specimen per 100 fields of view at 1000x magnification),,taxa
P,349,planktic_forams,P,present (<1% of ~400 specimens),,taxa
P,342,benthic_forams,P,present (<1% of benthic assemblage),,taxa
P,356,benthic_forams,P,present (<1% of benthic foraminifer specimens in total assemblage),,taxa
P,320,planktic_forams,P,present (<1% of foraminifer assemblage),,taxa
P,321,planktic_forams,P,present (<1% of foraminifer assemblage),,taxa
P,323,planktic_forams,P,present (<1% of foraminifer assemblage),,taxa
p,369,benthic_forams,P,present (<1% of sediment particles),,taxa
P,369,benthic_forams,P,present (<1% of sediment particles),,taxa
P,374,benthic_forams,P,present (<1% of species on the tray),,taxa
P,374,planktic_forams,P,present (<1% of species on the tray),,taxa
P,359,benthic_forams,P,present (<1% of the assemblage),,taxa
P,359,planktic_forams,P,present (<1% of the assemblage),,taxa
p,367,planktic_forams,P,present (<1% of the assemblage),,taxa
P,367,planktic_forams,P,present (<1% of the assemblage),,taxa
P,368,planktic_forams,P,present (<1% of the assemblage),,taxa
p,368,planktic_forams,P,present (<1% of the assemblage),,taxa
P,361,benthic_forams,P,present (<1% of the benthic foraminifer assemblage),,taxa
P,361,planktic_forams,P,present (<1% of the planktonic foraminiferal assemblage),,taxa
p,361,planktic_forams,P,present (<1% of the planktonic foraminiferal assemblage),,taxa
p,363,planktic_forams,P,present (<1% of the planktonic foraminiferal assemblage),,taxa
P,363,planktic_forams,P,present (<1% of the planktonic foraminiferal assemblage),,taxa
P,369,planktic_forams,P,present (<1% of the planktonic foraminiferal assemblage),,taxa
P,355,planktic_forams,P,present (<1% of the planktonic foraminiferal assemblage),,taxa
P,341,benthic_forams,P,present (<1% of total assemblage),,taxa
P,341,planktic_forams,P,present (<1% of total assemblage),,taxa
p,350,benthic_forams,P,present (<1% of total assemblage),,taxa
P,350,benthic_forams,P,present (<1% of total assemblage),,taxa
p,350,planktic_forams,P,present (<1% of total assemblage),,taxa
P,350,planktic_forams,P,present (<1% of total assemblage),,taxa
P,351,benthic_forams,P,present (<1% of total biogenic assemblage),,taxa
P,351,planktic_forams,P,present (<1% of total biogenic assemblage),,taxa
P,330,planktic_forams,P,present (<1%),,taxa
P,339,benthic_forams,P,present (<1%),,taxa
P,339,planktic_forams,P,present (<1%),,taxa
P,340,planktic_forams,P,present (<1%),,taxa
p,342,planktic_forams,P,present (<2 specimens on the tray),,taxa
P,342,planktic_forams,P,present (<2 specimens on the tray),,taxa
P,371,benthic_forams,P,present (<2% species on the tray),,taxa
P,371,planktic_forams,P,present (<2% species on the tray),,taxa
X,341,diatoms,X,"present (<3 valves per traverse of coverslip, including fragments)",,taxa
X,353,diatoms,X,"present (<3 valves per traverse of coverslip, including fragments)",,taxa
X,374,radiolarians,X,present (≤1 specimen per traverse),,taxa
P,356,nannofossils,P,present (1 specimen per >100 fields of view at 1000× magnification),,taxa
P,363,nannofossils,P,present (1 specimen per >100 fields of view),,taxa
p,363,nannofossils,P,present (1 specimen per >100 fields of view),,taxa
P,369,nannofossils,P,present (1 specimen per >100 fields of view),,taxa
P,340,benthic_forams,P,present (1 specimen),,taxa
P,339,nannofossils,P,present (abundance not quantitatively determined),,taxa
P,362,diatoms,P,"present (at least 1 valve observed, including fragments)",,taxa
X,374,dinoflagellates,P,"present (not defined quantitatively, suggest <10% of palynomorphs)",,taxa
X,374,palynology,P,"present (not defined quantitatively, suggest <10% of palynomorphs)",,taxa
X,374,silicoflagellates,P,"present (not defined quantitatively, suggest <10% of palynomorphs)",,taxa
(X),375,planktic_forams,P,present (present in sample; abundance undetermined),,taxa
(X),375,benthic_forams,P,present (present in sample; abundance undetermined),,taxa
x,375,benthic_forams,P,present (present in sample; abundance undetermined),,taxa
X,375,benthic_forams,P,present (present in sample; abundance undetermined),,taxa
X,375,bolboformids,P,present (present in sample; abundance undetermined),,taxa
X,375,planktic_forams,P,present (present in sample; abundance undetermined),,taxa
P,342,radiolarians,P,present (present but not observed in census),,taxa
R-F,318,diatoms,R-F,"undefined, ~1 valve per 10 fields of view",,taxa
R,318,benthic_forams,R,rare (<0.1% of total assemblage),,taxa
R,318,planktic_forams,R,rare (<0.1% of total assemblage),,taxa
R,349,nannofossils,R,"rare (<0.1%, or <1 specimen per 10 fields of view)",,taxa
R,367,nannofossils,R,"rare (<0.1%, or <1 specimen per 10 fields of view)",,taxa
R,368,nannofossils,R,"rare (<0.1%, or <1 specimen per 10 fields of view)",,taxa
R,344,nannofossils,R,rare (<1 specimen per 10 fields of view at 1000× magnification),,taxa
