Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Lithology max. grain size class,Lithology max. grain size rank [read only],Grading,Sorting,Upper boundary ave. grain size class,Lowerr boundary ave. grain size class,General interval comment,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Primary trace fossils,Secondary trace fossils,Minor trace fossils,Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
362-U1480E-9H-1-A,75,83,62.45,62.53,IIA,,silt [S54],with clay [2014],silt,silt with clay,silt with clay,,GLEY 1 5/10Y (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,9,H,1,A,,,
362-U1480E-9H-1-A,83,91,62.53,62.61,IIA,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 5/10Y (greenish gray),,,,,medium bed [B01],unlithified [Leg194],silt [W22_1],2,,well [2014],,,,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,9,H,1,A,,,
362-U1480E-9H-1-A,91,104,62.61,62.74,IIA,,silt [S54],with clay [2014],silt,silt with clay,silt with clay,,GLEY 1 5/10Y (greenish gray),planar,sharp,planar sharp,horizontal,medium bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,9,H,1,A,,,
362-U1480E-9H-2-A,0,5,63.2,63.25,IIA,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 5/10Y (greenish gray),,,,,medium bed [B01],unlithified [Leg194],silt [W22_1],2,,well [2014],,,,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,9,H,2,A,,,
362-U1480E-9H-2-A,5,7,63.25,63.27,IIA,,silt [S54],with clay [2014],silt,silt with clay,silt with clay,,GLEY 1 5/10Y (greenish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,9,H,2,A,,,
362-U1480E-9H-2-A,7,12,63.27,63.32,IIA,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 5/10Y (greenish gray),,,,,medium bed [B01],unlithified [Leg194],silt [W22_1],2,,well [2014],,,,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,9,H,2,A,,,
362-U1480E-9H-2-A,12,14,63.32,63.34,IIA,,silt [S54],with clay [2014],silt,silt with clay,silt with clay,,GLEY 1 5/10Y (greenish gray),planar,sharp,planar sharp,horizontal,medium bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,9,H,2,A,,,
362-U1480E-9H-2-A,14,21,63.34,63.41,IIA,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 5/10Y (greenish gray),,,,,medium bed [B01],unlithified [Leg194],silt [W22_1],2,,well [2014],,,,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,9,H,2,A,,,
362-U1480E-9H-2-A,21,72,63.41,63.92,IIA,,silt [S54],with clay [2014],silt,silt with clay,silt with clay,,GLEY 1 5/10Y (greenish gray),curviplanar,sharp,curviplanar sharp,horizontal,thick bed [B01],unlithified [Leg194],fine sand [W22_2],4,,moderate [2014],clay [W22_1],fine sand [W22_2],,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,9,H,2,A,,,
362-U1480E-9H-2-A,72,76,63.92,63.96,IIA,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 5/10Y (greenish gray),,,,,medium bed [B01],unlithified [Leg194],silt [W22_1],2,,well [2014],,,,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,9,H,2,A,,,
362-U1480E-9H-2-A,76,93,63.96,64.13,IIA,,silt [S54],with clay [2014],silt,silt with clay,silt with clay,,GLEY 1 5/10Y (greenish gray),curviplanar,sharp,curviplanar sharp,horizontal,medium bed [B01],unlithified [Leg194],fine sand [W22_2],4,,moderate [2014],clay [W22_1],fine sand [W22_2],,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,9,H,2,A,,,
362-U1480E-9H-2-A,93,109,64.13,64.29,IIA,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 5/10Y (greenish gray),,,,,medium bed [B01],unlithified [Leg194],silt [W22_1],2,,well [2014],,,,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,9,H,2,A,,,
362-U1480E-9H-2-A,109,115,64.29,64.35,IIA,,silt [S54],with clay [2014],silt,silt with clay,silt with clay,,GLEY 1 5/10Y (greenish gray),curviplanar,sharp,curviplanar sharp,horizontal,medium bed [B01],unlithified [Leg194],fine sand [W22_2],4,,moderate [2014],clay [W22_1],fine sand [W22_2],,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,9,H,2,A,,,
362-U1480E-9H-2-A,115,139.5,64.35,64.595,IIA,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 5/10Y (greenish gray),,,,,medium bed [B01],unlithified [Leg194],silt [W22_1],2,,well [2014],,,,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,9,H,2,A,,,
362-U1480E-9H-3-A,0,150,64.7,66.2,IIA,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,,GLEY 1 5/10Y (greenish gray),curviplanar,sharp,curviplanar sharp,horizontal,very thick bed [B01],unlithified [Leg194],fine sand [W22_2],4,normal grading,moderate [2014],clay [W22_1],fine sand [W22_2],,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,9,H,3,A,,,
362-U1480E-9H-4-A,0,150,66.2,67.7,IIA,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,,GLEY 1 5/10Y (greenish gray),curviplanar,sharp,curviplanar sharp,horizontal,very thick bed [B01],unlithified [Leg194],fine sand [W22_2],4,normal grading,moderate [2014],clay [W22_1],fine sand [W22_2],,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,9,H,4,A,,,
362-U1480E-9H-5-A,0,140,67.7,69.1,IIA,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,,GLEY 1 5/10Y (greenish gray),curviplanar,sharp,curviplanar sharp,horizontal,very thick bed [B01],unlithified [Leg194],fine sand [W22_2],4,normal grading,moderate [2014],clay [W22_1],fine sand [W22_2],,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,9,H,5,A,,,
362-U1480E-9H-6-A,0,20,69.2,69.4,IIA,,silt [S54],with clay [2014],silt,silt with clay,silt with clay,,GLEY 1 5/10Y (greenish gray),curviplanar,sharp,curviplanar sharp,horizontal,medium bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,9,H,6,A,,,
362-U1480E-9H-6-A,20,110,69.4,70.3,IIA,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,,GLEY 1 5/10Y (greenish gray),curviplanar,sharp,curviplanar sharp,horizontal,thick bed [B01],unlithified [Leg194],fine sand [W22_2],4,,moderate [2014],,,,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,9,H,6,A,,,
362-U1480E-9H-6-A,110,141,70.3,70.61,IIA,,silt [S54],with clay [2014],silt,silt with clay,silt with clay,,GLEY 1 5/10Y (greenish gray),curviplanar,sharp,curviplanar sharp,horizontal,thick bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,9,H,6,A,,,
362-U1480E-9H-6-A,141,150,70.61,70.7,IIA,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,,GLEY 1 5/10Y (greenish gray),curviplanar,sharp,curviplanar sharp,horizontal,thin bed [B01],unlithified [Leg194],fine sand [W22_2],4,,moderate [2014],,,,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,9,H,6,A,,,
362-U1480E-9H-7-A,0,63,70.7,71.33,IIA,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,,GLEY 1 5/10Y (greenish gray),curviplanar,sharp,curviplanar sharp,horizontal,thin bed [B01],unlithified [Leg194],fine sand [W22_2],4,,moderate [2014],,,,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,9,H,7,A,,,
362-U1480E-9H-CC-A,0,14,71.33,71.47,IIA,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,,GLEY 1 5/10Y (greenish gray),curviplanar,sharp,curviplanar sharp,horizontal,thin bed [B01],unlithified [Leg194],fine sand [W22_2],4,,moderate [2014],,,,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,9,H,CC,A,,,
362-U1480E-10H-1-A,0,18,71.2,71.38,IIA,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 5/10Y (greenish gray),curviplanar,sharp,curviplanar sharp,horizontal,medium bed [B01],unlithified [Leg194],silt [W22_1],2,normal grading,moderate [2014],clay [W22_1],fine sand [W22_2],fall in from top,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,10,H,1,A,,,
362-U1480E-10H-1-A,18,88,71.38,72.08,IIA,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,,GLEY 1 5/10Y (greenish gray),curviplanar,sharp,curviplanar sharp,horizontal,thick bed [B01],unlithified [Leg194],fine sand [W22_2],4,non-graded,moderate [2014],clay [W22_1],fine sand [W22_2],,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,10,H,1,A,,,
362-U1480E-10H-1-A,88,93,72.08,72.13,IIA,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 5/10Y (greenish gray),irregular,sharp,irregular sharp,sub-horizontal,thin bed [B01],unlithified [Leg194],fine sand [W22_2],4,non-graded,poor [2014],clay [W22_1],fine sand [W22_2],,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,10,H,1,A,,,
362-U1480E-10H-1-A,93,150,72.13,72.7,IIA,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,,GLEY 1 5/10Y (greenish gray),curviplanar,sharp,curviplanar sharp,horizontal,very thick bed [B01],unlithified [Leg194],fine sand [W22_2],4,non-graded,moderate [2014],clay [W22_1],fine sand [W22_2],rip-up clast at 132 to 134 cm,,absent [DB91],1,,,,rip-up clast [NMJ05],,,,,,,,,,,,362,U1480,E,10,H,1,A,,,
362-U1480E-10H-2-A,0,3,72.7,72.73,IIA,,fine sand [USGS],,fine sand,fine sand,fine sand,,GLEY 1 5/10Y (greenish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],unlithified [Leg194],fine sand [W22_2],4,non-graded,moderate [2014],,,,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,10,H,2,A,,,
362-U1480E-10H-2-A,3,6,72.73,72.76,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 5/10Y (greenish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],unlithified [Leg194],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,10,H,2,A,,,
362-U1480E-10H-2-A,6,10,72.76,72.8,IIA,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 5/10Y (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unlithified [Leg194],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,10,H,2,A,,,
362-U1480E-10H-2-A,10,12,72.8,72.82,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 5/10Y (greenish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],unlithified [Leg194],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,10,H,2,A,,,
362-U1480E-10H-2-A,12,15.5,72.82,72.855,IIA,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 5/10Y (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unlithified [Leg194],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,10,H,2,A,,,
362-U1480E-10H-2-A,15.5,23,72.855,72.93,IIA,,silt [S54],with clay [2014],silt,silt with clay,silt with clay,,GLEY 1 5/10Y (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unlithified [Leg194],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,10,H,2,A,,,
362-U1480E-10H-2-A,23,26.5,72.93,72.965,IIA,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 5/10Y (greenish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],unlithified [Leg194],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,10,H,2,A,,,
362-U1480E-10H-2-A,26.5,39,72.965,73.09,IIA,,silt [S54],with clay [2014],silt,silt with clay,silt with clay,,GLEY 1 5/10Y (greenish gray),planar,sharp,planar sharp,sub-horizontal,thin bed [B01],unlithified [Leg194],silt [W22_1],2,non-graded,moderate [2014],clay [W22_1],silt [W22_1],,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,10,H,2,A,,,
362-U1480E-10H-2-A,39,43,73.09,73.13,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 5/10Y (greenish gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,thin bed [B01],unlithified [Leg194],clay [W22_1],1,non-graded,well [2014],,,,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,10,H,2,A,,,
362-U1480E-10H-2-A,43,93,73.13,73.63,IIA,,silt [S54],with clay [2014],silt,silt with clay,silt with clay,,GLEY 1 5/10Y (greenish gray),irregular,sharp,irregular sharp,sub-horizontal,thick bed [B01],unlithified [Leg194],silt [W22_1],2,non-graded,moderate [2014],,,,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,10,H,2,A,,,
362-U1480E-10H-2-A,93,95,73.63,73.65,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 5/10Y (greenish gray),irregular,sharp,irregular sharp,sub-horizontal,very thin bed [B01],unlithified [Leg194],silt [W22_1],2,non-graded,well [2014],,,,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,10,H,2,A,,,
362-U1480E-10H-2-A,95,105,73.65,73.75,IIA,,fine sand [USGS],,fine sand,fine sand,fine sand,,GLEY 1 5/10Y (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unlithified [Leg194],fine sand [W22_2],4,normal grading,moderate [2014],silt [W22_1],fine sand [W22_2],,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,10,H,2,A,,,
362-U1480E-10H-2-A,105,110,73.75,73.8,IIA,,fine sand [USGS],,fine sand,fine sand,fine sand,,GLEY 1 5/10Y (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unlithified [Leg194],fine sand [W22_2],4,normal grading,moderate [2014],silt [W22_1],fine sand [W22_2],,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,10,H,2,A,,,
362-U1480E-10H-2-A,110,122.5,73.8,73.925,IIA,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 5/10Y (greenish gray),planar,sharp,planar sharp,horizontal,medium bed [B01],unlithified [Leg194],fine sand [W22_2],4,normal grading,moderate [2014],clay [W22_1],fine sand [W22_2],,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,10,H,2,A,,,
362-U1480E-10H-2-A,122.5,131,73.925,74.01,IIA,,silt [S54],with clay [2014],silt,silt with clay,silt with clay,,GLEY 1 5/10Y (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unlithified [Leg194],fine sand [W22_2],4,normal grading,moderate [2014],clay [W22_1],fine sand [W22_2],,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,10,H,2,A,,,
362-U1480E-10H-2-A,131,139.5,74.01,74.095,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 5/10Y (greenish gray),,,,,,unlithified [Leg194],clay [W22_1],1,non-graded,well [2014],,,,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,10,H,2,A,,,
362-U1480E-10H-3-A,0,25,74.2,74.45,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 5/N (gray),planar,sharp,planar sharp,horizontal,medium bed [B01],unlithified [Leg194],clay [W22_1],1,non-graded,well [2014],,,,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,10,H,3,A,,,
362-U1480E-10H-3-A,25,129.5,74.45,75.495,IIA,,clay [S54],with carbonate allochems [F80],clay,clay with carbonate allochems,clay with carbonate allochems,,GLEY 1 6/10Y (greenish gray),planar,sharp,planar sharp,horizontal,very thick bed [B01],unlithified [Leg194],clay [W22_1],1,non-graded,well [2014],,,,,moderate [DB91],4,Phycosiphon,Thalassinoides,,,,,,,,,,,,,,362,U1480,E,10,H,3,A,,,
362-U1480E-10H-3-A,129.5,150,75.495,75.7,IIA,calcareous [Leg339],clay [S54],,calcareous clay,calcareous clay,clay,,GLEY 1 7/5GY (light greenish grey),planar,gradational,planar gradational,,very thick bed [B01],unlithified [Leg194],clay [W22_1],1,non-graded,well [2014],,,,,moderate [DB91],4,Phycosiphon,Thalassinoides,,,,,,,,,,,,,,362,U1480,E,10,H,3,A,,,
362-U1480E-10H-4-A,0,150,75.7,77.2,IIA,calcareous [Leg339],clay [S54],,calcareous clay,calcareous clay,clay,,GLEY 1 7/10Y (light greenish grey),planar,gradational,planar gradational,,very thick bed [B01],unlithified [Leg194],clay [W22_1],1,non-graded,well [2014],,,,,moderate [DB91],4,Phycosiphon,Thalassinoides,,,,,,,,,,,,,,362,U1480,E,10,H,4,A,,,
362-U1480E-10H-5-A,0,25,77.2,77.45,IIA,calcareous [Leg339],clay [S54],,calcareous clay,calcareous clay,clay,,GLEY 1 6/10Y (greenish gray),planar,gradational,planar gradational,,very thick bed [B01],unlithified [Leg194],clay [W22_1],1,non-graded,well [2014],,,,,moderate [DB91],4,Phycosiphon,Thalassinoides,,,,,,,,,,,,,,362,U1480,E,10,H,5,A,,,
362-U1480E-10H-5-A,25,125,77.45,78.45,IIA,,clay [S54],with carbonate allochems [F80],clay,clay with carbonate allochems,clay with carbonate allochems,,GLEY 1 5/10GY (greenish gray),curviplanar,sharp,curviplanar sharp,,thick bed [B01],unlithified [Leg194],clay [W22_1],1,non-graded,well [2014],,,,,moderate [DB91],4,,,,,,,,,,,,,,,,362,U1480,E,10,H,5,A,,,
362-U1480E-10H-5-A,125,141,78.45,78.61,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 4/N (dark gray),,,,,,unlithified [Leg194],clay [W22_1],1,non-graded,well [2014],,,,,slight [DB91],3,,,,,,,,,,,,,,,,362,U1480,E,10,H,5,A,,,
362-U1480E-10H-6-A,0,150,78.7,80.2,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 4/N (dark gray),,,,,,lithified [B84],clay [W22_1],1,non-graded,well [2014],,,,,slight [DB91],3,,,,,,,,,,,,,,,,362,U1480,E,10,H,6,A,,,
362-U1480E-10H-7-A,0,56,80.2,80.76,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 4/N (dark gray),,,,,,lithified [B84],clay [W22_1],1,non-graded,well [2014],,,,,slight [DB91],3,,,,,,,,,,,,,,,,362,U1480,E,10,H,7,A,,,
362-U1480E-10H-CC-A,0,52,80.76,81.28,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 4/N (dark gray),,,,,,lithified [B84],clay [W22_1],1,non-graded,well [2014],,,,,slight [DB91],3,,,,,,,,,,,,,,,,362,U1480,E,10,H,CC,A,,,
362-U1480E-11H-1-A,0,25,80.7,80.95,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 6/N (gray),planar,sharp,planar sharp,horizontal,medium bed [B01],unlithified [Leg194],clay [W22_1],1,non-graded,moderate [2014],,,fall in from top,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,11,H,1,A,,,
362-U1480E-11H-1-A,25,30,80.95,81,IIA,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 5/N (gray),,,,,,unlithified [Leg194],clay [W22_1],1,,,,,,,slight [DB91],3,Phycosiphon,,,,,,,,,,,,,,,362,U1480,E,11,H,1,A,,,
362-U1480E-11H-1-A,30,30.5,81,81.005,IIA,,silt [S54],with clay [2014],silt,silt with clay,silt with clay,,GLEY 1 5/N (gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],unlithified [Leg194],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,11,H,1,A,,,
362-U1480E-11H-1-A,30.5,34.5,81.005,81.045,IIA,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 5/N (gray),,,,,,unlithified [Leg194],clay [W22_1],1,,,,,,,slight [DB91],3,Phycosiphon,,,,,,,,,,,,,,,362,U1480,E,11,H,1,A,,,
362-U1480E-11H-1-A,34.5,35.5,81.045,81.055,IIA,,silt [S54],with clay [2014],silt,silt with clay,silt with clay,,GLEY 1 5/N (gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],unlithified [Leg194],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,11,H,1,A,,,
362-U1480E-11H-1-A,35.5,37,81.055,81.07,IIA,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 5/N (gray),,,,,,unlithified [Leg194],clay [W22_1],1,,,,,,,slight [DB91],3,Phycosiphon,,,,,,,,,,,,,,,362,U1480,E,11,H,1,A,,,
362-U1480E-11H-1-A,37,38,81.07,81.08,IIA,,silt [S54],with clay [2014],silt,silt with clay,silt with clay,,GLEY 1 5/N (gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],unlithified [Leg194],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,11,H,1,A,,,
362-U1480E-11H-1-A,38,39.5,81.08,81.095,IIA,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 5/N (gray),,,,,,unlithified [Leg194],clay [W22_1],1,,,,,,,slight [DB91],3,Phycosiphon,,,,,,,,,,,,,,,362,U1480,E,11,H,1,A,,,
362-U1480E-11H-1-A,39.5,40.5,81.095,81.105,IIA,,silt [S54],with clay [2014],silt,silt with clay,silt with clay,,GLEY 1 5/N (gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],unlithified [Leg194],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,11,H,1,A,,,
362-U1480E-11H-1-A,40.5,43,81.105,81.13,IIA,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 5/N (gray),,,,,,unlithified [Leg194],clay [W22_1],1,,,,,,,slight [DB91],3,Phycosiphon,,,,,,,,,,,,,,,362,U1480,E,11,H,1,A,,,
362-U1480E-11H-1-A,43,43.5,81.13,81.135,IIA,,silt [S54],with clay [2014],silt,silt with clay,silt with clay,,GLEY 1 5/N (gray),planar,sharp,planar sharp,horizontal,thin lamina [B01],unlithified [Leg194],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,11,H,1,A,,,
362-U1480E-11H-1-A,43.5,44,81.135,81.14,IIA,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 5/N (gray),,,,,,unlithified [Leg194],clay [W22_1],1,,,,,,,slight [DB91],3,Phycosiphon,,,,,,,,,,,,,,,362,U1480,E,11,H,1,A,,,
362-U1480E-11H-1-A,44,44.5,81.14,81.145,IIA,,silt [S54],with clay [2014],silt,silt with clay,silt with clay,,GLEY 1 5/N (gray),planar,sharp,planar sharp,horizontal,thin lamina [B01],unlithified [Leg194],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,11,H,1,A,,,
362-U1480E-11H-1-A,44.5,45.5,81.145,81.155,IIA,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 5/N (gray),,,,,,unlithified [Leg194],clay [W22_1],1,,,,,,,slight [DB91],3,Phycosiphon,,,,,,,,,,,,,,,362,U1480,E,11,H,1,A,,,
362-U1480E-11H-1-A,45.5,46,81.155,81.16,IIA,,silt [S54],with clay [2014],silt,silt with clay,silt with clay,,GLEY 1 5/N (gray),planar,sharp,planar sharp,horizontal,thin lamina [B01],unlithified [Leg194],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,11,H,1,A,,,
362-U1480E-11H-1-A,46,46.5,81.16,81.165,IIA,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 5/N (gray),,,,,,unlithified [Leg194],clay [W22_1],1,,,,,,,slight [DB91],3,Phycosiphon,,,,,,,,,,,,,,,362,U1480,E,11,H,1,A,,,
362-U1480E-11H-1-A,46.5,47.6,81.165,81.176,IIA,,silt [S54],with clay [2014],silt,silt with clay,silt with clay,,GLEY 1 5/N (gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],unlithified [Leg194],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,11,H,1,A,,,
362-U1480E-11H-1-A,47.6,48,81.176,81.18,IIA,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 5/N (gray),,,,,,unlithified [Leg194],clay [W22_1],1,,,,,,,slight [DB91],3,Phycosiphon,,,,,,,,,,,,,,,362,U1480,E,11,H,1,A,,,
362-U1480E-11H-1-A,48,49,81.18,81.19,IIA,,silt [S54],with clay [2014],silt,silt with clay,silt with clay,,GLEY 1 5/N (gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],unlithified [Leg194],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,11,H,1,A,,,
362-U1480E-11H-1-A,49,53,81.19,81.23,IIA,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 5/N (gray),,,,,,unlithified [Leg194],clay [W22_1],1,,,,,,,slight [DB91],3,Phycosiphon,,,,,,,,,,,,,,,362,U1480,E,11,H,1,A,,,
