Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
341-U1418F-21R-4-A,0,150,448.8,450.3,,mud [Leg210],,mud ,,,parallel lamination,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,341,U1418,F,21,R,4,A,,,
341-U1418F-21R-5-A,0,39,450.3,450.69,,mud [Leg210],,mud ,,,parallel lamination,N 4 (dark gray),,,present [A79],1,granule [W22_2],rounded,,,,,,,,"plutonic clast, elongate, 1.3 cm, at 39 cm",sharp contact,,,,,341,U1418,F,21,R,5,A,,,
341-U1418F-21R-5-A,39,52,450.69,450.82,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),heavy [DB86],3,,,,,,,,,,,,,sharp contact,,,,,341,U1418,F,21,R,5,A,,,
341-U1418F-21R-5-A,52,140,450.82,451.7,,mud [Leg210],,mud ,,,parallel lamination,N 4 (dark gray),,,present [A79],2,granule [W22_2],rounded,,,,,,,,2 granules (IRD) in one lamina at 54 cm; ,,,,,,341,U1418,F,21,R,5,A,,,
341-U1418F-21R-5-A,140,150,451.7,451.8,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1418,F,21,R,5,A,,,
341-U1418F-21R-6-A,0,45,451.8,452.25,,mud [Leg210],with silt [Leg339],mud  with silt ,,,,N 4 (dark gray),,,,,,,,,,,,,,"basal contact gradational lithologically, sharp color-wise",gradational contact,,,,,341,U1418,F,21,R,6,A,,,
341-U1418F-21R-6-A,45,71,452.25,452.51,,mud [Leg210],with common clasts,mud  with common clasts,,,,5GY 4/1 (dark greenish gray),moderate [DB86],2,,,,,,,,,,,,,,,,,,341,U1418,F,21,R,6,A,,,
341-U1418F-21R-6-A,71,145,452.51,453.25,,mud [Leg210],,mud ,,,parallel lamination,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,F,21,R,6,A,,,
341-U1418F-21R-7-A,0,59,453.25,453.84,,mud [Leg210],,mud ,,,parallel lamination,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,F,21,R,7,A,,,
341-U1418F-21R-CC-A,0,14,453.84,453.98,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,F,21,R,CC,A,,,
341-U1418F-21R-CC-A,14,19,453.98,454.03,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1418,F,21,R,CC,A,,,
341-U1418F-22R-1-A,0,89,454,454.89,,mud [Leg210],,mud ,,,parallel lamination,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,341,U1418,F,22,R,1,A,,,
341-U1418F-22R-1-A,89,130,454.89,455.3,,mud [Leg210],,mud ,,,,N 4 (dark gray),moderate [DB86],2,present [A79],1,,,,,,,,,,,gradational contact,biotubated,,,,341,U1418,F,22,R,1,A,,,
341-U1418F-22R-1-A,130,150,455.3,455.5,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),slight [DB86],1,present [A79],1,,,,,,,,,,greenish gray color bands,,,,,,341,U1418,F,22,R,1,A,,,
341-U1418F-22R-2-A,0,118,455.5,456.68,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),slight [DB86],1,absent [A79],,,,,,,,,,,greenish gray color bands (~1-3cm thick),,,,,,341,U1418,F,22,R,2,A,,,
341-U1418F-22R-2-A,118,140,456.68,456.9,,mud [Leg210],with common clasts,mud  with common clasts,,,,5G 4/1 (dark greenish gray),moderate [DB86],2,present [A79],5,,,,,,,,,,"color gradational to N 4 @ bottom of interval;
increased clast abundance @ top of interval",gradational contact,,,,,341,U1418,F,22,R,2,A,,,
341-U1418F-22R-2-A,140,150,456.9,457,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,341,U1418,F,22,R,2,A,,,
341-U1418F-22R-3-A,0,9,457,457.09,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,biotubated,,,,341,U1418,F,22,R,3,A,,,
341-U1418F-22R-3-A,9,79,457.09,457.79,,mud [Leg210],with common clasts,mud  with common clasts,,,color banding,5G 4/1 (dark greenish gray),moderate [DB86],2,present [A79],,,,,,,,,,,"greenish gray color bands (1-2cm thick);
increased clast abundance @ top of interval",gradational contact,,,,,341,U1418,F,22,R,3,A,,,
341-U1418F-22R-3-A,79,95,457.79,457.95,,mud [Leg210],with common clasts,mud  with common clasts,,,,5G 4/1 (dark greenish gray),moderate [DB86],2,present [A79],1,,,,,,,,,,"increased clast abundance @ top of interval;
color gradational to N 4 @ bottom of interval",gradational contact,biotubated,,,,341,U1418,F,22,R,3,A,,,
341-U1418F-22R-3-A,95,115,457.95,458.15,silty,mud [Leg210],with common clasts,silty mud  with common clasts,,,,5G 4/1 (dark greenish gray),moderate [DB86],2,present [A79],1,,,,,,,,,,"increased clast abundance @ top of interval;
color gradational to N 4 @ bottom of interval;
103cm: pyritized burrows",,,,,,341,U1418,F,22,R,3,A,,,
341-U1418F-22R-3-A,115,122,458.15,458.22,sandy,mud [Leg210],with common clasts,sandy mud  with common clasts,,,,N 4 (dark gray),slight [DB86],1,present [A79],,,,,,,,,,,,,,,,,341,U1418,F,22,R,3,A,,,
341-U1418F-22R-3-A,122,137,458.22,458.37,,mud [Leg210],,mud ,,,,5G 4/1 (dark greenish gray),slight [DB86],1,present [A79],1,,,,,,,,,,,,,,,,341,U1418,F,22,R,3,A,,,
341-U1418F-22R-3-A,137,150,458.37,458.5,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1418,F,22,R,3,A,,,
341-U1418F-22R-4-A,0,90.5,458.5,459.405,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,parallel lamination,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,broken worm burrow tubes with pyrite at 75 to 53 cm; ,sharp contact,,,,,341,U1418,F,22,R,4,A,,,
341-U1418F-22R-4-A,90.5,109,459.405,459.59,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,"""frozen"" sandclasts at 96-105 cm",gradational contact,,,,,341,U1418,F,22,R,4,A,,,
341-U1418F-22R-4-A,109,150,459.59,460,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,parallel lamination,N 4 (dark gray),,,,,,,,,,,,,,coarse sand + granule lamina at 121 cm,,,,,,341,U1418,F,22,R,4,A,,,
341-U1418F-22R-5-A,0,21,460,460.21,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),,,,,,,,,,,,,,"""frozen"" sandclasts at 19 cm",,,,,,341,U1418,F,22,R,5,A,,,
341-U1418F-22R-5-A,21,150,460.21,461.5,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,parallel lamination,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,broken worm burrow tubes with pyrite at 105 to 112 cm; ,,,,,,341,U1418,F,22,R,5,A,,,
341-U1418F-22R-6-A,0,98,461.5,462.48,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,parallel lamination,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,F,22,R,6,A,,,
341-U1418F-22R-CC-A,0,20,462.48,462.68,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,F,22,R,CC,A,,,
341-U1418F-23R-1-A,0,68,463.7,464.38,,mud [Leg210],,mud ,,,parallel lamination,N 4 (dark gray),none [DB86],0,present [A79],4,pebble [W22_2],subangular,pebble [W22_2],subrounded,,,,,,"3 siltstones (1-2.5cm size) @ 0-3cm;
5mm granite clast @ 39cm",,,,,,341,U1418,F,23,R,1,A,,,
341-U1418F-23R-1-A,68,75,464.38,464.45,calcareous bearing,mud [Leg210],,calcareous bearing mud ,,,parallel lamination,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,341,U1418,F,23,R,1,A,,,
341-U1418F-23R-1-A,75,111,464.45,464.81,,mud [Leg210],,mud ,,,parallel lamination,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,341,U1418,F,23,R,1,A,,,
341-U1418F-23R-1-A,111,150,464.81,465.2,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),none [DB86],0,present [A79],2,,,,,,,,,,,,,,,,341,U1418,F,23,R,1,A,,,
341-U1418F-23R-2-A,0,13,465.2,465.33,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,gradational contact,,,,,341,U1418,F,23,R,2,A,,,
341-U1418F-23R-2-A,13,138,465.33,466.58,,mud [Leg210],,mud ,,,parallel lamination,N 4 (dark gray),none [DB86],0,present [A79],1,,,,,,,,,,113cm: pyritized material (burrow?),,,,,,341,U1418,F,23,R,2,A,,,
341-U1418F-23R-2-A,138,150,466.58,466.7,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1418,F,23,R,2,A,,,
341-U1418F-23R-3-A,0,90,466.7,467.6,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,N 4 (dark gray),,,,1,,,cobble [W22_2],rounded,,,,,,"1 clast 8 cm at 80 - 90 cm, lithic sandstone",,,,,,341,U1418,F,23,R,3,A,,,
341-U1418F-23R-3-A,90,112,467.6,467.82,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,,,,,,,,,,,,upward increasing clast abundance,,,,,,341,U1418,F,23,R,3,A,,,
341-U1418F-23R-3-A,112,124,467.82,467.94,,mud [Leg210],,mud ,,,parallel lamination,N 4 (dark gray),,,,,,,,,,,,,,,sharp contact,,,,,341,U1418,F,23,R,3,A,,,
341-U1418F-23R-3-A,124,150,467.94,468.2,,mud [Leg210],with common clasts,mud  with common clasts,,,,,,,,,,,,,,,,,,upward increasing clast abundance,,,,,,341,U1418,F,23,R,3,A,,,
341-U1418F-23R-4-A,0,100,468.2,469.2,,mud [Leg210],with silt [Leg339],mud  with silt ,,,parallel lamination,N 4 (dark gray),,,present [A79],1,pebble [W22_2],rounded,,,,,,,,"pebble 2.5 cm, mafic, at 5 cm",,,,,,341,U1418,F,23,R,4,A,,,
341-U1418F-23R-5-A,0,44,469.2,469.64,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,sharp contact,,,,,341,U1418,F,23,R,5,A,,,
341-U1418F-23R-5-A,44,60,469.64,469.8,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 3 (very dark gray),,,,,,,,,,,,,,upward increasing clast abundance,,,,,,341,U1418,F,23,R,5,A,,,
341-U1418F-23R-CC-A,0,23,469.8,470.03,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,F,23,R,CC,A,,,
341-U1418F-23R-CC-A,23,28,470.03,470.08,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1418,F,23,R,CC,A,,,
341-U1418F-24R-1-A,0,12,473.4,473.52,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),slight [DB86],1,present [A79],,,,,,,,,,,increased abundance of clasts @ top of interval,,,,,,341,U1418,F,24,R,1,A,,,
341-U1418F-24R-1-A,12,32,473.52,473.72,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),moderate [DB86],2,present [A79],3,,,,,,,,,,increased abundance of clasts @ top of interval,gradational contact,,,,,341,U1418,F,24,R,1,A,,,
341-U1418F-24R-1-A,32,140,473.72,474.8,,mud [Leg210],,mud ,,,parallel lamination,N 4 (dark gray),none [DB86],0,present [A79],,,,,,,,,,,"with greenish gray color bands;
sparse granules;
slight bioturbation, 75-82cm",,,,,,341,U1418,F,24,R,1,A,,,
341-U1418F-24R-1-A,140,150,474.8,474.9,,,,,,,,,,,,,,,,,,,,,,SCRE,,,,,,341,U1418,F,24,R,1,A,,,
341-U1418F-24R-2-A,0,75,474.9,475.65,,mud [Leg210],,mud ,,,parallel lamination,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"pyritized burrows @ 22.5, 51.5, 66cm",gradational contact,,,,,341,U1418,F,24,R,2,A,,,
341-U1418F-24R-2-A,75,104,475.65,475.94,,mud [Leg210],with abundant clasts,mud  with abundant clasts,,,,5G 4/1 (dark greenish gray),heavy [DB86],3,present [A79],3,,,,,,,,,,,gradational contact,,,,,341,U1418,F,24,R,2,A,,,
341-U1418F-24R-2-A,104,135,475.94,476.25,,mud [Leg210],with abundant clasts,mud  with abundant clasts,,,,N 4 (dark gray),slight [DB86],1,present [A79],3,,,,,,,,,,,,,,,,341,U1418,F,24,R,2,A,,,
341-U1418F-24R-2-A,135,150,476.25,476.4,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1418,F,24,R,2,A,,,
341-U1418F-24R-3-A,0,35,476.4,476.75,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,sharp contact,,,,,341,U1418,F,24,R,3,A,,,
341-U1418F-24R-3-A,35,50,476.75,476.9,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),,,,,,,,,,,,,,2 laminae of coarse sand and granules at 36 and 41 cm; ,gradational contact,,,,,341,U1418,F,24,R,3,A,,,
341-U1418F-24R-3-A,50,107,476.9,477.47,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,parallel lamination,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,F,24,R,3,A,,,
341-U1418F-24R-3-A,107,150,477.47,477.9,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),,,,,,,,,,,,,,sand lamina at 123 cm,,,,,,341,U1418,F,24,R,3,A,,,
341-U1418F-24R-4-A,0,47,477.9,478.37,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,parallel lamination,N 4 (dark gray),,,,,,,,,,,,,,with 5GY 4/1 colour bands,gradational contact,,,,,341,U1418,F,24,R,4,A,,,
341-U1418F-24R-4-A,47,56,478.37,478.46,,mud [Leg210],with common clasts,mud  with common clasts,,,,5GY 4/1 (dark greenish gray),,,,,,,,,,,,,,colour banded with N 4,gradational contact,,,,,341,U1418,F,24,R,4,A,,,
341-U1418F-24R-4-A,56,118,478.46,479.08,,mud [Leg210],with silt [Leg339],mud  with silt ,,,parallel lamination,5GY 4/1 (dark greenish gray),,,,,,,,,,,,,,laminated with N4 ,,,,,,341,U1418,F,24,R,4,A,,,
341-U1418F-24R-4-A,118,125,479.08,479.15,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,F,24,R,4,A,,,
341-U1418F-24R-CC-A,0,10,479.15,479.25,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,F,24,R,CC,A,,,
341-U1418F-24R-CC-A,0,15,479.15,479.3,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1418,F,24,R,CC,A,,,
341-U1418F-25R-1-A,0,150,483.1,484.6,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,parallel lamination,10Y 4/1 (dark greenish gray),,,present [A79],,,,,,,,,,,"- mud with dispersed clasts
- colour banding between dark greenish gray and ""towards"" dark grey
- lamination down to sub-mm size; varying intensity, e.g. absent between ~36-61 cm in section 1
- some inclined biscuits (e.g. section 2, ~55-75 cm)
- lonestones of max. 2 cm (sedimentary and volcanic rocks)
- intervals with higher sand/gravel contents ranging from sub-mm size (e.g. ~112 cm in section 1) to ~25 cm (e.g. ~36-61 cm in section 2)
- typically very gradational boundaries, but occasionally sharp upper boundaries, e.g. tops of more sandy intervals ~1 cm and 33 cm in section 2.",,,,,,341,U1418,F,25,R,1,A,,,
341-U1418F-25R-2-A,0,150,484.6,486.1,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,parallel lamination,10Y 4/1 (dark greenish gray),,,present [A79],,,,,,,,,,,"- mud with dispersed clasts
- colour banding between dark greenish gray and ""towards"" dark grey
- lamination down to sub-mm size; varying intensity, e.g. absent between ~36-61 cm in section 1
- some inclined biscuits (e.g. section 2, ~55-75 cm)
- lonestones of max. 2 cm (sedimentary and volcanic rocks)
- intervals with higher sand/gravel contents ranging from sub-mm size (e.g. ~112 cm in section 1) to ~25 cm (e.g. ~36-61 cm in section 2)
- typically very gradational boundaries, but occasionally sharp upper boundaries, e.g. tops of more sandy intervals ~1 cm and 33 cm in section 2.",,,,,,341,U1418,F,25,R,2,A,,,
341-U1418F-25R-3-A,0,150,486.1,487.6,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,parallel lamination,10Y 4/1 (dark greenish gray),,,present [A79],,,,,,,,,,,"- mud with dispersed clasts
- colour banding between dark greenish gray and ""towards"" dark grey
- lamination down to sub-mm size; varying intensity, e.g. absent between ~36-61 cm in section 1
- some inclined biscuits (e.g. section 2, ~55-75 cm)
- lonestones of max. 2 cm (sedimentary and volcanic rocks)
- intervals with higher sand/gravel contents ranging from sub-mm size (e.g. ~112 cm in section 1) to ~25 cm (e.g. ~36-61 cm in section 2)
- typically very gradational boundaries, but occasionally sharp upper boundaries, e.g. tops of more sandy intervals ~1 cm and 33 cm in section 2.",,,,,,341,U1418,F,25,R,3,A,,,
341-U1418F-25R-4-A,0,150,487.6,489.1,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,parallel lamination,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,"dispersed clasts: fine to coarse grained lithics; fine laminations (1 mm), nice color changes (dark greenish gray, green, brownish); some diamict layers (1 - 5 cm thick) occur: fine to medium grains and gravel, gradational boundaries",,,,,,341,U1418,F,25,R,4,A,,,
341-U1418F-25R-5-A,0,150,489.1,490.6,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,parallel lamination,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,"dispersed clasts: fine to coarse grained lithics; fine laminations (1-5 mm), nice color changes (dark greenish gray, green, brownish); some diamict layers (1  cm thick) occur: fine to medium grains, gradational boundaries",,,,,,341,U1418,F,25,R,5,A,,,
341-U1418F-25R-6-A,0,146,490.6,492.06,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,parallel lamination,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,"clayey mud with dispersed clasts: fine to coarse grained lithics; fine laminations (1-4 mm), nice color changes (dark greenish gray, green, brownish); few diamict layers (1  cm thick) occur: fine grains, gradational boundaries",,,,,,341,U1418,F,25,R,6,A,,,
341-U1418F-25R-7-A,0,53,492.06,492.59,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,parallel lamination,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,"clayey mud few dispersed clasts: fine to medium grained lithics; fine laminations (3 mm), nice color changes (10Y 4/1 to N4)",,,,,,341,U1418,F,25,R,7,A,,,
341-U1418F-25R-CC-A,0,15,492.59,492.74,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,color banding,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,few fine sized lithic grains; color changes to N4,,,,,,341,U1418,F,25,R,CC,A,,,
341-U1418F-26R-1-A,0,135,492.8,494.15,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,color banding,10Y 4/1 (dark greenish gray),,,present [A79],,,,,,,,,,,"- mud with dispersed clasts
- colour banding between dark greenish grey and dark grey (towards N 4)
- some inclined biscuits
- VERY FEW lonestones (<2 cm): greenstone, weathered basalt(?) - almost no clasts above 121 cm
- RELATIVELY FEW intervals with higher sand/gravel contents ranging from mm (e.g. 74.5 cm, section 2) to >15 cm (below ~120 cm, section 1)
- generally gradational boundaries, but occasionally sharp upper boundaries, e.g. ~25.5 in section 2
- coarser intervals generally associated with more greyish matrix, rather than more greenish
- occasional mud clasts (<5 mm), e.g. 76.5, section 2


",,,,,,341,U1418,F,26,R,1,A,,,
341-U1418F-26R-1-A,135,150,494.15,494.3,,,,,,,,,,,,,,,,,,,,,,Sample IW,,,,,,341,U1418,F,26,R,1,A,,,
341-U1418F-26R-2-A,0,150,494.3,495.8,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,color banding,10Y 4/1 (dark greenish gray),,,present [A79],,,,,,,,,,,"- mud with dispersed clasts
- colour banding between dark greenish grey and dark grey (towards N 4)
- some inclined biscuits
- VERY FEW lonestones (<2 cm): greenstone, weathered basalt(?) - almost no clasts above 121 cm
- RELATIVELY FEW intervals with higher sand/gravel contents ranging from mm (e.g. 74.5 cm, section 2) to >15 cm (below ~120 cm, section 1)
- generally gradational boundaries, but occasionally sharp upper boundaries, e.g. ~25.5 in section 2
- coarser intervals generally associated with more greyish matrix, rather than more greenish
- occasional mud clasts (<5 mm), e.g. 76.5, section 2
",,,,,,341,U1418,F,26,R,2,A,,,
341-U1418F-26R-3-A,0,147,495.8,497.27,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,color banding,10Y 4/1 (dark greenish gray),,,present [A79],,,,,,,,,,,"- mud with dispersed clasts
- colour banding between dark greenish grey and dark grey (towards N 4)
- some inclined biscuits
- VERY FEW lonestones (<2 cm): greenstone, weathered basalt(?) - almost no clasts above 121 cm
- RELATIVELY FEW intervals with higher sand/gravel contents ranging from mm (e.g. 74.5 cm, section 2) to >15 cm (below ~120 cm, section 1)
- generally gradational boundaries, but occasionally sharp upper boundaries, e.g. ~25.5 in section 2
- coarser intervals generally associated with more greyish matrix, rather than more greenish
- occasional mud clasts (<5 mm), e.g. 76.5, section 2


",,,,,,341,U1418,F,26,R,3,A,,,
341-U1418F-26R-CC-A,0,6,497.27,497.33,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,10Y 4/1 (dark greenish gray),,,present [A79],,,,,,,,,,,- one biscuit,,,,,,341,U1418,F,26,R,CC,A,,,
341-U1418F-26R-CC-A,6,11,497.33,497.38,,,,,,,,,,,,,,,,,,,,,,Sample PAL,,,,,,341,U1418,F,26,R,CC,A,,,
341-U1418F-27R-1-A,0,135,502.5,503.85,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,parallel lamination,10Y 4/1 (dark greenish gray),,,present [A79],,,,,,,,,,,"- mud with dispersed clasts
- colour banding between dark greenish grey (10Y 4/1) and dark grey (N 4)
- lamination down to sub-mm (varying intensity)
- very few lonestones
- intervals with higher sand/gravel contents ranging from sub-mm (e.g. ~68 cm, section 1) to ~3 cm (0-3 cm, section 2)
- generally gradational boundaries, but occasionally sharp upper (& very occasionally sharp lower) boundaries (e.g. 74-75 cm, section 2)
- coarser intervals more often associated with more greyish matrix rather than with more greenish
- two sub-rounded clasts of ~8 cm: 1) section 1, ~1-7 cm: fine sandstone; 2) section 2, ~51-58 cm: medium sandstone",,,,,,341,U1418,F,27,R,1,A,,,
341-U1418F-27R-1-A,135,150,503.85,504,,,,,,,,,,,,,,,,,,,,,,Sample SAFF,,,,,,341,U1418,F,27,R,1,A,,,
341-U1418F-27R-2-A,0,135,504,505.35,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,parallel lamination,10Y 4/1 (dark greenish gray),,,present [A79],,,,,,,,,,,"- mud with dispersed clasts
- colour banding between dark greenish grey (10Y 4/1) and dark grey (N 4)
- lamination down to sub-mm (varying intensity)
- very few lonestones
- intervals with higher sand/gravel contents ranging from sub-mm (e.g. ~68 cm, section 1) to ~3 cm (0-3 cm, section 2)
- generally gradational boundaries, but occasionally sharp upper (& very occasionally sharp lower) boundaries (e.g. 74-75 cm, section 2)
- coarser intervals more often associated with more greyish matrix rather than with more greenish
- two sub-rounded clasts of ~8 cm: 1) section 1, ~1-7 cm: fine sandstone; 2) section 2, ~51-58 cm: medium sandstone",,,,,,341,U1418,F,27,R,2,A,,,
341-U1418F-27R-2-A,135,150,505.35,505.5,,,,,,,,,,,,,,,,,,,,,,Sample IW,,,,,,341,U1418,F,27,R,2,A,,,
341-U1418F-27R-3-A,0,135,505.5,506.85,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,parallel lamination,10Y 4/1 (dark greenish gray),,,present [A79],,,,,,,,,,,"- mud with dispersed clasts
- colour banding between dark greenish grey (10Y 4/1) and dark grey (N 4)
- lamination down to sub-mm (varying intensity)
- very few lonestones
- intervals with higher sand/gravel contents ranging from sub-mm (e.g. ~68 cm, section 1) to ~3 cm (0-3 cm, section 2)
- generally gradational boundaries, but occasionally sharp upper (& very occasionally sharp lower) boundaries (e.g. 74-75 cm, section 2)
- coarser intervals more often associated with more greyish matrix rather than with more greenish
- two sub-rounded clasts of ~8 cm: 1) section 1, ~1-7 cm: fine sandstone; 2) section 2, ~51-58 cm: medium sandstone",,,,,,341,U1418,F,27,R,3,A,,,
341-U1418F-27R-3-A,135,150,506.85,507,,,,,,,,,,,,,,,,,,,,,,Sample OJIM,,,,,,341,U1418,F,27,R,3,A,,,
341-U1418F-27R-4-A,0,140,507,508.4,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,parallel lamination,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,"laminated mud with dispersed clasts (fine to coarse grained lithics, black metasediment, granitoid gravels); 1-5 mm laminae vary in color (10Y 4/1 to 5GY 3/1 to 5Y 3/2; few diamict layers (0.5-2 cm thick)with gradational boundaries occur",,,,,,341,U1418,F,27,R,4,A,,,
341-U1418F-27R-4-A,140,150,508.4,508.5,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,color banding,5Y 3/1 (very dark gray),moderate [DB86],2,,,,,,,,,,,,,,,,,,341,U1418,F,27,R,4,A,,,
341-U1418F-27R-5-A,0,102,508.5,509.52,,mud [Leg210],with biosilica [Leg339],mud  with biosilica ,,,,5Y 3/1 (very dark gray),moderate [DB86],2,,,,,,,,,,,,"mud with biosilica and clasts: fine to coarse grained lithics, few gravel up to 0.8 cm (mainly black metasediments); bioturbation is very high and probably destroyed lamination; pyritised clasts @ 73 and 77.5 cm",,,,,,341,U1418,F,27,R,5,A,,,
341-U1418F-27R-5-A,102,130,509.52,509.8,,mud [Leg210],with biosilica [Leg339],mud  with biosilica ,,,,10Y 3/1 (very dark greenish gray),moderate [DB86],2,,,,,,,,,,,,"mud with biosilica and clasts: fine to coarse grained lithics, few gravel up to 0.8 cm (mainly black metasediments); bioturbation is very high and probably destroyed lamination; pyritised clasts @ 73 and 77.5 cm",,,,,,341,U1418,F,27,R,5,A,,,
