Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithification,Lithology Prefix,Lithology Principal Name,Texture Rank,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],"FACIES (neritic, hemipelagic, pelagic)",MAJ lith color (simple),Fossil,Sedimentary structure,Diagenetic structure,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
356-U1463D-9H-CC-A,0,23,77.62,77.85,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray packstone with sand to coarse sand size grains. Grains consist of macrofossils and carbonate cements. Macros are bivalves common up to 3 mm",,,,356,U1463,D,9,H,CC,A,,,
356-U1463D-10H-1-A,0,38,77.4,77.78,partially lithified,,packstone [E&K72; D62],3,,packstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray packstone with sand to coarse sand to pebble size grains. The grains include bioclasts (large bivalve fragments up to 3 cm long)and carbonate cements grains. Abundant black/green grains are present of fine to sand size.",,,,356,U1463,D,10,H,1,A,,,
356-U1463D-10H-1-A,38,45,77.78,77.85,,,,,,,,,,,,,,,,,void,,,,356,U1463,D,10,H,1,A,,,
356-U1463D-10H-1-A,45,70,77.85,78.1,partially lithified,,packstone [E&K72; D62],3,with foraminifers [2014],packstone with foraminifers,hemipelagic,creamy gray,foraminifera (large benthic),,,,,,gradational,sub-horizontal,"Unlithified, creamy gray packstone with sand to coarse sand to pebble size grains. The grains include bioclasts (large bivalve fragments up to 3 cm long)and carbonate cements grains. Abundant black/green grains are present of fine to sand size grain. Abundant large benthic forams, decreasing in numbers up section.",,,,356,U1463,D,10,H,1,A,,,
356-U1463D-10H-1-A,70,94,78.1,78.34,lithified [B84],skeletal,grainstone [E&K72; D62],4,with foraminifers [2014],skeletal grainstone with foraminifers,hemipelagic,cream,foraminifera (large benthic),,,,,,gradational,sub-horizontal,Partially lithified with a litified interval between 74-86 cm grainstone. It contains abundant large benthic forams bivalve fragments but mainly forams,,,,356,U1463,D,10,H,1,A,,,
356-U1463D-10H-1-A,94,150,78.34,78.9,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray packstone with sand to coarse sand to pebble size grains. The grains include bioclasts (large bivalve fragments up to 3 cm long)and carbonate cements grains. Abundant black/green grains are present of fine to sand size.",,,,356,U1463,D,10,H,1,A,,,
356-U1463D-10H-2-A,0,150,78.9,80.4,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,creamy gray,foraminifera (large benthic),,,,,,,,"Unlithified with partially lithified intervals, creamy gray packstone with sand to coarse sand to pebble size grains. The grains include bioclasts (large bivalve fragments up to 3 cm long)and carbonate cements grains. Abundant black/green grains are present of fine to sand size. Grain size decreases down Section",,,,356,U1463,D,10,H,2,A,,,
356-U1463D-10H-3-A,0,150,80.4,81.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous wackestone with fine sand size grains and scattered sparse shell fragments. A celestite crystal present at 122 cm",,,,356,U1463,D,10,H,3,A,,,
356-U1463D-10H-4-A,0,150,81.9,83.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray mudstone with scattered fine sand size grains and lenses. A concretion 1 cm long at 30 cm (same material)",,,,356,U1463,D,10,H,4,A,,,
356-U1463D-10H-5-A,0,90,83.4,84.3,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous wackestone with fine to sand size grains. Common black/green fine sand size grains",,,,356,U1463,D,10,H,5,A,,,
356-U1463D-10H-5-A,90,150,84.3,84.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous wackestone with sand size grains. Common black/green fine sand size grains",,,,356,U1463,D,10,H,5,A,,,
356-U1463D-10H-6-A,0,75,84.9,85.65,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous packstone with sand size grains and very sparse sand size macrofossils",,,,356,U1463,D,10,H,6,A,,,
356-U1463D-10H-CC-A,0,18,85.65,85.83,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,neritic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous packstone with sand size grains and very sparse sand size macrofossils",,,,356,U1463,D,10,H,CC,A,,,
356-U1463D-11H-1-A,0,150,86.9,88.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous mudstone with very sparse coarse sand size macrofossils from 120 cm down section. Grain size increases downsection as well",,,,356,U1463,D,11,H,1,A,,,
356-U1463D-11H-2-A,0,150,88.4,89.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray, homogeneous mudstone with fine sand size grains",,,,356,U1463,D,11,H,2,A,,,
356-U1463D-11H-3-A,0,83,89.9,90.73,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray wackestone with fine to sand size grains. Scattered bioclasts up to 1 cm long",,,,356,U1463,D,11,H,3,A,,,
356-U1463D-11H-3-A,83,96,90.73,90.86,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous mudstone",,,,356,U1463,D,11,H,3,A,,,
356-U1463D-11H-3-A,96,99,90.86,90.89,,,,,,,,,,,,,,,,,void,,,,356,U1463,D,11,H,3,A,,,
356-U1463D-11H-3-A,99,150,90.89,91.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous mudstone",,,,356,U1463,D,11,H,3,A,,,
356-U1463D-11H-4-A,0,150,91.4,92.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,green,,,,,,,,,"Unlithified, greenish gray homogenous mudstone with sub-horizonatl fractures spaced every 5 to 20 cm",,,,356,U1463,D,11,H,4,A,,,
356-U1463D-11H-5-A,0,150,92.9,94.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray mudstone. Sub-horizontal fractures spaced very 5-20 cm occur in the upper 63 cm. Below the mudstone contains fine sand to sand size grains and scattered sand size bioclasts",,,,356,U1463,D,11,H,5,A,,,
356-U1463D-11H-6-A,0,89,94.4,95.29,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,Unlithified wackestone with fine sand size grains and scattered sand size bioclasts and lithic grains including glauconite granule,,,,356,U1463,D,11,H,6,A,,,
356-U1463D-11H-6-A,89,150,95.29,95.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,,,,moderate [B06],3,,,Unlithified creamy gray homogenous mudstone. Granules of glauconite and sparse sand size bioclasts. Moderate bioturbation,,,,356,U1463,D,11,H,6,A,,,
356-U1463D-11H-7-A,0,75,95.9,96.65,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,cream,,,,,moderate [B06],3,,,"Unlithified, cream homogeneous mudstone with moderate bioturbation. Burrows are green",,,,356,U1463,D,11,H,7,A,,,
356-U1463D-11H-CC-A,0,32,96.65,96.97,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,cream,,,,,moderate [B06],3,,,"Unlithified, cream homogeneous mudstone with moderate bioturbation. Burrows green",,,,356,U1463,D,11,H,CC,A,,,
356-U1463D-12H-1-A,0,49,96.4,96.89,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,cream,,,,,,,,,"Unlithified, cream mudstone. It is soupy due to core deformation",,,,356,U1463,D,12,H,1,A,,,
356-U1463D-12H-1-A,49,150,96.89,97.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,cream,,,,,slight [B06],2,,,"Unlithified, cream homogeneous mudstone. It contains granule size carbonate grains and sparse bioclasts. Sparse burrowing noted by its green color.",,,,356,U1463,D,12,H,1,A,,,
356-U1463D-12H-2-A,0,97,97.9,98.87,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,creamy gray,,,,,slight [B06],2,gradational,sub-horizontal,"Unlithified, creamy gray packstone with sand, coarse sand and granule size grains both bioclasts and lithic grains. The lithic grains are composed of carbonate cement. Bioclasts are composed of bivalve fragments, tube, echinoderm. Few burrows (2 cm long) are recognized by their green color",,,,356,U1463,D,12,H,2,A,,,
356-U1463D-12H-2-A,97,150,98.87,99.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"Unlithified, greenish gray wackestone with sand size grains with sand size sparse shell fragments (bivalve, tube, echinoderm)",,,,356,U1463,D,12,H,2,A,,,
356-U1463D-12H-3-A,0,24,99.4,99.64,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray wackestone with sand size grains and macrofossils including tubes and bivalves and urchin spine",,,,356,U1463,D,12,H,3,A,,,
356-U1463D-12H-3-A,24,150,99.64,100.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray mudstone",,,,356,U1463,D,12,H,3,A,,,
356-U1463D-12H-4-A,0,150,100.9,102.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogenous mudstone with sparse sand size bioclasts",,,,356,U1463,D,12,H,4,A,,,
356-U1463D-12H-5-A,0,130,102.4,103.7,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous mudstone with no visible macrofossils",,,,356,U1463,D,12,H,5,A,,,
356-U1463D-12H-6-A,0,60,103.7,104.3,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous mudstone with no visible macrofossils",,,,356,U1463,D,12,H,6,A,,,
356-U1463D-12H-CC-A,0,20,104.3,104.5,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray, homogeneous mudstone",,,,356,U1463,D,12,H,CC,A,,,
356-U1463D-13H-1-A,0,150,103.9,105.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogeneous mudstone with abundant fine sand size grains. Abundant black/green vf sand size grains",,,,356,U1463,D,13,H,1,A,,,
356-U1463D-13H-2-A,0,150,105.4,106.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray, homogeneous wackestone with sand size grains and occasional shell fragments (tube, bivalve)",,,,356,U1463,D,13,H,2,A,,,
356-U1463D-13H-3-A,0,52,106.9,107.42,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,creamy gray,,,,,,,,,"Unlithfied, creamy gray wackestone with sand size grains and a large 5 cm long bivalve fragment. Sand size shell fragments",,,,356,U1463,D,13,H,3,A,,,
356-U1463D-13H-3-A,52,150,107.42,108.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous mudstone. Sparse black/green grains. Few macrofossil fragments (a tube)",,,,356,U1463,D,13,H,3,A,,,
356-U1463D-13H-4-A,0,150,108.4,109.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous mudstone. No visible macrofossils and very sparse black/green grains. Sub-horizontal fractures every 5-20 cm",,,,356,U1463,D,13,H,4,A,,,
356-U1463D-13H-5-A,0,150,109.9,111.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray, homogeneous mudstone. Macrofossils sand size: benthic forams and bivalve in the bottom half of the Section",,,,356,U1463,D,13,H,5,A,,,
356-U1463D-13H-6-A,0,30,111.4,111.7,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,gradational,sub-horizontal,Between 30-60 cm gradational contact between cream packstone and mudstone above,,,,356,U1463,D,13,H,6,A,,,
356-U1463D-13H-6-A,30,130,111.7,112.7,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,creamy gray,,,,,,,,,"Unlithfied, creamy gray packstone with sand size grains. Few macrofossils primarily tubes and bivalves. The contact between the creamy gray packstone and greenish gray mudstone is gradational.",,,,356,U1463,D,13,H,6,A,,,
356-U1463D-13H-7-A,0,30,112.7,113,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray packstone with sand and coarse sand size grains. Abundant black/green grains. The grains are composed of carbonate grains and bioclasts: tubes, benthic forams, bivalves Bivalve fragments are very abundant up to 2 cm",,,,356,U1463,D,13,H,7,A,,,
356-U1463D-13H-7-A,30,61,113,113.31,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray packstone with sand size grains and abundant black/green grains. Few macrofossils",,,,356,U1463,D,13,H,7,A,,,
356-U1463D-13H-CC-A,0,20,113.31,113.51,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,"Unliathified, greenish gray wackestone with sand size fragments and very few sand size macrofossils",,,,356,U1463,D,13,H,CC,A,,,
356-U1463D-14H-1-A,0,90,113.4,114.3,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,grading (normal),,,,,,,Normal grading of the mudstone likely due to coring disturbance,,,,356,U1463,D,14,H,1,A,,,
356-U1463D-14H-1-A,90,145,114.3,114.85,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray packstone with sand size grains. Grains include lithic (carbonate) and bioclasts:occasional bivalve fragments and tubes. Fine sand size black/green grains (less near the bottome)",,,,356,U1463,D,14,H,1,A,,,
356-U1463D-14H-1-A,145,150,114.85,114.9,,,,,,,,,,,,,,,,,void,,,,356,U1463,D,14,H,1,A,,,
356-U1463D-14H-2-A,0,150,114.9,116.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"Unlithified, greenish gray, homogeneous mudstone with fine sand size grains. A 3 cm bivalve at 5 cm. Occasional bivalve fragment tube. and slight bioturbation",,,,356,U1463,D,14,H,2,A,,,
356-U1463D-14H-3-A,0,150,116.4,117.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous mudstone A 2 mm nodule of celestite. Sub-horizontal fracturing every 5 cm",,,,356,U1463,D,14,H,3,A,,,
356-U1463D-14H-4-A,0,150,117.9,119.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray mudstone with sub-horizontal fractures. Sparse bioclasts fragments tubes, bivalves (sand size)",,,,356,U1463,D,14,H,4,A,,,
356-U1463D-14H-5-A,0,150,119.4,120.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray mudstone. Sand size fragments of tubes, bivalves and a benthic foram",,,,356,U1463,D,14,H,5,A,,,
356-U1463D-14H-6-A,0,150,120.9,122.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray mudstone. Very sparse sand size shell fragments including a mineralized foram",,,,356,U1463,D,14,H,6,A,,,
356-U1463D-14H-7-A,0,64,122.4,123.04,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithfied greenish gray mudstone with very sparse sand size fragments including a crustacean, bivalves and foram",,,,356,U1463,D,14,H,7,A,,,
356-U1463D-14H-CC-A,0,13,123.04,123.17,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,Unlithfied greenish gray mudstone with very sparse sand size shell fragments,,,,356,U1463,D,14,H,CC,A,,,
356-U1463D-15H-1-A,0,85,122.9,123.75,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,sharp,sub-horizontal,"Unlithified, greenish gray mudstone with fine to coarse sand size grains. Sparse benthic forams and shell fragments sand size. A crustacean.",,,,356,U1463,D,15,H,1,A,,,
356-U1463D-15H-1-A,85,150,123.75,124.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,light greenish gray,,,,,,,,,"Unlithified, light greenish gray mudstone. Few small benthic forams near the base",,,,356,U1463,D,15,H,1,A,,,
356-U1463D-15H-2-A,0,76,124.4,125.16,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,sharp,inclined,"Unlithified, greenish gray mudstone with sand size grains and floating subrounded mud clasts several cm's long. The mud of the clasts is the same as the sediment beneath 76 cm. Concentration of small benthic forams in the top 20 cm. Burrows in the upper 10 cm Below occasional bivalve fragment 0.5 cm long, tube and no forams. This could be a debris flow",,,,356,U1463,D,15,H,2,A,,,
356-U1463D-15H-2-A,76,150,125.16,125.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,light greenish gray,,,,,,,,,"Unlithified, light greenish gray homogeneous mudstone. Sparse sand size shell fragments",,,,356,U1463,D,15,H,2,A,,,
356-U1463D-15H-3-A,0,150,125.9,127.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray mudstone.",,,,356,U1463,D,15,H,3,A,,,
356-U1463D-15H-4-A,0,150,127.4,128.9,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous mudstone",,,,356,U1463,D,15,H,4,A,,,
356-U1463D-15H-5-A,0,150,128.9,130.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray mudstone. Very fine sand size grains between 30-75 cm. An occasional tube and shell fragment",,,,356,U1463,D,15,H,5,A,,,
356-U1463D-15H-6-A,0,152,130.4,131.92,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,planar lamination,,,,,,,"Unlithified, greenish gray wackestone with sand size grains forming lenses and laminae",,,,356,U1463,D,15,H,6,A,,,
356-U1463D-15H-CC-A,0,29,131.92,132.21,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray wackestone with fine sand size grains",,,,356,U1463,D,15,H,CC,A,,,
356-U1463D-16H-1-A,0,150,132.4,133.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous mudstone. Occasional sand size shell fragment",,,,356,U1463,D,16,H,1,A,,,
356-U1463D-16H-2-A,0,150,133.9,135.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous mudstone. Occasional sand size bivalve fragment",,,,356,U1463,D,16,H,2,A,,,
356-U1463D-16H-3-A,0,150,135.4,136.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous mudstone with fine sand size grains. Sparse scattered sand size shell fragments",,,,356,U1463,D,16,H,3,A,,,
356-U1463D-16H-4-A,0,71,136.9,137.61,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,sharp,sub-horizontal,"Unlithified, greenish gray mudstone with sand size grains. Bivalve fragments, benthic forams tubes.",,,,356,U1463,D,16,H,4,A,,,
356-U1463D-16H-4-A,71,150,137.61,138.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous mudstone. Sparse bivalve fragment, tube, benthic foram",,,,356,U1463,D,16,H,4,A,,,
356-U1463D-16H-5-A,0,150,138.4,139.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous mudstone. A 3 m long nodule (likely celestite). One shell fragment one tube",,,,356,U1463,D,16,H,5,A,,,
356-U1463D-16H-6-A,0,100,139.9,140.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray wackestone with fine sand size grains. Occasional tube and bivalve fragment",,,,356,U1463,D,16,H,6,A,,,
356-U1463D-16H-7-A,0,62,140.9,141.52,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray mudstone with common sand size shell fragments near the base of the Section. Many tubes at least 12",,,,356,U1463,D,16,H,7,A,,,
356-U1463D-16H-CC-A,0,10,141.52,141.62,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray mudstone. Macros are tubes",,,,356,U1463,D,16,H,CC,A,,,
356-U1463D-17H-1-A,0,150,141.9,143.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous mudstone. Occasional benthic forams and sand size shell fragments",,,,356,U1463,D,17,H,1,A,,,
356-U1463D-17H-2-A,0,150,143.4,144.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray mudstone with occasional shell fragments and benthic forams",,,,356,U1463,D,17,H,2,A,,,
356-U1463D-17H-3-A,0,150,144.9,146.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,Unlithfied greenish gray mudstone with very sparse sand size shell fragments,,,,356,U1463,D,17,H,3,A,,,
356-U1463D-17H-4-A,0,150,146.4,147.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithfied greenish gray mudstone with very sparse sand size shell fragments, benthic forams. Celestite nodule",,,,356,U1463,D,17,H,4,A,,,
356-U1463D-17H-5-A,0,150,147.9,149.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,Unlithfied greenish gray wackestone with sand size grains and very sparse sand size shell fragments. Tubes common and sparse benthic forams,,,,356,U1463,D,17,H,5,A,,,
356-U1463D-17H-6-A,0,150,149.4,150.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,Unlithfied greenish gray wackestone with sand size grains and very sparse sand size shell fragments. Tubes common,,,,356,U1463,D,17,H,6,A,,,
356-U1463D-17H-7-A,0,61,150.9,151.51,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray wackestone with sand size fragmetnts and sparse shell fragments. Tubes and benthic forams in a burrow",,,,356,U1463,D,17,H,7,A,,,
356-U1463D-17H-CC-A,0,22,151.51,151.73,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,Unlithfied greenish gray wackestone with sand size grains and very sparse sand size shell fragments,,,,356,U1463,D,17,H,CC,A,,,
356-U1463D-18H-1-A,0,150,151.4,152.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray wackestone with fine sand size grains. Sarse shell fragments (sand size), occasional tubes and benthic forams",,,,356,U1463,D,18,H,1,A,,,
356-U1463D-18H-2-A,0,150,152.9,154.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous mudstone. Sparse sand size shell fragments and tubes",,,,356,U1463,D,18,H,2,A,,,
356-U1463D-18H-3-A,0,150,154.4,155.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,,,,,Unlithified olive gray homogeneous mudstone. Sparse tubes and benthic forams. Few burrows infilled with the shells,,,,356,U1463,D,18,H,3,A,,,
356-U1463D-18H-4-A,0,150,155.9,157.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"Unlithified, greenish gray homogenous mudstone. Few benthic forams in burrows. Occasional tubes. Slight bioturbation",,,,356,U1463,D,18,H,4,A,,,
356-U1463D-18H-5-A,0,150,157.4,158.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,moderate [B06],3,,,"Unlihtified, greenish gray homogenous mudstone. Spare sand size shell fragments, tubes and benthic forams in the burrow. Slight bioturbation, burrows are more abundant so are forams",,,,356,U1463,D,18,H,5,A,,,
356-U1463D-18H-6-A,0,150,158.9,160.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogenous mudstone. Slight bioturbation. Sparse sand size shell fragments and forams",,,,356,U1463,D,18,H,6,A,,,
356-U1463D-18H-7-A,0,64,160.4,161.04,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogenous mudstone. Sparse sand size shell fragments",,,,356,U1463,D,18,H,7,A,,,
356-U1463D-18H-CC-A,0,15,161.04,161.19,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,Unlithified greenish gray homogeneous mudtone. Occasional benthic foram,,,,356,U1463,D,18,H,CC,A,,,
356-U1463D-19H-1-A,0,150,160.9,162.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,light olive gray,,,,,slight [B06],2,,,Unlithified light olive gray homogeneous mudtone. Occasional benthic foram,,,,356,U1463,D,19,H,1,A,,,
356-U1463D-19H-2-A,0,11,162.4,162.51,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,light olive gray,,,,,slight [B06],2,bioturbated,sub-horizontal,Unlithified light olive gray homogeneous mudtone. Occasional benthic foram. bottom contact is bioturbated.,,,,356,U1463,D,19,H,2,A,,,
