Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,Preservation,Group abundance,Bolivina sp.,Alabamina dissonata,Alabamina cf. dissonata,Alabamina sp.,Anomalina praeacuta,Anomalina sp.,Anomalinoides semicribratus,Anomalinoides sp.,Arenobulimina ?,Astacolus parallelus,Astacolus sp.,Bathysiphon sp.,Bulbobaculites ?,Bulimina sp.,Bulimina thanetensis,Buliminella sp.,Cancris ?,Cassidulina subglobosa,Chrysalogonium sp.,Cibicidoides subspiratus,Cibicidoides aff. laurisae,Cibicidoides eocaenus,Cibicidoides cf. eocaenus,Cibicidoides cf. havanensis,Cibicidoides grimsdalei,Cibicidoides havanensis ,Cibicidoides kullenbergi,Cibicidoides praemundulus,Gaudryina pyramidata,Cibicidoides sp.,Gavelinella sp.,Gavelinella hyphalus,Dentalina sp.,Dorothia trochoides,Eggerella bradyi,Eggerella sp.,Ellipsodimorphina macrocephala,Ellipsodimorphina spp.,Ellipsoidella  sp.,Epistominella sp.,Epistominella umbonifera ?,Eponides regularis,Eponides sp.,Fissurina sp.,Globobulimina sp.,Globobulimina pacifica,Globocassidulina globosa,Glomospira sp. ,Guttulina sp.,Gyroidina sp. ,Gyroidinoides globosus,Gyroidinoides spp.,Hoeglundina ?,Kalamopsis (?) ,Karreriella sp. ,Laevidentalina sp.,Lagena sp.,Laticarinina pauperata,Lenticulina cf. adenalensis,Lenticulina sp.,Melonis pompilioides,Melonis sp.,Neoeponides procerus,Neoeponides sp.,Neoflabellina sp.,Nuttallides truempyi,Nodosaria aspera,Nodosaria sp.,Nonion spp.,Oridorsalis sp. ,Oridorsalis umbonatus,Plectofrondicularia cf. kerni,Plectofrondicularia lirata,Pleurostomella acuta,Paralabamina hillebrandti,Pleurostomella tenuis,Pleurostomella sp. ,Polymorphina sp.,Pullenia bulloides,Pleurostomella paleocenica,Pullenia cf. jarvisis,Pullenia quinqueloba,Pyramidulina sp.,Pyrgo sp.,Pyrulina sp.,Quinqueloculina sp.,Saracenaria sp.,Spiroplectammina spectabilis,Spiroloculina depressa,Spiroplectammina sp.,Stilostomella gracillima,Stilostomella lepidula,Stilostomella paleocenica,Stilostomella sp. ,Stilostomella subspinosa,Strictocostella scharbergana,Tritaxia sp.,Trochammina sp.,Turrilina sp.,Uvigerina sp. ,Uvigerina elongata,Valvulina spinosa?,Others,Comments,File Data,Zone name,Zone name (short)
342-U1404A-15H-2-W 100/102-FORAM,342,U1404,A,15,15-2,H,2,W,100/102-FORAM,0,2,127.16,127.18,127.17,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-15H-3-W 100/102-FORAM,342,U1404,A,15,15-3,H,3,W,100/102-FORAM,0,2,128.63,128.65,128.64,M,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,
342-U1404A-15H-4-W 65/67-FORAM,342,U1404,A,15,15-4,H,4,W,65/67-FORAM,0,2,129.74,129.76,129.75,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-15H-6-W 100/102-FORAM,342,U1404,A,15,15-6,H,6,W,100/102-FORAM,0,2,133.02,133.04,133.03,M,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"few specimens, so all rated present",,,
342-U1404A-15H-CC-PAL,342,U1404,A,15,15-CC,H,CC,PAL,,0,5,134.68,134.73,134.71,VG,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,"few specimens, so all rated present",,,
342-U1404A-16H-1-W 100/102-FORAM,342,U1404,A,16,16-1,H,1,W,100/102-FORAM,0,2,135.2,135.22,135.21,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-16H-2-W 100/102-FORAM,342,U1404,A,16,16-2,H,2,W,100/102-FORAM,0,2,136.7,136.72,136.71,G,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-16H-3-W 100/102-FORAM,342,U1404,A,16,16-3,H,3,W,100/102-FORAM,0,2,138.2,138.22,138.21,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-16H-CC-PAL,342,U1404,A,16,16-CC,H,CC,PAL,,0,5,143.97,144.02,144.0,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-17H-CC-PAL,342,U1404,A,17,17-CC,H,CC,PAL,,0,5,153.69,153.74,153.72,M,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,P,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"few specimens, so all rated present",,,
342-U1404A-18H-CC-PAL,342,U1404,A,18,18-CC,H,CC,PAL,,0,5,163.17,163.22,163.2,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-19H-CC-PAL,342,U1404,A,19,19-CC,H,CC,PAL,,0,5,172.74,172.79,172.77,P,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,"few specimens, so all rated present",,,
342-U1404A-20H-CC-PAL,342,U1404,A,20,20-CC,H,CC,PAL,,0,5,181.96,182.01,181.99,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-21H-CC-PAL,342,U1404,A,21,21-CC,H,CC,PAL,,0,5,191.68,191.73,191.71,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-22H-CC-PAL,342,U1404,A,22,22-CC,H,CC,PAL,,0,5,194.93,194.98,194.96,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-23H-CC-PAL,342,U1404,A,23,23-CC,H,CC,PAL,,0,5,204.32,204.37,204.35,G,R,,,,,,,,F,,,,,,,,,,A,,,,,,,,,,,,A,,,A,,,P,,P,,,P,,,F,,,,,,P,,F,,,,,F,,,,,,,,,,,,,,A,,,,,,,,P,,,F,,,,,,,,,,A,,F,F,,,,,,,,,,,,
342-U1404A-24H-6-PAL,342,U1404,A,24,24-6,H,6,PAL,,0,5,212.76,212.81,212.79,G,A,,,,,,P,,A,,,,,,P,,,,F,F,,,F,,,P,,,,,A,,,A,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,D,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,A,P,,,,,,,,P,,,,
342-U1404A-25H-CC-PAL,342,U1404,A,25,25-CC,H,CC,PAL,,0,5,220.48,220.53,220.51,M,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"few specimens, so all rated present",,,
342-U1404A-26H-CC-PAL,342,U1404,A,26,26-CC,H,CC,PAL,,0,5,228.66,228.71,228.69,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-27H-CC-PAL,342,U1404,A,27,27-CC,H,CC,PAL,,0,5,236.45,236.5,236.48,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-28H-CC-PAL,342,U1404,A,28,28-CC,H,CC,PAL,,0,5,244.0,244.05,244.03,P,F,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,F,A,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,
342-U1404A-29H-CC-PAL,342,U1404,A,29,29-CC,H,CC,PAL,,0,7,253.01,253.08,253.05,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-30H-CC-PAL,342,U1404,A,30,30-CC,H,CC,PAL,,0,6,259.69,259.75,259.72,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-31H-CC-PAL,342,U1404,A,31,31-CC,H,CC,PAL,,0,8,265.23,265.31,265.27,P,R,,,,,,,,F,,,,,,,,,,F,P,,,,,,,D,,,,F,,,F,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-32H-CC-PAL,342,U1404,A,32,32-CC,H,CC,PAL,,0,12,270.58,270.7,270.64,G,P,,P,,P,,,,,,,,,,,,,,P,,,,,,,,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-33X-CC-PAL,342,U1404,A,33,33-CC,X,CC,PAL,,0,5,279.53,279.58,279.56,P,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,"few specimens, so all rated present",,,
342-U1404A-34X-7-PAL,342,U1404,A,34,34-7,X,7,PAL,,0,5,289.8,289.85,289.83,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-35X-CC-PAL,342,U1404,A,35,35-CC,X,CC,PAL,,0,5,293.95,294.0,293.98,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-36X-1-PAL,342,U1404,A,36,36-1,X,1,PAL,,0,5,299.77,299.82,299.8,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
