Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Diatoms group abundance,Diatom preservation dissolution,Diatom preservation fragmentation,Hemiaulus altus,Hemiaulus angustobrachiatus,Hemiaulus caracteristicus,Hemiaulus danicus,Hemiaulus dissimilis,Hemiaulus grassus,Hemiaulus incisus,Hemiaulus inequilaterus,Hemiaulus peripterus,Hemiaulus polycystinorum,Hemiaulus polymorphus var. morsianus,Hemiaulus rectus var. twista,Hemiaulus sp.,Hemiaulus stilwelli,Hemiaulus subacutus,Hemiaulus taurus,Hemidiscus cuneiformis,Hemidiscus karstenii,Hemidiscus karstenii f.1,Hercotheca sp.,Hyalodiscus sp.,Ikebea tenuis,Kannoa hastata,Kannoa sp.,Kisseleviella carina,Kisseleviella cicatricata,Kisseleviella ezoensis,Kisseleviella faballiforma,Kisseleviella gaster,Kisseleviella sp.,Kisseleviella tricoronata,Kisselviella magnaareolata,Liradiscus ovalis,Lisitzinia ornata,Lithodesmium minusculum,Navicula directa,Navicula spp.,Navicula wisei,Naviculata udintsevii,Neobrunia mirabilis,Nitzschia denticuloides,Nitzschia efferans,Nitzschia grossepunctata,Nitzschia miocenica,Nitzschia sicula,Nitzschia sp. 17,Nitzschia spp.,Odontella spp.,Paralia sulcata,Paralia sulcata var. crenulata,Porosira glacialis,Porosira pseudodenticulata,Porotheca danica,Proboscia barboi,Proboscia ?cretacea,Proboscia curvirostris,Proboscia inermis,Proboscia sp.,Pseudopodosira sp.,Pseudopyxilla spp.,Pseudotriceratium radiosoreticulatum,Pterotheca aculeifera,Pterotheca sp. A of Scherer et al. 2001,Pyrgupyxis eocena,Pyxilla prolongata,Pyxilla sp.,Pyxilla reticulata,Raphidodiscus marylandicus,Rhabdonema spp.,Rhaphoneis amphiceros,Rhaphoneis spp.,Rhizosolenia antarctica,Rhiozosolenia antennata var. antennata,Rhizosolenia antennata var. semispina,Rhizosolenia costata,Rhizosolenia fidicularis,Rhizosolenia harwoodii,Rhizosolenia hebetata,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. semispina,Rhizosolenia simplex,Rhizosolenia sp. B,Rhizosolenia sp. D sensu Olney et al 2007,Rhizosolenia oligocaenica,Rhizosolenia spp.,Rocella gelida,Rocella gelida  var. schraderi,Rocella praenitida,Rocella semigelida,Rocella vigilans var. A,Rocella vigilans var. B,Roperia tesselata,Rossiella fennerae,Rossiella symmetrica,Rouxia antarctica,Rouxia californica,Rouxia constricta,Rouxia diploneides,Rouxia heteropolara,Rouxia isopolica,Rouxia leventerae,Rouxia naviculoides,Rouxia peragalli,Rouxia sp. 2 of Gersonde and Burckle,Rouxia spp.,Rouxia sp. spatulate long heteropolar (MIS),Rylandsia biradiata,Sceptroneis lingulatus,Sceptroneis pesplanus,Sceptroneis sp.,Shionodiscus gracilis var. expectus,Shionodiscus sp. Exp 318,Sceptroneis sp. (small),Shionodiscus gracilis var. gracilis,Shionodiscus oestrupii,Shionodiscus tetraoestrupii,Shionodiscus tetraoestrupii var. reimeri,Skeletonema penicillus,Skeletonema utriculosa,"""Skeletonema"" utriculosa",Skeletonemopsis barbabadensis,Skeletonemopsis mahoodii,Skeletonemopsis and Skeletonema grp.,Sphynctolethus pacificus,Stellarima microtrias,Stellarima stellaris,Stephanonycites coronis,Stephanonycites tabularis,Stephanonycites variegatus,Stephanopyxis grunowii,Stephanopyxis spp.,Stictodiscus hardmanianus,Stictodiscus kittonianus,Syndendrium rugosum,Synedropsis cheethamii,Synedropsis sp.,Synedropsis sp. C,Thalassionema nitzschioides  var. parva,Thalassionema nitzschioides,Thalassiosira frauenfeldii,Thalassiosira antarctica,Thalassiosira complicata,Thalassiosira convexa,Thalassiosira convexa var. aspinosa,Thalassiosira eccentrica,Thalassiosira elliptipora,Thalassiosira fasciculata,Thalassiosira gravida,Thalassiosira insigna,Thalassiosira insigna/inura trans,Thalassiosira inura,Thalassiosira aff. Inura,Thalassiosira jacksonii,Thalassiosira kolbei,Thalassiosira lentiginosa,Thalassiosira lentiginosa var. obovatus,Thalassiosira lineata,Thalassiosira mahoodii,Thalassiosira miocenica,Thalassiosira nansenii,Thalassiosira nativa,Thalassiosira oliverana,Thalassiosira oliverana var. sparsa,Thalassiosira poroseriata,Thalassiosira praeconvexa,Thalassiosira praefraga,Thalassiosira sp.,Thalassiosira spp.,Thalassiosira striata,Thalassiosira teres,Thalassiosira torokina,Thalassiosira trifulta,Thalassiosira tumida,Thalassiosira vulnifica,Thalassiosira yabei,Thalassiosira webbii,Thalassiothrix antarctica,Thalassiothrix flaugenferdii,Thalassiothrix longissima,Thalassiothrix miocenica,Triceratium inconspicuum var. trilobata,Triceratium kanayae,Triceratium kanayae var. quadriloba,Triceratium pileus,Triceratium pulvinar,Triceratium unguiculatum,Trichotoxon reinboldii,Trinacria cornuta,Trinacria excavata,Trinacria simulacrum,Trinacria spp.,Trochosira coronata,Trochosira spinosa,Tubaformis unicornis,Vallodiscus sp.,Vallodiscus lanceolatus,Xanthiopyxis sp.,Nitzschia denticuloides var. M,Trochosira spp.,eodp_id
318-U1359D-35R-CC-PAL-DIAT2,318,U1359,D,35,35-CC,R,CC,PAL,DIAT2,0,5,474.86,474.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,1566a94dc281367c5afc0ce624f96c0e
318-U1359D-36R-CC-PAL-DIAT2,318,U1359,D,36,36-CC,R,CC,PAL,DIAT2,0,5,481.33,481.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,c302adf747cd1ba272353a4a589a7433
318-U1359D-38R-CC-PAL-DIAT1,318,U1359,D,38,38-CC,R,CC,PAL,DIAT1,0,5,500.03,500.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,e81feca300f219b8a4c88a54244b8734
318-U1359D-39R-CC-PAL-DIAT,318,U1359,D,39,39-CC,R,CC,PAL,DIAT,0,5,514.46,514.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6863e1b1e6427f7ed872b8e3789d02c0
318-U1359D-40R-CC-PAL-DIAT,318,U1359,D,40,40-CC,R,CC,PAL,DIAT,0,5,520.55,520.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b1cdd4247b5ca745879692e22cc647e
318-U1359D-41R-CC-PAL-DIAT,318,U1359,D,41,41-CC,R,CC,PAL,DIAT,0,5,531.67,531.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,968be2a4e2a0905b3294df9abc39a8cd
318-U1359D-42R-CC-PAL-DIAT86,318,U1359,D,42,42-CC,R,CC,PAL,DIAT86,0,5,539.07,539.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9d72c2be8deeb7ff52537223a6cc2b64
318-U1359D-43R-CC-PAL-DIAT,318,U1359,D,43,43-CC,R,CC,PAL,DIAT,0,5,549.04,549.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,05df6c262cb8fa6d8f554472f1c28a89
318-U1359D-44R-CC-PAL-DIAT,318,U1359,D,44,44-CC,R,CC,PAL,DIAT,0,5,558.37,558.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,f8f5edc7268234095456171dbbeffb49
318-U1359D-46R-CC-PAL-DIAT,318,U1359,D,46,46-CC,R,CC,PAL,DIAT,0,5,576.4,576.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,X,,,,,,,,,,,,,,,,,X?,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,F,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,652e9cf996c4fcb3e719354af105e52d
318-U1359D-47R-CC-PAL-DIAT4,318,U1359,D,47,47-CC,R,CC,PAL,DIAT4,0,6,589.9,589.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,7dd465cc8f6b5dd0629c455b875731e6
318-U1359D-48R-CC-PAL-DIAT3,318,U1359,D,48,48-CC,R,CC,PAL,DIAT3,0,5,596.26,596.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,C,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,150a73d4bce9a3acc1978a5b713387b4
