Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Amphistegina spp	Oridorsalis umbonatus	Melonis barleeanus	Hoeglundina elegans	Amphistegina madagascariensis	Trochammina globigeriniformis	Rhabdammina abyssorum	Marsipella cylindrica	Tosaia hanzawai	Stilostomella lepidula	Quinqueloculina seminulum	Quinqueloculina akneriana	Pyrgo murrhina	Pullenia salisburyi	Pullenia quinqueloba	Pullenia bulloides	Pseudoparrella  exigua	Pleurostomella brevis	Pleurostomella alternans	Parrelloides bradyi	Parafissurina lateralis	Orthomorphina sp.	Oridorsalis tener	Nuttallides umbonifera	Nodosaria longiscata	Laticarinina pauperata	Lagena sp.	Gyroidina altiformis	Globocassidulina subglobosa	Fissurina sp.	Fissurina orbignyana seguenza	Favocassidulina favus	Evolvocassidulina brevis	Cibicidoides sp.	Cibicidoides mundulus	Cibicides wuellerstorfi	Cibicides aknerianus	Bulimina fijiensis	Brizalina seminuda	Astrononion stelligerum	Anomalinoides globulosus	Anomalinoides glabrata	Sphaeroidina bulloides	Quinqueloculina lamarckiana	Gyroidinoides lamarckianus	Gyroidina orbicularis	Fissurina crebra	Ehrenbergina hystrix	Dentalina spp.	Cibicides robertsonianus	Ammobaculites sp.	Uvigerina proboscidea	Sigmavirgulina tortuosa	Melonis sphaeroides	Melonis parkerae	Gavelinopsis praegeri	Fissurina marginata	Cibicidoides mediocris	Bulimina rostrata	Stilostomella sp.	Stilostomella abyssorum	Osangularia culter	Heterolepa haidingerii	Globocassidulina subtumida	Globocassidulina moluccensis	Eponides tumidulus	Cibicides sp.	Rosalina sp.	Pseudononion sp.	Oridorsalis sp.	Melonis pacificus	Gyroidinoides nipponicus	Gyroidina soldanii	Globocassidulina paratortuosa	Globocassidulina oriangulata	Globocassidulina elegans	Glandulina laevigata	Cymbaloporetta bradyi	Cassidulina sp.	Abditodentrix asketocomptella	Uvigerina ampullacea	Trochammina conglobata	Quinqueloculina sp.	Oolina melo	Marginulinopsis bradyi	Lagena gracillima	Globocassidulina parviapertura	Globocassidulina crassa	Fissurina clathrata	Elphidium crispum	Brizalina plicatella	Triloculina tricarinata	Parafissurina pseudomarginata	Nodosaria flintii	Globocassidulina ornata	Globocassidulina oribunda	Globocassidulina brocha	Bolivina subspinescens	Uvigerina peregrina	Uvigerina hispidocostata	Sigmoilopsis schlumbergeri	Robulus gibbus	Planulina ariminensis	Oridorsalis sp. cf. O. umbonatus	Lagena sulcata laevicostata	Lagena laevis	Lagena gracilis	Fissurina sp.	Fissurina lacunata	Fissurina annectens	Fijiella simplex	Elphidium jenseni	Ehrenbergina trigona	Discorbinella convexa	Cibicides refulgens	Cassidulina norvangi	Bronnimannia hiliotis	Brizalina vescistriata	Brizalina macella	Brizalina decussata	Bolivina rhomboidalis	Amphicoryna hirsuta	Uvigerina porrecta	Rectobolivina limbata costulata	Parafissurina uncifera	Paracassidulina neocarinata	Oolina globosa	Nodosaria simplex	Lagena sulcata spicata	Lagena parri	Globocassidulina sp.	Fissurina palliolata	Fissurina auriculata duplicata	Valvulineria gunjii	Stilostomella consobrina	Robulus reniformis	Robulus limbosus	Paracassidulina sulcata	Lagena acuticosta	Heronallenia lingulata	Discorbinella bertheloti	Brizalina capitata	Amphistegina radiata	Alabamina tubulifera	Trifarina bradyi	Globocassidulina oblonga	Bulimina striata	Brizalina karreriana carinata	Amphicoryna separans	Robulus sp.	Quinqueloculina vulgaris	Patellinella carinata	Paracassidulina miuraensis	Miliolinella circularis	Cassidulina carinata	Bolivinita quadrilatera	Oolina hexagona	Lagena substriata	Globocassidulina parva	Fissurina fimbriata	Eggerella bradyi	Siphotexturalia concava	Marginulina glabra	Fissurina alveolata	Uvigerina aculeata	Trifarina angulosa	Rectobolivina raphana	Paracassidulina quasicarinata	Neoconorbina floridensis	Globocassidulina gemma	Ehrenbergina albatrossi	Discorbis mira	Cribrorbulina serpens	Bolivina sp.	Rectobolivina dimorpha pacifica	Uvigerina hispida	Rotalia murrayi	Pleurostomella rapa	Brizalina subreticulata	Ammonia beccarii koeboeensis	Tubulogenerina zanzibarica	Rutherfordoides tenuis	Rutherfordoides cornuta	Fissurina sp. aff. F. trigonomarginata	Elphidium advena	Bolivina schwagerina	Laterostomella voluta	Bolivina subangularis	Globobulimina pacifica	Chilostomella ovoidea	Brizalina karreriana	Rosalina floridana	Rectobolivina columellaris	Lernella seranensis	Hyalina balthica	Cyclogyra involvens	Brizalina alata	Pileolina patelliformis	Fissurina orbignyana seguenza var.	Fissurina kerguelenensis	Ammonia beccarii	Comment
  SR	                 	                 	                  	              	134	 832	B	 31	R	 1	  68.00	    433.8800	Akimoto  	Benthic Foraminifers                         	               	                  	                	4                    	3                 	                   	                             	                             	                     	                     	5              	16                    	                         	                         	              	                   	2                   	12                	4                     	                     	3                       	1                  	1                      	                 	2                	2                     	1                   	                      	          	1                   	7                          	1            	1                            	                     	2                       	                	                     	7                      	                    	                  	                  	17                     	1                       	                      	1                     	1                          	7                         	6                    	                	                    	4             	1                       	                 	4                    	                       	2                  	                	6                    	                   	                      	2                	                 	                       	                  	                      	                          	10                          	                  	             	            	                	1              	                 	1                       	                  	                             	                            	1                       	                    	                     	1              	                             	1                   	                      	                   	           	                      	                 	                              	                       	1                  	                 	                    	                       	                             	                 	6                      	                         	                       	                      	2                  	2                       	                          	              	                     	                                	1                          	             	               	             	                  	                   	                	                 	4                   	                     	                   	1                   	                     	                      	                 	                   	                     	                   	                  	                               	                      	                           	2             	                 	                      	            	1                   	                    	                              	                   	                        	                  	                	                       	                 	                      	1                       	                  	                    	                    	                	                        	1               	                             	                    	           	                        	                     	                          	                       	                    	                       	               	                 	                      	1                  	                	1                      	1                 	1                  	                  	                  	                     	                             	                        	                      	                       	              	                     	            	                               	                 	               	                   	                       	                            	                          	                      	                       	                                      	                	                    	                     	                     	                      	                     	                    	                  	                          	                   	                	                   	               	                       	                                  	                        	                	Misc. agglut. forams =  0; Total agglut. forams =  1; Total calc. forams =  167; Total benthic forams =  168; from ODP Leg 134 SR Chapter 12 Table 5 backpocket

  SR	                 	                 	                  	              	134	 832	B	 32	R	 3	  50.00	    446.4000	Akimoto  	Benthic Foraminifers                         	               	                  	                	5                    	1                 	                   	                             	                             	                     	                     	1              	                      	                         	                         	1             	1                  	1                   	                  	5                     	                     	1                       	                   	                       	                 	                 	                      	2                   	1                     	          	1                   	4                          	1            	                             	                     	                        	                	6                    	10                     	                    	                  	                  	4                      	                        	                      	                      	5                          	4                         	                     	                	                    	5             	                        	                 	2                    	                       	5                  	                	6                    	1                  	                      	1                	                 	                       	                  	                      	                          	3                           	1                 	             	            	                	               	                 	1                       	2                 	                             	                            	1                       	                    	                     	               	3                            	                    	                      	                   	           	                      	                 	                              	2                      	                   	                 	                    	                       	                             	                 	                       	                         	                       	                      	2                  	                        	                          	              	                     	                                	                           	2            	               	             	                  	                   	                	                 	3                   	                     	                   	                    	                     	                      	                 	                   	                     	                   	                  	                               	                      	                           	1             	                 	                      	            	                    	                    	                              	                   	                        	                  	                	1                      	                 	                      	                        	                  	                    	                    	                	                        	                	                             	1                   	           	                        	                     	                          	                       	                    	                       	1              	1                	7                     	1                  	1               	                       	                  	                   	                  	                  	                     	                             	                        	                      	                       	              	                     	            	                               	                 	               	                   	                       	                            	                          	                      	                       	                                      	                	                    	                     	                     	                      	                     	                    	                  	                          	                   	                	                   	               	                       	                                  	                        	                	Misc. agglut. forams =  0; Total agglut. forams =  1; Total calc. forams =  107; Total benthic forams =  108; from ODP Leg 134 SR Chapter 12 Table 5 backpocket

  SR	                 	                 	                  	              	134	 832	B	 34	R	 1	  49.00	    461.9900	Akimoto  	Benthic Foraminifers                         	               	                  	                	5                    	                  	                   	                             	                             	                     	                     	3              	3                     	                         	                         	              	2                  	                    	7                 	2                     	                     	3                       	                   	1                      	                 	1                	6                     	                    	1                     	          	4                   	8                          	4            	1                            	                     	4                       	3               	3                    	5                      	                    	                  	                  	6                      	2                       	                      	                      	                           	                          	3                    	2               	1                   	1             	2                       	                 	3                    	                       	6                  	                	10                   	3                  	6                     	3                	                 	                       	1                 	                      	                          	2                           	                  	             	            	1               	               	2                	                        	1                 	                             	                            	                        	                    	                     	               	                             	                    	                      	                   	           	                      	                 	                              	3                      	                   	                 	                    	                       	                             	                 	7                      	                         	                       	                      	                   	                        	                          	              	                     	                                	2                          	1            	               	             	                  	                   	                	                 	2                   	                     	1                  	                    	                     	                      	                 	                   	                     	                   	                  	                               	2                     	1                          	              	                 	                      	            	4                   	                    	                              	                   	                        	                  	1               	                       	                 	1                     	2                       	                  	4                   	1                   	                	                        	                	1                            	                    	1          	1                       	1                    	1                         	1                      	2                   	1                      	               	                 	                      	                   	                	                       	                  	                   	                  	                  	                     	                             	                        	                      	                       	              	                     	            	                               	                 	               	                   	                       	                            	                          	                      	                       	                                      	                	                    	                     	                     	                      	                     	                    	                  	                          	                   	                	                   	               	                       	                                  	                        	                	Misc. agglut. forams =  0; Total agglut. forams =  0; Total calc. forams =  162; Total benthic forams =  162; from ODP Leg 134 SR Chapter 12 Table 5 backpocket

  SR	                 	                 	                  	              	134	 832	B	 38	R	 1	  57.00	    500.6700	Akimoto  	Benthic Foraminifers                         	               	                  	                	2                    	2                 	                   	                             	                             	                     	                     	               	                      	                         	4                        	1             	1                  	                    	3                 	1                     	                     	                        	                   	                       	                 	1                	                      	                    	2                     	          	                    	8                          	             	                             	                     	2                       	                	1                    	2                      	                    	                  	                  	1                      	1                       	                      	                      	                           	3                         	1                    	                	                    	1             	                        	                 	                     	1                      	2                  	                	6                    	1                  	                      	                 	                 	1                      	3                 	                      	                          	1                           	                  	             	            	                	               	                 	                        	                  	                             	                            	                        	                    	                     	               	                             	4                   	                      	                   	           	                      	                 	4                             	                       	                   	                 	                    	                       	                             	                 	4                      	                         	                       	                      	2                  	                        	                          	              	                     	                                	                           	             	               	             	                  	                   	1               	                 	                    	                     	                   	                    	                     	                      	                 	1                  	                     	                   	                  	                               	                      	                           	              	                 	                      	            	                    	                    	                              	                   	                        	                  	                	                       	1                	                      	                        	                  	                    	                    	2               	1                       	1               	1                            	1                   	           	                        	                     	                          	                       	                    	                       	               	                 	                      	                   	                	                       	                  	                   	                  	                  	                     	                             	                        	                      	                       	              	                     	            	                               	                 	               	                   	                       	                            	                          	                      	                       	                                      	                	                    	                     	                     	                      	                     	                    	                  	                          	                   	                	                   	               	                       	                                  	                        	                	Misc. agglut. forams =  0; Total agglut. forams =  0; Total calc. forams =  75; Total benthic forams =  75; from ODP Leg 134 SR Chapter 12 Table 5 backpocket

  SR	                 	                 	                  	              	134	 832	B	 40	R	 1	  45.00	    519.9500	Akimoto  	Benthic Foraminifers                         	               	                  	                	11                   	2                 	                   	                             	                             	                     	                     	3              	4                     	                         	                         	1             	1                  	1                   	11                	8                     	1                    	5                       	                   	                       	                 	3                	                      	                    	                      	          	1                   	2                          	1            	1                            	2                    	3                       	                	2                    	10                     	1                   	                  	                  	7                      	                        	                      	1                     	1                          	1                         	3                    	                	                    	1             	2                       	                 	2                    	                       	4                  	                	12                   	3                  	1                     	1                	                 	                       	                  	                      	4                         	4                           	                  	             	            	                	               	                 	2                       	                  	4                            	                            	2                       	                    	                     	               	                             	2                   	                      	                   	           	                      	                 	                              	                       	1                  	                 	                    	                       	                             	                 	2                      	                         	                       	                      	                   	                        	                          	              	                     	                                	1                          	2            	               	             	                  	                   	                	                 	1                   	                     	                   	                    	                     	                      	                 	                   	                     	                   	1                 	1                              	                      	                           	              	                 	                      	            	                    	                    	                              	1                  	1                       	1                 	1               	3                      	1                	1                     	1                       	1                 	1                   	1                   	                	                        	                	                             	                    	           	                        	                     	                          	                       	                    	                       	               	                 	                      	                   	                	                       	                  	                   	                  	                  	                     	                             	                        	                      	                       	              	                     	            	                               	                 	               	                   	                       	                            	                          	                      	                       	                                      	                	                    	                     	                     	                      	                     	                    	                  	                          	                   	                	                   	               	                       	                                  	                        	                	Misc. agglut. forams =  0; Total agglut. forams =  0; Total calc. forams =  153; Total benthic forams =  153; from ODP Leg 134 SR Chapter 12 Table 5 backpocket

  SR	                 	                 	                  	              	134	 832	B	 41	R	 2	  45.00	    531.0500	Akimoto  	Benthic Foraminifers                         	               	                  	                	5                    	3                 	                   	                             	                             	1                    	                     	               	6                     	                         	                         	1             	                   	6                   	5                 	1                     	                     	4                       	2                  	                       	                 	4                	2                     	                    	3                     	          	1                   	1                          	1            	1                            	1                    	                        	                	5                    	9                      	                    	                  	                  	6                      	1                       	                      	                      	                           	1                         	5                    	                	                    	5             	2                       	                 	2                    	                       	2                  	                	10                   	4                  	2                     	2                	                 	                       	1                 	                      	3                         	2                           	                  	             	            	                	               	                 	                        	                  	2                            	5                           	1                       	                    	                     	               	                             	4                   	                      	                   	           	                      	                 	                              	3                      	                   	                 	                    	                       	                             	1                	1                      	                         	                       	                      	2                  	1                       	1                         	              	                     	                                	1                          	1            	               	             	                  	                   	                	                 	3                   	                     	1                  	                    	                     	1                     	                 	                   	                     	                   	1                 	1                              	1                     	2                          	1             	1                	1                     	1           	2                   	1                   	1                             	                   	                        	                  	                	                       	                 	                      	                        	                  	                    	                    	                	                        	                	                             	                    	           	                        	                     	                          	                       	                    	                       	               	                 	                      	                   	                	                       	                  	                   	                  	                  	                     	                             	                        	                      	                       	              	                     	            	                               	                 	               	                   	                       	                            	                          	                      	                       	                                      	                	                    	                     	                     	                      	                     	                    	                  	                          	                   	                	                   	               	                       	                                  	                        	                	Misc. agglut. forams =  0; Total agglut. forams =  1; Total calc. forams =  150; Total benthic forams =  151; from ODP Leg 134 SR Chapter 12 Table 5 backpocket

  SR	                 	                 	                  	              	134	 832	B	 42	R	 1	  94.00	    539.8400	Akimoto  	Benthic Foraminifers                         	               	                  	                	11                   	4                 	                   	1                            	                             	                     	                     	11             	18                    	                         	                         	2             	7                  	                    	7                 	3                     	3                    	7                       	                   	1                      	                 	4                	16                    	                    	2                     	          	                    	18                         	2            	1                            	2                    	4                       	                	4                    	12                     	                    	                  	                  	9                      	3                       	                      	2                     	2                          	13                        	12                   	                	                    	2             	9                       	                 	1                    	                       	5                  	                	16                   	1                  	3                     	8                	1                	                       	3                 	                      	                          	3                           	3                 	             	            	1               	               	                 	1                       	                  	5                            	                            	                        	                    	                     	               	                             	3                   	                      	                   	           	                      	                 	                              	10                     	2                  	                 	                    	                       	1                            	                 	1                      	                         	                       	                      	3                  	1                       	1                         	2             	3                    	1                               	1                          	1            	1              	1            	1                 	1                  	2               	1                	1                   	1                    	1                  	3                   	1                    	4                     	1                	3                  	2                    	1                  	                  	                               	                      	                           	              	                 	                      	            	                    	                    	                              	                   	                        	                  	                	                       	                 	                      	                        	                  	                    	                    	                	                        	                	                             	                    	           	                        	                     	                          	                       	                    	                       	               	                 	                      	                   	                	                       	                  	                   	                  	                  	                     	                             	                        	                      	                       	              	                     	            	                               	                 	               	                   	                       	                            	                          	                      	                       	                                      	                	                    	                     	                     	                      	                     	                    	                  	                          	                   	                	                   	               	                       	                                  	                        	                	Misc. agglut. forams =  0; Total agglut. forams =  0; Total calc. forams =  298; Total benthic forams =  298; from ODP Leg 134 SR Chapter 12 Table 5 backpocket

  SR	                 	                 	                  	              	134	 832	B	 44	R	 1	  61.00	    558.8100	Akimoto  	Benthic Foraminifers                         	               	                  	                	2                    	4                 	                   	                             	                             	                     	                     	3              	1                     	1                        	                         	1             	2                  	3                   	8                 	1                     	1                    	3                       	1                  	                       	                 	2                	                      	                    	                      	          	                    	                           	             	                             	                     	1                       	                	                     	6                      	                    	                  	                  	1                      	                        	                      	                      	1                          	2                         	2                    	                	                    	1             	                        	                 	2                    	                       	1                  	                	                     	                   	                      	3                	                 	                       	                  	                      	                          	                            	                  	             	            	                	               	                 	                        	1                 	                             	                            	                        	                    	                     	               	1                            	                    	                      	                   	           	                      	                 	                              	                       	                   	                 	1                   	1                      	1                            	2                	4                      	3                        	1                      	1                     	                   	                        	                          	              	                     	                                	                           	             	               	             	                  	                   	                	                 	                    	                     	                   	                    	                     	                      	                 	                   	                     	                   	                  	                               	                      	                           	              	                 	                      	            	                    	                    	                              	                   	                        	                  	                	                       	                 	                      	                        	                  	                    	                    	                	                        	                	                             	                    	           	                        	                     	                          	                       	                    	                       	               	                 	                      	                   	                	                       	                  	                   	                  	                  	                     	                             	                        	                      	                       	              	                     	            	                               	                 	               	                   	                       	                            	                          	                      	                       	                                      	                	                    	                     	                     	                      	                     	                    	                  	                          	                   	                	                   	               	                       	                                  	                        	                	Misc. agglut. forams =  0; Total agglut. forams =  0; Total calc. forams =  69; Total benthic forams =  69; from ODP Leg 134 SR Chapter 12 Table 5 backpocket

  SR	                 	                 	                  	              	134	 832	B	 49	R	 3	  82.00	    610.2200	Akimoto  	Benthic Foraminifers                         	               	                  	                	8                    	1                 	                   	                             	                             	                     	                     	2              	                      	                         	                         	              	1                  	1                   	6                 	                      	                     	                        	                   	                       	                 	                 	                      	                    	2                     	1         	3                   	4                          	             	                             	                     	                        	                	8                    	7                      	                    	                  	                  	6                      	                        	                      	1                     	                           	6                         	4                    	                	                    	3             	                        	                 	5                    	                       	2                  	                	3                    	1                  	1                     	                 	                 	8                      	1                 	                      	1                         	7                           	                  	2            	            	                	2              	                 	                        	                  	                             	                            	                        	                    	                     	               	                             	2                   	1                     	1                  	1          	1                     	2                	6                             	1                      	1                  	1                	1                   	                       	                             	                 	                       	                         	                       	                      	                   	                        	                          	              	                     	                                	                           	             	               	             	                  	                   	                	                 	                    	                     	                   	                    	                     	                      	                 	                   	                     	                   	                  	                               	                      	                           	              	                 	                      	            	                    	                    	                              	                   	                        	                  	                	                       	                 	                      	                        	                  	                    	                    	                	                        	                	                             	                    	           	                        	                     	                          	                       	                    	                       	               	                 	                      	                   	                	                       	                  	                   	                  	                  	                     	                             	                        	                      	                       	              	                     	            	                               	                 	               	                   	                       	                            	                          	                      	                       	                                      	                	                    	                     	                     	                      	                     	                    	                  	                          	                   	                	                   	               	                       	                                  	                        	                	Misc. agglut. forams =  0; Total agglut. forams =  1; Total calc. forams =  114; Total benthic forams =  115; from ODP Leg 134 SR Chapter 12 Table 5 backpocket

  SR	                 	                 	                  	              	134	 832	B	 51	R	 3	  84.00	    629.5000	Akimoto  	Benthic Foraminifers                         	               	                  	                	6                    	                  	                   	1                            	                             	                     	                     	1              	5                     	                         	                         	              	2                  	                    	5                 	                      	2                    	1                       	                   	                       	                 	1                	                      	                    	1                     	          	1                   	6                          	             	                             	                     	                        	                	3                    	5                      	                    	                  	                  	                       	1                       	                      	1                     	                           	1                         	1                    	                	                    	7             	9                       	                 	4                    	                       	12                 	                	4                    	                   	6                     	                 	                 	                       	1                 	1                     	5                         	3                           	                  	             	1           	1               	1              	5                	1                       	2                 	1                            	2                           	6                       	1                   	1                    	1              	1                            	                    	                      	                   	           	                      	                 	                              	                       	                   	                 	                    	                       	                             	                 	                       	                         	                       	                      	                   	                        	                          	              	                     	                                	                           	             	               	             	                  	                   	                	                 	                    	                     	                   	                    	                     	                      	                 	                   	                     	                   	                  	                               	                      	                           	              	                 	                      	            	                    	                    	                              	                   	                        	                  	                	                       	                 	                      	                        	                  	                    	                    	                	                        	                	                             	                    	           	                        	                     	                          	                       	                    	                       	               	                 	                      	                   	                	                       	                  	                   	                  	                  	                     	                             	                        	                      	                       	              	                     	            	                               	                 	               	                   	                       	                            	                          	                      	                       	                                      	                	                    	                     	                     	                      	                     	                    	                  	                          	                   	                	                   	               	                       	                                  	                        	                	Misc. agglut. forams =  1; Total agglut. forams =  1; Total calc. forams =  120; Total benthic forams =  121; from ODP Leg 134 SR Chapter 12 Table 5 backpocket

  SR	                 	                 	                  	              	134	 832	B	 59	R	 5	  29.00	    708.3000	Akimoto  	Benthic Foraminifers                         	               	                  	                	2                    	                  	                   	                             	                             	                     	                     	1              	14                    	                         	                         	              	                   	1                   	1                 	1                     	                     	                        	                   	                       	                 	                 	                      	                    	                      	          	2                   	2                          	             	1                            	                     	6                       	                	11                   	6                      	1                   	                  	                  	1                      	                        	                      	                      	                           	4                         	1                    	                	                    	1             	3                       	                 	1                    	                       	8                  	                	5                    	                   	9                     	                 	2                	1                      	1                 	1                     	4                         	2                           	1                 	1            	            	                	               	                 	                        	                  	                             	                            	                        	                    	                     	               	                             	                    	                      	                   	           	                      	                 	                              	                       	                   	                 	                    	                       	                             	                 	                       	                         	                       	                      	                   	                        	                          	              	                     	                                	                           	             	               	             	                  	                   	                	                 	                    	                     	                   	                    	                     	                      	                 	                   	                     	                   	                  	                               	                      	                           	              	                 	                      	            	                    	                    	                              	                   	                        	                  	                	                       	                 	                      	                        	                  	                    	                    	                	                        	                	                             	                    	           	                        	                     	                          	                       	                    	                       	               	                 	                      	                   	                	                       	                  	                   	                  	                  	                     	                             	                        	                      	                       	              	                     	            	                               	                 	               	                   	                       	                            	                          	                      	                       	                                      	                	                    	                     	                     	                      	                     	                    	                  	                          	                   	                	                   	               	                       	                                  	                        	                	Misc. agglut. forams =  0; Total agglut. forams =  0; Total calc. forams =  95; Total benthic forams =  95; from ODP Leg 134 SR Chapter 12 Table 5 backpocket

  SR	                 	                 	                  	              	134	 832	B	 62	R	 1	  52.00	    731.0200	Akimoto  	Benthic Foraminifers                         	               	                  	                	2                    	11                	                   	                             	                             	                     	                     	               	                      	                         	                         	              	2                  	1                   	7                 	4                     	                     	2                       	1                  	                       	                 	4                	                      	                    	                      	          	2                   	4                          	2            	                             	                     	                        	                	7                    	5                      	                    	                  	                  	                       	                        	                      	                      	                           	                          	                     	                	                    	1             	1                       	                 	2                    	1                      	13                 	4               	2                    	1                  	4                     	2                	                 	                       	                  	                      	                          	                            	                  	             	            	                	               	                 	                        	                  	                             	                            	                        	                    	                     	               	                             	                    	                      	                   	           	                      	                 	                              	                       	                   	                 	                    	                       	                             	                 	                       	                         	                       	                      	                   	                        	                          	              	                     	                                	                           	             	               	             	                  	                   	                	                 	                    	                     	                   	                    	                     	                      	                 	                   	                     	                   	                  	                               	                      	                           	              	                 	                      	            	                    	                    	                              	                   	                        	                  	                	                       	                 	                      	                        	                  	                    	                    	                	                        	                	                             	                    	           	                        	                     	                          	                       	                    	                       	               	                 	                      	                   	                	                       	                  	                   	                  	                  	                     	                             	                        	                      	                       	              	                     	            	                               	                 	               	                   	                       	                            	                          	                      	                       	                                      	                	                    	                     	                     	                      	                     	                    	                  	                          	                   	                	                   	               	                       	                                  	                        	                	Misc. agglut. forams =  0; Total agglut. forams =  0; Total calc. forams =  85; Total benthic forams =  85; from ODP Leg 134 SR Chapter 12 Table 5 backpocket

  SR	                 	                 	                  	              	134	 832	B	 72	R	 1	  37.00	    827.3700	Akimoto  	Benthic Foraminifers                         	               	                  	                	5                    	5                 	1                  	                             	                             	                     	                     	2              	5                     	                         	                         	2             	3                  	1                   	3                 	4                     	8                    	1                       	                   	                       	                 	1                	22                    	                    	                      	          	2                   	                           	2            	                             	                     	1                       	                	2                    	4                      	                    	                  	                  	                       	2                       	                      	3                     	1                          	9                         	1                    	1               	1                   	3             	1                       	1                	                     	                       	                   	                	                     	                   	                      	                 	                 	                       	                  	                      	                          	                            	                  	             	            	                	               	                 	                        	                  	                             	                            	                        	                    	                     	               	                             	                    	                      	                   	           	                      	                 	                              	                       	                   	                 	                    	                       	                             	                 	                       	                         	                       	                      	                   	                        	                          	              	                     	                                	                           	             	               	             	                  	                   	                	                 	                    	                     	                   	                    	                     	                      	                 	                   	                     	                   	                  	                               	                      	                           	              	                 	                      	            	                    	                    	                              	                   	                        	                  	                	                       	                 	                      	                        	                  	                    	                    	                	                        	                	                             	                    	           	                        	                     	                          	                       	                    	                       	               	                 	                      	                   	                	                       	                  	                   	                  	                  	                     	                             	                        	                      	                       	              	                     	            	                               	                 	               	                   	                       	                            	                          	                      	                       	                                      	                	                    	                     	                     	                      	                     	                    	                  	                          	                   	                	                   	               	                       	                                  	                        	                	Misc. agglut. forams =  2; Total agglut. forams =  3; Total calc. forams =  96; Total benthic forams =  99; from ODP Leg 134 SR Chapter 12 Table 5 backpocket

  SR	                 	                 	                  	              	134	 832	B	 73	R	 2	  47.00	    838.6700	Akimoto  	Benthic Foraminifers                         	               	                  	                	5                    	                  	                   	                             	1                            	20                   	                     	5              	3                     	2                        	1                        	1             	3                  	1                   	7                 	5                     	1                    	3                       	1                  	1                      	1                	2                	3                     	5                   	3                     	1         	3                   	11                         	3            	2                            	2                    	2                       	2               	4                    	3                      	3                   	2                 	3                 	2                      	1                       	1                     	                      	                           	                          	                     	                	                    	              	                        	                 	                     	                       	                   	                	                     	                   	                      	                 	                 	                       	                  	                      	                          	                            	                  	             	            	                	               	                 	                        	                  	                             	                            	                        	                    	                     	               	                             	                    	                      	                   	           	                      	                 	                              	                       	                   	                 	                    	                       	                             	                 	                       	                         	                       	                      	                   	                        	                          	              	                     	                                	                           	             	               	             	                  	                   	                	                 	                    	                     	                   	                    	                     	                      	                 	                   	                     	                   	                  	                               	                      	                           	              	                 	                      	            	                    	                    	                              	                   	                        	                  	                	                       	                 	                      	                        	                  	                    	                    	                	                        	                	                             	                    	           	                        	                     	                          	                       	                    	                       	               	                 	                      	                   	                	                       	                  	                   	                  	                  	                     	                             	                        	                      	                       	              	                     	            	                               	                 	               	                   	                       	                            	                          	                      	                       	                                      	                	                    	                     	                     	                      	                     	                    	                  	                          	                   	                	                   	               	                       	                                  	                        	                	Misc. agglut. forams =  0; Total agglut. forams =  21; Total calc. forams =  99; Total benthic forams =  120; from ODP Leg 134 SR Chapter 12 Table 5 backpocket

  SR	                 	                 	                  	              	134	 832	B	 83	R	 1	  89.00	    934.1900	Perembo  	Benthic Foraminifers                         	               	M                 	C               	                     	                  	                   	                             	                             	                     	                     	               	                      	                         	                         	              	                   	                    	                  	                      	                     	                        	                   	                       	                 	                 	                      	                    	                      	          	                    	                           	             	                             	                     	                        	                	                     	                       	                    	                  	                  	                       	                        	                      	                      	                           	                          	                     	                	                    	              	                        	                 	                     	                       	                   	                	                     	                   	                      	                 	                 	                       	                  	                      	                          	                            	                  	             	            	                	               	                 	                        	                  	                             	                            	                        	                    	                     	               	                             	                    	                      	                   	           	                      	                 	                              	                       	                   	                 	                    	                       	                             	                 	                       	                         	                       	                      	                   	                        	                          	              	                     	                                	                           	             	               	             	                  	                   	                	                 	                    	                     	                   	                    	                     	                      	                 	                   	                     	                   	                  	                               	                      	                           	              	                 	                      	            	                    	                    	                              	                   	                        	                  	                	                       	                 	                      	                        	                  	                    	                    	                	                        	                	                             	                    	           	                        	                     	                          	                       	                    	                       	               	                 	                      	                   	                	                       	                  	                   	                  	                  	                     	                             	                        	                      	                       	              	                     	            	                               	                 	               	                   	                       	                            	                          	                      	                       	                                      	                	                    	                     	                     	                      	                     	                    	                  	                          	                   	                	                   	               	                       	                                  	                        	                	from ODP Leg 134 SR Chapter 11 Table 2 p 255

