Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichomitra asymbatos,Dictyomitra sp,Amphipyndax stocki,Amphisphaera aotea,Thecosphaera sp.,Periphaena sp.,Lychnocanoma babylonis,Lychnocanoma amphitrite,Lophocyrtis sp.,Liriospyris sp.,Druppatractus sp.,Dorcadospyris sp.,Dictyoprora sp.,Carpocanistrum sp.,Stylacontarium bispiculum,Actinomma sp.,Stylodictya sp.,Spongodiscus sp.,Peripyramis sp.,Heliodiscus tunicatus,Eucyrtidium sp.,Periphaena heliasteriscus,Dorcadospyris ateuchus,Amphirhopalum ypsilon,Dorcadospyris mahurangi,Stylatractus neptunus,Lychnocanoma conica,Lychnocanium neptunei,Hexacontium sp.,Clathrocorys? sp.,Calocycletta sp.,Stichocorys negripontensis,Lychnocanoma elongata,Larcopyle sp.,Heliodiscus asteriscus,Botryostrobus hollisi,Valkyria pukapuka,Theocorys puriri,Phormocyrtis alexandrae,Lophophaena tekopua,Lophophaena sp.,Lophocyrtis inaequalis,Lophocyrtis galenum,Lithomelissa maureenae,Lamprocyclas matakohe,Gorgospyris sp.,Euchitonia sp.,Didymocyrtis prismatica,Cornutella profunda,Botryostrobus sp.,Artophormis gracilis,Anthocyrtidium marieae,Stylosphaera timmsi,Spongodiscus osculosus,Lychnocanoma sp.,Lophocyrtis cf. inaequalis,Cyrtocapsella tetrapera,Stichocorys peregrina,Didymocyrtis sp.,Ceratocyrtis sp.,Lamprocyclas maritalis maritalis,Eucyrtidium calvertense,Botryostrobus auritus/australis,Axoprunum angelinum,Theocorythium vetulum,Sphaeropyle langii,Dictyophimus hirundo,Tetrapyle octacantha,Stichocorys sp.,Lamprocyrtis neoheteroporos,Lamprocyrtis heteroporos,Lamprocyclas hannai,Eucyrtidium teuscheri teuscheri,Didymocyrtis tetrathalamus tetrathalamus,Dictyophimus sp.,Collosphaera sp.,Anthocyrtidium ehrenbergi,Spongotrochus glacialis,Saturnalis circularis,Pterocanium trilobum,Pterocanium praetextum praetextum,Gondwanaria dogieli,Cycladophora davisiana davisiana,Actinomma medianum,Prunopyle antarctica,Phorticium clevei,Druppatractus irregularis,Actinomma leptodermum,Theocorythium trachelium trachelium,Stylacontarium acquilonium,Stylatractus sp.,Spongaster tetras tetras,Pterocorys zancleus,Pterocorys minythorax,Lithopera bacca,Lamprocyrtis nigriniae,Eucyrtidium acuminatum,Dictyophimus crisiae,Cycladophora pliocenica,Anthocyrtidium sp.,Cycladophora bicornis bicornis,Comment
  IR,                 ,                 ,                  ,              ,181,1124,C, 35,X,CC,  30.00,    342.3400,rads     ,Radiolarians                                 ,R              ,G                 ,                     ,              ,T                 ,                  ,                ,R             ,                      ,                       ,               ,               ,                 ,R                ,               ,R                 ,R                        ,R            ,               ,R               ,T              ,                     ,               ,                         ,R                     ,                     ,                       ,                     ,                   ,                     ,T              ,                 ,                ,T                         ,T                    ,R            ,R                     ,R                    ,                 ,                ,                       ,                   ,               ,                      ,                   ,                      ,                     ,               ,              ,                       ,                   ,                 ,                    ,                      ,                   ,                      ,                ,                          ,                       ,                     ,                ,                ,                                ,                       ,                               ,                   ,                     ,                  ,                    ,                    ,               ,                           ,                        ,                   ,                               ,                                        ,                ,                ,                         ,                       ,                     ,                    ,                                 ,                   ,                                ,                  ,                    ,                 ,                         ,                     ,                                   ,                          ,                ,                        ,                   ,                     ,               ,                      ,                      ,                    ,                       ,                  ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 36,X,CC,  15.00,    351.7100,rads     ,Radiolarians                                 ,R              ,G                 ,                     ,              ,R                 ,                  ,R               ,              ,                      ,                       ,               ,               ,                 ,                 ,               ,                  ,R                        ,             ,T              ,                ,T              ,                     ,               ,T                        ,R                     ,                     ,R                      ,R                    ,T                  ,R                    ,R              ,T                ,T               ,                          ,                     ,             ,                      ,                     ,                 ,                ,                       ,                   ,               ,                      ,                   ,                      ,                     ,               ,              ,                       ,                   ,                 ,                    ,                      ,                   ,                      ,                ,                          ,                       ,                     ,                ,                ,                                ,                       ,                               ,                   ,                     ,                  ,                    ,                    ,               ,                           ,                        ,                   ,                               ,                                        ,                ,                ,                         ,                       ,                     ,                    ,                                 ,                   ,                                ,                  ,                    ,                 ,                         ,                     ,                                   ,                          ,                ,                        ,                   ,                     ,               ,                      ,                      ,                    ,                       ,                  ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 37,X,CC,  31.00,    361.5400,rads     ,Radiolarians                                 ,T              ,M                 ,                     ,              ,                  ,                  ,                ,              ,                      ,                       ,               ,               ,                 ,                 ,               ,T                 ,                         ,R            ,               ,                ,               ,                     ,               ,                         ,                      ,                     ,T                      ,                     ,                   ,                     ,               ,                 ,                ,                          ,                     ,             ,                      ,                     ,                 ,                ,                       ,                   ,               ,                      ,                   ,                      ,                     ,               ,              ,                       ,                   ,                 ,                    ,                      ,                   ,                      ,                ,                          ,                       ,                     ,                ,                ,                                ,                       ,                               ,                   ,                     ,                  ,                    ,                    ,               ,                           ,                        ,                   ,                               ,                                        ,                ,                ,                         ,                       ,                     ,                    ,                                 ,                   ,                                ,                  ,                    ,                 ,                         ,                     ,                                   ,                          ,                ,                        ,                   ,                     ,               ,                      ,                      ,                    ,                       ,                  ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 38,X,CC,  19.00,    371.0600,rads     ,Radiolarians                                 ,T              ,M                 ,                     ,              ,                  ,                  ,                ,              ,                      ,                       ,               ,               ,                 ,                 ,               ,                  ,T                        ,T            ,               ,                ,               ,                     ,T              ,T                        ,R                     ,T                    ,                       ,                     ,                   ,                     ,               ,                 ,                ,                          ,                     ,             ,                      ,                     ,                 ,                ,                       ,                   ,               ,                      ,                   ,                      ,                     ,               ,              ,                       ,                   ,                 ,                    ,                      ,                   ,                      ,                ,                          ,                       ,                     ,                ,                ,                                ,                       ,                               ,                   ,                     ,                  ,                    ,                    ,               ,                           ,                        ,                   ,                               ,                                        ,                ,                ,                         ,                       ,                     ,                    ,                                 ,                   ,                                ,                  ,                    ,                 ,                         ,                     ,                                   ,                          ,                ,                        ,                   ,                     ,               ,                      ,                      ,                    ,                       ,                  ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 39,X,CC,  29.00,    380.9500,rads     ,Radiolarians                                 ,R              ,G                 ,                     ,              ,                  ,                  ,                ,              ,                      ,                       ,               ,               ,                 ,T                ,               ,T                 ,R                        ,             ,R              ,T               ,R              ,R                    ,R              ,                         ,                      ,                     ,                       ,                     ,                   ,                     ,               ,                 ,                ,                          ,                     ,             ,                      ,                     ,                 ,                ,                       ,                   ,               ,                      ,                   ,                      ,                     ,               ,              ,                       ,                   ,                 ,                    ,                      ,                   ,                      ,                ,                          ,                       ,                     ,                ,                ,                                ,                       ,                               ,                   ,                     ,                  ,                    ,                    ,               ,                           ,                        ,                   ,                               ,                                        ,                ,                ,                         ,                       ,                     ,                    ,                                 ,                   ,                                ,                  ,                    ,                 ,                         ,                     ,                                   ,                          ,                ,                        ,                   ,                     ,               ,                      ,                      ,                    ,                       ,                  ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 40,X,CC,   0.00,    390.0700,rads     ,Radiolarians                                 ,T              ,G                 ,                     ,              ,                  ,                  ,                ,              ,                      ,                       ,               ,               ,                 ,T                ,               ,                  ,T                        ,R            ,               ,                ,               ,                     ,               ,                         ,                      ,                     ,                       ,                     ,                   ,                     ,               ,                 ,                ,                          ,                     ,             ,                      ,                     ,                 ,                ,                       ,                   ,               ,                      ,                   ,                      ,                     ,               ,              ,                       ,                   ,                 ,                    ,                      ,                   ,                      ,                ,                          ,                       ,                     ,                ,                ,                                ,                       ,                               ,                   ,                     ,                  ,                    ,                    ,               ,                           ,                        ,                   ,                               ,                                        ,                ,                ,                         ,                       ,                     ,                    ,                                 ,                   ,                                ,                  ,                    ,                 ,                         ,                     ,                                   ,                          ,                ,                        ,                   ,                     ,               ,                      ,                      ,                    ,                       ,                  ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 41,X,CC,  47.00,    399.8700,rads     ,Radiolarians                                 ,T              ,G                 ,                     ,              ,                  ,                  ,                ,              ,                      ,                       ,               ,               ,R                ,T                ,R              ,T                 ,                         ,             ,               ,                ,               ,                     ,               ,                         ,                      ,                     ,                       ,                     ,                   ,                     ,               ,                 ,                ,                          ,                     ,             ,                      ,                     ,                 ,                ,                       ,                   ,               ,                      ,                   ,                      ,                     ,               ,              ,                       ,                   ,                 ,                    ,                      ,                   ,                      ,                ,                          ,                       ,                     ,                ,                ,                                ,                       ,                               ,                   ,                     ,                  ,                    ,                    ,               ,                           ,                        ,                   ,                               ,                                        ,                ,                ,                         ,                       ,                     ,                    ,                                 ,                   ,                                ,                  ,                    ,                 ,                         ,                     ,                                   ,                          ,                ,                        ,                   ,                     ,               ,                      ,                      ,                    ,                       ,                  ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 42,X,CC,  22.00,    409.6900,rads     ,Radiolarians                                 ,R              ,G                 ,                     ,              ,T                 ,                  ,                ,F             ,R                     ,T                      ,T              ,T              ,R                ,R                ,               ,                  ,                         ,             ,               ,                ,               ,                     ,               ,                         ,                      ,                     ,                       ,                     ,                   ,                     ,               ,                 ,                ,                          ,                     ,             ,                      ,                     ,                 ,                ,                       ,                   ,               ,                      ,                   ,                      ,                     ,               ,              ,                       ,                   ,                 ,                    ,                      ,                   ,                      ,                ,                          ,                       ,                     ,                ,                ,                                ,                       ,                               ,                   ,                     ,                  ,                    ,                    ,               ,                           ,                        ,                   ,                               ,                                        ,                ,                ,                         ,                       ,                     ,                    ,                                 ,                   ,                                ,                  ,                    ,                 ,                         ,                     ,                                   ,                          ,                ,                        ,                   ,                     ,               ,                      ,                      ,                    ,                       ,                  ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 45,X,CC,  15.00,    438.6200,rads     ,Radiolarians                                 ,T              ,G                 ,                     ,              ,                  ,                  ,R               ,              ,                      ,                       ,               ,               ,                 ,                 ,               ,                  ,                         ,             ,               ,                ,               ,                     ,               ,                         ,                      ,                     ,                       ,                     ,                   ,                     ,               ,                 ,                ,                          ,                     ,             ,                      ,                     ,                 ,                ,                       ,                   ,               ,                      ,                   ,                      ,                     ,               ,              ,                       ,                   ,                 ,                    ,                      ,                   ,                      ,                ,                          ,                       ,                     ,                ,                ,                                ,                       ,                               ,                   ,                     ,                  ,                    ,                    ,               ,                           ,                        ,                   ,                               ,                                        ,                ,                ,                         ,                       ,                     ,                    ,                                 ,                   ,                                ,                  ,                    ,                 ,                         ,                     ,                                   ,                          ,                ,                        ,                   ,                     ,               ,                      ,                      ,                    ,                       ,                  ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 47,X,CC,  16.00,    457.4600,rads     ,Radiolarians                                 ,T              ,P                 ,                     ,              ,                  ,R                 ,                ,              ,                      ,                       ,               ,               ,                 ,                 ,               ,                  ,                         ,             ,               ,                ,               ,                     ,               ,                         ,                      ,                     ,                       ,                     ,                   ,                     ,               ,                 ,                ,                          ,                     ,             ,                      ,                     ,                 ,                ,                       ,                   ,               ,                      ,                   ,                      ,                     ,               ,              ,                       ,                   ,                 ,                    ,                      ,                   ,                      ,                ,                          ,                       ,                     ,                ,                ,                                ,                       ,                               ,                   ,                     ,                  ,                    ,                    ,               ,                           ,                        ,                   ,                               ,                                        ,                ,                ,                         ,                       ,                     ,                    ,                                 ,                   ,                                ,                  ,                    ,                 ,                         ,                     ,                                   ,                          ,                ,                        ,                   ,                     ,               ,                      ,                      ,                    ,                       ,                  ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 48,X, 3,  44.00,    461.3400,rads     ,Radiolarians                                 ,T              ,P                 ,                     ,              ,                  ,R                 ,                ,              ,                      ,                       ,               ,               ,                 ,                 ,               ,                  ,                         ,             ,               ,                ,               ,                     ,               ,                         ,                      ,                     ,                       ,                     ,                   ,                     ,               ,                 ,                ,                          ,                     ,             ,                      ,                     ,                 ,                ,                       ,                   ,               ,                      ,                   ,                      ,                     ,               ,              ,                       ,                   ,                 ,                    ,                      ,                   ,                      ,                ,                          ,                       ,                     ,                ,                ,                                ,                       ,                               ,                   ,                     ,                  ,                    ,                    ,               ,                           ,                        ,                   ,                               ,                                        ,                ,                ,                         ,                       ,                     ,                    ,                                 ,                   ,                                ,                  ,                    ,                 ,                         ,                     ,                                   ,                          ,                ,                        ,                   ,                     ,               ,                      ,                      ,                    ,                       ,                  ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 49,X, 1,  21.00,    467.6100,rads     ,Radiolarians                                 ,A              ,P                 ,R                    ,R             ,C                 ,                  ,                ,              ,                      ,                       ,               ,               ,                 ,                 ,               ,                  ,                         ,             ,               ,                ,               ,                     ,               ,                         ,                      ,                     ,                       ,                     ,                   ,                     ,               ,                 ,                ,                          ,                     ,             ,                      ,                     ,                 ,                ,                       ,                   ,               ,                      ,                   ,                      ,                     ,               ,              ,                       ,                   ,                 ,                    ,                      ,                   ,                      ,                ,                          ,                       ,                     ,                ,                ,                                ,                       ,                               ,                   ,                     ,                  ,                    ,                    ,               ,                           ,                        ,                   ,                               ,                                        ,                ,                ,                         ,                       ,                     ,                    ,                                 ,                   ,                                ,                  ,                    ,                 ,                         ,                     ,                                   ,                          ,                ,                        ,                   ,                     ,               ,                      ,                      ,                    ,                       ,                  ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 49,X,CC,   0.00,    473.0200,rads     ,Radiolarians                                 ,A              ,P                 ,T                    ,R             ,T                 ,                  ,                ,              ,                      ,                       ,               ,               ,                 ,                 ,               ,                  ,                         ,             ,               ,                ,               ,                     ,               ,                         ,                      ,                     ,                       ,                     ,                   ,                     ,               ,                 ,                ,                          ,                     ,             ,                      ,                     ,                 ,                ,                       ,                   ,               ,                      ,                   ,                      ,                     ,               ,              ,                       ,                   ,                 ,                    ,                      ,                   ,                      ,                ,                          ,                       ,                     ,                ,                ,                                ,                       ,                               ,                   ,                     ,                  ,                    ,                    ,               ,                           ,                        ,                   ,                               ,                                        ,                ,                ,                         ,                       ,                     ,                    ,                                 ,                   ,                                ,                  ,                    ,                 ,                         ,                     ,                                   ,                          ,                ,                        ,                   ,                     ,               ,                      ,                      ,                    ,                       ,                  ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
