Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Grading,Sorting,Primary sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],2nd sedimentary structure,3rd sedimentary structure,Minor components,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,General interval comment,Ship File Links,Shore File Links,File Data
375-U1518F-15R-2-A,0,73,323.62,324.35,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),,bioturbated,bioturbated,horizontal,,consolidated,,,,strong,3,,,,,,,,,Primary sedimentary structure almost completely obscured by moderate to strong bioturbation.,,,
375-U1518F-15R-3-A,0,66,324.35,325.01,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),,bioturbated,bioturbated,horizontal,,consolidated,,,,strong,3,,,,,,,,,Primary sedimentary structure almost completely obscured by moderate to strong bioturbation.,,,
375-U1518F-15R-3-A,91,145,325.26,325.8,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),,bioturbated,bioturbated,horizontal,,consolidated,,,,strong,3,,,,,,,,,Primary sedimentary structure almost completely obscured by moderate to strong bioturbation.,,,
375-U1518F-16R-1-A,0,80,332,332.8,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),planar,bioturbated,planar bioturbated,horizontal,,consolidated,,moderate,parallel bedding,strong,3,planar lamination,,pyrite,,,,,,Primary sedimentary structure almost completely obscured by moderate to strong bioturbation.,,,
375-U1518F-16R-2-A,0,135,333,334.35,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),planar,bioturbated,planar bioturbated,horizontal,,consolidated,,moderate,parallel bedding,strong,3,planar lamination,,pyrite,,,,,,Primary sedimentary structure almost completely obscured by moderate to strong bioturbation. Base of silt layers at 22 and 65.,,,
375-U1518F-16R-3-A,0,101,334.35,335.36,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),planar,bioturbated,planar bioturbated,horizontal,,consolidated,,moderate,parallel bedding,strong,3,planar lamination,,pyrite,,,,,,"Primary sedimentary structure almost completely obscured by moderate to strong bioturbation. Base of silt layers at 41, 51, 63, 69 and 90 cm. Silty sand layers and lenses contain high amount of volcaniclastics.",,,
375-U1518F-16R-4-A,0,70,335.53,336.23,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),planar,bioturbated,planar bioturbated,horizontal,,consolidated,,moderate,parallel bedding,strong,3,planar lamination,,pyrite,,,,,,"Primary sedimentary structure almost completely obscured by moderate to strong bioturbation. Base of silt layers at 17, 28 and 61. Silty sand layers and lenses contain high amount of volcaniclastics.",,,
375-U1518F-16R-CC-A,0,10.8,336.23,336.338,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),planar,bioturbated,planar bioturbated,horizontal,,consolidated,,moderate,parallel bedding,strong,3,,,,,,,,,Primary sedimentary structure almost completely obscured by moderate to strong bioturbation,,,
375-U1518F-17R-1-A,0,92,341.6,342.52,,,mudstone,with nannofossils,mudstone,mudstone with nannofossils,mudstone with nannofossils,10Y 5/1 (greenish gray),planar,bioturbated,planar bioturbated,horizontal,,consolidated,,,parallel bedding,strong,3,,,,,,,,,Primary sedimentary structure almost completely obscured by moderate to strong bioturbation,,,
375-U1518F-17R-2-A,0,79.5,342.52,343.315,,,mudstone,with nannofossils,mudstone,mudstone with nannofossils,mudstone with nannofossils,10Y 5/1 (greenish gray),planar,bioturbated,planar bioturbated,horizontal,thin bed,consolidated,,,parallel bedding,strong,3,planar lamination,,,,,,,,Primary sedimentary structure almost completely obscured by moderate to strong bioturbation. Base of silt layer at 4 cm.,,,
375-U1518F-17R-3-A,0,108.7,343.51,344.597,,,mudstone,with nannofossils,mudstone,mudstone with nannofossils,mudstone with nannofossils,10Y 5/1 (greenish gray),planar,bioturbated,planar bioturbated,horizontal,thin bed,consolidated,,,parallel bedding,strong,3,planar lamination,,,,,,,,"Primary sedimentary structure almost completely obscured by moderate to strong bioturbation. Base of silt layers at 17, 41, 93 cm.",,,
375-U1518F-17R-4-A,0,100.4,344.79,345.794,,,mudstone,with nannofossils,mudstone,mudstone with nannofossils,mudstone with nannofossils,10Y 5/1 (greenish gray),planar,bioturbated,planar bioturbated,horizontal,thin bed,consolidated,,,parallel bedding,strong,3,planar lamination,,,,,,,,"Primary sedimentary structure almost completely obscured by moderate to strong bioturbation. Base of silt layers at 43, 47, 55, 95 cm.",,,
375-U1518F-17R-5-A,0,47,345.94,346.41,,,mudstone,with nannofossils,mudstone,mudstone with nannofossils,mudstone with nannofossils,10Y 5/1 (greenish gray),planar,bioturbated,planar bioturbated,horizontal,,consolidated,,,parallel bedding,strong,3,,,,,,,,,Primary sedimentary structure almost completely obscured by moderate to strong bioturbation,,,
375-U1518F-18R-1-A,0,122.5,351.2,352.425,,,mudstone,with nannofossils,mudstone,mudstone with nannofossils,mudstone with nannofossils,10Y 5/1 (greenish gray),planar,sharp,planar sharp,sub-horizontal,very thin bed,consolidated,,moderate,parallel bedding,moderate,2,planar lamination,,,,,,,,"Siltstone and mudstone. Base of silt layers at 15, 19, 24, 32, 36, 52, 73, 75, 78, 95 cm. The beds are disrupted and some muddy fragments are included as distorted blocks along the section. The layers have varying dips due to drilling disturbance and biscuiting.",,,
375-U1518F-18R-2-A,0,112.6,352.62,353.746,,,mudstone,with nannofossils,mudstone,mudstone with nannofossils,mudstone with nannofossils,10Y 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,very thin bed,consolidated,,moderate,parallel bedding,moderate,2,planar lamination,,,,,,,,"Siltstone and mudstone. Base of silt layers at 3, 15, 30, 34, 37, 49, 53, 81, 92, 98, 103 cm. The beds are disrupted and some muddy fragments are included as distorted blocks along the section. The layers have varying dips due to drilling disturbance and biscuiting.",,,
375-U1518F-18R-CC-A,0,14,353.84,353.98,,,mudstone,with nannofossils,mudstone,mudstone with nannofossils,mudstone with nannofossils,10Y 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,very thin bed,consolidated,,moderate,parallel bedding,moderate,2,planar lamination,,,,,,,,"Siltstone and mudstone. Base of silt layers at 4, 10,12 cm. The layers have varying dips due to drilling disturbance and biscuiting.",,,
375-U1518F-19R-1-A,0,88,360.8,361.68,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),irregular,sharp,irregular sharp,sub-horizontal,very thin bed,consolidated,,poor,,strong,3,planar lamination,,,,,,,,"Siltstone and mudstone. Base of silt layers at 24, 53, 60, 62, 70, 78 cm. The beds are disrupted and some muddy fragments are included as distorted blocks along the section. The layers have varying dips due to drilling disturbance and biscuiting.",,,
375-U1518F-19R-2-A,0,37,361.68,362.05,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),planar,sharp,planar sharp,sub-horizontal,very thin bed,consolidated,,poor,parallel bedding,moderate,2,planar lamination,,,,,,,,"Siltstone and mudstone. Base of silt layers at 6, 9, 18, 19, 31 cm. The beds are disrupted and some muddy fragments are included as distorted blocks along the section. The layers have varying dips due to drilling disturbance and biscuiting.",,,
375-U1518F-19R-3-A,0,49,362.41,362.9,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),irregular,sharp,irregular sharp,sub-horizontal,very thin bed,consolidated,,poor,parallel bedding,moderate,2,planar lamination,,,,,,,,"Siltstone and mudstone. Primary sedimentary structure is disrupted due to deformation, Base of silt layers at 19, 31, 38, 40, 43 cm. Black (N2.5/1) silt layer (34-38 cm) is a lithic fragment-rich clayey silt. The beds are disrupted and some muddy fragments are included as distorted blocks along the section. The layers have varying dips and irregular bases due to drilling disturbance and biscuiting.",,,
375-U1518F-19R-CC-A,5,14,362.95,363.04,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),irregular,sharp,irregular sharp,horizontal,lamina,consolidated,,poor,parallel bedding,moderate,2,,,,,,,,,"Siltstone and mudstone. Base of lamina at 11, 12 cm.",,,
375-U1518F-20R-1-A,0,88,370.4,371.28,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),irregular,sharp,irregular sharp,sub-horizontal,lamina,consolidated,,poor,,moderate,2,planar lamination,,,,,,,,"Siltstone and mudstone. Base of lamina at 24, 37, 50, 54, 59, 61, 62 cm. The beds are disrupted and some muddy fragments are included as distorted blocks along the section. The laminae have varying dips due to drilling disturbance and biscuiting.",,,
375-U1518F-20R-2-A,0,71,371.48,372.19,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),irregular,sharp,irregular sharp,sub-horizontal,lamina,consolidated,,poor,,moderate,2,planar lamination,,,,,,,,"Siltstone and mudstone. Base of lamina at 7, 18, 21, 28, 37, 41, 49, 59 cm. The beds are disrupted and some muddy/silty fragments are included as distorted blocks along the section. The layers have varying dips due to drilling disturbance and biscuiting.",,,
375-U1518F-20R-3-A,0,52,372.38,372.9,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),irregular,sharp,irregular sharp,sub-horizontal,very thin bed,consolidated,,poor,,moderate,2,,,,,,,,,"Siltstone and mudstone. Lamination changes dip throughout the core. Base of lamina at 6, 31, 35, 47 cm. Locally, very thin beds are disrupted and some muddy/silty fragments are included as distorted blocks along the section. The layers have varying dips due to drilling disturbance and biscuiting.",,,
375-U1518F-20R-3-A,52,69,372.9,373.07,,,convoluted mud clasts,,convoluted mud clasts,convoluted mud clasts,convoluted mud clasts,10Y 5/1 (greenish gray),,,,,,consolidated,,moderate,,,,,,,,,,,,"Mudstone. Mixed mudstone bands or mudstone clasts with different color. Base of silt lamina at 55, 59, 62 cm.",,,
375-U1518F-20R-3-A,69,97,373.07,373.35,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),irregular,sharp,irregular sharp,sub-horizontal,very thin bed,consolidated,,poor,,moderate,2,,,,,,,,,Siltstone and mudstone. Lamination changes dip throughout the core. Base of lamina at 87 cm. Intense bioturbation between 69-72 cm. The beds are disrupted and some muddy/silty fragments are included as distorted blocks along the section. The layers have varying dips due to drilling disturbance and biscuiting.,,,
375-U1518F-20R-3-A,97,127,373.35,373.65,,,convoluted mud clasts,,convoluted mud clasts,convoluted mud clasts,convoluted mud clasts,10Y 5/1 (greenish gray),,,,,,consolidated,,moderate,,,,,,,,,,,,Mudstone. Mixed mudstone bands or mudstone clasts with different color. Silty lamina at 106 cm. Intense bioturbation across entire section.,,,
375-U1518F-20R-3-A,127,133,373.65,373.71,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),irregular,sharp,irregular sharp,sub-horizontal,very thin bed,consolidated,,poor,,moderate,2,,,,,,,,,Siltstone and mudstone. Lamination changes dip throughout the core. Intense bioturbation across entire section. The beds are disrupted and some muddy/silty fragments are included as distorted blocks along the section. The layers have varying dips due to drilling disturbance and biscuiting.,,,
375-U1518F-21R-1-A,0,63,380,380.63,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),planar,sharp,planar sharp,sub-horizontal,lamina,consolidated,,moderate,parallel bedding,moderate,2,planar lamination,,,,,,,,"Siltstone and mudstone. Drilling disturbance locally obscures sedimentary structures, strong drilling disturbance in the top 23 cm of section. Base of lamina at 39 cm. Thin beds are disrupted and some muddy/silty fragments are included as distorted blocks along the section. The layers have varying dips due to drilling disturbance and biscuiting.",,,
375-U1518F-21R-1-A,63,80,380.63,380.8,,,convoluted mud clasts,,convoluted mud clasts,convoluted mud clasts,convoluted mud clasts,10Y 5/1 (greenish gray),,,,,,consolidated,,moderate,,,,,,,,,,,,Mudstone. Mixed mudstone bands or mudstone clasts with different color. Silty lamina at 79 cm.,,,
375-U1518F-21R-2-A,0,61,380.8,381.41,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),planar,sharp,planar sharp,sub-horizontal,very thin bed,consolidated,,moderate,parallel bedding,moderate,2,planar lamination,,,,,,,,Siltstone and mudstone. Base of silty bed at 49 cm. The beds are disrupted and some muddy/silty fragments are included as distorted blocks along the section. The layers have varying dips due to drilling disturbance and biscuiting.,,,
375-U1518F-21R-3-A,0,79,381.61,382.4,,,convoluted mud clasts,,convoluted mud clasts,convoluted mud clasts,convoluted mud clasts,10Y 5/1 (greenish gray),,,,sub-horizontal,,consolidated,,,,strong,3,planar lamination,,,,,,,,"Mudstone with only minor siltstone, due to strong drilling disturbance and biscuiting. Section dominated by disrupted beds visible as mixed mudstone bands with different color, and muddy/silty fragments included as distorted blocks. Mudstone and siltstone intervals with no evidence of disrupted beds at 34-39 and 53-57 cm intervals. Strong bioturbation (13-25, 57-79 cm) obscure most sedimentary structures. The layers have varying dips due to drilling disturbance and biscuiting.",,,
375-U1518F-21R-4-A,0,26,382.4,382.66,,,convoluted mud clasts,,convoluted mud clasts,convoluted mud clasts,convoluted mud clasts,10Y 5/1 (greenish gray),,,,,,consolidated,,moderate,,,,,,,,,,,,Mudstone. Mixed mudstone bands or mudstone clasts with different color.,,,
375-U1518F-21R-4-A,26,40,382.66,382.8,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),planar,sharp,planar sharp,sub-horizontal,very thin bed,consolidated,,moderate,parallel bedding,strong,3,planar lamination,,,,,,,,Siltstone and mudstone. Very thin beds are disrupted and some muddy/silty fragments are included as distorted blocks along the section. The layers have varying dips due to drilling disturbance and biscuiting.,,,
375-U1518F-21R-4-A,40,71,382.8,383.11,,,convoluted mud clasts,,convoluted mud clasts,convoluted mud clasts,convoluted mud clasts,10Y 5/1 (greenish gray),,,,,,consolidated,,moderate,,,,,,,,,,,,Mudstone. Mixed mudstone bands or mudstone clasts with different color. Base of very thin layer at 59 cm.,,,
375-U1518F-21R-CC-A,6,13,383.17,383.24,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),,,,sub-horizontal,,consolidated,,,,moderate,2,,,,,,,,,Siltstone and mudstone. The beds are disrupted and some muddy/silty fragments are included as distorted blocks along the section.,,,
375-U1518F-22R-1-A,0,136,389.6,390.96,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),planar,sharp,planar sharp,sub-horizontal,,consolidated,,moderate,,slight,1,planar lamination,,,,,,,,Siltstone and mudstone. Drilling disturbance obscure most sedimentary structures. Most bases of slit layers are missing due to drilling disturbance and biscuiting that occurs with ca. 5-10 cm frequency. One base of a silt bed at 23 cm.,,,
375-U1518F-22R-2-A,0,15,391.1,391.25,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),planar,sharp,planar sharp,sub-horizontal,,consolidated,,moderate,,slight,1,planar lamination,,,,,,,,Siltstone and mudstone. Drilling disturbance obscure most sedimentary structures. Mostly bases of silt layers are missing due to drilling disturbance and biscuiting that occurs within ca.10 cm steps.,,,
375-U1518F-22R-2-A,15,57,391.25,391.67,,,convoluted mud clasts,,convoluted mud clasts,convoluted mud clasts,convoluted mud clasts,10Y 5/1 (greenish gray),,,,,,consolidated,,moderate,,,,,,,,,,,,Mudstone. Mixed mudstone bands or mudstone clasts with different color.,,,
375-U1518F-22R-2-A,57,86,391.67,391.96,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),planar,sharp,planar sharp,sub-horizontal,,consolidated,,moderate,,slight,1,planar lamination,,,,,,,,Siltstone and mudstone. Drilling disturbance obscure most sedimentary structures. Most bases of silt layers are missing due to drilling disturbance and biscuiting that occurs in ca. 10 cm intervals.,,,
375-U1518F-23R-1-A,0,65,399.2,399.85,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),irregular,sharp,irregular sharp,sub-horizontal,very thin bed,consolidated,normal grading,poor,parallel bedding,moderate,2,,,,,,,,,Siltstone and mudstone. Silt layers at 55 cm is volcaniclastic very fine sand. Former hydrate hosting sediments at 43-63 cm. Locally thin beds are disrupted and some muddy/silty fragments are included as distorted blocks along the section. The layers have varying dips due to drilling disturbance and biscuiting.,,,
375-U1518F-23R-1-A,65,80,399.85,400,,,convoluted mud clasts,,convoluted mud clasts,convoluted mud clasts,convoluted mud clasts,10Y 5/1 (greenish gray),,,,,,consolidated,,moderate,,,,,,,,,,,,Mudstone. Mixed mudstone bands or mudstone clasts with different color. Silt layer at 69 cm.,,,
375-U1518F-23R-1-A,80,89,400,400.09,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),irregular,sharp,irregular sharp,sub-horizontal,very thin bed,consolidated,normal grading,poor,parallel bedding,moderate,2,,,,,,,,,Siltstone and mudstone. The layers have varying dips due to drilling disturbance and biscuiting.,,,
375-U1518F-23R-1-A,89,111,400.09,400.31,,,convoluted mud clasts,,convoluted mud clasts,convoluted mud clasts,convoluted mud clasts,10Y 5/1 (greenish gray),,,,,,consolidated,,moderate,,,,,,,,,,,,Mudstone. Mixed mudstone bands or mudstone clasts with different color.,,,
375-U1518F-23R-1-A,111,129,400.31,400.49,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),irregular,sharp,irregular sharp,sub-horizontal,very thin bed,consolidated,normal grading,poor,parallel bedding,moderate,2,,,,,,,,,Siltstone and mudstone. Locally thin beds are disrupted and some muddy/silty fragments are included as distorted blocks along the section. The layers have varying dips due to drilling disturbance and biscuiting.,,,
375-U1518F-23R-2-A,0,38,400.69,401.07,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),irregular,sharp,irregular sharp,sub-horizontal,very thin bed,consolidated,,poor,,moderate,2,planar lamination,,,,,,,,"Siltstone and mudstone. Silt layer at 10, showing black carbon material at the top. Locally, thin beds are disrupted and some muddy/silty fragments are included as distorted blocks along the section. The layers have varying dips due to drilling disturbance and biscuiting.",,,
375-U1518F-23R-2-A,38,49,401.07,401.18,,,convoluted mud clasts,,convoluted mud clasts,convoluted mud clasts,convoluted mud clasts,10Y 5/1 (greenish gray),,,,,,consolidated,,moderate,,,,,,,,,,,,Mudstone. Mixed mudstone bands or mudstone clasts with different color. Silt layer at 39 cm.,,,
375-U1518F-23R-3-A,0,88,401.6,402.48,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),irregular,sharp,irregular sharp,sub-horizontal,very thin bed,consolidated,normal grading,poor,parallel bedding,moderate,2,planar lamination,,,,,,,,"Siltstone and mudstone. Silt layers at 12, 15, 17 (offset), 36, 46, 58, 70, and 83 cm. Sediments that hosted hydrate at 26-39 cm. The layers have varying dips due to drilling disturbance and biscuiting.",,,
375-U1518F-23R-CC-A,0,5,402.48,402.53,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),,,,,,consolidated,,,,moderate,2,,,,,,,,,Siltstone and mudstone.,,,
375-U1518F-24R-1-A,0,50,408.8,409.3,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),irregular,sharp,irregular sharp,sub-horizontal,very thin bed,consolidated,,poor,parallel bedding,moderate,2,planar lamination,,,,,,,,"Siltstone and mudstone. Silt layers at 72, 80, 94, 115 and 120 cm. The beds are disrupted and some muddy/silty fragments are included as distorted blocks along the section. The layers have varying dips due to drilling disturbance and biscuiting.",,,
375-U1518F-24R-1-A,50,70,409.3,409.5,,,convoluted mud clasts,,convoluted mud clasts,convoluted mud clasts,convoluted mud clasts,10Y 5/1 (greenish gray),,,,,,consolidated,,moderate,,,,,,,,,,,,Mudstone. Mixed mudstone bands or mudstone clasts with different color.,,,
375-U1518F-24R-1-A,70,88,409.5,409.68,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),irregular,sharp,irregular sharp,sub-horizontal,very thin bed,consolidated,,poor,parallel bedding,moderate,2,planar lamination,,,,,,,,"Siltstone and mudstone. Silt layers at 72, 80 cm. Thin beds are locally disrupted and some muddy/silt fragments are included as distorted blocks along the section. The layers have varying dips due to drilling disturbance and biscuiting.",,,
375-U1518F-24R-1-A,88,107,409.68,409.87,,,convoluted mud clasts,,convoluted mud clasts,convoluted mud clasts,convoluted mud clasts,10Y 5/1 (greenish gray),,,,,,consolidated,,moderate,,,,,,,,,,,,Mudstone. Mixed mudstone bands or mudstone clasts with different color. Silt layer at 94 cm.,,,
375-U1518F-24R-1-A,107,130,409.87,410.1,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),irregular,sharp,irregular sharp,sub-horizontal,very thin bed,consolidated,,poor,parallel bedding,moderate,2,planar lamination,,,,,,,,Siltstone and mudstone. Silt layers at 115 and 120 cm. Locally thin beds are disrupted and some muddy/silty fragments are included as distorted blocks along the section. The layers have varying dips due to drilling disturbance and biscuiting.,,,
375-U1518F-24R-2-A,0,134,410.34,411.68,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),irregular,sharp,irregular sharp,sub-horizontal,very thin bed,consolidated,,poor,parallel bedding,moderate,2,planar lamination,,,,,,,,"Siltstone and mudstone. Silt layers at 21, 53, 57, 64, 90, 95, 103, 121 cm. The beds are disrupted and some muddy/silt fragments are included as distorted blocks along the section. The layers have varying dips due to drilling disturbance and biscuiting. The layer 95 cm has black organic material at the top. The layer 103 cm has a carbonaceous fragment (7 mm in length).",,,
375-U1518F-24R-CC-A,0,16,411.74,411.9,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),,,,,,consolidated,,poor,,slight,1,,,,,,,,,,,,
375-U1518F-25R-1-A,0,53,418.3,418.83,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),irregular,sharp,irregular sharp,sub-horizontal,very thin bed,consolidated,,poor,parallel bedding,slight,1,planar lamination,,,,,,,,"Siltstone and mudstone. Silt layers at 30, 53 cm.",,,
375-U1518F-25R-1-A,53,68,418.83,418.98,,,convoluted mud clasts,,convoluted mud clasts,convoluted mud clasts,convoluted mud clasts,10Y 5/1 (greenish gray),,,,,,consolidated,,moderate,,,,,,,,,,,,Mudstone. Mixed mudstone bands or mudstone clasts with different color.,,,
375-U1518F-25R-1-A,68,72,418.98,419.02,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),irregular,sharp,irregular sharp,sub-horizontal,very thin bed,consolidated,,poor,parallel bedding,slight,1,planar lamination,,,,,,,,Siltstone and mudstone.,,,
375-U1518F-25R-1-A,72,95,419.02,419.25,,,convoluted mud clasts,,convoluted mud clasts,convoluted mud clasts,convoluted mud clasts,10Y 5/1 (greenish gray),,,,,,consolidated,,moderate,,,,,,,,,,,,Mudstone. Mixed mudstone bands or mudstone clasts with different color. Silt layer at 88 cm.,,,
375-U1518F-25R-2-A,0,72,419.41,420.13,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),irregular,sharp,irregular sharp,horizontal,very thin bed,consolidated,,poor,parallel bedding,slight,1,planar lamination,,,,,,,,"Siltstone and mudstone. Silt layers at 23, 29, 32, 56 cm. The beds are disrupted and some muddy fragments are included as distorted blocks (1-3 cm thick) along the section. The layer at 56 cm is very fine sand.",,,
375-U1518F-25R-2-A,72,96.5,420.13,420.375,,,convoluted mud clasts,,convoluted mud clasts,convoluted mud clasts,convoluted mud clasts,10Y 5/1 (greenish gray),,,,,,consolidated,,moderate,,,,,,,,,,,,Mudstone. Mixed mudstone bands or mudstone clasts with different color. Silty layer at 96 cm.,,,
375-U1518F-25R-3-A,0,13,420.57,420.7,,,convoluted mud clasts,,convoluted mud clasts,convoluted mud clasts,convoluted mud clasts,10Y 5/1 (greenish gray),,,,,,consolidated,,moderate,,,,,,,,,,,,Mudstone. Mixed mudstone bands or mudstone clasts with different color.,,,
