Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data
356-U1462C-143R-CC-PAL-NANNO,0,5,778.07,778.12,,,G [P33],A [A22],,,,,,,,,,,,,,,,,P [A30],,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,R [A30],R [A30],,A [A23],C [A04],,C [A04],,,R [A30],,P [A30],,F [A30],,,,,,,,,,,,P [A30],,,,R [A30],,,F [A30],"reworked R. bisecta (F), Cy. floridanus (F), and Cy. abisectus (P)",,,
356-U1462C-145R-CC-PAL-NANNO,0,6,786.62,786.68,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,R [A30],R [A30],P [A30],C [A04],C [A04],,A [A23],,,,,,,F [A30],,,,,,,,,,,,,,,,,,,F [A30],reworked R. bisecta (R) and Cy. floridanus (F),,,
356-U1462C-149R-CC-PAL-NANNO,0,5,809.1,809.15,NN11 [G12],"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G [P33],A [A22],,,P [A30],,,,,,,,,,P [A30],,,,,,,,,,,,,,P [A30],R [A30],,,,,,,,,,,,,,,,,,,,,F [A30],P [A30],R [A30],A [A23],C [A04],,A [A23],,,P [A30],,,,F [A30],,,,F [A30],,,P [A30],,,,,P [A30],P [A30],,,R [A30],,,F [A30],reworked R. bisecta (R) and Cy. floridanus (F),,,
356-U1462C-150R-CC-PAL-NANNO,0,5,814.08,814.13,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,R [A30],P [A30],R [A30],A [A23],C [A04],,A [A23],,,,,,,F [A30],,,,R [A30],,,,P [A30],,,,P [A30],,,,R [A30],,,F [A30],R. rotaria (NN11B); reworked R. bisecta (R) and Cy. floridanus (F),,,
356-U1462C-151R-CC-PAL-NANNO,0,5,818.23,818.28,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,,R [A30],,,,,,,,,,,,,,,,,,,,,R [A30],,R [A30],A [A23],C [A04],,A [A23],,,R [A30],,R [A30],,F [A30],,,,R [A30],,,,P [A30],,,,,,,,P [A30],,,F [A30],R. rotaria (NN11B); reworked R. bisecta (R) and Cy. floridanus (F),,,
356-U1462C-152R-CC-PAL-NANNO,0,5,824.37,824.42,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,F [A30],,,,,F [A30],,,,,,,,,,,,,,,,,,,,,C [A04],,C [A04],V [A94],A [A23],,C [A04],,,,,,,F [A30],,,,F [A30],,,,P [A30],,,,,,,,,,,,R. rotaria (NN11B); 5-rayed discoasters with no bifurcations.,,,
356-U1462C-153R-CC-PAL-NANNO,0,5,827.6,827.65,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,F [A30],F [A30],,,P [A30],C [A04],,,,,,,,,,,,,,,,,,,,,F [A30],P [A30],C [A04],V [A94],A [A23],,A [A23],,,,,,,F [A30],,,,P [A30],,F [A30],,P [A30],,,,,,,,P [A30],,,,,,,
356-U1462C-157R-CC-PAL-NANNO,0,5,844.64,844.69,,,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1462C-159R-CC-PAL-NANNO,0,5,854.23,854.28,,,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1462C-161R-CC-PAL-NANNO,0,5,862.52,862.57,,,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1462C-163R-CC-PAL-NANNO,0,5,872.25,872.3,,,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1462C-165R-CC-PAL-NANNO,0,5,882.88,882.93,,,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1462C-167R-CC-PAL-NANNO,0,7,892.06,892.13,,,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1462C-169R-CC-PAL-NANNO,0,4,901.67,901.71,,,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1462C-172R-CC-PAL-NANNO,0,5,916.71,916.76,,,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1462C-173R-CC-PAL-NANNO,0,6,921.36,921.42,,,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1462C-175R-CC-PAL-NANNO,0,7,932.27,932.34,,,G [P33],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1462C-177R-CC-PAL-NANNO,0,5,942.35,942.4,,,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
