Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Emiliania huxleyi,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (closed >4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra sp. (>7 microns),Reticulofenestra sp. (5-7 microns),Reticulofenestra sp. (3-5 microns),Reticulofenestra sp. (<3 microns),Cyclicargolithus floridanus,Cyclicargolithus abisectus,Reticulofenestra bisecta,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calcidiscus tropicus +grill,Umbilicosphaera sp.,Umbilicosphaera rotula,Umbilicosphaera jafari,Coronocyclus nitescens,Hayaster perplexus,Oolithotus sp.,Tetralithoides quadrilaminata,Clausicoccus fenestratus,Hughesius tasmaniae,Hughesius gizoensis,Helicosphaera carteri,Helicosphaera sellii,Helicosphaera intermedia,Helicosphaera euphratis,Helicosphaera ampliaperta,Helicosphaera obliqua,Helicosphaera recta,Pontosphaera sp.,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera globulata,Rhabdosphaera clavigera,Syracosphaera pulchra,Braarudosphaera bigelowii,Discosphaera tubifera,Umbellosphaera tenuis,Holodiscolithus macroporus,Calciosolenia sp.,Coronosphaera mediterranea,Ilselithina fusa,Discoaster brouweri,Discoaster asymmetricus,Discoaster tamalis,Discoaster triradiatus,Discoaster calcaris,Discoaster altus,Discoaster sp. cf. D. brouweri,Discoaster surculus,Discoaster variabilis,Discoaster exilis,Discoaster deflandrei,Discoaster bollii,Discoaster musicus,Discoaster petaliformis,Discoaster kugleri,Discoaster sp. cf. D. variabilis,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster berggrenii ssp. extensus,Discoaster bergenii,Discoaster bellus,Discoaster hamatus,Catinaster coalitus,Catinaster calyculus,Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus pseudoheteromorphus,Sphenolithus belemnos,Sphenolithus conicus,Sphenolithus ciperoensis,Sphenolithus calyculus,Sphenolithus delphix,Sphenolithus capricornutus,Ceratolithus cristatus,Ceratolithus armatus,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Nicklithus amplificus,Orthorhabdus rugosus,Orthorhabdus striatus,Orthorhabdus serratus,Orthorhabdus rioi,Triquetrorhabdulus carinatus,Triquetrorhabdulus milowii,Triquetrorhabdulus challengeri,Minylitha convallis,Florisphaera profunda,Thoracosphaera heimii,Scrippsiella sp.,Thoracosphaera sp.,Ascidian spicules,Reworked species,Nannofossil comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
359-U1467B-13H-5-W,50,50,106.9,106.9,,,M,C,,,,,,P,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,B,13,H,5,W,
359-U1467B-13H-CC-PAL,0,5,109.69,109.74,,,M,C,,,,,,P,,,,C,C,,,,,,,R,,,,R,,P,,P,R,,,,,R,,,,,,,R,,,,P,P,,,P,,,,,C,R,,,,,R,,,,,,,,,,C,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,UNIDENTIFIABLE DISCOASTER 5 RAYS,,,,359,U1467,B,13,H,CC,PAL,
359-U1467B-14H-CC-PAL,0,5,118.97,119.02,,,M,C,,,,,,P,,,,A,A,,,,P,,R,R,,,,C,,P,,P,R,,,,,R,,,,,,,P,,,,P,R,,,P,,,,,C,R,,,,,R,,,,,,,,,,C,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,UNIDENTIFIABLE DISCOASTER 5 RAYS,,,,359,U1467,B,14,H,CC,PAL,
359-U1467B-15H-2-W,75,75,121.65,121.65,,,M,C,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,P,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,B,15,H,2,W,
359-U1467B-15H-4-W,75,75,124.65,124.65,,,M,C,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,P,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,B,15,H,4,W,
359-U1467B-15H-CC-PAL,0,5,128.55,128.6,,,M,C,,,,,,R,,,,C,C,,,,P,,,R,,,,C,,F,,P,C,,,,,R,,,,,,,R,,,,P,R,P,,,,R,,,C,P,,,,,P,,,,,,,,,,C,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,UNIDENTIFIABLE DISCOASTER 5 RAYS,,,,359,U1467,B,15,H,CC,PAL,
359-U1467B-16H-2-W,75,75,131.15,131.15,,,M,A,,,,,,R,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,B,16,H,2,W,
359-U1467B-16H-4-W,75,75,134.15,134.15,,,M,C,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,P,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,B,16,H,4,W,
359-U1467B-16H-CC-PAL,0,5,137.88,137.93,,,G,A,,,,,,P,,,,A,A,,,,R,,,R,,,,R,,P,,P,R,,,,,R,,,,,,,P,,,,P,C,P,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1467,B,16,H,CC,PAL,
359-U1467B-17H-2-W,75,75,140.65,140.65,,,M,C,,,,,,,,P,R,R,R,,,,,,,R,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,P,,,,,P,,,,,,,,,,P,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIDENTIFIABLE DISCOASTER 5 RAYS,,,,359,U1467,B,17,H,2,W,
359-U1467B-17H-4-W,75,75,143.65,143.65,,,M,C,,,,,,,,P,R,R,,,,,,,,R,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,P,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIDENTIFIABLE DISCOASTER 5 RAYS,,,,359,U1467,B,17,H,4,W,
359-U1467B-17H-CC-PAL,0,5,147.49,147.54,,,M,A,,,,,,,,,,A,A,,,,,,,R,,,,R,,R,,P,R,,,,,P,,,,,,,,,,,P,P,P,,,,,,,R,P,,,,,P,,,,,,,,,,P,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,UNIDENTIFIABLE DISCOASTER 5 RAYS,,,,359,U1467,B,17,H,CC,PAL,
359-U1467B-18H-2-W,75,75,150.15,150.15,,,P,C,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIDENTIFIABLE DISCOASTER 5 RAYS,,,,359,U1467,B,18,H,2,W,
359-U1467B-18H-4-W,75,75,153.15,153.15,,,P,C,,,,,,,,,R,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,R,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,18,H,4,W,
359-U1467B-18H-CC-PAL,0,5,157.16,157.21,,,M,A,,,,,,,,,,A,A,,,,R,,R,R,,,,C,,R,,P,R,,,,,R,,,,,,,P,,,,P,R,P,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,UNIDENTIFIABLE DISCOASTER 5 RAYS,,,,359,U1467,B,18,H,CC,PAL,
359-U1467B-19H-CC-PAL,0,5,166.87,166.92,,,P,C,,,,,,,,R,R,,,,,,,,,R,,,,R,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,R,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,UNIDENTIFIABLE DISCOASTER 5 RAYS,,,,359,U1467,B,19,H,CC,PAL,
359-U1467B-20H-CC-PAL,0,5,176.3,176.35,,,M,C,,,,,,,,,C,A,A,,,,,,,,,,,C,,,,,,,,,,P,,,,,,,,,,P,,R,,,P,,,,,P,,,,,,P,,,,,,,,,,R,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,UNIDENTIFIABLE DISCOASTER 5 RAYS,,,,359,U1467,B,20,H,CC,PAL,
359-U1467B-21H-2-W,75,75,178.65,178.65,,,P,R,,,,,,,,,R,,,,,,,,,,,,,R,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,21,H,2,W,
359-U1467B-21H-4-W,75,75,181.65,181.65,,,M,C,,,,,,,,,R,C,C,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,21,H,4,W,
359-U1467B-21H-CC-PAL,0,5,185.66,185.71,,,P,R,,,,,,,,,R,C,C,,,,,,,,,,,R,,,,,P,,,,,R,,,,,,,,,,,P,P,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,21,H,CC,PAL,
359-U1467B-22H-CC-PAL,0,5,195.4,195.45,,,P,R,,,,,,,,,,R,R,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIDENTIFIABLE DISCOASTER 5 RAYS,,,,359,U1467,B,22,H,CC,PAL,
359-U1467B-23H-2-W,25,25,197.15,197.15,,,P,R,,,,,,,,,R,,R,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,B,23,H,2,W,
359-U1467B-23H-4-W,25,25,200.15,200.15,,,M,R,,,,,,,,,R,R,R,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,B,23,H,4,W,
359-U1467B-23H-CC-PAL,0,5,204.84,204.89,,,P,R,,,,,,,,,,,R,,,,,,,,,,,P,P,P,,,,,,,,P,,,,,,,P,R,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIDENTIFIABLE DISCOASTER 5 RAYS,,,,359,U1467,B,23,H,CC,PAL,
359-U1467B-24H-CC-PAL,0,5,214.7,214.75,,,M,C,,,,,,,,,R,R,R,,,,,,,,,,,R,,,,,,,,,,P,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,24,H,CC,PAL,
359-U1467B-25H-CC-PAL,0,5,224.08,224.13,,,P,R,,,,,,,,,,R,R,,,,,,,,,,,R,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIDENTIFIABLE DISCOASTER 5 RAYS,,,,359,U1467,B,25,H,CC,PAL,
359-U1467B-26H-2-W,50,50,225.9,225.9,,,M,C,,,,,,,,R,R,R,C,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,B,26,H,2,W,
359-U1467B-26H-4-W,50,50,228.9,228.9,,,M,C,,,,,,,,R,R,R,C,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,B,26,H,4,W,
359-U1467B-26H-CC-PAL,0,5,233.57,233.62,,,P,A,,,,,,,,,,A,A,,,,,,,,,,,,,A,,,,,,,,C,,,,,,,F,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,359,U1467,B,26,H,CC,PAL,
359-U1467B-27H-3-W,55,55,236.95,236.95,,,M,C,,,,,,,,R,R,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,B,27,H,3,W,
359-U1467B-27H-7-W,73,73,243.13,243.13,,,M,C,,,,,,,,,F,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,R,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,B,27,H,7,W,
359-U1467B-27H-CC-PAL,0,5,243.41,243.46,,,M,A,,,,,,,,F,A,A,,,,,,,R,,,F,P,,C,C,,,,,,,,,,,,,,,F,R,,R,,R,,,,,,,,,,,,,,R,P,,,,,,,,P,P,,,,,,,,,,A,,,,,,,,,,,,,P,,,,,,,,,,,,,,R,,,,,,359,U1467,B,27,H,CC,PAL,
359-U1467B-28H-2-W,50,50,244.9,244.9,,,M,C,,,,,,,,,R,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,B,28,H,2,W,
359-U1467B-28H-5-W,50,50,249.4,249.4,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,B,28,H,5,W,
359-U1467B-28H-CC-PAL,0,5,252.7,252.75,,,P,A,,,,,,,,,F,C,A,,,,,,,,,R,,,F,F,,,,,,,,R,,,,,,,F,R,,R,,,,,,,,,,P,,,,,,R,,,,,,,,,,R,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,359,U1467,B,28,H,CC,PAL,
359-U1467B-29H-2-W,50,50,254.4,254.4,,,M,C,,,,,,,,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,B,29,H,2,W,
359-U1467B-29H-5-W,60,60,259,259,,,P,R,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,B,29,H,5,W,
359-U1467B-29H-CC-PAL,0,5,262.32,262.37,,,M,A,,,,,,,,,F,C,A,,,,,,,,,F,,,F,,,,,,,,,R,,,,,,,F,R,P,,,,,,,,,,,,P,,,,,R,R,,,,,,,,,P,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,29,H,CC,PAL,
359-U1467B-30H-2-W,75,75,264.15,264.15,,,M,C,,,,,,,,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,R,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,B,30,H,2,W,
359-U1467B-30H-CC-PAL,0,5,271.83,271.88,,,M,A,,,,,,,,,F,C,A,,,,,,C,,,,F,,,F,,,,,,,,F,,,,,,,,R,,R,,,,,,,,,,,,,,,,R,P,,,,,,,,,R,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,30,H,CC,PAL,
359-U1467B-31H-CC-PAL,0,5,281.21,281.26,,,M,A,,,,,,,,,F,A,A,,,,,,F,,,,,,,F,,,,,,,,C,,,,,,,F,P,,P,,,,,,,,,,,,,P,,,R,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,31,H,CC,PAL,
359-U1467B-32H-3-W,98,98,284.88,284.88,,,M,C,,,,,,,,,F,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,P,P,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,B,32,H,3,W,
359-U1467B-32H-5-W,21,21,287.11,287.11,,,M,C,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,P,R,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,B,32,H,5,W,
359-U1467B-32H-CC-PAL,0,5,290.86,290.91,,,M,A,,,,,,,,,A,A,A,,,,,,,,,,,,F,C,,,,,,,,C,,,,,,,F,,,F,,,,,,,,,,,,,,,,P,,,,,,,,,P,R,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,,,,,,359,U1467,B,32,H,CC,PAL,
359-U1467B-33H-2-W,123,123,293.13,293.13,,,M,A,,,,,,,,,C,A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,R,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,33,H,2,W,
359-U1467B-33H-4-W,76,76,295.66,295.66,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,C,,,,,,,,,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,R,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,33,H,4,W,
359-U1467B-33H-CC-PAL,0,5,300.35,300.4,,,M,A,,,,,,,,,C,A,C,,,,,,F,,,F,,,,,,P,,,,,,F,,,,,,,F,R,,R,,,,,,,,,,,,,,,,F,R,,,,,,,,,R,,R,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIDENTIFIABLE DISCOASTER 5 RAYS,,,,359,U1467,B,33,H,CC,PAL,
359-U1467B-34H-2-W,76,76,302.16,302.16,,,M,C,,,,,,,,,R,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,B,34,H,2,W,
359-U1467B-34H-4-W,74,74,305.14,305.14,,,M,C,,,,,,,,,R,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,B,34,H,4,W,
359-U1467B-34H-CC-PAL,0,5,309.81,309.86,,,M,A,,,,,,,,,F,A,C,,,,,,F,,,F,,,,F,,,,P,,,,F,,,,,,,R,R,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,R,,F,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIDENTIFIABLE DISCOASTER 5 RAYS,,,,359,U1467,B,34,H,CC,PAL,
359-U1467B-35H-CC-PAL,0,5,319.34,319.39,,,M,A,,,,,,,,R,F,A,A,,,,,,,,,F,,,F,,,,,,,,,F,,,,,,,R,,R,,,,,,,,,,,R,,,,,,F,F,,,,,,,,R,,,F,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,35,H,CC,PAL,
359-U1467B-36H-CC-PAL,0,5,328.66,328.71,,,M,A,,,,,,,,,,A,A,,,,P,,,,,F,,,,A,,,,,,,,F,,,,,,,F,R,,R,,,,,,,,,,,,,,,,P,P,,,,,,,,P,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIDENTIFIABLE DISCOASTER 5 RAYS,,,,359,U1467,B,36,H,CC,PAL,
359-U1467B-37H-7-W,67,67,338.07,338.07,,,M,C,,,,,,,,,P,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,F,F,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,B,37,H,7,W,
359-U1467B-37H-CC-PAL,0,5,338.34,338.39,,,G,A,,,,,,,,F,,A,A,,,,,,F,,,C,,,,,,,,,,,,C,,,,,,,C,R,R,R,,,,,,,,,,R,,,,,,,F,R,,,,,,,,C,,C,F,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,37,H,CC,PAL,
359-U1467B-38F-1-W,8,8,337.98,337.98,,,M,C,,,,,,,,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,P,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,B,38,F,1,W,
359-U1467B-38F-3-W,8,8,340.26,340.26,,,M,C,,,,,,,,,R,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,P,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,B,38,F,3,W,
359-U1467B-38F-CC-PAL,0,5,342.84,342.89,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",M,A,,,,,,,,,C,A,A,,,,,,,,,F,,,F,F,,,,,,,,F,,,,,,,F,F,R,R,,,,,,,,,,,,,,,,C,R,,,,,,,,,,,C,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,359,U1467,B,38,F,CC,PAL,
359-U1467B-39F-CC-PAL,0,5,347.5,347.55,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,F,C,A,A,,,,,,,R,,F,,,F,,,,,,,,,C,,,,,,,F,,,,,,,,,,,,,,,,,,,C,R,,,,,,,,,R,,C,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,39,F,CC,PAL,
359-U1467B-40F-1-W,145,145,348.75,348.75,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,R,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,F,F,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,B,40,F,1,W,
