Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Chiasmolithus grandis,Clausicoccus subdistichus,Coccolithus eopelagicus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Cyclicargolithus luminis,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster nodifer,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster sanmiguelensis,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster tanii,Discoaster triradiatus,Discoaster variabilis,Discoaster williamsii,Emiliania huxleyi,Florisphaera profunda,Gephyrocapsa omega,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (>5.5 microns),Gephyrocapsa sp. (4-5.5 microns),Helicosphaera ampliaperta,Helicosphaera bramlettei,Helicosphaera burkei,Helicosphaera carteri,Helicosphaera compacta,Helicosphaera euphratis,Helicosphaera sellii,Lanternithus minutus,Minylitha convallis,Nicklithus amplificus,Orthorhabdus serratus,Pontosphaera exilis,Pontosphaera millepuncta,Pontosphaera multipora,Pontosphaera punctosa,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra bisecta (>10 microns),Reticulofenestra bisecta (5-10 microns),Reticulofenestra circus,Reticulofenestra erbae,Reticulofenestra lockeri,Reticulofenestra pseudoumbilicus,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Reticulofenestra umbilicus,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus distentus,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus pospichalii,Sphenolithus predistentus,Sphenolithus pseudoheteromorphus,Sphenolithus spp.,Syracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus longus,Triquetrorhabdulus rugosus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
368-U1505C-52X-CC-PAL-NANNO,0,5,364.93,364.98,NN2 [G12],M [P33],A [A12],,,,,,,,,,,,,,F,,,F,C,F,,A,,,,,,,,,,C,F,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,F,C,A,,,,,,,,,,,C,,,,C,,,,C,,F,,,C,,,OVERGROWTH IN DISCOASTERIDS,,,,368,U1505,C,52,X,CC,PAL,NANNO
368-U1505C-53X-CC-PAL-NANNO,0,5,374.52,374.57,NN2 [G12],M [P33],A [A12],,,,,,,,,,,,,,F,,,F,C,F,R,A,,,,,,,,,,C,F,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,F,,,,,,,,,,R,,,,,,,,,C,A,,,,,,,,,,,F,C,,,C,,,,C,,F,F,,C,,,OVERGROWTH IN DISCOASTERIDS,,,,368,U1505,C,53,X,CC,PAL,NANNO
368-U1505C-54X-CC-PAL-NANNO,0,5,383.9,383.95,NN1 [G12],M [P33],A [A12],,,,,,,,,,,,,,C,,,F,C,R,F,A,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,C,A,,,,,,F,F,,,C,,C,,,C,,,,C,,F,F,,F,,,OVERGROWTH IN DISCOASTERIDS and Sphenolithus,,,,368,U1505,C,54,X,CC,PAL,NANNO
368-U1505C-55X-CC-PAL(44-49)-NANNO,0,5,394.06,394.11,NP25 [G12],M [P33],A [A12],,,,,,,,,,,,,,C,,,R,C,R,C,A,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,F,,,,,,,,,,R,,,,,,,,,R,C,,,,,,C,F,,,,,C,,,C,,,,A,,F,R,,,,,HEAVY OVERGROWTH IN DISCOASTERIDS and Sphenolithus,,,,368,U1505,C,55,X,CC,PAL(44-49),NANNO
368-U1505C-56X-CC-PAL(37-42)-NANNO,0,5,403.79,403.84,NP25 [G12],M [P33],A [A12],,,,,,,,,,,,,,C,,,C,C,F,C,A,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,F,,,,,,,,,,R,,,,,,,,,,C,,,,,,,,C,,,,C,,,C,,,,C,,R,F,,,,,HEAVY OVERGROWTH,,,,368,U1505,C,56,X,CC,PAL(37-42),NANNO
368-U1505C-57X-1-W 0/1-NANNO,0,1,403.5,403.51,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,57,X,1,W,0/1-NANNO
368-U1505C-57X-1-W 144/145-NANNO,0,1,404.94,404.95,,,R [A12],,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,57,X,1,W,144/145-NANNO
368-U1505C-57X-1-W 24/25-NANNO,0,1,403.74,403.75,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,57,X,1,W,24/25-NANNO
368-U1505C-57X-6-W 1/2-NANNO,0,1,411.06,411.07,NP24 [G12],G [P33],C [A12],,,,,,,,,,,,,,,,,C,C,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,368,U1505,C,57,X,6,W,1/2-NANNO
368-U1505C-57X-6-W 120/121-NANNO,0,1,412.25,412.26,NP24 [G12],G [P33],C [A12],,,,,,,,,,,,,,,,,C,C,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,368,U1505,C,57,X,6,W,120/121-NANNO
368-U1505C-57X-7-W 1/2-NANNO,0,1,412.55,412.56,NP24 [G12],G [P33],C [A12],,,,,,,,,,,,,,,,,C,C,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,368,U1505,C,57,X,7,W,1/2-NANNO
368-U1505C-57X-CC-PAL(39-44)-NANNO,0,5,413.44,413.49,NP24 [G12],M [P33],A [A12],,,,,,,,,,,,,,C,,,C,C,F,C,C,,,,,,,,,,C,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,F,,,,,,,,,F,R,,,,,,,,,,C,,,,,,,,,,,,,,,C,,C,,C,,,,,,,,,,,,368,U1505,C,57,X,CC,PAL(39-44),NANNO
368-U1505C-57X-CC-W 1/2-NANNO,0,1,413.06,413.07,NP24 [G12],G [P33],C [A12],,,,,,,,,,,,,,,,,C,C,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,368,U1505,C,57,X,CC,W,1/2-NANNO
368-U1505C-58X-CC-PAL(37-42)-NANNO,0,5,419.53,419.58,NP24 [G12],M [P33],A [A12],,,,,,,,,,,,,,C,,,F,F,,,C,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,C,,,,,,,,,,F,,,F,,,,C,,,C,,,,,,,,,,,,,,,C,,C,,,,,,,,,F,,,,,368,U1505,C,58,X,CC,PAL(37-42),NANNO
368-U1505C-59X-CC-PAL(46-51)-NANNO,0,5,430.21,430.26,NP22 [G12],M [P33],A [A12],,,,C,,,,,,,,,,C,,,C,C,,,C,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,,,,,,,C,,,C,,,,C,,C,C,C,,,C,F,,,,,,,,,,,,,,C,,C,,,,,,,,,C,,,,,368,U1505,C,59,X,CC,PAL(46-51),NANNO
368-U1505C-60X-CC-PAL-NANNO,0,5,442.26,442.31,NP22 [G12],M [P33],A [A12],,,,C,,,,,,,,,,C,,,C,C,,,C,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,,,,,,,,,,C,C,,,C,,C,C,C,,,C,C,,,,,,,,,,,,,,C,,C,,,,,,,,,C,,,,,368,U1505,C,60,X,CC,PAL,NANNO
368-U1505C-61X-CC-PAL-NANNO,0,5,451.88,451.93,NP22 [G12],G [P33],A [A12],,,,C,,,,,,,,,,F,,,F,C,F,,C,,,,,,,,,,F,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,C,,,C,,,,,,,,,,C,C,,,F,,,R,C,,C,C,F,F,,,,,,,,,,,,,C,,F,,,,,,,,,C,,,,,368,U1505,C,61,X,CC,PAL,NANNO
368-U1505C-62X-CC-PAL-NANNO,0,5,461.44,461.49,NP22 [G12],G [P33],A [A12],,,,C,,,,,,,,,,F,,,F,C,F,,C,,,,,,,,,,F,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,C,,,C,,,F,,,,,,,C,C,,,F,,,R,C,,C,C,F,F,,,,,,,,,,,,,C,,F,,,,,,,,,C,,,,,368,U1505,C,62,X,CC,PAL,NANNO
368-U1505C-63X-CC-PAL-NANNO,0,5,471.04,471.09,NP22 [G12],G [P33],A [A12],,,,F,,,,,,,,,,F,,,F,C,F,,C,,,,,,,,,,F,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,,F,,,F,,,,,,,F,F,,,R,,,,C,,C,C,F,F,,,,,,,,,,,,,C,,F,,,,,,,,,C,,,,,368,U1505,C,63,X,CC,PAL,NANNO
368-U1505C-64X-CC-PAL(36-41)-NANNO,0,5,480.49,480.54,NN19 - NN20 [G12],G [P33],A [A12],,,,F,,,,,,,,,,F,,,R,C,F,,C,,,,,,,,,,F,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,F,,,F,,,F,,,,,,,F,F,,,R,,,,C,,C,A,F,F,,,,,,,,,,,,,C,,F,,,,,,,,,F,"typical Reticulefenestra isabellae, R westerholdii, R onusta; R reticulata not typical; Cruicilacolithus tarquinius, C klausii, Markalius inversus",,,,368,U1505,C,64,X,CC,PAL(36-41),NANNO
