Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Grading,Sorting,Primary sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],2nd sedimentary structure,3rd sedimentary structure,Minor components,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name
375-U1520D-8H-6-A,0,86.0,69.18,70.04,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 4 (dark gray),planar,sharp,planar sharp,,medium bed [B01],unconsolidated,,poor [2014],,,,,,,,,,,,"Fine sand. Cannot see normal grading, though this could be due to the soupy drilling disturbance. Continues until bottom of core.",,,,375,U1520,D,8,H,6,A,,,
375-U1520D-8H-7-A,0,78.0,70.04,70.82,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 4 (dark gray),planar,sharp,planar sharp,,medium bed [B01],unconsolidated,,poor [2014],,,,,,,,,,,,"Fine sand. Cannot see normal grading, though this could be due to the soupy drilling disturbance. Continues until bottom of core.",,,,375,U1520,D,8,H,7,A,,,
375-U1520D-9H-1-A,0,131.0,72.5,73.81,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,planar lamination,,,,,,,,"Alternating silt/fine sand and mud layers with normal grading. Silt/fine sand layer at 6, 19, 33, 45, 59, 80, 117, 125 cm. Mud occur also with a lighter tone of greenish gray and is richer in nannofossils.",,,,375,U1520,D,9,H,1,A,,,
375-U1520D-9H-2-A,0,21.0,73.95,74.16,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 4 (dark gray),,,,,medium bed [B01],,,,,,,,,,,,,,,"Fine sand. Cannot see normal grading, though this could be due to the soupy drilling disturbance.",,,,375,U1520,D,9,H,2,A,,,
375-U1520D-9H-2-A,21,75.0,74.16,74.7,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,planar lamination,,,,,,,,"Alternating silt/fine sand and mud layers with normal grading. Silt/fine sand layer at 6, 19, 33, 45, 59, 80, 117, 125 cm.",,,,375,U1520,D,9,H,2,A,,,
375-U1520D-9H-2-A,75,108.0,74.7,75.03,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 4 (dark gray),,,,,thick bed [B01],unconsolidated,,poor [2014],,,,,,,,,,,,"Fine sand. Cannot see normal grading, though this could be due to the soupy drilling disturbance. Continues until bottom of core.",,,,375,U1520,D,9,H,2,A,,,
375-U1520D-9H-3-A,0,83.0,75.03,75.86,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 4 (dark gray),,,,,thick bed [B01],unconsolidated,,poor [2014],,,,,,,,,,,,"Fine sand. Cannot see normal grading, though this could be due to the soupy drilling disturbance. Continues until bottom of core.",,,,375,U1520,D,9,H,3,A,,,
375-U1520D-9H-4-A,0,110.0,75.86,76.96,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 4 (dark gray),,,,,thick bed [B01],unconsolidated,,poor [2014],,,,,,,,,,,,"Fine to medium sand. Cannot see normal grading, though this could be due to the soupy drilling disturbance. Continues until bottom of core.",,,,375,U1520,D,9,H,4,A,,,
375-U1520D-9H-5-A,0,68.0,76.96,77.64,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 4 (dark gray),,,,,thick bed [B01],unconsolidated,,poor [2014],,,,,,,,,,,,"Fine to medium sand. Cannot see normal grading, though this could be due to the soupy drilling disturbance. Continues until bottom of core.",,,,375,U1520,D,9,H,5,A,,,
375-U1520D-9H-CC-A,0,10.0,77.64,77.74,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,N 4 (dark gray),planar,sharp,planar sharp,,thick bed [B01],unconsolidated,,poor [2014],,,,,,,,,,,,Alternating silt/fine sand and mud layers with normal grading.,,,,375,U1520,D,9,H,CC,A,,,
375-U1520D-10H-1-A,0,28.0,82.0,82.28,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 4 (dark gray),planar,sharp,planar sharp,,thin bed [B01],unconsolidated,,poor [2014],parallel bedding,,,,,,,,,,,"Fine to medium sand. Cannot see normal grading, though this could be due to the soupy drilling disturbance.",,,,375,U1520,D,10,H,1,A,,,
375-U1520D-10H-1-A,28,137.0,82.28,83.37,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt/fine sand and mud layers with normal grading. Silt/fine sand layer at 45, 52, 63, 82, 89, 104, 117, 123 cm.",,,,375,U1520,D,10,H,1,A,,,
375-U1520D-10H-2-A,0,123.0,83.37,84.6,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 4 (dark gray),,,,,thick bed [B01],unconsolidated,,poor [2014],,,,,,,,,,,,"Fine sand. Cannot see normal grading, though this could be due to the soupy drilling disturbance. Continues on section 3.",,,,375,U1520,D,10,H,2,A,,,
375-U1520D-10H-3-A,0,46.0,84.6,85.06,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 4 (dark gray),,,,,thick bed [B01],unconsolidated,,,,,,,,,,,,,,"Fine sand. Cannot see normal grading, though this could be due to the soupy drilling disturbance. Continues from section 2.",,,,375,U1520,D,10,H,3,A,,,
375-U1520D-10H-3-A,46,119.0,85.06,85.79,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt/fine sand and mud layers with normal grading. Silt/fine sand layer at 54, 65, 71, 79, 81, 86, 95, 106, 112, 119 cm.",,,,375,U1520,D,10,H,3,A,,,
375-U1520D-10H-4-A,0,25.0,85.93,86.18,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,Alternating silt/fine sand and mud layers with normal grading. Silt/fine sand layer at 12 cm.,,,,375,U1520,D,10,H,4,A,,,
375-U1520D-10H-4-A,25,137.0,86.18,87.3,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 4 (dark gray),,,,,thick bed [B01],unconsolidated,,,,,,,,,,,,,,"Fine sand. Cannot see normal grading, though this could be due to the soupy drilling disturbance. Continues to bottom of core in section 5.",,,,375,U1520,D,10,H,4,A,,,
375-U1520D-10H-5-A,0,44.0,87.3,87.74,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 4 (dark gray),,,,,thick bed [B01],unconsolidated,,,,,,,,,,,,,,"Fine sand. Cannot see normal grading, though this could be due to the soupy drilling disturbance. Continues from section 4.",,,,375,U1520,D,10,H,5,A,,,
375-U1520D-11H-1-A,0,137.0,91.5,92.87,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,slight,1,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 18, 23, 37, 47, 58, 71, 81, 92, 98, and 112 cm. Several intervals of mud were dark gray to black when the core was split and the color faded to greenish gray within half an hour.",,,,375,U1520,D,11,H,1,A,,,
375-U1520D-11H-2-A,0,84.0,93.03,93.87,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,slight,1,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 5, 13, 20, 23, 32, 40, and 48 cm. Several intervals of mud were dark gray to black when the core was split and the color faded to greenish gray within half an hour.",,,,375,U1520,D,11,H,2,A,,,
375-U1520D-11H-2-A,84,104.0,93.87,94.07,,,silt [S54],,silt,silt,silt,N 4 (dark gray),irregular,sharp,irregular sharp,,medium bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,Silt layer with normal grading.,,,,375,U1520,D,11,H,2,A,,,
375-U1520D-11H-2-A,104,138.0,94.07,94.41,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,slight,1,,,,,,,,,Alternating silt and mud layers with normal grading. Silt layers at 124 and 137 cm. Several intervals of mud were dark gray to black when the core was split and the color faded to greenish gray within half an hour.,,,,375,U1520,D,11,H,2,A,,,
375-U1520D-11H-3-A,0,152.0,94.56,96.08,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,slight,1,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 3, 19, 24, 35, 39, 42, 46, 56, 61, 65, 76, 84, 94, 109, 111, 127, 135, 141, and 148 cm. Several intervals of mud were dark gray to black when the core was split and the color faded to greenish gray within half an hour.",,,,375,U1520,D,11,H,3,A,,,
375-U1520D-11H-4-A,0,118.0,96.08,97.26,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,slight,1,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 14, 27, 31, 42, 54, 64, 91, 94, and 107 cm. Silt layer at 14 cm is black. Several intervals of mud were dark gray to black when the core was split and the color faded to greenish gray within half an hour.",,,,375,U1520,D,11,H,4,A,,,
375-U1520D-11H-5-A,0,140.0,97.54,98.94,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,slight,1,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 5, 22, 40, 47, 58, 71, 94, and 124 cm. Black silt pod at 51 cm. Several intervals of mud were dark gray to black when the core was split and the color faded to greenish gray within half an hour.",,,,375,U1520,D,11,H,5,A,,,
375-U1520D-11H-6-A,0,146.0,99.09,100.55,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,slight,1,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 15, 20, 45, 56, 79, 83, 91, 109, 119, 122, 128, and 141 cm. Dark gray mud layer at 132 cm. Black silt pods below silt layer at 20 cm. Several intervals of mud were dark gray to black when the core was split and the color faded to greenish gray within half an hour.",,,,375,U1520,D,11,H,6,A,,,
375-U1520D-11H-7-A,0,125.0,100.55,101.8,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,slight,1,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 17, 23, 28, 38, 40, 45, 49, 62, 78, 91, 110, 117, and 121 cm. Several intervals of mud were dark gray to black when the core was split and the color faded to greenish gray within half an hour.",,,,375,U1520,D,11,H,7,A,,,
375-U1520D-11H-CC-A,0,7.0,101.8,101.87,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,slight,1,,,,,,,,,Alternating silt and mud layers with normal grading. Silt layer at 3 cm.,,,,375,U1520,D,11,H,CC,A,,,
375-U1520D-11H-CC-A,16,35.0,101.96,102.15,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,slight,1,,,,,,,,,Alternating silt and mud layers with normal grading. Silt layer at 8 cm.,,,,375,U1520,D,11,H,CC,A,,,
375-U1520D-12H-1-A,0,13.0,101.0,101.13,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),,,,,,unconsolidated,normal grading,poor [2014],,slight,1,,,,,,,,,Alternating silt and mud layers with normal grading. No silt bed contact in this interval.,,,,375,U1520,D,12,H,1,A,,,
375-U1520D-12H-1-A,13,26.0,101.13,101.26,,,silt [S54],,silt,silt,silt,N 4 (dark gray),planar,sharp,planar sharp,,medium bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,Silt layer with normal grading.,,,,375,U1520,D,12,H,1,A,,,
375-U1520D-12H-1-A,26,67.0,101.26,101.67,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,slight,1,,,,,,,,,Alternating silt and mud layers with normal grading. Silt layers at 41 and 53 cm. Several intervals of mud were dark gray to black when the core was split and the color faded to greenish gray within half an hour.,,,,375,U1520,D,12,H,1,A,,,
375-U1520D-12H-1-A,67,132.0,101.67,102.32,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,slight,1,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 85, 88, 103, 107, 109, 122, and 127 cm. Several intervals of mud were dark gray to black when the core was split and the color faded to greenish gray within half an hour.",,,,375,U1520,D,12,H,1,A,,,
375-U1520D-12H-2-A,0,102.0,102.32,103.34,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,slight,1,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 12 (mud), 17 (mud), 38, 54, 73 (very black silt), 87 (mud), and 97 cm. Several intervals of mud were dark gray to black when the core was split and the color faded to greenish gray within half an hour.",,,,375,U1520,D,12,H,2,A,,,
375-U1520D-12H-3-A,0,81.0,103.5,104.31,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,slight,1,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 7, 21, 27, 49, 50, 51, 52, 54, 58, 69, and 77 cm. Several intervals of mud were dark gray to black when the core was split and the color faded to greenish gray within half an hour.",,,,375,U1520,D,12,H,3,A,,,
375-U1520D-12H-4-A,0,118.0,104.46,105.64,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,slight,1,,,,,,,,,Alternating silt and mud layers with normal grading. Silt layers at 5 and 112 cm. Several intervals of mud were dark gray to black when the core was split and the color faded to greenish gray within half an hour.,,,,375,U1520,D,12,H,4,A,,,
375-U1520D-12H-5-A,0,56.0,105.64,106.2,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 4 (dark gray),,,,,thick bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,Very fine sand layer grading into silt.,,,,375,U1520,D,12,H,5,A,,,
375-U1520D-13H-1-A,0,142.0,110.5,111.92,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 37, 44, 70, and 125 cm. Background mud is siltier than previous cores and black staining which fades is no longer present.",,,,375,U1520,D,13,H,1,A,,,
375-U1520D-13H-2-A,0,125.0,111.92,113.17,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 4, 25, 30, 33, 37, 74, 87, 100, and 111 cm. Background mud is siltier than previous cores and black staining which fades is no longer present.",,,,375,U1520,D,13,H,2,A,,,
375-U1520D-13H-3-A,0,130.0,113.32,114.62,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 3, 10, 13, 24, 34, 49, 68, 71, 88, and 117 cm. Background mud is siltier than previous cores and black staining which fades is no longer present.",,,,375,U1520,D,13,H,3,A,,,
375-U1520D-13H-4-A,0,133.0,114.79,116.12,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,Alternating silt and mud layers with normal grading. Silt layer at 38 cm. Background mud is siltier than previous cores and black staining which fades is no longer present.,,,,375,U1520,D,13,H,4,A,,,
375-U1520D-13H-5-A,0,130.0,116.27,117.57,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 13, 18, 22, 32, 45, 52, and 81 cm. Background mud is siltier than previous cores and black staining which fades is no longer present.",,,,375,U1520,D,13,H,5,A,,,
375-U1520D-13H-6-A,0,127.0,117.72,118.99,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 28, 41, and 90 cm. Background mud is siltier than previous cores and black staining which fades is no longer present.",,,,375,U1520,D,13,H,6,A,,,
375-U1520D-13H-7-A,0,131.0,119.18,120.49,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 8, 13, 21, 49, and 60 cm. Background mud is siltier than previous cores and black staining which fades is no longer present.",,,,375,U1520,D,13,H,7,A,,,
375-U1520D-13H-CC-A,0,40.0,120.49,120.89,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,Alternating silt and mud layers with normal grading. Silt layers at 25 and 31 cm. Background mud is siltier than previous cores and black staining which fades is no longer present.,,,,375,U1520,D,13,H,CC,A,,,
375-U1520D-14H-1-A,0,123.0,120.0,121.23,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 32, 67, 81, 111, and 118 cm.",,,,375,U1520,D,14,H,1,A,,,
375-U1520D-14H-2-A,0,129.0,121.37,122.66,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 11, 31, 47, 58, 67, and 90 cm.",,,,375,U1520,D,14,H,2,A,,,
375-U1520D-14H-3-A,0,127.0,122.66,123.93,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layer at 43 cm. Some silt pods also present, but do not extend across the core.",,,,375,U1520,D,14,H,3,A,,,
375-U1520D-14H-4-A,0,146.0,124.07,125.53,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 19, 52, and 65 cm.",,,,375,U1520,D,14,H,4,A,,,
375-U1520D-14H-5-A,0,128.0,125.53,126.81,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 17, 23, 75, 77, 86, and 104 cm.",,,,375,U1520,D,14,H,5,A,,,
375-U1520D-14H-6-A,0,147.0,126.96,128.43,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,Alternating silt and mud layers with normal grading. Silt layers at 98 and 111 cm.,,,,375,U1520,D,14,H,6,A,,,
375-U1520D-14H-7-A,0,120.0,128.43,129.63,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,Alternating silt and mud layers with normal grading. Silt layers at 14 and 49 cm.,,,,375,U1520,D,14,H,7,A,,,
375-U1520D-14H-CC-A,0,15.0,129.63,129.78,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,Alternating silt and mud layers with normal grading. No silt layers present in this interval.,,,,375,U1520,D,14,H,CC,A,,,
375-U1520D-15H-1-A,0,138.0,129.5,130.88,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),,,,horizontal,,unconsolidated,,poor [2014],,slight,1,,,,,,,,,"Alternating silt and mud layers, though this section has no distinct silt layers. There are small (<1 cm) black silt pods and white sponge spicule pods distributed through the section). A brownish ash layer is found at 105 cm. Some color mottling in the mud from bioturbation.",,,,375,U1520,D,15,H,1,A,,,
375-U1520D-15H-2-A,0,141.0,130.88,132.29,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),irregular,sharp,irregular sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,slight,1,,,,,,,,,"Alternating silt and mud layers with normal grading. Most of the layers have irregular bottom contacts, though some of the irregularity may be related to drilling disturbance. Silt layers are seen at 27, 90, 103, 114, and 133 cm. Some color mottling in the mud from bioturbation. Two ash layers at 27 xm and 114 cm.",,,,375,U1520,D,15,H,2,A,,,
375-U1520D-15H-3-A,0,126.0,132.29,133.55,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),irregular,sharp,irregular sharp,sub-horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Most of the layers have irregular bottom contacts. Silt layers at 33, 43, 53, 62, 68, 81, 86, 100, 110, and 118 cm. White pods at 32 and 98 cm.",,,,375,U1520,D,15,H,3,A,,,
375-U1520D-15H-4-A,0,128.0,133.7,134.98,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),,sharp, sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Most layers have planar contacts, though some of them are irregular. Silt layers at 18, 24, 38, 42, 50, 54, 63, 66, and 104 cm. Grayish ash layer at 73 cm.",,,,375,U1520,D,15,H,4,A,,,
375-U1520D-15H-5-A,0,140.0,135.13,136.53,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),,sharp, sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,slight,1,,,,,,,,,"Alternating silt and mud layers with normal grading. Most layers have planar contacts, though some of them are irregular. Silt layers at 5, 15, 44, 89, 112, and 128 cm.",,,,375,U1520,D,15,H,5,A,,,
375-U1520D-15H-6-A,0,144.0,136.53,137.97,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),,sharp, sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Some layers have planar contacts while some of them are irregular. Silt layers at 17, 71, 90, 100, 105, and 127 cm.",,,,375,U1520,D,15,H,6,A,,,
375-U1520D-15H-7-A,0,113.0,137.97,139.1,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 14, 100, and 106 cm. One ash layer at 100 cm",,,,375,U1520,D,15,H,7,A,,,
375-U1520D-15H-CC-A,0,23.0,139.1,139.33,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,Alternating silt and mud layers with normal grading. Silt layer at 7 cm.,,,,375,U1520,D,15,H,CC,A,,,
375-U1520D-16H-1-A,0,140.0,139.0,140.4,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,sub-horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 71, 85, and 127 cm. White mm-scale sponge spicule pods at ~105 and 135 cm.",,,,375,U1520,D,16,H,1,A,,,
