Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Degree of alteration,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Volcanic clasts (>2 mm) DOMINANT,DOMINANT volcanic clast roundness,Volcanic clasts (>2 mm) 2ND ORDER,2ND volcanic clast roundness,Volcanic clasts (>2 mm) 3RD ORDER,3RD volcanic clast roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix abundance [%],Matrix comments,Type and sense of shear,Apparent dip angle 1 [deg],Apparent dip azimuth 1 [deg],Apparent dip angle 2 [deg],Apparent dip azimuth 2 [deg],Dip azimuth calculated in CRF [deg],Dip angle calculated in CRF [deg],Dip azimuth measured in CRF [deg],Dip angle measured in CRF [deg],Slickenside trend [deg],Slickenside plunge [deg],Rake angle [deg],Rake ref. direction [%deg],Structure comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
376-U1530A-18R-1-A,14,43,88.44,88.73,4,,,,,"clast-supported, monomict",lapillistone,,"clast-supported, monomict lapillistone",,GLEY 2 6/10B (bluish gray),,granule,4.0,medium pebble,6.0,Dominated by light grey clasts in dark matrix. The matrix is composed of mud and fine disseminated pyrite.,,,,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,,,,,,,,,,,"Fine grained light gray colored clasts, nondescript. They contain fine disseminated pyrite.",,,,,10.0,Dark gray colored mud with fine-grained disseminated pyrite.,,,,,,,,,,,,,,,,,,376,U1530,A,18,R,1,A,,,
376-U1530A-19R-1-A,0,59,93.1,93.69,4,,,,,"clast-supported, polymict",lapillistone,,"clast-supported, polymict lapillistone",,GLEY 2 6/10B (bluish gray),,small pebble,5.0,very large pebble,8.0,Two clasts are present. Dominated by light grey clasts in dark matrix. The second clast is a dark gray clast with a volcanic texture and pseudomorphs after plagioclase. The matrix is composed of mud and fine disseminated pyrite.,,,,,poor,,,volcanic,volcanic,,,,,,,,volcanic,subangular,volcanic,subangular,,,,,,,,,Two clasts are present. Dominated by light grey clasts in dark matrix. The second clast is a dark gray clast with a volcanic texture and pseudomorphs after plagioclase.,,,,,5.0,Dark gray colored mud with fine-grained disseminated pyrite.,,,,,,,,,,,,,,,,,,376,U1530,A,19,R,1,A,,,
376-U1530A-20R-1-A,0,8,97.9,97.98,4,,,,,"matrix-supported, monomict",lapilli-tuff,,"matrix-supported, monomict lapilli-tuff",,GLEY 2 5/10B (bluish gray),,very large pebble,8.0,very large pebble,8.0,One large clast present in a moderately sorted coarse grained matrix. The dark to light gray fine grained altered clast is igneous with a few pseudomorphs after plagioclase and permeated with pyrite.,,,,,moderate,,,volcanic,,,,,,,,,volcanic,sub-rounded,,,,,,,,,,,The dark to light gray fine grained altered clast is igneous with a few pseudomorphs after plagioclase and permeated with pyrite.,,,,,70.0,A medium gray moderately sorted coarse grained matrix.,,,,,,,,,,,,,,,,,,376,U1530,A,20,R,1,A,,,
376-U1530A-20R-1-A,8,35,97.98,98.25,4,,,,,"clast-supported, monomict",lapillistone,,"clast-supported, monomict lapillistone",,GLEY 2 6/10B (bluish gray),,small pebble,5.0,very large pebble,8.0,One clast type is present: a light grey clasts with no internal structure in dark matrix. The matrix is composed of mud and fine disseminated pyrite.,,,,,poor,,,volcanic,,,,,,,,,volcanic,subangular,,,,,,,,,,,One clast type is present: a light grey clasts with no internal structure.,,,,,10.0,A dark matrix composed of mud and fine disseminated pyrite.,,,,,,,,,,,,,,,,,,376,U1530,A,20,R,1,A,,,
376-U1530A-21R-1-A,0,49,102.7,103.19,4,,,,,"clast-supported, monomict",lapillistone,with blocks-bombs,"clast-supported, monomict lapillistone with blocks-bombs",,GLEY 2 5/10B (bluish gray),,medium pebble,6.0,cobble,9.0,One clast type of various sizes is present: a light grey clast with disseminated pyrite and networks of veins. Matrix is dark mud composed of mud and fine disseminated pyrite.,,,,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,,,,,,,,,,,One clast type of various sizes is present: a light grey clast with disseminated pyrite and networks of veins.,,,,,10.0,A dark matrix composed of mud and fine disseminated pyrite.,,,,,,,,,,,,,,,,,,376,U1530,A,21,R,1,A,,,
376-U1530A-22R-1-A,0,125,107.5,108.75,4,,,,,"clast-supported, monomict",lapillistone,,"clast-supported, monomict lapillistone",,GLEY 2 5/10B (bluish gray),,small pebble,5.0,very large pebble,8.0,One clast type of various sizes is present: a light grey clast with disseminated pyrite and open vugs. Vugs are often filled with pyrite and secondary minerals. Matrix is dark mud composed of mud and fine disseminated pyrite.,,,,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,,,,,,,,,,,One clast type of various sizes is present: a light grey clast with disseminated pyrite and open vugs. Vugs are often filled with pyrite and secondary minerals.,,,,,10.0,Matrix is dark mud composed of mud and fine disseminated pyrite.,,,,,,,,,,,,,,,,,,376,U1530,A,22,R,1,A,,,
376-U1530A-23R-1-A,0,28,112.3,112.58,4,,,,,"matrix-supported, monomict",tuff,with lapilli,"matrix-supported, monomict tuff with lapilli",,GLEY 2 6/5PB (bluish gray),,small pebble,5.0,large pebble,7.0,"Clast and matrix boundary is not clear. A light gray clast with matrix network. Gray matrix with variable grain size. Vugs in the clast and matrix, and the vugs are often filled with pyrite.",,,,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,,,,,,,,,,,"One clast type of light gray color with matrix network. Vugs in the clast, and the vugs are often filled with pyrite.",,,,,80.0,"A medium gray matrix with variable grain size. Vugs in the matrix, and the vugs are often filled with pyrite.",,,,,,,,,,,,,,,,,,376,U1530,A,23,R,1,A,,,
376-U1530A-24R-1-A,0,105,117.1,118.15,4,,,,,"matrix-supported, monomict",lapillistone,,"matrix-supported, monomict lapillistone",,GLEY 2 6/10B (bluish gray),,small pebble,5.0,very large pebble,8.0,"A light gray clast with matrix network. Dark gray mud matrix with variable grain size and disseminated pyrite. Vugs in the clast and matrix, and the vugs are often filled with pyrite.",,,,,moderate,,,volcanic,,,,,,,,,volcanic,subangular,,,,,,,,,,,"A light gray clast with matrix network. Vugs in the clast, and the vugs are often filled with pyrite.",,,,,20.0,"A dark gray matrix with variable grain size. Vugs in the matrix, and the vugs are often filled with pyrite.",,,,,,,,,,,,,,,,,,376,U1530,A,24,R,1,A,,,
376-U1530A-25R-1-A,0,134,121.9,123.24,4,,,,,"matrix-supported, monomict",lapilli-tuff,,"matrix-supported, monomict lapilli-tuff",,GLEY 2 5/5B (bluish gray),,medium pebble,6.0,cobble,9.0,"A dark blueish gray clast with vugs and disseminate pyrite. Boundary between matrix and clast starting to become unclear and to become difficult to discern. Dark gray mud matrix with variable grain size and disseminated pyrite. Vugs in the clast and matrix, and the vugs are often filled with pyrite.",,,,,poor,,,volcanic,,,,,,,,,volcanic,subangular,,,,,,,,,,,"A dark blueish gray clast with vugs and disseminate pyrite. Vugs in the clast, and the vugs are often filled with pyrite.",,,,,30.0,"A dark gray mud matrix with variable grain size and disseminated pyrite. Vugs in the matrix, and the vugs are often filled with pyrite.",,,,,,,,,,,,,,,,,,376,U1530,A,25,R,1,A,,,
376-U1530A-26R-1-A,0,105,126.7,127.75,4,,,,,"matrix-supported, monomict",lapilli-tuff,,"matrix-supported, monomict lapilli-tuff",,GLEY 2 5/5B (bluish gray),,medium pebble,6.0,very large pebble,8.0,"Dark blueish gray clasts with vugs and disseminate pyrite. Boundary between matrix and clast becoming unclear and difficult to discern. Dark gray mud matrix with variable grain size and disseminated pyrite, creating a network pattern. Vugs in the clast and matrix, and the vugs are often filled with pyrite.",,,,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,,,,,,,,,,,Dark blueish gray clasts with vugs and disseminate pyrite. Boundary between matrix and clast becoming unclear and difficult to discern.,,,,,50.0,"Dark gray mud matrix with variable grain size and disseminated pyrite, creating a network pattern.",,,,,,,,,,,,,,,,,,376,U1530,A,26,R,1,A,,,
376-U1530A-26R-2-A,0,67,127.75,128.42,4,,,,,"clast-supported, monomict",lapillistone,,"clast-supported, monomict lapillistone",,GLEY 2 5/5B (bluish gray),,small pebble,5.0,very large pebble,8.0,"Dark blueish gray clasts with vugs and disseminate pyrite. Boundary between matrix and clast becoming unclear and difficult to discern. Dark gray mud matrix with variable grain size and disseminated pyrite, creating a network pattern. Sample is more clast supported and clasts are smaller, although the maximum size is still the same. Vugs in the clast and matrix, and the vugs are often filled with pyrite.",,,,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,,,,,,,,,,,"Dark blueish gray clasts with vugs and disseminate pyrite. Boundary between matrix and clast becoming unclear and difficult to discern. Sample is more clast supported and clasts are smaller, although the maximum size is still the same. Vugs in the clast, and the vugs are often filled with pyrite.",,,,,20.0,"Dark gray mud matrix with variable grain size and disseminated pyrite, creating a network pattern. Vugs in the matrix are often filled with pyrite.",,,,,,,,,,,,,,,,,,376,U1530,A,26,R,2,A,,,
376-U1530A-27R-1-A,0,117,131.5,132.67,4,,,,,"matrix-supported, monomict",lapilli-tuff,,"matrix-supported, monomict lapilli-tuff",,GLEY 2 5/10B (bluish gray),,small pebble,5.0,very large pebble,8.0,"Dark blueish gray clasts with vugs and disseminate pyrite. Boundary between matrix and clast becoming unclear and difficult to discern. Dark gray matrix of sand to granule-sized clasts embedded into finegrained, unidentifiable material. Vugs in the clasts may have been vesicles; all phenocrysts are replaced or void; rich in disseminated pyrite often filling the vugs.",,,,,poor,,,volcanic,,,,,,,,,volcanic,subangular,,,,,,,,,,,"Highly altered, angular volcaniclasts ranging in grain size from granules to very large pebble.",,,,,50.0,Sandy matrix with continuous grain size distribution to granule and small pebble-sized volcaniclastics provide 'matrix' for larger volcaniclasts. Volcaniclasts likely phyric volcanic rock.,,,,,,,,,,,,,,,,,,376,U1530,A,27,R,1,A,,,
376-U1530A-27R-2-A,0,54,132.67,133.21,4,,,,,"matrix-supported, monomict",lapilli-tuff,,"matrix-supported, monomict lapilli-tuff",,GLEY 2 5/10B (bluish gray),,small pebble,5.0,very large pebble,8.0,"Dark blueish gray clasts with vugs and disseminate pyrite. Boundary between matrix and clast becoming unclear and difficult to discern. Dark gray matrix of sand to granule-sized clasts embedded into finegrained, unidentifiable material. Vugs in the clasts may have been vesicles; all phenocrysts are replaced or void; rich in disseminated pyrite often filling the vugs.",,,,,poor,,,volcanic,,,,,,,,,volcanic,subangular,,,,,,,,,,,"Highly altered, angular volcaniclasts ranging in grain size from granule to very large pebble.",,,,,50.0,Sandy matrix with continuous grain size distribution to granule and small pebble-sized volcaniclastics provide 'matrix' for larger volcaniclasts. Volcaniclasts likely phyric volcanic rock.,,,,,,,,,,,,,,,,,,376,U1530,A,27,R,2,A,,,
376-U1530A-28R-1-A,0,94,136.3,137.24,4,,,,,"matrix-supported, monomict",lapilli-tuff,,"matrix-supported, monomict lapilli-tuff",,GLEY 2 5/10B (bluish gray),,small pebble,5.0,very large pebble,8.0,Dark blueish gray clasts with vugs and disseminate pyrite. All phenocrysts are replaced or void; rich in disseminated pyrite often filling the vugs.,,,,,poor,,,volcanic,,,,,,,,,volcanic,angular,,,,,,,,,,,"Highly altered, angular volcanic clasts ranging in grain size from small to very large pebble.",,,,,50.0,Highly altered,,,,,,,,,,,,,,,,,,376,U1530,A,28,R,1,A,,,
376-U1530A-29R-1-A,0,74,141.1,141.84,4,,,,,"matrix-supported, monomict",lapilli-tuff,,"matrix-supported, monomict lapilli-tuff",,GLEY 2 5/10B (bluish gray),,small pebble,5.0,large pebble,7.0,Dark blueish gray clasts with vugs and disseminate pyrite. All phenocrysts are replaced or void; rich in disseminated pyrite often filling the vugs.,,,,,poor,,,volcanic,,,,,,,,,volcanic,angular,,,,,,,,,,,"Highly altered, angular volcanic clasts ranging in grain size from small to large pebble.",,,,,60.0,Highly altered,,,,,,,,,,,,,,,,,,376,U1530,A,29,R,1,A,,,
376-U1530A-30R-1-A,0,74,145.9,146.64,4,,,,,"matrix-supported, monomict",lapilli-tuff,,"matrix-supported, monomict lapilli-tuff",,GLEY 2 4/5B (dark bluish gray),,small pebble,5.0,very large pebble,8.0,Dark blueish gray clasts with vugs and disseminate pyrite. All phenocrysts are replaced or void; rich in disseminated pyrite often filling the vugs.,,,,,poor,,,volcanic,,,,,,,,,volcanic,angular,,,,,,,,,,,"Highly altered, angular volcanic clasts ranging in grain size from small to very large pebble.",,,,,50.0,Highly altered,,,,,,,,,,,,,,,,,,376,U1530,A,30,R,1,A,,,
376-U1530A-31R-1-A,0,98,150.7,151.68,4,,,,,"matrix-supported, monomict",lapilli-tuff,,"matrix-supported, monomict lapilli-tuff",,GLEY 2 4/5B (dark bluish gray),,small pebble,5.0,very large pebble,8.0,Dark blueish gray clasts with vugs and disseminate pyrite. All phenocrysts are replaced or void; rich in disseminated pyrite often filling the vugs. Smells of sulfur.,,,,,poor,,,volcanic,,,,,,,,,volcanic,angular,,,,,,,,,,,"Highly altered, angular volcanic clasts ranging in grain size from small to very large pebble.",,,,,50.0,Highly altered,,,,,,,,,,,,,,,,,,376,U1530,A,31,R,1,A,,,
376-U1530A-32R-1-A,0,76,155.5,156.26,4,,,,,"matrix-supported, monomict",lapilli-tuff,,"matrix-supported, monomict lapilli-tuff",,GLEY 2 4/5PB (dark bluish gray),,granule,4.0,large pebble,7.0,Dark blueish gray clasts with vugs and disseminated pyrite. All phenocrysts are replaced or void; rich in disseminated pyrite often filling the vugs. Smells faintly of sulfur.,,,,,poor,,,volcanic,,,,,,,,,volcanic,angular,,,,,,,,,,,"Highly altered, angular volcanic clasts ranging in grain size from small to large pebble.",,,,,50.0,Highly altered,,,,,,,,,,,,,,,,,,376,U1530,A,32,R,1,A,,,
376-U1530A-33R-1-A,0,95,160.3,161.25,4,,,,,"matrix-supported, monomict",lapilli-tuff,,"matrix-supported, monomict lapilli-tuff",,GLEY 2 4/10B (dark bluish gray),,granule,4.0,very large pebble,8.0,Dark blueish gray clasts with vugs and disseminated pyrite. All phenocrysts are replaced or void; rich in disseminated pyrite often filling the vugs. H2S smell obvious.,,,,,poor,,,volcanic,,,,,,,,,volcanic,subangular,,,,,,,,,,,"Highly altered, angular volcanic clasts ranging in grain size from granule to very large pebble.",,,,,30.0,Highly altered,,,,,,,,,,,,,,,,,,376,U1530,A,33,R,1,A,,,
376-U1530A-34R-1-A,0,116,165.1,166.26,4,,,,,"matrix-supported, polymict",lapilli-tuff,with blocks-bombs,"matrix-supported, polymict lapilli-tuff with blocks-bombs",,GLEY 2 4/10B (dark bluish gray),,granule,4.0,cobble,9.0,Dark blueish gray clasts with vugs and disseminated pyrite. All phenocrysts are replaced or void; rich in disseminated pyrite often filling the vugs. H2S smell obvious.,,,,,poor,,,volcanic,"fine-grained, unknown",,,,"fine-grained, unknown",sub-rounded,,,volcanic,subangular,,,,,,,,,,,"Highly altered, angular volcanic clasts ranging in grain size from granule to cobble: 1) are the common altered volcanic clasts with vugs probably after glomerocrysts and pseudomorphs; 2) fine grained, unknown, probably lithic fragments mainly composed of pyrite and anhydrite? (light gray to whitish secondary mineral)",,,,,35.0,Highly altered,,,,,,,,,,,,,,,,,,376,U1530,A,34,R,1,A,,,
376-U1530A-35R-1-A,0,47,169.9,170.37,4,,,,,"matrix-supported, polymict",lapilli-tuff,,"matrix-supported, polymict lapilli-tuff",,GLEY 2 4/10B (dark bluish gray),,granule,4.0,large pebble,7.0,Dark blueish gray clasts with vugs and disseminated pyrite. All phenocrysts are replaced or void; rich in disseminated pyrite often filling the vugs. H2S smell obvious.,,,,,poor,,,volcanic,volcanic,"fine-grained, unknown",,,,,"fine-grained, unknown",,volcanic,sub-rounded,volcanic,sub-rounded,,,,,,,,,"Highly altered, angular volcanic clasts ranging in grain size from granule to large pebble: 1) are the common altered volcanic clasts with vugs probably after glomerocrysts and pseudomorphs; 2) darker volcanic clasts with secondary white minerals as pseudomorphs after plagioclase?; 3) fine grained, unknown, probably lithic fragments mainly composed of pyrite and anhydrite? (light gray to whitish secondary mineral)",,,,,30.0,,,,,,,,,,,,,,,,,,,376,U1530,A,35,R,1,A,,,
376-U1530A-36R-1-A,0,92,174.7,175.62,4,,,,,"matrix-supported, monomict",lapilli-tuff,,"matrix-supported, monomict lapilli-tuff",,GLEY 2 5/5PB (bluish gray),,small pebble,5.0,very large pebble,8.0,Dark blueish gray clasts with vugs and disseminated pyrite. Rich in disseminated pyrite often filling vugs. H2S smell obvious.,,,,,moderate,,,volcanic,,,,,,,,,volcanic,sub-rounded,,,,,,,,,,,Dark blueish gray clasts with vugs and disseminated pyrite.,,,,,65.0,Dark gray with a range in grain size from clay to silt with some disseminated pyrite.,,,,,,,,,,,,,,,,,,376,U1530,A,36,R,1,A,,,
376-U1530A-36R-1-A,92,101,175.62,175.71,4,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 2 5/5PB (bluish gray),,,,,,"Dark blueish gray altered volcaniclastic rock. It is difficult to distinguish the clasts from the matrix. Some vugs are filled with a white mineral, possibly sulfate. Disseminated pyrite in the vugs and the matrix. H2S smell obvious.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,36,R,1,A,,,
376-U1530A-37R-1-A,0,80,179.5,180.3,4,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 2 5/5PB (bluish gray),,,,,,"Dark blueish gray altered volcaniclastic rock. It is difficult to distinguish the clasts from the matrix. Some vugs are filled with a white mineral, possibly sulfate. Disseminated pyrite in the vugs and the matrix. H2S smell obvious.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,37,R,1,A,,,
376-U1530A-38R-1-A,0,68,184.3,184.98,4,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 2 5/5PB (bluish gray),,,,,,"Dark blueish gray altered volcaniclastic rock. It is difficult to distinguish the clasts from the matrix. Some vugs are filled with a white mineral, possibly sulfate. Disseminated pyrite in the vugs and the matrix.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,38,R,1,A,,,
376-U1530A-38R-1-A,68,86,184.98,185.16,4,,,,,"matrix-supported, monomict",tuff,with lapilli,"matrix-supported, monomict tuff with lapilli",,GLEY 2 5/5PB (bluish gray),,silt,2.0,large pebble,7.0,Dark blueish gray altered volcaniclastic rock. Just a few grayish colored clasts that are subangular and vuggy filled with sulfate. Disseminated pyrite in the vugs and the matrix.,,,,,poor,,,volcanic,,,,,,,,,volcanic,subangular,,,,,,,,,,,Just a few grayish colored clasts that are subangular and vuggy filled with sulfate.,,,,,80.0,Dark gray with a range in grain size from clay to silt with some disseminated pyrite.,,,,,,,,,,,,,,,,,,376,U1530,A,38,R,1,A,,,
376-U1530A-39R-1-A,0,150,189.1,190.6,4,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 2 5/5PB (bluish gray),,,,,,"Dark blueish gray altered volcaniclastic rock. It is difficult to distinguish the clasts from the matrix. Some vugs are filled with a white mineral, possibly sulfate. Possible pseudomorphs after plagioclase. Disseminated pyrite in the vugs and the matrix.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,39,R,1,A,,,
376-U1530A-39R-2-A,0,89,190.6,191.49,4,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 2 5/5PB (bluish gray),,,,,,"Dark blueish gray altered volcaniclastic rock. It is difficult to distinguish the clasts from the matrix. Some vugs are filled with a white mineral, possibly sulfate. Possible pseudomorphs after plagioclase. Disseminated pyrite in the vugs and the matrix.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,39,R,2,A,,,
376-U1530A-40R-1-A,0,102,193.9,194.92,4,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 2 5/5PB (bluish gray),,,,,,"Dark blueish gray altered volcaniclastic rock. It is difficult to distinguish the clasts from the matrix. Some vugs are filled with a white mineral, possibly sulfate. Possible pseudomorphs after plagioclase. Disseminated pyrite in the vugs and the matrix.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,40,R,1,A,,,
376-U1530A-41R-1-A,0,29,198.7,198.99,4,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 2 6/10B (bluish gray),,,,,,"Dark blueish gray altered volcaniclastic rock. It is difficult to distinguish the clasts from the matrix. Some vugs are filled with a white mineral, possibly sulfate. Possible pseudomorphs after plagioclase. Disseminated pyrite in the vugs and the matrix.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,41,R,1,A,,,
376-U1530A-41R-1-A,29,74,198.99,199.44,4,,,,,"clast-supported, monomict",lapillistone,,"clast-supported, monomict lapillistone",,GLEY 2 6/10B (bluish gray),,small pebble,5.0,large pebble,7.0,Dark browninsh to light blueish gray altered volcaniclastic rock. Just a few grayish colored clasts that are subrounded and vuggy filled with sulfate. Similarly with brownish gray clasts. Disseminated pyrite in a few of the vugs and the matrix. One large rock piece trangressed with white/bleached alteration front along quartz vein.,,,,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,,,,,,,,,,,Just a few light blueish gray colored subrounded clasts are recognizable. They are vuggy filled with sulfate.,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,41,R,1,A,,,
376-U1530A-42R-1-A,0,28,203.5,203.78,4,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 2 5/5B (bluish gray),,,,,,"Dark blueish gray altered volcaniclastic rock. It is difficult to distinguish the clasts from the matrix. Some vugs are filled with a white mineral, possibly sulfate. Possible pseudomorphs after plagioclase. Disseminated pyrite in the vugs and the matrix.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,42,R,1,A,,,
376-U1530A-43R-1-A,0,80,208.3,209.1,4,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 2 6/10B (bluish gray),,,,,,Dark blueish gray altered volcaniclastic rock. It is difficult to distinguish the clasts from the matrix. Some vugs are filled with a white secondary mineral. Possible pseudomorphs after plagioclase. Quartz vein and quartz crystal grown in the vugs. Disseminated pyrite in the vugs and the veins.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,43,R,1,A,,,
376-U1530A-44R-1-A,0,92,213.1,214.02,4,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 2 7/5PB (light bluish gray),,,,,,"Light blueish gray altered volcaniclastic rock with networks of possibly hydrothermal brecciation and veins. Some vugs, veins and breccia matrix are filled with quartz, silica and sulfide minerals. Possible pseudomorphs after plagioclase. Quartz crystal grown in the vugs. Disseminated pyrite in the vugs and the veins.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,44,R,1,A,,,
376-U1530A-45R-1-A,0,31,217.9,218.21,4,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 2 7/10B (light bluish gray),,,,,,"Light blueish gray altered volcaniclastic rock with networks of possibly hydrothermal brecciation and veins. Some vugs, veins and breccia matrix are filled with quartz, silica and sulfide minerals. Possible pseudomorphs after plagioclase. Quartz crystal grown in the vugs. Disseminated pyrite in the vugs and the veins.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,45,R,1,A,,,
376-U1530A-49R-1-A,0,8,237.1,237.18,5,,,,,"matrix-supported, monomict",lapilli-tuff,,"matrix-supported, monomict lapilli-tuff",,GLEY 2 4/10B (dark bluish gray),,small pebble,5.0,large pebble,7.0,Light blueish gray altered volcaniclastic rock. Some vugs and veins are filled with silica and sulfide minerals. Possible vugs after pseudomorphs after plagioclase. Pyrite in vugs and veins as well as disseminated. Possible fall in,,,,,moderate,,,volcanic,,,,,,,,,volcanic,sub-rounded,,,,,,,,,,,Highly altered volcanic clasts in matrix of secondary minerals,,,,,30.0,Secondary mineral assemblage,,,,,,,,,,,,,,,,,,376,U1530,A,49,R,1,A,,,
376-U1530A-51R-1-A,0,7,246.7,246.77,5,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 2 5/5PB (bluish gray),,,,,,Fall-in altered volcaniclastics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,51,R,1,A,,,
376-U1530A-81R-1-A,33,91,391.03,391.61,5,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 2 6/10G (greenish gray),,,,,,Altered volcaniclastic with greenish fine-grained matrix surrounding gray-altered volcanic clasts; clasts-matrix distinction challenging due to veins cross-cutting clasts; possible hydrofracturing. Matrix consists mostly of green alteration mineral as well as dark fine-grained veins.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,81,R,1,A,,,
376-U1530A-85R-1-A,9,84,409.99,410.74,5,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 1 7/N (light gray),,granule,4.0,large pebble,7.0,"brecciation probably a result of hydrothermal/hydraulic fracturing; matrix is grayish, siliceous and full of disseminated pyrite",,,,,poor,,,"fine-grained, unknown",,,"fine-grained, unknown",angular,,,,,,,,,,,,,,,,,"clasts are intensely altered (silica, clay, anhydrite) but of potential volcanic origin.",,,,,20.0,Matrix is siliceous with moderate amounts of disseminated pyrite.,,,,,,,,,,,,,,,,,,376,U1530,A,85,R,1,A,,,
