Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology name,Grain size max. [mm],Lithification,Lithification rank,Lithology [%],lithology classification,Comment,File Data,
317-U1351B-11H-2-A,317,U1351,B,11,11-2,H,2,A,0.0,115.0,71.2,72.35,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",spotted and rounded burrows scatter,,
317-U1351B-11H-2-A,317,U1351,B,11,11-2,H,2,A,115.0,140.0,72.35,72.6,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",spotted and rounded burrows scatter,,
317-U1351B-11H-3-A,317,U1351,B,11,11-3,H,3,A,0.0,88.0,72.7,73.58,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","mottled to massive
",,
317-U1351B-11H-3-A,317,U1351,B,11,11-3,H,3,A,88.0,91.0,73.58,73.61,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",massive,,
317-U1351B-11H-3-A,317,U1351,B,11,11-3,H,3,A,91.0,143.0,73.61,74.13,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","mottled to massive
",,
317-U1351B-11H-4-A,317,U1351,B,11,11-4,H,4,A,0.0,70.0,74.2,74.9,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","massive to mottled, 30 to 70 cm: sand pockets filled with vfs and shells smaller than 5 mm",,
317-U1351B-11H-4-A,317,U1351,B,11,11-4,H,4,A,70.0,110.0,74.9,75.3,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",abundant shell fragments and mud patches scatter in the sand,,
317-U1351B-11H-CC-A,317,U1351,B,11,11-CC,H,CC,A,0.0,15.0,75.37,75.52,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",,,
317-U1351B-12H-1-A,317,U1351,B,12,12-1,H,1,A,0.0,86.0,75.7,76.56,,Shell bed,,Shell bed,,,,,Expedition 317,possible fall-in,,
317-U1351B-12H-1-A,317,U1351,B,12,12-1,H,1,A,86.0,111.0,76.56,76.81,,Medium-coarse sand [S54-W22],,Medium-coarse sand,,,,,"Shepard, 1954; Wentworth, 1922",,,
317-U1351B-12H-1-A,317,U1351,B,12,12-1,H,1,A,111.0,122.0,76.81,76.92,,Medium-coarse sand [S54-W22],,Medium-coarse sand,,,,,"Shepard, 1954; Wentworth, 1922",cemented,,
317-U1351B-13H-1-A,317,U1351,B,13,13-1,H,1,A,0.0,90.0,85.2,86.1,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1351B-13H-1-A,317,U1351,B,13,13-1,H,1,A,90.0,98.0,86.1,86.18,,,,,,,,,,Void,,
317-U1351B-13H-2-A,317,U1351,B,13,13-2,H,2,A,0.0,146.0,86.18,87.64,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1351B-13H-2-A,317,U1351,B,13,13-2,H,2,A,146.0,149.0,87.64,87.67,,,,,,,,,,void,,
317-U1351B-13H-3-A,317,U1351,B,13,13-3,H,3,A,0.0,150.0,87.68,89.18,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","interbed mud (silt) layers at 106-110 cm and 113-119 cm, clayey layers at 123-127 cm, 135-140 cm, and 142-143 cm",,
317-U1351B-13H-4-A,317,U1351,B,13,13-4,H,4,A,0.0,84.0,89.18,90.02,,Shell bed,,Shell bed,,,,,Expedition 317,Possible fall-in,,
317-U1351B-14X-1-A,317,U1351,B,14,14-1,X,1,A,0.0,140.0,94.7,96.1,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",Homogeneous layer,,
317-U1351B-14X-2-A,317,U1351,B,14,14-2,X,2,A,0.0,57.0,96.2,96.77,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",Homogeneous layer,,
317-U1351B-14X-CC-A,317,U1351,B,14,14-CC,X,CC,A,0.0,33.0,96.77,97.1,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",Homogeneous layer,,
317-U1351B-15X-CC-A,317,U1351,B,15,15-CC,X,CC,A,0.0,10.0,103.3,103.4,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",Possible fall-out,,
317-U1351B-15X-CC-A,317,U1351,B,15,15-CC,X,CC,A,10.0,15.0,103.4,103.45,,Shell bed,,Shell bed,,,,,Expedition 317,Possible fall-out,,
317-U1351B-16X-1-A,317,U1351,B,16,16-1,X,1,A,0.0,150.0,112.9,114.4,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1351B-16X-2-A,317,U1351,B,16,16-2,X,2,A,0.0,36.0,114.4,114.76,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",,,
317-U1351B-16X-2-A,317,U1351,B,16,16-2,X,2,A,36.0,150.0,114.76,115.9,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1351B-16X-3-A,317,U1351,B,16,16-3,X,3,A,0.0,119.0,115.9,117.09,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1351B-16X-4-A,317,U1351,B,16,16-4,X,4,A,0.0,112.0,117.4,118.52,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1351B-16X-4-A,317,U1351,B,16,16-4,X,4,A,112.0,144.0,118.52,118.84,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1351B-16X-5-A,317,U1351,B,16,16-5,X,5,A,0.0,100.0,118.9,119.9,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1351B-16X-CC-A,317,U1351,B,16,16-CC,X,CC,A,0.0,10.0,119.9,120.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",Homogeneous layer,,
317-U1351B-16X-CC-A,317,U1351,B,16,16-CC,X,CC,A,10.0,32.0,120.0,120.22,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1351B-18X-1-A,317,U1351,B,18,18-1,X,1,A,0.0,93.0,132.0,132.93,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1351B-18X-1-A,317,U1351,B,18,18-1,X,1,A,93.0,100.0,132.93,133.0,,Clay [S54] ,,Clay,,,,,,,,
317-U1351B-18X-1-A,317,U1351,B,18,18-1,X,1,A,100.0,140.0,133.0,133.4,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1351B-18X-2-A,317,U1351,B,18,18-2,X,2,A,0.0,53.0,133.5,134.03,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1351B-18X-CC-A,317,U1351,B,18,18-CC,X,CC,A,0.0,33.0,134.03,134.36,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1351B-18X-CC-A,317,U1351,B,18,18-CC,X,CC,A,33.0,34.0,134.36,134.37,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",shelly mud,,
317-U1351B-18X-CC-A,317,U1351,B,18,18-CC,X,CC,A,34.0,36.0,134.37,134.39,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogenous mud,,
317-U1351B-19X-1-A,317,U1351,B,19,19-1,X,1,A,0.0,118.0,141.6,142.78,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud,,
317-U1351B-19X-1-A,317,U1351,B,19,19-1,X,1,A,118.0,150.0,142.78,143.1,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",shelly mud,,
317-U1351B-19X-2-A,317,U1351,B,19,19-2,X,2,A,0.0,109.0,143.1,144.19,,Medium-coarse sand [S54-W22],,Medium-coarse sand,,,,,"Shepard, 1954; Wentworth, 1922",Shelly bed (shell fragment < 1 cm),,
317-U1351B-19X-2-A,317,U1351,B,19,19-2,X,2,A,109.0,140.0,144.19,144.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",shell fragments < 1 cm,,
317-U1351B-19X-3-A,317,U1351,B,19,19-3,X,3,A,0.0,150.0,144.6,146.1,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","dark greenish gray and gray bands (56-65 cm, 69-73 cm, 95-99 cm, 119-122 cm, 140-150 cm)",,
317-U1351B-19X-3-A,317,U1351,B,19,19-3,X,3,A,56.0,65.0,145.16,145.25,,clay [S54] ,,clay,,,,,,,,
317-U1351B-19X-3-A,317,U1351,B,19,19-3,X,3,A,65.0,69.0,145.25,145.29,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1351B-19X-3-A,317,U1351,B,19,19-3,X,3,A,69.0,73.0,145.29,145.33,,clay [S54] ,,clay,,,,,,,,
317-U1351B-19X-3-A,317,U1351,B,19,19-3,X,3,A,73.0,95.0,145.33,145.55,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1351B-19X-3-A,317,U1351,B,19,19-3,X,3,A,95.0,99.0,145.55,145.59,,clay [S54] ,,clay,,,,,,,,
317-U1351B-19X-3-A,317,U1351,B,19,19-3,X,3,A,99.0,114.0,145.59,145.74,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1351B-19X-3-A,317,U1351,B,19,19-3,X,3,A,114.0,122.0,145.74,145.82,,clay [S54] ,,clay,,,,,,,,
317-U1351B-19X-3-A,317,U1351,B,19,19-3,X,3,A,122.0,140.0,145.82,146.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1351B-19X-3-A,317,U1351,B,19,19-3,X,3,A,140.0,150.0,146.0,146.1,,clay [S54] ,,clay,,,,,,,,
317-U1351B-19X-4-A,317,U1351,B,19,19-4,X,4,A,0.0,113.0,146.1,147.23,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",color banded mud,,
317-U1351B-19X-CC-A,317,U1351,B,19,19-CC,X,CC,A,0.0,17.0,147.23,147.4,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",shelly mud,,
317-U1351B-19X-CC-A,317,U1351,B,19,19-CC,X,CC,A,17.0,37.0,147.4,147.6,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",cemented mud,,
317-U1351B-20X-1-A,317,U1351,B,20,20-1,X,1,A,0.0,150.0,151.2,152.7,,Clay [S54] ,,Clay,,,,,,,,
317-U1351B-20X-2-A,317,U1351,B,20,20-2,X,2,A,0.0,110.0,152.7,153.8,,Interbedded sand and mud  [Exp.317],,Interbedded sand and mud ,,,,,Expedition 317,alternation of very fine sand and silt. sands are partly muddy. sand and silt beds thicken from 1 to 15 cm. mud is cemented in the interval from 100 to 106 cm.,,
317-U1351B-20X-2-A,317,U1351,B,20,20-2,X,2,A,100.0,106.0,153.7,153.76,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",cemented interval,,
317-U1351B-20X-2-A,317,U1351,B,20,20-2,X,2,A,106.0,110.0,153.76,153.8,,Clay [S54] ,,Clay,,,,,"Shepard, 1954 - Leg 210 revision",cemented interval,,
317-U1351B-20X-2-A,317,U1351,B,20,20-2,X,2,A,110.0,140.0,153.8,154.1,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,
317-U1351B-20X-3-A,317,U1351,B,20,20-3,X,3,A,0.0,150.0,154.2,155.7,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1351B-20X-3-A,317,U1351,B,20,20-3,X,3,A,129.0,130.0,155.49,155.5,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",,,
317-U1351B-20X-3-A,317,U1351,B,20,20-3,X,3,A,133.0,134.0,155.53,155.54,,Clay [S54] ,,Clay,,,,,,,,
317-U1351B-20X-4-A,317,U1351,B,20,20-4,X,4,A,0.0,140.0,155.7,157.1,,Clay [S54] ,,Clay,,,,,,cemented,,
317-U1351B-20X-4-A,317,U1351,B,20,20-4,X,4,A,0.0,140.0,155.7,157.1,,Interbedded sand and mud  [Exp.317],,Interbedded sand and mud ,,,,,Expedition 317,130-132 cm cemented,,
317-U1351B-20X-4-A,317,U1351,B,20,20-4,X,4,A,0.0,150.0,155.7,157.2,,Interbedded sand and mud  [Exp.317],,Interbedded sand and mud ,,,,,Expedition 317,130-132 cm cemented,,
317-U1351B-20X-5-A,317,U1351,B,20,20-5,X,5,A,0.0,150.0,157.2,158.7,,Interbedded sand and mud  [Exp.317],,Interbedded sand and mud ,,,,,Expedition 317,,,
317-U1351B-20X-6-A,317,U1351,B,20,20-6,X,6,A,0.0,111.0,158.7,159.81,,Interbedded sand and mud  [Exp.317],,Interbedded sand and mud ,,,,,Expedition 317,,,
317-U1351B-20X-CC-A,317,U1351,B,20,20-CC,X,CC,A,0.0,41.0,159.81,160.22,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogenous,,
317-U1351B-21X-1-A,317,U1351,B,21,21-1,X,1,A,0.0,150.0,160.8,162.3,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","very fine, micaceous mud, homogeneous.  rare shells & shell fragmnets are scattered.  silty, very fine sand-rilled Chondrites burrows (diameter = 4 mm).",,
317-U1351B-21X-1-A,317,U1351,B,21,21-1,X,1,A,101.0,103.0,161.81,161.83,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision","moderately well sorted, micaceous, silty very fine sand",,
317-U1351B-21X-2-A,317,U1351,B,21,21-2,X,2,A,0.0,48.0,162.3,162.78,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1351B-21X-2-A,317,U1351,B,21,21-2,X,2,A,0.0,150.0,162.3,163.8,,,,,,,,,,sand-filled Chondrites burrow are common (diameter = 4 mm).,,
317-U1351B-21X-2-A,317,U1351,B,21,21-2,X,2,A,48.0,110.0,162.78,163.4,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",color alternation with N4 (more silty) & N5 (more clayey),,
317-U1351B-21X-2-A,317,U1351,B,21,21-2,X,2,A,110.0,150.0,163.4,163.8,,Interbedded sand and mud  [Exp.317],,Interbedded sand and mud ,,,,,Expedition 317,"interbedded calicareous, very fine sand (N4) & mud (N5).  thinly laminated.",,
317-U1351B-21X-2-A,317,U1351,B,21,21-2,X,2,A,110.0,150.0,163.4,163.8,,Interbedded sand and mud  [Exp.317],,Interbedded sand and mud ,,,,,Expedition 317,"interbedded micaceous, very fine sand (N4) & mud (N5).  thinly laminated.",,
317-U1351B-21X-3-A,317,U1351,B,21,21-3,X,3,A,0.0,55.0,163.8,164.35,,Interbedded sand and mud  [Exp.317],,Interbedded sand and mud ,,,,,Expedition 317,"interbedded micaceous, very fine sand with mud.  thinly bedded",,
317-U1351B-21X-3-A,317,U1351,B,21,21-3,X,3,A,0.0,120.0,163.8,165.0,,,,,,,,,, Chondrites burrows are common (diameter = 4 mm).,,
317-U1351B-21X-3-A,317,U1351,B,21,21-3,X,3,A,55.0,120.0,164.35,165.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",alternating color band (N4/N5).,,
317-U1351B-21X-4-A,317,U1351,B,21,21-4,X,4,A,0.0,144.0,165.3,166.74,,Interbedded sand and mud  [Exp.317],,Interbedded sand and mud ,,,,,Expedition 317,"interbedded , very fine micaceous silty sand  (N4) & clayey mud (N5).",,
317-U1351B-21X-4-A,317,U1351,B,21,21-4,X,4,A,0.0,144.0,165.3,166.74,,,,,,,,,,burrows of Chondrites are rare (diameter = 3 mm).  ,,
317-U1351B-21X-4-A,317,U1351,B,21,21-4,X,4,A,7.0,8.0,165.37,165.38,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision","very fine, micaceous sand.",,
317-U1351B-21X-4-A,317,U1351,B,21,21-4,X,4,A,25.0,25.5,165.55,165.555,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision","very fine, micaceous sand.",,
317-U1351B-21X-4-A,317,U1351,B,21,21-4,X,4,A,142.0,144.5,166.72,166.745,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision","very fine, micaceous sand.",,
317-U1351B-21X-5-A,317,U1351,B,21,21-5,X,5,A,0.0,105.0,166.8,167.85,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","very fine sandy, micaceous mud, with color banding N4/N5 at cm-dm scale.  ",,
317-U1351B-21X-5-A,317,U1351,B,21,21-5,X,5,A,105.0,105.0,167.85,167.85,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","bioturbated, calcareous sandy mud.  common shell fragments.",,
317-U1351B-21X-5-A,317,U1351,B,21,21-5,X,5,A,105.0,130.0,167.85,168.1,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",calcareous fine sandy mud. common shell fragment,,
317-U1351B-21X-CC-A,317,U1351,B,21,21-CC,X,CC,A,0.0,14.0,168.1,168.24,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",scattered rare shell fragments.,,
317-U1351B-21X-CC-A,317,U1351,B,21,21-CC,X,CC,A,14.0,25.0,168.24,168.35,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","calcareous, sandy, shelly (common) mud with sharp lower boundary.",,
317-U1351B-21X-CC-A,317,U1351,B,21,21-CC,X,CC,A,25.0,37.0,168.35,168.47,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",scattered rare shell fragments.,,
317-U1351B-22X-1-A,317,U1351,B,22,22-1,X,1,A,0.0,6.0,170.4,170.46,,Mud [S54-Leg210],,Mud,,soupy,,,"Shepard, 1954 - Leg 210 revision",Likely coring artefact,,
317-U1351B-22X-1-A,317,U1351,B,22,22-1,X,1,A,6.0,102.0,170.46,171.42,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",Moderately sorted fine sandy mud,,
317-U1351B-22X-1-A,317,U1351,B,22,22-1,X,1,A,102.0,146.0,171.42,171.86,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",Clayey mud with Thalassinoides burrows,,
317-U1351B-22X-1-A,317,U1351,B,22,22-1,X,1,A,146.0,150.0,171.86,171.9,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",Very fine sandy mud.,,
317-U1351B-22X-2-A,317,U1351,B,22,22-2,X,2,A,0.0,141.0,171.9,173.31,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",very fine sandy mud.,,
317-U1351B-22X-3-A,317,U1351,B,22,22-3,X,3,A,0.0,150.0,173.4,174.9,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",Moderately sorted shelly muddy sand. Clumps of bioclastic limestone (grainstone) throughout.,,
317-U1351B-22X-CC-A,317,U1351,B,22,22-CC,X,CC,A,0.0,35.0,174.9,175.25,,Muddy Sand [S54-Leg183],,Muddy Sand,,soft,,,"Shepard, 1954 - Leg 183 revision",Mod. sorted shelly muddy sand. Cemented nodules of bioclastic limestone (grainstone) are common.,,
317-U1351B-23X-CC-A,317,U1351,B,23,23-CC,X,CC,A,0.0,5.0,180.0,180.05,,Shell hash,,Shell hash,,,,,Leg 150,vernacle hashes are common.,,
317-U1351B-23X-CC-A,317,U1351,B,23,23-CC,X,CC,A,5.0,17.0,180.05,180.17,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",with scattered shell hash.,,
317-U1351B-24X-CC-W,317,U1351,B,24,24-CC,X,CC,W,0.0,5.0,189.6,189.65,,Shell hash,,Shell hash,,,,,Leg 150,"bioclastic sand (mdy shell hash & shells, up to pebble size).",,
317-U1351B-24X-CC-W,317,U1351,B,24,24-CC,X,CC,W,5.0,14.0,189.65,189.74,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",shelly mud.  shell hashes are mostly coarse-sand to granule size.  containing shell bearing mud clast & calcareous cemented shells. ,,
317-U1351B-25X-1-A,317,U1351,B,25,25-1,X,1,A,0.0,9.0,199.2,199.29,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","disturbed shelley mud, with sharp inclined lower boundary.",,
317-U1351B-25X-1-A,317,U1351,B,25,25-1,X,1,A,0.0,85.0,199.2,200.05,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","with scattered rare shell hash (up to granule size). with rare Chondrites, filled with sillty very fine snad; diameter = 2.5 mm).",,
317-U1351B-25X-1-A,317,U1351,B,25,25-1,X,1,A,85.0,116.0,200.05,200.36,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","shelly mud. with scattered shell fragments (mostly bivalves, up to 3 cm in diameter).",,
317-U1351B-25X-2-A,317,U1351,B,25,25-2,X,2,A,0.0,106.0,200.7,201.76,,Shell hash,,Shell hash,,,,,Leg 150,shell hash and v.f. sandy mud with bioclastic sand up to 1.5 cm in diameter. ,,
317-U1351B-25X-2-A,317,U1351,B,25,25-2,X,2,A,0.0,106.0,200.7,201.76,,,,,,,,,,"bioclastic sand, up to 1.5 cm in diameter. ",,
317-U1351B-25X-3-A,317,U1351,B,25,25-3,X,3,A,0.0,47.0,201.8,202.27,,Shell hash,,Shell hash,,,,,Leg 150,shell hash and v.f. sandy mud with bioclastic sand.,,
317-U1351B-25X-CC-A,317,U1351,B,25,25-CC,X,CC,A,0.0,32.0,202.27,202.59,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","v.f. sandy mud with bioclastic sand, including some calcareous cemented clasts.",,
317-U1351B-26X-CC-A,317,U1351,B,26,26-CC,X,CC,A,0.0,12.0,208.8,208.92,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",bioclastic sand,,
317-U1351B-27X-1-A,317,U1351,B,27,27-1,X,1,A,0.0,150.0,218.4,219.9,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",Homogenous mud (silty clay) with sparse shell fragments.  Intervals of very fine sandy/silty mud from 92-103 cm and 122-132 cm.  Rare Chondrites(?) burrows infilled with very fine sand/silt. Shell fragments are bivalve and gastropods.,,
317-U1351B-27X-2-A,317,U1351,B,27,27-2,X,2,A,0.0,140.0,219.9,221.3,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",Homogenous mud (silty clay) with sparse shell fragments.  Rare Chondrites(?) burrows infilled with very fine sand/silt. Shell fragments are bivalve and gastropods.,,
317-U1351B-27X-3-A,317,U1351,B,27,27-3,X,3,A,0.0,96.0,221.4,222.36,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","Homogenous mud (silty clay) with sparse to common shell fragments.  Intervals of very shelly mud from: 0 -10, 28-33, 96-112,117-120,145-150 cm. Shell fragments are bivalve and gastropods.  Shelly concretion at 105-106 cm.",,
317-U1351B-27X-3-A,317,U1351,B,27,27-3,X,3,A,96.0,112.0,222.36,222.52,,Silt [S54],,Silt,,,,,"Shepard, 1954",Silt with authigenic carbonate,,
317-U1351B-27X-3-A,317,U1351,B,27,27-3,X,3,A,112.0,150.0,222.52,222.9,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1351B-27X-4-A,317,U1351,B,27,27-4,X,4,A,0.0,95.0,222.9,223.85,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","Homogeneous mud with rare to common shell fragments.  Fine sand/shelly mud from 95-105 cm with sharp contact.  Common shell fragments from 20-35, 60-63, 83-106, 134-150 cm. Shell fragments include barnacle plates, bivalve fragments.  Pectin fragment at 85 cm, barnacle plates at 48 cm.
",,
317-U1351B-27X-4-A,317,U1351,B,27,27-4,X,4,A,95.0,105.0,223.85,223.95,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,
317-U1351B-27X-4-A,317,U1351,B,27,27-4,X,4,A,105.0,150.0,223.95,224.4,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1351B-27X-5-A,317,U1351,B,27,27-5,X,5,A,0.0,110.0,224.4,225.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","Homogeneous mud with rare to common shell fragments. Common shell fragments from 5-17, 30-110 cm. Shell fragments include barnacle plates, mollusk fragements. Shelly intervals tend to be silty.",,
317-U1351B-27X-6-A,317,U1351,B,27,27-6,X,6,A,0.0,50.0,225.5,226.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","Homogeneous mud with rare to common shell fragments. Common shell fragments from 0-24 cm. Shell fragments include barnacle plates, bivalve fragements. Very fine sand/silt fill of Planolites(?) burrow at 36-37 cm.",,
317-U1351B-27X-CC-A,317,U1351,B,27,27-CC,X,CC,A,0.0,25.0,226.0,226.25,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",Homogeneous mud with well-sorted silt lamina at 10-11 cm,,
317-U1351B-28X-1-A,317,U1351,B,28,28-1,X,1,A,0.0,150.0,228.0,229.5,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",sandy mud with scattered shells throughout.,,
317-U1351B-28X-2-A,317,U1351,B,28,28-2,X,2,A,0.0,140.0,229.5,230.9,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,
317-U1351B-28X-3-A,317,U1351,B,28,28-3,X,3,A,0.0,150.0,231.0,232.5,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",sandy mud with scattered shells throughout.,,
317-U1351B-28X-4-A,317,U1351,B,28,28-4,X,4,A,0.0,150.0,232.5,234.0,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",sandy mud with scattered shells throughout.,,
317-U1351B-28X-5-A,317,U1351,B,28,28-5,X,5,A,0.0,120.0,234.0,235.2,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",sandy mud with scattered shells throughout.,,
