Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Grading,Sorting,Primary sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],2nd sedimentary structure,3rd sedimentary structure,Minor components,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
375-U1519E-12F-2-A,0,151,77.95,79.46,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,10Y 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Greenish gray mudstone with silt. However, silt layer thicknesses and locations are often obscured by drilling disturbance with vertical streaking",,,,375,U1519,E,12,F,2,A,,,
375-U1519E-12F-3-A,0,78,79.46,80.24,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,10Y 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Greenish gray mudstone with silt. However, silt layer thicknesses and locations are often obscured by drilling disturbance with vertical streaking",,,,375,U1519,E,12,F,3,A,,,
375-U1519E-12F-4-A,0,54,80.64,81.18,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,10Y 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Greenish gray mudstone with silt. However, silt layer thicknesses and locations are often obscured by drilling disturbance with vertical streaking",,,,375,U1519,E,12,F,4,A,,,
375-U1519E-12F-CC-A,0,31,81.18,81.49,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,10Y 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Greenish gray mudstone with silt. However, silt layer thicknesses and locations are often obscured by drilling disturbance with vertical streaking",,,,375,U1519,E,12,F,CC,A,,,
375-U1519E-13F-1-A,0,131,81.1,82.41,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,10Y 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Greenish gray mudstone with silt. However, silt layer thicknesses and locations are often obscured by drilling disturbance with vertical streaking",,,,375,U1519,E,13,F,1,A,,,
375-U1519E-13F-2-A,0,125,82.62,83.87,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,10Y 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Greenish gray mudstone with silt. However, silt layer thicknesses and locations are often obscured by drilling disturbance with vertical streaking",,,,375,U1519,E,13,F,2,A,,,
375-U1519E-13F-3-A,0,71,84.08,84.79,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,10Y 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Greenish gray mudstone with silt. However, silt layer thicknesses and locations are often obscured by drilling disturbance with vertical streaking",,,,375,U1519,E,13,F,3,A,,,
375-U1519E-13F-4-A,0,60,85.18,85.78,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,10Y 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Greenish gray mudstone with silt. However, silt layer thicknesses and locations are often obscured by drilling disturbance with vertical streaking",,,,375,U1519,E,13,F,4,A,,,
375-U1519E-13F-CC-A,0,12,85.78,85.9,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,10Y 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Greenish gray mudstone with silt. However, silt layer thicknesses and locations are often obscured by drilling disturbance with vertical streaking",,,,375,U1519,E,13,F,CC,A,,,
375-U1519E-13F-CC-A,25,35,86.03,86.13,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,10Y 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Greenish gray mudstone with silt. However, silt layer thicknesses and locations are often obscured by drilling disturbance with vertical streaking",,,,375,U1519,E,13,F,CC,A,,,
