Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Degree of alteration,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Volcanic clasts (>2 mm) DOMINANT,DOMINANT volcanic clast roundness,Volcanic clasts (>2 mm) 2ND ORDER,2ND volcanic clast roundness,Volcanic clasts (>2 mm) 3RD ORDER,3RD volcanic clast roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix abundance [%],Matrix comments,Type and sense of shear,Apparent dip angle 1 [deg],Apparent dip azimuth 1 [deg],Apparent dip angle 2 [deg],Apparent dip azimuth 2 [deg],Dip azimuth calculated in CRF [deg],Dip angle calculated in CRF [deg],Dip azimuth measured in CRF [deg],Dip angle measured in CRF [deg],Slickenside trend [deg],Slickenside plunge [deg],Rake angle [deg],Rake ref. direction [%deg],Structure comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Extra Sample ID Data
376-U1528D-17R-1-A,85,150,134.55,135.2,2a,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 2 6/5PB (bluish gray),,,,,,"Pervasive bleached alteration (GLEY 1 8/N) forms a complex network, permeating between darker material. Some dark areas contain blue pseudomorphs after feldspar and/or vugs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,17,R,1,A,,,,
376-U1528D-17R-2-A,0,122,135.2,136.42,2a,,,,,"clast-supported, polymict",lapillistone,,"clast-supported, polymict lapillistone",,GLEY 2 6/10B (bluish gray),cemented,small pebble,5,very large pebble,8,"Completely altered volcaniclastic rock, two clasts present. Bleached margins present.",,,,,moderate,,,volcanic,volcanic,,,,,,,,volcanic,sub-rounded,volcanic,sub-rounded,,,,,,,,,"(1) dark-grey, fine-grained clast, subrounded large pebbles (10 Vol. %) (2) A light gray fine grained clast These are smaller - medium pebbles (75 Vol. %).",,,,,15,Continuous distribution of grain sizes between smaller clast and matrix; difficult to distinguish both and contains a lot of sulfide minerals.,,,,,,,,,,,,,,,,,,376,U1528,D,17,R,2,A,,,,
376-U1528D-18R-1-A,0,150,138.5,140.0,2a,,,,,"clast-supported, monomict",lapillistone,,"clast-supported, monomict lapillistone",,GLEY 2 6/10B (bluish gray),cemented,small pebble,5,large pebble,7,"larger grainsize, more clasts; the matrix is fine grained, light gray; native sulfur present",,,,,moderate,,,volcanic,,,,,,,,,volcanic,subangular,,,,,,,,,,,"Altered volcanic clasts, secondary minerals as pseudomorphs after plagioclase; some clasts have zones with a darker rim and lighter interior. larger clasts possibly brecciated by hydrothermal processes",,,,,10,,,,,,,,,,,,,,,,,,,376,U1528,D,18,R,1,A,,,,
376-U1528D-18R-2-A,0,98,140.0,140.98,2a,,,,,"clast-supported, polymict",lapillistone,,"clast-supported, polymict lapillistone",,GLEY 2 6/10B (bluish gray),cemented,medium pebble,6,very large pebble,8,"Native sulfur present. Heterogeneous distribution of clast sizes, 26-64 cm possibly larger clasts sizes but unclear due to drilling disturbances",,,,,moderate,,,"fine-grained, unknown",volcanic,,"fine-grained, unknown",rounded,,,,,volcanic,sub-rounded,,,,,,,,,,,"(1) light gray to white altered fine-grained, unknown clasts often cut/fractured by veins; (2) altered volcanic, dark gray some with pseudomorphs and partly infilled, aligned vesicles",,,,,15,,,,,,,,,,,,,,,,,,,376,U1528,D,18,R,2,A,,,,
376-U1528D-19R-1-A,0,150,143.3,144.8,2a,,,,,"clast-supported, polymict",lapillistone,,"clast-supported, polymict lapillistone",,GLEY 2 4/5BG (dark greenish gray),cemented,small pebble,5,very large pebble,8,"strongly altered volcaniclastic rock. Volcanic clasts are discernible due to the presence of plagioclase pseudomorphs and some, only partially filled, vesicles.",,,,,poor,,,"fine-grained, unknown",volcanic,,"fine-grained, unknown",subangular,,,,,,,volcanic,subangular,,,,,,,,,"(1) is a light gray to dark-gray fine-grained clast, often with fracturing indicative of further brecciation and grain size reduction. Their origin is not clearly discernible. (2) is a volcanic clast, medium gray, sometimes with alteration halos and plagioclase pseudomorphs. One clast (42 cm) has vesicles that are only partially filled with hydrothermal precipitates",,,,,20,Continuous distribution of grain sizes between smaller clast and matrix; difficult to distinguish both and contains a lot of sulfide minerals.,,,,,,,,,,,,,,,,,,376,U1528,D,19,R,1,A,,,,
376-U1528D-19R-2-A,0,16,144.8,144.96,2a,,,,,"clast-supported, monomict",lapillistone,,"clast-supported, monomict lapillistone",,GLEY 2 5/10B (bluish gray),cemented,granule,4,large pebble,7,native sulfur present,,,,,poor,,,"fine-grained, unknown",,,"fine-grained, unknown",subangular,,,,,,,,,,,,,,,,,"clasts are fine-grained, unknown, strongly altered and show further incipient fracturing",,,,,20,Continuous distribution of grain sizes between smaller clast and matrix; difficult to distinguish both and contains a lot of sulfide minerals.,,,,,,,,,,,,,,,,,,376,U1528,D,19,R,2,A,,,,
376-U1528D-19R-2-A,16,32,144.96,145.12,2a,,,,,"matrix-supported, monomict",lapilli-tuff,,"matrix-supported, monomict lapilli-tuff",,GLEY 2 5/10B (bluish gray),cemented,granule,4,medium pebble,6,"Strong brecciation, native sulfur present",,,,,poor,,,"fine-grained, unknown",,,"fine-grained, unknown",subangular,,,,,,,,,,,,,,,,,"clasts are fine-grained, unknown, strongly altered and show further incipient fracturing",,,,,40,Continuous distribution of grain sizes between smaller clast and matrix; difficult to distinguish both and contains a lot of sulfide minerals.,,,,,,,,,,,,,,,,,,376,U1528,D,19,R,2,A,,,,
376-U1528D-20R-1-A,0,142,148.1,149.52,2a,,,,,"matrix-supported, polymict",lapilli-tuff,,"matrix-supported, polymict lapilli-tuff",,GLEY 2 4/10B (dark bluish gray),cemented,granule,4,large pebble,7,"Native sulfur, less altered volcanic clasts with possibly fresh or only partially altered plagioclase",,,,,poor,,,volcanic,volcanic,"fine-grained, unknown",,,,,"fine-grained, unknown",sub-rounded,volcanic,sub-rounded,volcanic,subangular,,,,,,,,,"(1) less altered, dark gray volcanic clasts with plagioclase (possibly fresh or only partially altered) and filled vesicles (pyrite); (2) medium gray volcanic clasts with pseudomorphs and (3) light gray, fine-grained clast of unknown origin",,,,,35,,,,,,,,,,,,,,,,,,,376,U1528,D,20,R,1,A,,,,
376-U1528D-20R-2-A,0,101,149.52,150.53,2a,,,,,"matrix-supported, polymict",lapillistone,,"matrix-supported, polymict lapillistone",,GLEY 2 4/10B (dark bluish gray),cemented,small pebble,5,very large pebble,8,"Native sulfur, less altered volcanic clasts with possibly fresh or only partially altered plagioclase",,,,,poor,,,volcanic,volcanic,"fine-grained, unknown",,,,,"fine-grained, unknown",sub-rounded,volcanic,sub-rounded,volcanic,subangular,,,,,,,,,"(1) less altered, dark gray volcanic clasts with plagioclase (possibly fresh or only partially altered) and filled vesicles (pyrite); (2) medium gray volcanic clasts with pseudomorphs and (3) light gray, fine-grained clast of unknown origin",,,,,20,,,,,,,,,,,,,,,,,,,376,U1528,D,20,R,2,A,,,,
376-U1528D-21R-1-A,139,150,154.29,154.4,2b,,,,,"matrix-supported, monomict",lapilli-tuff,,"matrix-supported, monomict lapilli-tuff",,GLEY 2 5/10B (bluish gray),cemented,small pebble,5,large pebble,7,"clast alongside fluid pathway (gray matrix), brecciated dacite lava with patchy alteration, native sulfur is present, pyrite in the matrix preferentially in vuggy areas",,,,,moderate,,,volcanic,,,,,,,,,volcanic,subangular,,,,,,,,,,,clasts are fragmented parts of the same lithology as the upper part of the core (plag phyric dacite lava) with patchy alteration that may give the misleading impression of a polymict breccia,,,,,60,matrix and 'clasts' are distributed heterogeneously due to the process of fracturing the rock,,,,,,,,,,,,,,,,,,376,U1528,D,21,R,1,A,,,,
376-U1528D-21R-2-A,46,143,154.86,155.83,2b,,,,,"matrix-supported, monomict",lapilli-tuff,with blocks-bombs,"matrix-supported, monomict lapilli-tuff with blocks-bombs",,GLEY 2 5/10B (bluish gray),cemented,small pebble,5,cobble,9,"hydraulic brecciation of dacite lava, variable proportions of matrix/clasts, clast sizes and fracturing, native sulfur is present; pyrite in fractured/veined areas, especially where vuggy",,,,,poor,,,volcanic,,,,,,,,,volcanic,subangular,,,,,,,,,,,clasts are fragmented parts of the same lithology as the upper part of the core (plag phyric dacite lava) with patchy alteration that may give the misleading impression of a polymict breccia,,,,,50,matrix and 'clasts' are distributed heterogeneously due to the process of fracturing the rock,,,,,,,,,,,,,,,,,,376,U1528,D,21,R,2,A,,,,
376-U1528D-21R-3-A,0,13,155.83,155.96,2b,,,,,"clast-supported, monomict",lapillistone,,"clast-supported, monomict lapillistone",,GLEY 2 4/5PB (dark bluish gray),cemented,small pebble,5,large pebble,7,"hydraulic brecciation of dacite lava, variable clast sizes, native sulfur is present; pyrite in fractured/veined areas, especially where vuggy",,,,,moderate,,,volcanic,,,,,,,,,volcanic,sub-rounded,,,,,,,,,,,"clasts are fragmented, altered volcanic with plag pseudomorphs and vesicles.",,,,,20,,,,,,,,,,,,,,,,,,,376,U1528,D,21,R,3,A,,,,
376-U1528D-23R-1-A,0,147,162.5,163.97,2c,,,,,matrix-supported,lapilli-tuff,,matrix-supported lapilli-tuff,,GLEY 2 5/10B (bluish gray),cemented,small pebble,5,very large pebble,8,"hydraulic brecciation of dacite lava, variable clast sizes, native sulfur is present; pyrite in fractured/veined areas, especially where vuggy",,,,,poor,,,volcanic,,,,,,,,,volcanic,angular,,,,,,,,,,,"clasts are fragmented, highly altered volcanic rock",,,,,30,matrix and 'clasts' are distributed heterogeneously due to the process of fracturing the rock,,,,,,,,,,,,,,,,,,376,U1528,D,23,R,1,A,,,,
376-U1528D-23R-2-A,0,144,163.97,165.41,2c,,,,,clast-supported,lapilli-tuff,,clast-supported lapilli-tuff,,GLEY 2 4/10B (dark bluish gray),cemented,small pebble,5,very large pebble,8,"hydraulic brecciation of dacite lava, variable clast sizes, native sulfur is present; pyrite in fractured/veined areas, especially where vuggy",,,,,poor,,,volcanic,,,,,,,,,volcanic,angular,,,,,,,,,,,"clasts are fragmented, highly altered volcanic rock; hydrofracturing is observed",,,,,30,matrix and 'clasts' are distributed heterogeneously due to the process of fracturing the rock,,,,,,,,,,,,,,,,,,376,U1528,D,23,R,2,A,,,,
376-U1528D-24R-1-A,0,116,167.3,168.46,2c,,,,,clast-supported,lapilli-tuff,,clast-supported lapilli-tuff,,Gley 2 5/10B (bluish gray),cemented,small pebble,5,very large pebble,8,"hydraulic brecciation of dacite lava, variable clast sizes, native sulfur is present; pyrite in fractured/veined areas, especially where vuggy",,,,,poor,,,volcanic,,,,,,,,,volcanic,angular,,,,,,,,,,,"clasts are fragmented, highly altered volcanic rock; hydrofracturing is observed",,,,,30,matrix and 'clasts' are distributed heterogeneously due to the process of fracturing the rock,,,,,,,,,,,,,,,,,,376,U1528,D,24,R,1,A,,,,
376-U1528D-24R-1-A,116,131,168.46,168.61,2c,,,,,fine,tuff,,fine tuff,,GLEY 2 6/5PB (bluish gray),cemented,silt,2,sand,3,"pyrite-impregnated, a few vugs",,,,,well,,,,,,,,,,,,,,,,,,,,,,,,no clasts,,,,,,no matrix,,,,,,,,,,,,,,,,,,376,U1528,D,24,R,1,A,,,,
376-U1528D-24R-1-A,131,139,168.61,168.69,2c,,,,,clast-supported,lapilli-tuff,,clast-supported lapilli-tuff,,Gley 2 5/10B (bluish gray),cemented,small pebble,5,very large pebble,8,"hydraulic brecciation of volcanic rock, variable clast sizes, native sulfur is present; pyrite in fractured/veined areas, especially where vuggy",,,,,poor,,,volcanic,,,,,,,,,volcanic,angular,,,,,,,,,,,"clasts are fragmented, highly altered volcanic rock; hydrofracturing is observed",,,,,30,matrix and 'clasts' are distributed heterogeneously due to the process of fracturing the rock,,,,,,,,,,,,,,,,,,376,U1528,D,24,R,1,A,,,,
376-U1528D-25R-1-A,0,146,172.1,173.56,2c,,,,,clast-supported,lapillistone,with blocks-bombs,clast-supported lapillistone with blocks-bombs,,Gley 2 5/10B (bluish gray),cemented,small pebble,5,very large pebble,8,"hydraulic brecciation of volcanic rock, variable clast sizes, native sulfur is present; pyrite in fractured/veined areas, especially where vuggy",,,,,poor,,,volcanic,,,,,,,,,volcanic,angular,,,,,,,,,,,"clasts are fragmented, highly altered volcanic rock; hydrofracturing is observed; loose single clasts, subrounded by drilling disturbance",,,,,25,matrix and 'clasts' are distributed heterogeneously due to the process of fracturing the rock,,,,,,,,,,,,,,,,,,376,U1528,D,25,R,1,A,,,,
376-U1528D-25R-2-A,0,31,173.56,173.87,2c,,,,,clast-supported,lapillistone,,clast-supported lapillistone,,GLEY 2 6/5PB (bluish gray),cemented,medium pebble,6,very large pebble,8,"hydraulic brecciation of volcanic rock, larger clasts in sand-sized matrix, native sulfur is present; pyrite in fractured/veined areas, especially where vuggy",,,,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,,,,,,,,,,,"clasts are fragmented, with alteration halo, highly altered porous volcanic rock",,,,,15,"matrix clearly more fine-grained than clasts, interstitial",,,,,,,,,,,,,,,,,,376,U1528,D,25,R,2,A,,,,
376-U1528D-25R-2-A,31,92,173.87,174.48,2c,,,,,fine,tuff,,fine tuff,,GLEY 2 6/10B (bluish gray),cemented,silt,2,sand,3,"pyrite-impregnated, a few vugs",,,,,well,,,,,,,,,,,,,,,,,,,,,,,,no clasts,,,,,,no matrix,,,,,,,,,,,,,,,,,,376,U1528,D,25,R,2,A,,,,
376-U1528D-26R-1-A,0,16,176.9,177.06,2c,,,,,clast-supported,lapilli-tuff,,clast-supported lapilli-tuff,,GLEY 2 5/5PB (bluish gray),cemented,small pebble,5,medium pebble,6,"hydraulic brecciation of volcanic rock, native sulfur is present; pyrite in fractured/veined areas, especially where vuggy",,,,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,,,,,,,,,,,"clasts are fragmented, sometimes with alteration halo",,,,,25,matrix clearly more fine-grained than clasts,,,,,,,,,,,,,,,,,,376,U1528,D,26,R,1,A,,,,
376-U1528D-26R-1-A,16,77,177.06,177.67,2c,,,,,fine,tuff,,fine tuff,,GLEY 2 5/10B (bluish gray),cemented,silt,2,sand,3,"pyrite-impregnated, a few vugs, sometime with lighter colored veins at the rims",,,,,well,,,,,,,,,,,,,,,,,,,,,,,,no clasts,,,,,,no matrix,,,,,,,,,,,,,,,,,,376,U1528,D,26,R,1,A,,,,
376-U1528D-26R-1-A,77,102,177.67,177.92,2c,,,,,,lapilli-tuff,,lapilli-tuff,,GLEY 2 5/10B (bluish gray),cemented,clay,1,very large pebble,8,highly fractured volcanic clasts with unconsolidated (drilling-produced?) clay,,,,,poor,,,"fine-grained, unknown",,,"fine-grained, unknown",sub-rounded,,,,,,,,,,,,,,,,,clasts of unknown origin,,,,,30,"residual matrix, possibly produced by drilling",,,,,,,,,,,,,,,,,,376,U1528,D,26,R,1,A,,,,
376-U1528D-27R-1-A,0,150,181.7,183.2,2c,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 1 5/N (gray),,,,,,highly altered & pervasive veining or hydrothermal brecciation with sulfide and volcaniclastic material in the vein or breccia matrix. unclear clast or matrix.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,27,R,1,A,,,,
376-U1528D-28R-1-A,0,150,186.5,188.0,2c,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 1 5/N (gray),,,,,,highly altered & pervasive veining or hydrothermal brecciation with sulfide and volcaniclastic material in the vein or breccia matrix. unclear clast or matrix. Two pebbles contain the outline of pseudomorphed tabular minerals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,28,R,1,A,,,,
376-U1528D-28R-2-A,0,64,188.0,188.64,2c,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 1 5/N (gray),,,,,,highly altered & pervasive veining or hydrothermal brecciation with sulfide and volcaniclastic material in the vein or breccia matrix. unclear clast or matrix.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,28,R,2,A,,,,
376-U1528D-29R-1-A,0,144,191.3,192.74,2c,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 1 5/N (gray),,,,,,"highly altered & pervasive veining or hydrothermal brecciation with sulfide and volcaniclastic material in the vein or breccia matrix. unclear clast or matrix. One relict ""roller"" clast with no matrix was observed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,29,R,1,A,,,,
376-U1528D-29R-2-A,0,19,192.74,192.93,2c,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 1 5/N (gray),,,,,,highly altered & pervasive veining or hydrothermal brecciation with sulfide and volcaniclastic material in the vein or breccia matrix. unclear clast or matrix.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,29,R,2,A,,,,
376-U1528D-29R-2-A,19,122,192.93,193.96,2c,,,,,"matrix-supported, monomict",lapilli-tuff,,"matrix-supported, monomict lapilli-tuff",,GLEY 1 5/N (gray),cemented,medium pebble,6,very large pebble,8,"Highly altered with dark gray to medium gray clasts. While the clasts have distinct boundaries, they do not preserve any primary igneous textures.",,,,,moderate,,,volcanic,,,,,,,,,volcanic,sub-rounded,,,,,,,,,,,,,,,,30,Matrix completely replaced.,,,,,,,,,,,,,,,,,,376,U1528,D,29,R,2,A,,,,
376-U1528D-30R-1-A,0,110,196.1,197.2,2c,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 1 5/N (gray),,,,,,"A highly altered dark gray volcanic rock that may contain clasts, but the boundaries of individual clasts are difficult to distinguish and there is no distinct matrix. Some fragments have elongate vugs lined, but not filled with secondary minerals. The vugs have a preferred orientation, which possibly resembles vesicles.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,30,R,1,A,,,,
376-U1528D-31R-1-A,0,112,200.9,202.02,2c,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 1 5/N (gray),,,,,,"A highly altered dark gray volcanic rock that may contain clasts, but the boundaries of individual clasts are difficult to distinguish and there is no distinct matrix. Some fragments have elongate vugs lined, but not filled with secondary minerals. The vugs have a preferred orientation, which possibly resembles vesicles. Some fragments contain a distinctive zone of pale clay-rich alteration along some margins. Lower in the section, some fragments contain areas of dark brown alteration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,31,R,1,A,,,,
376-U1528D-32R-1-A,0,150,205.7,207.2,2c,,,,,altered,volcaniclastic,,altered volcaniclastic,,gley 1 6/N (gray),,,,,,A highly altered dark gray volcaniclastic rock which does not preserve any primary igneous textures. The sample shows the formation of sulfate-bearing vein network with sulfide mineral. Some veins have clay-rich white selvage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,32,R,1,A,,,,
376-U1528D-32R-2-A,0,55,207.2,207.75,2c,,,,,altered,volcaniclastic,,altered volcaniclastic,,gley 1 6/N (gray),,,,,,A highly altered dark gray volcanic rock. Clast and matrix difficult to distinguish. Formation of stockwork-like sulfate-sulfide vein networks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,32,R,2,A,,,,
376-U1528D-33R-1-A,0,150,210.5,212.0,2c,,,,,"matrix-supported, monomict",lapilli-tuff,,"matrix-supported, monomict lapilli-tuff",,GLEY 2 5/5PB (bluish gray),cemented,large pebble,7,very large pebble,8,"Highly altered with dark gray to medium gray clasts. The clasts have boundaries, just not distinct. They do not preserve any primary igneous textures.",,,,,moderate,,,volcanic,,,,,,,,,volcanic,sub-rounded,,,,,,,,,,,30% of the clast. Veins occur inside the clast. Blurred reaction boundary between clast and matrix.,,,,,70,Matrix completely replaced.,,,,,,,,,,,,,,,,,,376,U1528,D,33,R,1,A,,,,
376-U1528D-33R-2-A,0,125,212.0,213.25,2c,,,,,"matrix-supported, monomict",lapilli-tuff,,"matrix-supported, monomict lapilli-tuff",,GLEY 2 5/5PB (bluish gray),cemented,small pebble,5,very large pebble,8,"Highly altered with dark gray to medium gray clasts. The clasts have boundaries, just not distinct. They do not preserve any primary igneous textures.",,,,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,,,,,,,,,,,40% of the clast. Blurred reaction boundary between clast and matrix. Clay-rich white alteration selvages.,,,,,60,Matrix completely replaced.,,,,,,,,,,,,,,,,,,376,U1528,D,33,R,2,A,,,,
376-U1528D-34R-1-A,0,150,215.3,216.8,2c,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 2 6/5PB (bluish gray),,,,,,"A highly altered dark gray volcanic rock. Clast and matrix difficult to distinguish. Veins, sulfides and sulfate minerals overprint any primary textures. In one cobble, pseudomorphs after feldspar were visible.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,34,R,1,A,,,,
376-U1528D-35R-1-A,0,150,220.1,221.6,2c,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 2 7/10B (light bluish gray),,silt,2,medium pebble,6,"A highly altered dark gray volcanic rock. Clast and matrix difficult to distinguish. Veins, sulfides and sulfate minerals overprint any primary textures. Some pseudomorphs after plagioclase are visible.",,,,,moderate,,,volcanic,,,,,,,,,,,,,,,,,,,,,"one darker clast, but not of primary origin; otherwise clasts and matrix cannot be discerned",,,,,95,,,,,,,,,,,,,,,,,,,376,U1528,D,35,R,1,A,,,,
376-U1528D-35R-2-A,0,33,221.6,221.93,2c,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 2 7/10B (light bluish gray),,silt,2,large pebble,7,"A highly altered dark gray volcanic rock. Clast and matrix difficult to distinguish. Veins, sulfides and sulfate minerals overprint any primary textures. Some pseudomorphs after plagioclase are visible.",,,,,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,35,R,2,A,,,,
376-U1528D-36R-1-A,0,24,224.9,225.14,2c,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 1 6/N (gray),,small pebble,5,very large pebble,8,"highly altered volcaniclastic rock, clasts cut by veins, matrix clast difficult to distinguish.",,,,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,,,,,,,,,,,"secondary minerals pseudomorphing after plag as well as filled, aligned, elongated vesicles visible in dark grey clasts.",,,,,30,,,,,,,,,,,,,,,,,,,376,U1528,D,36,R,1,A,,,,
376-U1528D-36R-1-A,24,40,225.14,225.3,2c,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 1 5/N (gray),,granule,4,large pebble,7,highly altered volcaniclastic rock,,,,,poor,,,volcanic,,,,,,,,,volcanic,subangular,,,,,,,,,,,in the larger clasts secondary minerals pseudomorphs after plag,,,,,70,,,,,,,,,,,,,,,,,,,376,U1528,D,36,R,1,A,,,,
376-U1528D-36R-1-A,40,61,225.3,225.51,2c,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 1 6/N (gray),,large pebble,7,very large pebble,8,"highly altered volcaniclastic rock, clasts cut by veins; sorting is bimodal",,,,,poor,,,volcanic,,,,,,,,,volcanic,subangular,,,,,,,,,,,Some clasts show zoned alteration halos; pseudomorphs,,,,,15,,,,,,,,,,,,,,,,,,,376,U1528,D,36,R,1,A,,,,
376-U1528D-36R-1-A,61,72,225.51,225.62,2c,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 1 7/N (light gray),,sand,3,sand,3,"highly altered volcaniclastic (tuff?), no clasts visible. however, based on similarity to 37R1_0-15, these pieces could in fact be the cores of completely altered volcanic clasts (fragmented by drilling). in that case the average/maximum grain size (only 2 pieces available) is very large pebble.",,,,,well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,36,R,1,A,,,,
376-U1528D-37R-1-A,0,15,229.7,229.85,2c,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 1 7/N (light gray),,small pebble,5,cobble,9,2 pieces of highly altered volcanic clasts. zoned alteration.,,,,,,,,volcanic,,,,,,,,,volcanic,subangular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,37,R,1,A,,,,
376-U1528D-37R-1-A,15,59,229.85,230.29,2c,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 1 6/N (gray),,,,,,"individual pieces are fragments of altered volcanic clasts, no reasonable grain size information",,,,,,,,volcanic,,,,,,,,,,,,,,,,,,,,,individual pieces are fragments of altered volcanic clasts,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,37,R,1,A,,,,
376-U1528D-38R-1-A,0,43,234.5,234.93,2c,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 1 6/N (gray),,,,,,highly altered volcanic rock. clasts barely distinguishable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,38,R,1,A,,,,
376-U1528D-39R-1-A,0,130,239.3,240.6,2c,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 1 6/N (gray),,,,,,"highly altered light grey volcanic rock, in progress of being fractured by pinkish-grey cross-cutting hydrothermal, pyrite-rich veins; sometimes with native sulfur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,39,R,1,A,,,,
376-U1528D-40R-1-A,0,18,244.1,244.28,2c,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 1 6/N (gray),,,,,,"highly altered light grey volcanic rock, in progress of being fractured by pinkish-grey cross-cutting hydrothermal, pyrite-rich veins; sometimes with native sulfur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,40,R,1,A,,,,
376-U1528D-41R-1-A,0,60,248.9,249.5,2c,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 1 7/N (light gray),,,,,,"highly altered light grey volcanic rock, heavily veined and fractured by pinkish-grey cm-thick pyrite-rich veins; native sulfur present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,41,R,1,A,,,,
