Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top[cm] [cm],Bottom[cm] [cm],Top Depth[m] [m],Bottom Depth[m] [m],Color(name),PREFIX,PRINCIPALLITHOLOGY,Classification,SUFFIX,COMPLETE NAME,"Dominantgrain size(Wentworth, 1922)",Clastic grainRoundness,LITHIFICATION,LITHOLOGY COMMENTS,File Data,
"334-U1378B-9H-4-A, 86-150",334,U1378,B,9,9-4,H,4,A,86.0,150.0,77.16,77.8,5GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-9H-5-A, 0-3",334,U1378,B,9,9-5,H,5,A,0.0,3.0,77.8,77.83,5GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-9H-5-A, 3-4",334,U1378,B,9,9-5,H,5,A,3.0,4.0,77.83,77.84,white,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine sand [U14W22],,soft,,,
"334-U1378B-9H-5-A, 4-33",334,U1378,B,9,9-5,H,5,A,4.0,33.0,77.84,78.13,5GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-9H-5-A, 33-35.5",334,U1378,B,9,9-5,H,5,A,33.0,35.5,78.13,78.155,white,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine sand [U14W22],,soft,,,
"334-U1378B-9H-5-A, 35.5-142",334,U1378,B,9,9-5,H,5,A,35.5,142.0,78.155,79.22,5GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-9H-6-A, 0-87",334,U1378,B,9,9-6,H,6,A,0.0,87.0,79.22,80.09,5GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-9H-6-A, 87-91",334,U1378,B,9,9-6,H,6,A,87.0,91.0,80.09,80.13,10Y 7/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine sand [U14W22],,soft,,,
"334-U1378B-9H-6-A, 91-150",334,U1378,B,9,9-6,H,6,A,91.0,150.0,80.13,80.72,5GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-9H-7-A, 0-14",334,U1378,B,9,9-7,H,7,A,0.0,14.0,80.72,80.86,5GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-9H-7-A, 14-17",334,U1378,B,9,9-7,H,7,A,14.0,17.0,80.86,80.89,5GY 4/1,silty,sand [S54],"Shepard, 1954",,silty sand,fine sand [U14W22],,soft,,,
"334-U1378B-9H-7-A, 17-76",334,U1378,B,9,9-7,H,7,A,17.0,76.0,80.89,81.48,5GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-10H-1-A, 0-150",334,U1378,B,10,10-1,H,1,A,0.0,150.0,81.3,82.8,5GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-10H-2-A, 0-142",334,U1378,B,10,10-2,H,2,A,0.0,142.0,82.8,84.22,5GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-10H-3-A, 0-3",334,U1378,B,10,10-3,H,3,A,0.0,3.0,84.22,84.25,5GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-10H-3-A, 3-5",334,U1378,B,10,10-3,H,3,A,3.0,5.0,84.25,84.27,5GY 4/1,silty,sand [S54],"Shepard, 1954",,silty sand,fine sand [U14W22],,soft,,,
"334-U1378B-10H-3-A, 5-150",334,U1378,B,10,10-3,H,3,A,5.0,150.0,84.27,85.72,5GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-10H-4-A, 0-150",334,U1378,B,10,10-4,H,4,A,0.0,150.0,85.72,87.22,5GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-10H-5-A, 0-129",334,U1378,B,10,10-5,H,5,A,0.0,129.0,87.22,88.51,5GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-10H-6-A, 0-63",334,U1378,B,10,10-6,H,6,A,0.0,63.0,88.51,89.14,5GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-10H-CC-A, 0-45",334,U1378,B,10,10-CC,H,CC,A,0.0,45.0,89.14,89.59,5GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-11H-1-A, 0-150",334,U1378,B,11,11-1,H,1,A,0.0,150.0,89.6,91.1,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-11H-2-A, 0-128",334,U1378,B,11,11-2,H,2,A,0.0,128.0,91.1,92.38,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-11H-2-A, 128-135",334,U1378,B,11,11-2,H,2,A,128.0,135.0,92.38,92.45,5GY 3/1,silty,sand [S54],"Shepard, 1954",,silty sand,fine sand [U14W22],,soft,,,
"334-U1378B-11H-2-A, 135-150",334,U1378,B,11,11-2,H,2,A,135.0,150.0,92.45,92.6,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-11H-3-A, 0-150",334,U1378,B,11,11-3,H,3,A,0.0,150.0,92.6,94.1,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-11H-4-A, 0-96",334,U1378,B,11,11-4,H,4,A,0.0,96.0,94.1,95.06,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-11H-5-A, 0-58",334,U1378,B,11,11-5,H,5,A,0.0,58.0,95.06,95.64,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-11H-CC-A, 0-35",334,U1378,B,11,11-CC,H,CC,A,0.0,35.0,95.64,95.99,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-12H-1-A, 0-95",334,U1378,B,12,12-1,H,1,A,0.0,95.0,96.0,96.95,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-12H-2-A, 0-150",334,U1378,B,12,12-2,H,2,A,0.0,150.0,96.95,98.45,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-12H-3-A, 0-69",334,U1378,B,12,12-3,H,3,A,0.0,69.0,98.45,99.14,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-12H-3-A, 69-70",334,U1378,B,12,12-3,H,3,A,69.0,70.0,99.14,99.15,5YR 6/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,silt [U14W22],,soft,,,
"334-U1378B-12H-3-A, 70-150",334,U1378,B,12,12-3,H,3,A,70.0,150.0,99.15,99.95,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-12H-4-A, 0-120",334,U1378,B,12,12-4,H,4,A,0.0,120.0,99.95,101.15,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-12H-5-A, 0-65",334,U1378,B,12,12-5,H,5,A,0.0,65.0,101.15,101.8,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-12H-CC-A, 0-26",334,U1378,B,12,12-CC,H,CC,A,0.0,26.0,101.8,102.06,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-13H-1-A, 0-150",334,U1378,B,13,13-1,H,1,A,0.0,150.0,102.0,103.5,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-13H-2-A, 0-92",334,U1378,B,13,13-2,H,2,A,0.0,92.0,103.5,104.42,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-13H-2-A, 92-124",334,U1378,B,13,13-2,H,2,A,92.0,124.0,104.42,104.74,5GY 3/1,sandy,clayey silt [S54],"Shepard, 1954",,sandy clayey silt,silt [U14W22],,soft,Fine  - medium sand deposit which fines upwards to sandy clayey silt.,,
"334-U1378B-13H-2-A, 124-142",334,U1378,B,13,13-2,H,2,A,124.0,142.0,104.74,104.92,5GY 3/1,sandy,clay [S54],"Shepard, 1954",,sandy clay,clay [U14W22],,soft,Sandy component is possibly made out of foraminifera.,,
"334-U1378B-13H-2-A, 142-146",334,U1378,B,13,13-2,H,2,A,142.0,146.0,104.92,104.96,5GY 3/1,sandy,clayey silt [S54],"Shepard, 1954",,sandy clayey silt,silt [U14W22],,soft,Fine  - medium sand deposit which fines upwards to sandy clayey silt.,,
"334-U1378B-13H-2-A, 146-150",334,U1378,B,13,13-2,H,2,A,146.0,150.0,104.96,105.0,5GY 3/1,sandy,clay [S54],"Shepard, 1954",,sandy clay,clay [U14W22],,soft,Sandy component is possibly made out of foraminifera.,,
"334-U1378B-13H-3-A, 0-38",334,U1378,B,13,13-3,H,3,A,0.0,38.0,105.0,105.38,5GY 3/1,sandy,clay [S54],"Shepard, 1954",,sandy clay,clay [U14W22],,soft,Sandy component is possibly made out of foraminifera.,,
"334-U1378B-13H-3-A, 38-150",334,U1378,B,13,13-3,H,3,A,38.0,150.0,105.38,106.5,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,"Occasional ""sandy"" component is possibly made out of foraminifera.",,
"334-U1378B-13H-4-A, 0-150",334,U1378,B,13,13-4,H,4,A,0.0,150.0,106.5,108.0,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,"Occasional ""sandy"" component is possibly made out of foraminifera.",,
"334-U1378B-13H-5-A, 0-109",334,U1378,B,13,13-5,H,5,A,0.0,109.0,108.0,109.09,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,"Occasional ""sandy"" component is possibly made out of foraminifera.",,
"334-U1378B-13H-CC-A, 0-65",334,U1378,B,13,13-CC,H,CC,A,0.0,65.0,109.09,109.74,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,"Occasional ""sandy"" component is possibly made out of foraminifera.",,
"334-U1378B-14H-1-A, 0-150",334,U1378,B,14,14-1,H,1,A,0.0,150.0,109.7,111.2,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,only a small silt component.,,
"334-U1378B-14H-2-A, 0-151",334,U1378,B,14,14-2,H,2,A,0.0,151.0,111.2,112.71,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,only a small silt component.,,
"334-U1378B-14H-3-A, 0-31",334,U1378,B,14,14-3,H,3,A,0.0,31.0,112.71,113.02,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,only a small silt component.,,
"334-U1378B-14H-3-A, 31-38",334,U1378,B,14,14-3,H,3,A,31.0,38.0,113.02,113.09,10GY 4/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine silt [U14W22],,soft,Medium greenish grey in color.,,
"334-U1378B-14H-3-A, 38-150",334,U1378,B,14,14-3,H,3,A,38.0,150.0,113.09,114.21,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,only a small silt component.,,
"334-U1378B-14H-4-A, 0-128",334,U1378,B,14,14-4,H,4,A,0.0,128.0,114.21,115.49,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,only a small silt component.,,
"334-U1378B-14H-CC-A, 0-34",334,U1378,B,14,14-CC,H,CC,A,0.0,34.0,115.49,115.83,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,only a small silt component.,,
"334-U1378B-15H-1-A, 0-45",334,U1378,B,15,15-1,H,1,A,0.0,45.0,115.8,116.25,5GY 3/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,,,
"334-U1378B-15H-1-A, 45-48",334,U1378,B,15,15-1,H,1,A,45.0,48.0,116.25,116.28,5YR 6/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,silt [U14W22],,soft,,,
"334-U1378B-15H-1-A, 48-150",334,U1378,B,15,15-1,H,1,A,48.0,150.0,116.28,117.3,5GY 3/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,,,
"334-U1378B-15H-2-A, 0-135",334,U1378,B,15,15-2,H,2,A,0.0,135.0,117.3,118.65,5GY 3/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,,,
"334-U1378B-15H-3-A, 0-133",334,U1378,B,15,15-3,H,3,A,0.0,133.0,118.65,119.98,5GY 3/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,,,
"334-U1378B-15H-4-A, 0-60",334,U1378,B,15,15-4,H,4,A,0.0,60.0,119.98,120.58,5GY 3/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,,,
"334-U1378B-15H-CC-A, 0-34",334,U1378,B,15,15-CC,H,CC,A,0.0,34.0,120.58,120.92,5GY 3/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,,,
"334-U1378B-16H-1-A, 0-105",334,U1378,B,16,16-1,H,1,A,0.0,105.0,120.9,121.95,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-16H-2-A, 0-150",334,U1378,B,16,16-2,H,2,A,0.0,150.0,121.95,123.45,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-16H-3-A, 0-150",334,U1378,B,16,16-3,H,3,A,0.0,150.0,123.45,124.95,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-16H-4-A, 0-150",334,U1378,B,16,16-4,H,4,A,0.0,150.0,124.95,126.45,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-16H-5-A, 0-76",334,U1378,B,16,16-5,H,5,A,0.0,76.0,126.45,127.21,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-16H-6-A, 0-45",334,U1378,B,16,16-6,H,6,A,0.0,45.0,127.21,127.66,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-16H-CC-A, 0-17",334,U1378,B,16,16-CC,H,CC,A,0.0,17.0,127.66,127.83,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-17X-1-A, 0-150",334,U1378,B,17,17-1,X,1,A,0.0,150.0,127.8,129.3,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-17X-2-A, 0-150",334,U1378,B,17,17-2,X,2,A,0.0,150.0,129.3,130.8,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-17X-3-A, 0-150",334,U1378,B,17,17-3,X,3,A,0.0,150.0,130.8,132.3,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-17X-4-A, 0-150",334,U1378,B,17,17-4,X,4,A,0.0,150.0,132.3,133.8,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-17X-5-A, 0-96",334,U1378,B,17,17-5,X,5,A,0.0,96.0,133.8,134.76,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-17X-CC-A, 0-29",334,U1378,B,17,17-CC,X,CC,A,0.0,29.0,134.76,135.05,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,Variably calcareous,,
"334-U1378B-17X-CC-A, 0-29",334,U1378,B,17,17-CC,X,CC,A,0.0,29.0,134.76,135.05,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-18X-1-A, 0-150",334,U1378,B,18,18-1,X,1,A,0.0,150.0,132.7,134.2,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,Variably calcareous,,
"334-U1378B-18X-2-A, 0-62",334,U1378,B,18,18-2,X,2,A,0.0,62.0,134.2,134.82,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,Variably calcareous,,
"334-U1378B-18X-2-A, 62-64",334,U1378,B,18,18-2,X,2,A,62.0,64.0,134.82,134.84,7.5YR 2.5/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,silt [U14W22],,soft,,,
"334-U1378B-18X-2-A, 64-65",334,U1378,B,18,18-2,X,2,A,64.0,65.0,134.84,134.85,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,Variably calcareous,,
"334-U1378B-18X-2-A, 65-66",334,U1378,B,18,18-2,X,2,A,65.0,66.0,134.85,134.86,7.5YR 7/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,very fine sand [U14W22],,soft,,,
"334-U1378B-18X-2-A, 66-100",334,U1378,B,18,18-2,X,2,A,66.0,100.0,134.86,135.2,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,Variably calcareous,,
"334-U1378B-18X-3-A, 0-130",334,U1378,B,18,18-3,X,3,A,0.0,130.0,135.2,136.5,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,Variably calcareous,,
"334-U1378B-18X-4-A, 0-150",334,U1378,B,18,18-4,X,4,A,0.0,150.0,136.5,138.0,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,Variably calcareous,,
"334-U1378B-18X-5-A, 0-150",334,U1378,B,18,18-5,X,5,A,0.0,150.0,138.0,139.5,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,Variably calcareous,,
"334-U1378B-18X-6-A, 0-150",334,U1378,B,18,18-6,X,6,A,0.0,150.0,139.5,141.0,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,Variably calcareous,,
"334-U1378B-18X-7-A, 0-55",334,U1378,B,18,18-7,X,7,A,0.0,55.0,141.0,141.55,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,Variably calcareous,,
"334-U1378B-18X-CC-A, 0-49",334,U1378,B,18,18-CC,X,CC,A,0.0,49.0,141.55,142.04,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,Variably calcareous,,
"334-U1378B-19X-1-A, 0-94",334,U1378,B,19,19-1,X,1,A,0.0,94.0,142.4,143.34,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,"Slightly, variably calcareous",,
"334-U1378B-19X-2-A, 0-150",334,U1378,B,19,19-2,X,2,A,0.0,150.0,143.34,144.84,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,"Slightly, variably calcareous",,
"334-U1378B-19X-3-A, 0-150",334,U1378,B,19,19-3,X,3,A,0.0,150.0,144.84,146.34,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,"Slightly, variably calcareous",,
"334-U1378B-19X-4-A, 0-150",334,U1378,B,19,19-4,X,4,A,0.0,150.0,146.34,147.84,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,"Slightly, variably calcareous",,
"334-U1378B-19X-5-A, 0-96",334,U1378,B,19,19-5,X,5,A,0.0,96.0,147.84,148.8,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,"Slightly, variably calcareous",,
"334-U1378B-19X-6-A, 0-150",334,U1378,B,19,19-6,X,6,A,0.0,150.0,148.8,150.3,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,"Slightly, variably calcareous",,
"334-U1378B-19X-7-A, 0-75.5",334,U1378,B,19,19-7,X,7,A,0.0,75.5,150.3,151.055,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,"Slightly, variably calcareous",,
"334-U1378B-19X-7-A, 75.5-79.5",334,U1378,B,19,19-7,X,7,A,75.5,79.5,151.055,151.095,N 3,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,clay [U14W22],,consolidated,,,
"334-U1378B-19X-7-A, 79.5-140",334,U1378,B,19,19-7,X,7,A,79.5,140.0,151.095,151.7,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,"Slightly, variably calcareous",,
"334-U1378B-19X-CC-A, 0-48",334,U1378,B,19,19-CC,X,CC,A,0.0,48.0,151.7,152.18,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,"Slightly, variably calcareous",,
"334-U1378B-20X-1-A, 0-43",334,U1378,B,20,20-1,X,1,A,0.0,43.0,152.1,152.53,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-20X-2-A, 0-127",334,U1378,B,20,20-2,X,2,A,0.0,127.0,152.53,153.8,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-20X-2-A, 127-134",334,U1378,B,20,20-2,X,2,A,127.0,134.0,153.8,153.87,N 5,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,silt [U14W22],,consolidated,Tephra??,,
"334-U1378B-20X-2-A, 134-150",334,U1378,B,20,20-2,X,2,A,134.0,150.0,153.87,154.03,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-20X-3-A, 0-25",334,U1378,B,20,20-3,X,3,A,0.0,25.0,154.03,154.28,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-20X-3-A, 25-29",334,U1378,B,20,20-3,X,3,A,25.0,29.0,154.28,154.32,N 7,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,very fine sand [U14W22],,consolidated,,,
"334-U1378B-20X-3-A, 29-37",334,U1378,B,20,20-3,X,3,A,29.0,37.0,154.32,154.4,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-20X-3-A, 37-42",334,U1378,B,20,20-3,X,3,A,37.0,42.0,154.4,154.45,N 4,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,very fine silt [U14W22],,consolidated,,,
"334-U1378B-20X-3-A, 42-50",334,U1378,B,20,20-3,X,3,A,42.0,50.0,154.45,154.53,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-20X-3-A, 50-54",334,U1378,B,20,20-3,X,3,A,50.0,54.0,154.53,154.57,N 5,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine silt [U14W22],,consolidated,Tephra?,,
"334-U1378B-20X-3-A, 54-132",334,U1378,B,20,20-3,X,3,A,54.0,132.0,154.57,155.35,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-20X-3-A, 132-141",334,U1378,B,20,20-3,X,3,A,132.0,141.0,155.35,155.44,N 5,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,silt [U14W22],,consolidated,upper part of tephra layer; together with section 4 a nice graded ash layer,,
"334-U1378B-20X-4-A, 0-8",334,U1378,B,20,20-4,X,4,A,0.0,8.0,155.44,155.52,N 6,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,silt [U14W22],,consolidated,Tephra?,,
"334-U1378B-20X-4-A, 8-150",334,U1378,B,20,20-4,X,4,A,8.0,150.0,155.52,156.94,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-20X-5-A, 0-153",334,U1378,B,20,20-5,X,5,A,0.0,153.0,156.94,158.47,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-20X-6-A, 0-150",334,U1378,B,20,20-6,X,6,A,0.0,150.0,158.47,159.97,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-20X-7-A, 0-153",334,U1378,B,20,20-7,X,7,A,0.0,153.0,159.97,161.5,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-20X-CC-A, 0-46",334,U1378,B,20,20-CC,X,CC,A,0.0,46.0,161.5,161.96,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-21X-1-A, 0-26",334,U1378,B,21,21-1,X,1,A,0.0,26.0,161.7,161.96,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-21X-2-A, 0-150",334,U1378,B,21,21-2,X,2,A,0.0,150.0,161.96,163.46,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-21X-3-A, 0-150",334,U1378,B,21,21-3,X,3,A,0.0,150.0,163.46,164.96,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-21X-4-A, 0-96",334,U1378,B,21,21-4,X,4,A,0.0,96.0,164.96,165.92,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-21X-4-A, 96-102",334,U1378,B,21,21-4,X,4,A,96.0,102.0,165.92,165.98,N 2.5,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,silt [U14W22],,consolidated,tephra?,,
"334-U1378B-21X-4-A, 102-117",334,U1378,B,21,21-4,X,4,A,102.0,117.0,165.98,166.13,5GY 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-21X-4-A, 117-123",334,U1378,B,21,21-4,X,4,A,117.0,123.0,166.13,166.19,N 2.5,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,consolidated,tephra,,
"334-U1378B-21X-4-A, 123-150",334,U1378,B,21,21-4,X,4,A,123.0,150.0,166.19,166.46,10GY 3/1,,silty sand [S54],"Shepard, 1954",,silty sand,very fine sand [U14W22],,consolidated,,,
"334-U1378B-21X-5-A, 0-150",334,U1378,B,21,21-5,X,5,A,0.0,150.0,166.46,167.96,10GY 3/1,,silty sand [S54],"Shepard, 1954",,silty sand,very fine sand [U14W22],,consolidated,,,
