Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data,Extra Sample ID Data
342-U1403A-11H-1-A,342,U1403,A,11,11-1,H,1,A,41,43,91.71,91.73,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,5G 8/2 (pale green),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-1-A,342,U1403,A,11,11-1,H,1,A,43,78,91.73,92.08,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,7.5YR 7/2 (pinkish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-1-A,342,U1403,A,11,11-1,H,1,A,78,79,92.08,92.09,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,7.5YR 7/3 (pink),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-1-A,342,U1403,A,11,11-1,H,1,A,79,139,92.09,92.69,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,7.5YR 7/2 (pinkish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-1-A,342,U1403,A,11,11-1,H,1,A,139,142,92.69,92.72,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,5G 8/2 (pale green),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-1-A,342,U1403,A,11,11-1,H,1,A,142,150,92.72,92.8,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,7.5YR 7/2 (pinkish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-2-A,342,U1403,A,11,11-2,H,2,A,0,15,92.8,92.95,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,5G 8/2 (pale green),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-2-A,342,U1403,A,11,11-2,H,2,A,15,28,92.95,93.08,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,7.5YR 7/2 (pinkish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-2-A,342,U1403,A,11,11-2,H,2,A,28,47,93.08,93.27,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,5G 8/2 (pale green),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-2-A,342,U1403,A,11,11-2,H,2,A,47,150,93.27,94.3,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,7.5YR 7/2 (pinkish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-3-A,342,U1403,A,11,11-3,H,3,A,0,13,94.3,94.43,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,7.5YR 7/2 (pinkish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-3-A,342,U1403,A,11,11-3,H,3,A,13,18,94.43,94.48,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,5G 8/2 (pale green),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-3-A,342,U1403,A,11,11-3,H,3,A,18,74,94.48,95.04,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,7.5YR 7/2 (pinkish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-3-A,342,U1403,A,11,11-3,H,3,A,74,76,95.04,95.06,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,7.5YR 7/3 (pink),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-3-A,342,U1403,A,11,11-3,H,3,A,76,80,95.06,95.1,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,7.5YR 7/2 (pinkish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-3-A,342,U1403,A,11,11-3,H,3,A,80,85,95.1,95.15,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,5G 8/2 (pale green),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-3-A,342,U1403,A,11,11-3,H,3,A,85,108,95.15,95.38,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,7.5YR 7/2 (pinkish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-3-A,342,U1403,A,11,11-3,H,3,A,108,109,95.38,95.39,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,7.5YR 7/3 (pink),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-3-A,342,U1403,A,11,11-3,H,3,A,109,139,95.39,95.69,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,7.5YR 7/2 (pinkish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-3-A,342,U1403,A,11,11-3,H,3,A,139,148,95.69,95.78,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,5G 8/2 (pale green),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-3-A,342,U1403,A,11,11-3,H,3,A,148,150,95.78,95.8,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,7.5YR 7/2 (pinkish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-4-A,342,U1403,A,11,11-4,H,4,A,0,101,95.8,96.81,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,7.5YR 7/2 (pinkish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-4-A,342,U1403,A,11,11-4,H,4,A,101,110,96.81,96.9,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,5G 8/2 (pale green),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-4-A,342,U1403,A,11,11-4,H,4,A,110,122,96.9,97.02,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,7.5YR 7/2 (pinkish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-4-A,342,U1403,A,11,11-4,H,4,A,122,147,97.02,97.27,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,5G 8/2 (pale green),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-4-A,342,U1403,A,11,11-4,H,4,A,147,150,97.27,97.3,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,7.5YR 7/2 (pinkish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-5-A,342,U1403,A,11,11-5,H,5,A,0,14,97.3,97.44,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,7.5YR 7/2 (pinkish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-5-A,342,U1403,A,11,11-5,H,5,A,14,28,97.44,97.58,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,5G 8/2 (pale green),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-5-A,342,U1403,A,11,11-5,H,5,A,28,34,97.58,97.64,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,7.5YR 7/2 (pinkish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-5-A,342,U1403,A,11,11-5,H,5,A,34,150,97.64,98.8,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,5G 8/2 (pale green),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-6-A,342,U1403,A,11,11-6,H,6,A,0,43,98.8,99.23,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,5G 8/2 (pale green),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-6-A,342,U1403,A,11,11-6,H,6,A,43,52,99.23,99.32,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,7.5YR 7/2 (pinkish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-6-A,342,U1403,A,11,11-6,H,6,A,52,115,99.32,99.95,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,5G 8/2 (pale green),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-6-A,342,U1403,A,11,11-6,H,6,A,86,86.5,99.66,99.665,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,,,,,heavy [DB91],5,,"dark, possibly manganese, flecks",,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-6-A,342,U1403,A,11,11-6,H,6,A,98,99,99.78,99.79,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,,,,,heavy [DB91],5,,"dark, possibly manganese, flecks",,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-6-A,342,U1403,A,11,11-6,H,6,A,112,113,99.92,99.93,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,,,,,heavy [DB91],5,,"dark, possibly manganese, flecks",,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-6-A,342,U1403,A,11,11-6,H,6,A,115,136,99.95,100.16,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,7.5YR 7/2 (pinkish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-6-A,342,U1403,A,11,11-6,H,6,A,136,150,100.16,100.3,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,5G 8/2 (pale green),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-7-A,342,U1403,A,11,11-7,H,7,A,0,56,100.3,100.86,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,7.5YR 7/2 (pinkish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-11H-CC-A,342,U1403,A,11,11-CC,H,CC,A,0,23,100.86,101.15,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,5G 8/2 (pale green),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,,
342-U1403A-12H-1-A,342,U1403,A,12,12-1,H,1,A,0,150,100.8,102.3,,clay [Leg339],with radiolarians [Leg339],clay  with radiolarians [Leg339],10Y 6/1 (greenish gray),,,,heavy [DB91],5,,Homogenous clay with a homogenous gray-green color; a couple of slightly darker bands with diffuse contacts at 46-47 cm and 67.5-68.5 cm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with radiolarians [Leg339],,,,,,,
342-U1403A-12H-2-A,342,U1403,A,12,12-2,H,2,A,0,150,102.3,103.8,,clay [Leg339],with radiolarians [Leg339],clay  with radiolarians [Leg339],10Y 6/1 (greenish gray),,,,heavy [DB91],5,,Homogenous clay with a homogenous gray-green color; a slightly darker bands with diffuse contacts at 121cm. Burrows with slightly darker material at 10-13cm and 32-34 cm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with radiolarians [Leg339],,,,,,,
342-U1403A-12H-3-A,342,U1403,A,12,12-3,H,3,A,0,151,103.8,105.31,,clay [Leg339],with radiolarians [Leg339],clay  with radiolarians [Leg339],10Y 6/1 (greenish gray),,,,heavy [DB91],5,,Homogenous clay with a homogenous gray-green color; a slightly darker bands with diffuse contacts at 74-77 cm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with radiolarians [Leg339],,,,,,,
342-U1403A-12H-4-A,342,U1403,A,12,12-4,H,4,A,0,150,105.31,106.81,,clay [Leg339],with radiolarians [Leg339],clay  with radiolarians [Leg339],10Y 6/1 (greenish gray),,,,heavy [DB91],5,,Homogenous clay with a homogenous gray-green color; bottom half of section has mottling with slightly greener colors.,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with radiolarians [Leg339],,,,,,,
342-U1403A-12H-5-A,342,U1403,A,12,12-5,H,5,A,0,151,106.81,108.32,,clay [Leg339],with radiolarians [Leg339],clay  with radiolarians [Leg339],5Y 7/2 (light gray),,,,heavy [DB91],5,,"Similar to above sections with notably greener zone from 86-99cm. Note the disturbance as a function of splitting the core (e.g., shattered core liner).",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with radiolarians [Leg339],,,,,,,
342-U1403A-12H-6-A,342,U1403,A,12,12-6,H,6,A,0,150,108.32,109.82,,clay [Leg339],with radiolarians [Leg339],clay  with radiolarians [Leg339],5Y 7/2 (light gray),,,,heavy [DB91],5,,"Abundant green (10Y 6/1) splotches, in some cases as halos around dark flecks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with radiolarians [Leg339],,,,,,,
342-U1403A-12H-7-A,342,U1403,A,12,12-7,H,7,A,0,73,109.82,110.55,,clay [Leg339],with radiolarians [Leg339],clay  with radiolarians [Leg339],2.5Y 7/6 (olive yellow),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with radiolarians [Leg339],,,,,,,
342-U1403A-12H-CC-A,342,U1403,A,12,12-CC,H,CC,A,0,29,110.55,110.89,,clay [Leg339],with radiolarians [Leg339],clay  with radiolarians [Leg339],2.5Y 7/6 (olive yellow),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with radiolarians [Leg339],,,,,,,
342-U1403A-13H-1-A,342,U1403,A,13,13-1,H,1,A,0,150,110.3,111.8,,clay [Leg339],with radiolarians [Leg339],clay  with radiolarians ,2.5Y 6/2 (light brownish gray),,,,moderate [DB91],4,,With splotches of 10Y 6/1 (greenish) surrounding dark material.,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with radiolarians ,,,,,,,
342-U1403A-13H-1-A,342,U1403,A,13,13-1,H,1,A,115,135,111.45,111.65,,,,,,,,,,,fracture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-13H-2-A,342,U1403,A,13,13-2,H,2,A,0,84,111.8,112.64,,clay [Leg339],with radiolarians [Leg339],clay  with radiolarians [Leg339],2.5Y 6/2 (light brownish gray),,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with radiolarians [Leg339],,,,,,,
342-U1403A-13H-2-A,342,U1403,A,13,13-2,H,2,A,10,16,111.9,111.96,,,,,,,,,,,fracture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-13H-2-A,342,U1403,A,13,13-2,H,2,A,37,53,112.17,112.33,,,,,,,,,,,fracture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-13H-2-A,342,U1403,A,13,13-2,H,2,A,84,147,112.64,113.27,,clay [Leg339],with radiolarians [Leg339],clay  with radiolarians [Leg339],10Y 6/1 (greenish gray),,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with radiolarians [Leg339],,,,,,,
342-U1403A-13H-3-A,342,U1403,A,13,13-3,H,3,A,0,88,113.27,114.15,,clay [Leg339],with radiolarians [Leg339],clay  with radiolarians [Leg339],2.5Y 6/2 (light brownish gray),,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with radiolarians [Leg339],,,,,,,
342-U1403A-13H-3-A,342,U1403,A,13,13-3,H,3,A,88,147,114.15,114.74,,clay [Leg339],with radiolarians [Leg339],clay  with radiolarians [Leg339],10Y 6/1 (greenish gray),,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with radiolarians [Leg339],,,,,,,
342-U1403A-13H-4-A,342,U1403,A,13,13-4,H,4,A,0,147,114.74,116.21,,clay [Leg339],with radiolarians [Leg339],clay  with radiolarians [Leg339],10Y 6/1 (greenish gray),,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with radiolarians [Leg339],,,,,,,
342-U1403A-13H-4-A,342,U1403,A,13,13-4,H,4,A,42,67,115.16,115.41,,,,,,,,,,,fracture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-13H-4-A,342,U1403,A,13,13-4,H,4,A,106,110,115.8,115.84,,,,,,,,,,,fracture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-13H-5-A,342,U1403,A,13,13-5,H,5,A,0,12,116.21,116.33,,,,,,,,,,,fracture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-13H-5-A,342,U1403,A,13,13-5,H,5,A,0,147,116.21,117.68,,clay [Leg339],with radiolarians [Leg339],clay  with radiolarians [Leg339],10Y 6/1 (greenish gray),,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with radiolarians [Leg339],,,,,,,
342-U1403A-13H-6-A,342,U1403,A,13,13-6,H,6,A,0,133,117.68,119.14,,clay [Leg339],with radiolarians [Leg339],clay  with radiolarians [Leg339],10Y 6/1 (greenish gray),,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with radiolarians [Leg339],,,,,,,
342-U1403A-13H-6-A,342,U1403,A,13,13-6,H,6,A,23.5,25,117.915,117.93,,,,,,,,,,,,burrow filled with calcareous material (?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-13H-7-A,342,U1403,A,13,13-7,H,7,A,0,84,119.14,119.98,nannofossil [Leg339],biogenic ooze [Leg339],with radiolarians [Leg339],nannofossil  biogenic ooze  with radiolarians [Leg339],10Y 6/1 (greenish gray),,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   biogenic ooze ,biogenic ooze   with radiolarians [Leg339],,,,,,,
342-U1403A-13H-CC-A,342,U1403,A,13,13-CC,H,CC,A,0,21,119.98,120.25,nannofossil [Leg339],biogenic ooze [Leg339],with radiolarians [Leg339],nannofossil  biogenic ooze  with radiolarians [Leg339],10Y 6/1 (greenish gray),,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   biogenic ooze ,biogenic ooze   with radiolarians [Leg339],,,,,,,
342-U1403A-14H-1-A,342,U1403,A,14,14-1,H,1,A,6,49,119.8,120.29,nannofossil [Leg339],biogenic ooze [Leg339],with radiolarians [Leg339],nannofossil  biogenic ooze  with radiolarians [Leg339],10Y 7/2 (pale green),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   biogenic ooze ,biogenic ooze   with radiolarians [Leg339],,,,,,,
342-U1403A-14H-1-A,342,U1403,A,14,14-1,H,1,A,49,85,120.29,120.65,nannofossil [Leg339],biogenic ooze [Leg339],with radiolarians [Leg339],nannofossil  biogenic ooze  with radiolarians [Leg339],5GY 6/1 (greenish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   biogenic ooze ,biogenic ooze   with radiolarians [Leg339],,,,,,,
342-U1403A-14H-1-A,342,U1403,A,14,14-1,H,1,A,85,120,120.65,121,nannofossil [Leg339],biogenic ooze [Leg339],with radiolarians [Leg339],nannofossil  biogenic ooze  with radiolarians [Leg339],10Y 7/2 (pale green),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   biogenic ooze ,biogenic ooze   with radiolarians [Leg339],,,,,,,
342-U1403A-14H-1-A,342,U1403,A,14,14-1,H,1,A,120,152,121,121.32,nannofossil [Leg339],biogenic ooze [Leg339],with radiolarians [Leg339],nannofossil  biogenic ooze  with radiolarians [Leg339],5GY 6/1 (greenish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   biogenic ooze ,biogenic ooze   with radiolarians [Leg339],,,,,,,
342-U1403A-14H-2-A,342,U1403,A,14,14-2,H,2,A,0,43,121.32,121.75,nannofossil [Leg339],biogenic ooze [Leg339],with radiolarians [Leg339],nannofossil  biogenic ooze  with radiolarians [Leg339],10Y 7/2 (pale green),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   biogenic ooze ,biogenic ooze   with radiolarians [Leg339],,,,,,,
342-U1403A-14H-2-A,342,U1403,A,14,14-2,H,2,A,43,73,121.75,122.05,nannofossil [Leg339],biogenic ooze [Leg339],with radiolarians [Leg339],nannofossil  biogenic ooze  with radiolarians [Leg339],5GY 6/1 (greenish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   biogenic ooze ,biogenic ooze   with radiolarians [Leg339],,,,,,,
342-U1403A-14H-2-A,342,U1403,A,14,14-2,H,2,A,73,114,122.05,122.46,nannofossil [Leg339],biogenic ooze [Leg339],with radiolarians [Leg339],nannofossil  biogenic ooze  with radiolarians [Leg339],10Y 7/2 (pale green),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   biogenic ooze ,biogenic ooze   with radiolarians [Leg339],,,,,,,
342-U1403A-14H-2-A,342,U1403,A,14,14-2,H,2,A,114,147,122.46,122.79,nannofossil [Leg339],biogenic ooze [Leg339],with radiolarians [Leg339],nannofossil  biogenic ooze  with radiolarians [Leg339],5GY 6/1 (greenish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   biogenic ooze ,biogenic ooze   with radiolarians [Leg339],,,,,,,
342-U1403A-14H-3-A,342,U1403,A,14,14-3,H,3,A,0,107,122.79,123.86,nannofossil [Leg339],biogenic ooze [Leg339],with radiolarians [Leg339],nannofossil  biogenic ooze  with radiolarians [Leg339],10Y 7/2 (pale green),,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   biogenic ooze ,biogenic ooze   with radiolarians [Leg339],,,,,,,
342-U1403A-14H-3-A,342,U1403,A,14,14-3,H,3,A,107,147,123.86,124.26,nannofossil [Leg339],biogenic ooze [Leg339],with radiolarians [Leg339],nannofossil  biogenic ooze  with radiolarians [Leg339],5G 6/1 (greenish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   biogenic ooze ,biogenic ooze   with radiolarians [Leg339],,,,,,,
342-U1403A-14H-4-A,342,U1403,A,14,14-4,H,4,A,0,146,124.26,125.72,nannofossil [Leg339],biogenic ooze [Leg339],with radiolarians [Leg339],nannofossil  biogenic ooze  with radiolarians [Leg339],5G 6/1 (greenish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   biogenic ooze ,biogenic ooze   with radiolarians [Leg339],,,,,,,
342-U1403A-14H-5-A,342,U1403,A,14,14-5,H,5,A,0,94,125.72,126.66,nannofossil [Leg339],biogenic ooze [Leg339],with radiolarians [Leg339],nannofossil  biogenic ooze  with radiolarians [Leg339],5G 6/1 (greenish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   biogenic ooze ,biogenic ooze   with radiolarians [Leg339],,,,,,,
342-U1403A-14H-5-A,342,U1403,A,14,14-5,H,5,A,94,146,126.66,127.18,nannofossil [Leg339],biogenic ooze [Leg339],with radiolarians [Leg339],nannofossil  biogenic ooze  with radiolarians [Leg339],10YR 6/2 (light brownish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   biogenic ooze ,biogenic ooze   with radiolarians [Leg339],,,,,,,
342-U1403A-14H-6-A,342,U1403,A,14,14-6,H,6,A,0,11,127.18,127.29,nannofossil [Leg339],biogenic ooze [Leg339],with radiolarians [Leg339],nannofossil  biogenic ooze  with radiolarians [Leg339],10YR 6/3 (pale brown),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   biogenic ooze ,biogenic ooze   with radiolarians [Leg339],,,,,,,
