Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],PF Preservation,% Planktic Foraminifera within whole sample,PF Zone,Comments,Beella digitata,Beella praedigitiata,Bolliella adamsi,Candeina nitida,Cassigerinella chipolensis,Catapsydrax dissimillis,Catapsydrax parvulus,Catapsydrax stainforthi,Catapsydrax unicavus,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina altispira globosa,Dentoglobigerina baroemoensis,Dentoglobigerina larmeui,Dentoglobigerina tripartita s. str.,Globigerina anguliofficinalis,Globigerina angustiumbilicata,Globigerina bulloides,Globigerina ciperoensis,Globigerina eamesi,Globigerina euapertura,Globigerina falconensis,Globigerina gnaucki,Globigerina officinalis,Globigerina praebulloides,Globigerina quinqueloba,Globigerina winkleri,Globigerinatella insueta,Globigerinella calida,Globigerinella obesa,Globigerinella praesiphonifera,Globigerinella siphonifera,Globigerinita boweni,Globigerinita glutinata,Globigerinita naparimaensis,Globigerinita uvula,Globigerinoides altiaperturus,Globigerinoides bisphericus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides mitra,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides quadrilobatus,Globigerinoides ruber,Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina cf. binaiensis,Globoquadrina conglomerata,Globoquadrina dehiscens,Globoquadrina sellii,Globoquadrina venezuelana,Globorotalia (Fohsella) fohsi,Globorotalia (Forsella) fohsi lobata,Globorotalia (Fohsella) fohsi robusta,Globorotalia (Fohsella) peripheroacuta,Globorotalia (Fohsella) peripheroronda,Globorotalia (Fohsella) praefohsi,Globorotalia (Globoconella) conoidea,Globorotalia (Globoconella) conomiozea,Globorotalia (Globoconella) inflata,Globorotalia (Globoconella) miozea,Globorotalia (Globoconella) puncticulata,Globorotalia (Globoconella) sphericomiozea,Globorotalia (Hirsutella) cibaoenisis,Globorotalia (Hirsutella) hirsuta,Globorotalia (Hirsutella) margaritae,Globorotalia (Hirsutella) scitula,Globorotalia (Menardella) archeomenardii,Globorotalia (Menardella) cultrata,Globorotalia (Menardella) exilis,Globorotalia (Menardella) fimbriata,Globorotalia (Menardella) limbata,Globorotalia (Menardella) menardii,Globorotalia (Menardella) multicamerata,Globorotalia (Menardella) pertenuis,Globorotalia (Menardella) praemenardii,Globorotalia (Truncorotalia) tosaensis,Globorotalia (Truncorotalia) truncatulinoides,Globorotalia birnageae,Globorotalia crassaformis crassaformis,Globorotalia crassaformis hessi,Globorotalia crassaformis oceanica,Globorotalia crassaformis ronda,Globorotalia crassaformis viola,Globorotalia flexuosa,Globorotalia ichinosekiensis,Globorotalia iwaiensis,Globorotalia lenguaensis,Globorotalia merotumida,Globorotalia plesiotumida,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides suteri,Globorotaloides variabilis,Globoturborotalita decoraperta,Globoturborotalita druryi,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita woodi,Globoturborotalita woodi connecta,Hastigerina pelagica,Neogloboquadrina acostaensis (D),Neogloboquadrina acostaensis (S),Neogloboquadrina asanoi,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina pachyderma,Neogloboquadrina pseudopima,Orbulina suturalis,Orbulina universa,Paragloborotalia bella,Paragloborotalia continuosa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia partimlabiata,Paragloborotalia pseudocontinuosa,Paraglobrotalia pseudokugleri,Paragloborotalia semivera,Paragloborotalia siakensis,Praeobulina glomerosa,Praeorbulina circularis,Praeorbulina curva,Praeorbulina sicana,Praeorbulina transitoria,Pulleniatina finalis,Pulleniatina obliquiloculata (D),Pulleniatina obliquiloculata (S),Pulleniatina praecursor,Pulleniatina praespectabilis,Pulleniatina primalis (D),Pulleniatina primalis (S),Pulleniatina spectabilis,Sphaeroidinella dehiscens s.l.,Sphaeroidinellopsis hancocki,Sphaeroidinellopsis multiloba,Sphaeroidinellopsis seminulina,Sphaeroidnellopsis disjuncta,Tenuitella gemma,Tenuitellinata praestainforthi,Turborotalita humilis,Zone,Zone group,eodp_id
321-U1337A-14H-4-W,321,U1337,A,14,14-4,H,4,W,,0,2,124.05,124.07,M,32.0,M14M13b,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,A,,F,,,R,,,,,R,R,,R,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,A,,P,,,,,,,,,,,,,,,,,,,,R,A,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,a40e4d9e0f50c98a15d01d030d2f0cdf
321-U1337A-14H-CC,321,U1337,A,14,14-CC,H,CC,,,0,5,129.23,129.28,G,39.0,M14M13b,,,,,,,,,,,,F,,P,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,,,,,,,,A,,,,,,,,,,,,,,,,P,,,,,,D,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,71d219c6f0242ec7ffe1baa5c93c165e
321-U1337A-15H-2-W 30/32-FORAM,321,U1337,A,15,15-2,H,2,W,30/32-FORAM,0,2,130.795,130.815,M,30.0,M14M13b,infilling,,,,,,,,,,,D,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,R,,,F,,R,,,,,,R,,,,,,,,,,,,,,,,P,,,,,,F,,,,,,,,,,,,,,,,R,A,,R,,,,,,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,f4771fd2e485401ead026c93d6eee657
321-U1337A-15H-4-W 104/106-FORAM,321,U1337,A,15,15-4,H,4,W,104/106-FORAM,0,2,134.535,134.555,M,8.0,M14M13b,"overgrowth, slightly colored",,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,F,,,R,,R,,,,,,A,,,,,,,,,,,,,,,,P,,,,,,R,,,,,,,,,,,,,,,,R,R,,,,,,,,,,P,,R,,,P,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,1efbed12e62f747f5f3768a1c2033140
321-U1337A-15H-CC,321,U1337,A,15,15-CC,H,CC,,,0,5,138.66,138.71,G,18.0,M14M13b,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,F,,,,A,,,R,,A,,,,,,,,R,,,,,,,,,,P,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,R,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddb536f74f5446f0565fba71b22f1ff5
321-U1337A-16H-2-W,321,U1337,A,16,16-2,H,2,W,,0,2,140.0,140.02,M,32.0,M14M13b,overgrowth,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,F,,,R,,R,,,,,,A,,,,,,,,,,,,,,,,P,,,,,,R,,,,,,,,,,,,,,,,R,R,,,,,,,,,,P,,R,,,P,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,1eac5ca247542c58b3e15af6b57d79f8
321-U1337A-16H-4-W,321,U1337,A,16,16-4,H,4,W,,0,2,143.0,143.02,M,2.0,M13a,rare,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,P,,P,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,ec6c8859b786ad1df4ade65abf833539
321-U1337A-16H-CC,321,U1337,A,16,16-CC,H,CC,,,0,5,148.34,148.39,G,0.0,?,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,b294b3f2f7cae6bdd86e73f8847b6d18
321-U1337A-17H-3-W,321,U1337,A,17,17-3,H,3,W,,0,2,151.0,151.02,G,20.0,M13a,,,,,,,,,,,,A,R,R,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,R,,A,,R,P,,F,,R,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,A,,,,,,,,,,,,,,,,R,,,,,,,,,,,P,,,,,P,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,ce58f744cec5a403de7c33aaea2345d9
321-U1337A-17H-5-W,321,U1337,A,17,17-5,H,5,W,,0,2,154.0,154.02,G,24.0,M13a,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,A,,R,,A,P,,D,,F,,,,,,R,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,P,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,2c5a12054062c94324a293481d2ab9da
321-U1337A-17H-CC,321,U1337,A,17,17-CC,H,CC,,,0,5,157.82,157.87,M,29.0,?,heavy fragmentation,,,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,A,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,56a550d33fa81ad21ceb84a7d9963104
321-U1337A-18H-3-W 141/143-FORAM,321,U1337,A,18,18-3,H,3,W,141/143-FORAM,0,2,161.93,161.95,M,16.0,M13a,infilling,,,,,,,,,,,A,R,,,,,,F,,,,,,,,,,,,,,,,R,,,,,,,,,R,,R,,F,,,A,,R,,,,,,F,,,,,,,,,,,,,,,,,,R,,,,F,,,,,,,,,,,,,,,,R,,,,,,,,,,,P,,,,,,P,,,,,,,R,,P,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,227f0e0001f95c0525e6419670520f0e
321-U1337A-18H-5-W 83/85-FORAM,321,U1337,A,18,18-5,H,5,W,83/85-FORAM,0,2,164.37,164.39,M,19.0,?,overgrowth,,,,,,,,,,,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,P,,,P,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,e0520d69f24d328442c15555e5c0b240
321-U1337A-18H-CC,321,U1337,A,18,18-CC,H,CC,,,0,5,167.31,167.36,,0.0,,Barren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8b2885cdc76e79c54bb0c16e9bad8dc4
321-U1337A-19H-4-W,321,U1337,A,19,19-4,H,4,W,,0,2,171.5,171.52,P,2.0,?,surface disolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845662d3b0c659c9e6ed71c9fba6bea9
321-U1337A-19H-6-W,321,U1337,A,19,19-6,H,6,W,,0,2,174.5,174.52,M,0.0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0a5f4632e7df3debbcd42f17624db823
321-U1337A-19H-CC,321,U1337,A,19,19-CC,H,CC,,,0,5,176.79,176.84,,0.0,,Barren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9db3b0069cb33d1b9e7eafa1ba84d7fa
321-U1337A-20H-7-W,321,U1337,A,20,20-7,H,7,W,,0,2,185.5,185.52,M,0.0,?,Barren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,44c1b1b94ffc6b4b3a1748fb6c7fe3b5
321-U1337A-20H-CC,321,U1337,A,20,20-CC,H,CC,,,0,5,186.17,186.22,,0.0,,Barren. Diatom mats. Barren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adbc7f449a3e1e3d529f999da2f48bdf
321-U1337A-21H-2-W,321,U1337,A,21,21-2,H,2,W,,0,2,187.5,187.52,P,0.0,?,surface disolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25a6298179571897d885d3ed69a9d7e9
321-U1337A-21H-5-W,321,U1337,A,21,21-5,H,5,W,,0,2,192.01,192.03,,0.0,,Barren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c53ed83c7e33a55abc94b0356b7ca341
321-U1337A-21H-CC,321,U1337,A,21,21-CC,H,CC,,,0,5,195.48,195.53,,0.0,,Barren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880b0015738ff8972492f1dbf741da5c
321-U1337A-22X-1-W 50/52-FORAM,321,U1337,A,22,22-1,X,1,W,50/52-FORAM,0,2,196.0,196.02,M,0.0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,0787632b0799f5b08cf544fc189c0928
321-U1337A-22X-CC,321,U1337,A,22,22-CC,X,CC,,,0,5,197.89,197.94,,0.0,,Barren. Diatom mats. Barren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00b61bbacd10d64600d5c1226427114f
321-U1337A-23X-2-W,321,U1337,A,23,23-2,X,2,W,,0,2,205.8,205.82,M,3.0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,04ffaf4edf2404bc5d028c620c953720
321-U1337A-23X-4-W,321,U1337,A,23,23-4,X,4,W,,0,2,208.8,208.82,M,0.0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,01863522ca0308ade7e5f3be6b490cd8
321-U1337A-23X-CC,321,U1337,A,23,23-CC,X,CC,,,0,5,213.75,213.8,,0.0,,Barren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e45dd2388a194301e7449c62f48ca4b7
321-U1337A-24X-2-W,321,U1337,A,24,24-2,X,2,W,,0,2,215.4,215.42,P,0.0,?,surface disolved,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b8c1ca5d775a329c74b7ddda46b539e6
321-U1337A-24X-4-W,321,U1337,A,24,24-4,X,4,W,,0,2,218.0,218.02,,0.0,,Barren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e79ac2580d4cf5c7c2754feef5c63f0
321-U1337A-24X-CC,321,U1337,A,24,24-CC,X,CC,,,0,5,218.98,219.03,G,14.0,M11,"Some infilling, pyrite, <150 micron size fraction rich in radiolaria",,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,A,,,,,,D,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,F,,,,A,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,f21403b80971ea24d91187bcb74c8cc0
321-U1337A-25X-3-W,321,U1337,A,25,25-3,X,3,W,,0,2,226.4,226.42,M,8.0,M11,dominant coiling direction of Paragloborotalia is sinistral,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,P,,P,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,95cb77d7e31bff5ddb3c091749911780
321-U1337A-25X-5-W,321,U1337,A,25,25-5,X,5,W,,0,2,229.4,229.42,M,67.0,M11,dominant coiling direction of Paragloborotalia is sinistral,,,,,,,,,,,D,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,R,,,,,,,,,,R,,,P,,P,,,,,,P,,,,,,,,,,,,,,,,,,F,,,,,,6b7aa371a0529437f3200558ceb351be
321-U1337A-25X-CC,321,U1337,A,25,25-CC,X,CC,,,0,5,232.71,232.76,P,43.0,M10,dominant coiling direction of Paragloborotalia is sinistral,,,,,,,,,,,D,R,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,A,,,,,,,P,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,P,,,F,,,,,,,,,,,,,P,,R,,,,,,R,,,,,,,,,,,,,,,,,,F,,,,,,8bc3036ba2124b7f5e1829c094a658aa
321-U1337A-26X-3-W,321,U1337,A,26,26-3,X,3,W,,0,2,236.0,236.02,P,24.0,M10,infilling; dominant coiling direction of Paragloborotalia is sinistral,,,,,,,,,,,A,R,A,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,P,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,8f9e17e59575fbe591612e1e3d0cfde9
321-U1337A-26X-5-W,321,U1337,A,26,26-5,X,5,W,,0,2,239.0,239.02,M,21.0,M10,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,P,,F,,,,,,P,,,,,,,,,,,,,,,,,R,,,,,,,5c8540b423b20dca52dc96d7c008d1b9
321-U1337A-26X-CC,321,U1337,A,26,26-CC,X,CC,,,0,5,242.42,242.47,M,43.0,N12,dominant coiling direction of Paragloborotalia is sinistral,,,,,,,,,,,D,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,R,,,,,,,D,R,R,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,P,P,,,,R,,,,,,R,,,,,,,,,,,,,,,,,R,R,,,,,,189366b4a91151c70d6d70d7bf9dfa3d
321-U1337A-27X-CC,321,U1337,A,27,27-CC,X,CC,,,0,5,243.35,243.4,,0.0,,Barren. Diatom mats. Barren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52a1090d867dd80bc9fc4da944b45d17
321-U1337A-28X-2-W 76/78-FORAM,321,U1337,A,28,28-2,X,2,W,76/78-FORAM,0,2,253.96,253.98,M,39.0,N12,overgrowth,,,,,,,,,,,A,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,D,R,R,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,P,,,R,,,,,,,,,,R,P,,R,,F,,,,,,R,,,,,,,,,,,,,,,,,R,F,,,,,,25e6b90fb0f7d6062b6dceabc0ca677c
321-U1337A-28X-CC,321,U1337,A,28,28-CC,X,CC,,,0,5,256.25,256.3,G,4.0,N12,"Some pyrite, radiolarian rich",,,,,,,,,,,F,,A,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,F,,,,F,,D,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69487567ce49c73f7a5cf7c875bc5af2
321-U1337A-29X-3-W,321,U1337,A,29,29-3,X,3,W,,0,2,264.3,264.32,M,13.0,N11,surface disolved; dominant coiling direction of Paragloborotalia is sinistral,,,,,,,,,,,P,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,P,,P,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,8408554c7bc22fb366cb92253d00922d
321-U1337A-29X-5-W,321,U1337,A,29,29-5,X,5,W,,0,2,267.3,267.32,M,49.0,N11,infilling; dominant coiling direction of Paragloborotalia is sinistral,,,,,,,,,,,A,A,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,D,,,,R,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,P,,,R,,,,,,,,,,,R,,P,,F,,,,,,R,,,,,,,,,,,,,,,,,,F,,,,,,24f6272ef3949e2992e1fe2e7936083b
321-U1337A-29X-CC,321,U1337,A,29,29-CC,X,CC,,,0,5,270.65,270.7,P,27.0,N11,dominant coiling direction of Paragloborotalia is sinistral,,,,,,,,,,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,P,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,f78499b02d702e895bdf98161486569f
321-U1337A-30X-2-W,321,U1337,A,30,30-2,X,2,W,,0,2,272.3,272.32,M,69.0,N11,infilling; dominant coiling direction of Paragloborotalia is sinistral,,,,,,,,,,,A,R,A,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,A,,,,P,P,P,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,R,P,,,,,,,,,,,,P,,,,,,,,,,,,,R,,,R,,A,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,4fef85af596f98a79e9eaf4a27912700
321-U1337A-30X-4-W,321,U1337,A,30,30-4,X,4,W,,0,2,275.3,275.32,M,76.0,N11,infilling; dominant coiling direction of Paragloborotalia is sinistral,,,,,,,,,,,A,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,P,,,,R,,D,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,R,,,,,,,,,,,,,P,,R,,,,,,,,,,,,,,,,,,,,,,,R,F,,,,,,8223ea5812d60147d3b174a914872ba1
321-U1337A-30X-CC,321,U1337,A,30,30-CC,X,CC,,,0,5,280.28,280.33,P,49.0,N11,dominant coiling direction of Paragloborotalia is sinistral,,,,,,,,,,,A,,A,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,D,,,,P,,P,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,,,R,,,,,,,,,,,,,,,,R,R,F,,,,,,03aa0b8ee4f8943c89c08e4c326fce7f
321-U1337A-31X-2-W,321,U1337,A,31,31-2,X,2,W,,0,2,282.0,282.02,M,85.0,N11,infilling; dominant coiling direction of Paragloborotalia is sinistral,,,,,,,,,,,A,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,P,,,,,,D,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,,,P,,,,,,,,,,,,,,,,,,F,,,,,,38397cdd827409735179c4a2a327e0df
