Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,Preservation,Group abundance,Bolivina sp.,Alabamina dissonata,Alabamina cf. dissonata,Alabamina sp.,Anomalina praeacuta,Anomalina sp.,Anomalinoides semicribratus,Anomalinoides sp.,Arenobulimina ?,Astacolus parallelus,Astacolus sp.,Bathysiphon sp.,Bulbobaculites ?,Bulimina sp.,Bulimina thanetensis,Buliminella sp.,Cancris ?,Cassidulina subglobosa,Chrysalogonium sp.,Cibicidoides subspiratus,Cibicidoides aff. laurisae,Cibicidoides eocaenus,Cibicidoides cf. eocaenus,Cibicidoides cf. havanensis,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides kullenbergi,Cibicidoides praemundulus,Gaudryina pyramidata,Cibicidoides sp.,Gavelinella sp.,Gavelinella hyphalus,Dentalina sp.,Dorothia trochoides,Eggerella bradyi,Eggerella sp.,Ellipsodimorphina macrocephala,Ellipsodimorphina spp.,Ellipsoidella  sp.,Epistominella sp.,Epistominella umbonifera ?,Eponides regularis,Eponides sp.,Fissurina sp.,Globobulimina sp.,Globobulimina pacifica,Globocassidulina globosa,Glomospira sp.,Guttulina sp.,Gyroidina sp.,Gyroidinoides globosus,Gyroidinoides spp.,Hoeglundina ?,Kalamopsis (?),Karreriella sp.,Laevidentalina sp.,Lagena sp.,Laticarinina pauperata,Lenticulina cf. adenalensis,Lenticulina sp.,Melonis pompilioides,Melonis sp.,Neoeponides procerus,Neoeponides sp.,Neoflabellina sp.,Nuttallides truempyi,Nodosaria aspera,Nodosaria sp.,Nonion spp.,Oridorsalis sp.,Oridorsalis umbonatus,Plectofrondicularia cf. kerni,Plectofrondicularia lirata,Pleurostomella acuta,Paralabamina hillebrandti,Pleurostomella tenuis,Pleurostomella sp.,Polymorphina sp.,Pullenia bulloides,Pleurostomella paleocenica,Pullenia cf. jarvisis,Pullenia quinqueloba,Pyramidulina sp.,Pyrgo sp.,Pyrulina sp.,Quinqueloculina sp.,Saracenaria sp.,Spiroplectammina spectabilis,Spiroloculina depressa,Spiroplectammina sp.,Stilostomella gracillima,Stilostomella lepidula,Stilostomella paleocenica,Stilostomella sp.,Stilostomella subspinosa,Strictocostella scharbergana,Tritaxia sp.,Trochammina sp.,Turrilina sp.,Uvigerina sp.,Uvigerina elongata,Valvulina spinosa?,Others,Comments,File Data,,eodp_id
342-U1404A-14H-4-W 95/97-FORAM,342,U1404,A,14,14-4,H,4,W,95/97-FORAM,0,2,120.65,120.67,120.66,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"few specimens, so all rated present",,,4bede637ad01285a3b2c01fded5b770a
342-U1404A-14H-5-W 67/69-FORAM,342,U1404,A,14,14-5,H,5,W,67/69-FORAM,0,2,121.87,121.89,121.88,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28ca34a0685b3e918d4ee8fb729f441f
342-U1404A-14H-6-W 75/77-FORAM,342,U1404,A,14,14-6,H,6,W,75/77-FORAM,0,2,123.45,123.47,123.46,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"few specimens, so all rated present",,,71f2ef6636db09a298dccaa15ffc74e1
342-U1404A-14H-7-W 50/52-FORAM,342,U1404,A,14,14-7,H,7,W,50/52-FORAM,0,2,124.2,124.22,124.21,M,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,06ff5cc61550f7dc008151944f660609
342-U1404A-14H-CC-PAL,342,U1404,A,14,14-CC,H,CC,PAL,,0,5,124.84,124.89,124.87,M,P,,,,,,,,,,,,F,,,,,,P,,,,,,,,,,,,,,,P,F,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23f8e4efb79c07e75b33d53fcb0135d9
342-U1404A-15H-1-W 100/102-FORAM,342,U1404,A,15,15-1,H,1,W,100/102-FORAM,0,2,125.7,125.72,125.71,M,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,"few specimens, so all rated present",,,4c35175607b00f79b8d9137eb1c242be
342-U1404A-15H-2-W 100/102-FORAM,342,U1404,A,15,15-2,H,2,W,100/102-FORAM,0,2,127.16,127.18,127.17,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80cb87cbe212064b9dc7634747e901d3
342-U1404A-15H-3-W 100/102-FORAM,342,U1404,A,15,15-3,H,3,W,100/102-FORAM,0,2,128.63,128.65,128.64,M,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,8efd5bf8e56fb6ed9c1bf7dcef9c9b34
342-U1404A-15H-4-W 65/67-FORAM,342,U1404,A,15,15-4,H,4,W,65/67-FORAM,0,2,129.74,129.76,129.75,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481255dc576eab4d30649e398e500db7
342-U1404A-15H-6-W 100/102-FORAM,342,U1404,A,15,15-6,H,6,W,100/102-FORAM,0,2,133.02,133.04,133.03,M,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"few specimens, so all rated present",,,0899f98e5616dfe3e2d44e457752a28b
342-U1404A-15H-CC-PAL,342,U1404,A,15,15-CC,H,CC,PAL,,0,5,134.68,134.73,134.71,VG,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,"few specimens, so all rated present",,,98cc2110ad573d0c468c8a6373d2d23f
342-U1404A-16H-1-W 100/102-FORAM,342,U1404,A,16,16-1,H,1,W,100/102-FORAM,0,2,135.2,135.22,135.21,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9d236622cee2f0e615ab60c57a93bbdb
342-U1404A-16H-2-W 100/102-FORAM,342,U1404,A,16,16-2,H,2,W,100/102-FORAM,0,2,136.7,136.72,136.71,G,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ff34d42b1ca0a4ee3e1a333019218b2a
342-U1404A-16H-3-W 100/102-FORAM,342,U1404,A,16,16-3,H,3,W,100/102-FORAM,0,2,138.2,138.22,138.21,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302d213d39e686bf5a170cd626c8de93
342-U1404A-16H-CC-PAL,342,U1404,A,16,16-CC,H,CC,PAL,,0,5,143.97,144.02,144.0,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8629af0a10727d9c6c96392ea0767330
342-U1404A-17H-CC-PAL,342,U1404,A,17,17-CC,H,CC,PAL,,0,5,153.69,153.74,153.72,M,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,P,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"few specimens, so all rated present",,,adb96fdadde6e8bcb03098faf7549dc4
342-U1404A-18H-CC-PAL,342,U1404,A,18,18-CC,H,CC,PAL,,0,5,163.17,163.22,163.2,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eb10e166f74ed42e3c7ebda17c7038d1
342-U1404A-19H-CC-PAL,342,U1404,A,19,19-CC,H,CC,PAL,,0,5,172.74,172.79,172.77,P,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,"few specimens, so all rated present",,,e4c4c6242eaeb551e647d0fa545392e3
342-U1404A-20H-CC-PAL,342,U1404,A,20,20-CC,H,CC,PAL,,0,5,181.96,182.01,181.99,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8652190a8f6e3c790575d0cae05b37f5
342-U1404A-21H-CC-PAL,342,U1404,A,21,21-CC,H,CC,PAL,,0,5,191.68,191.73,191.71,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20931ac90009e4add22de0f2c47e9f15
342-U1404A-22H-CC-PAL,342,U1404,A,22,22-CC,H,CC,PAL,,0,5,194.93,194.98,194.96,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eaa876bbbd6b6f8d8e1351c17f447a84
342-U1404A-23H-CC-PAL,342,U1404,A,23,23-CC,H,CC,PAL,,0,5,204.32,204.37,204.35,G,R,,,,,,,,F,,,,,,,,,,A,,,,,,,,,,,,A,,,A,,,P,,P,,,P,,,F,,,,,,P,,F,,,,,F,,,,,,,,,,,,,,A,,,,,,,,P,,,F,,,,,,,,,,A,,F,F,,,,,,,,,,,,7d536d6acfc4c07114fda4f0c1f87a64
342-U1404A-24H-6-PAL,342,U1404,A,24,24-6,H,6,PAL,,0,5,212.76,212.81,212.79,G,A,,,,,,P,,A,,,,,,P,,,,F,F,,,F,,,P,,,,,A,,,A,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,D,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,A,P,,,,,,,,P,,,,38894685d4190645a114bd0874de1225
342-U1404A-25H-CC-PAL,342,U1404,A,25,25-CC,H,CC,PAL,,0,5,220.48,220.53,220.51,M,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"few specimens, so all rated present",,,e81c49ae4a66a739f50b9e1a270a8f52
342-U1404A-26H-CC-PAL,342,U1404,A,26,26-CC,H,CC,PAL,,0,5,228.66,228.71,228.69,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48d129587551ac0ff94033715a6f1cdc
342-U1404A-27H-CC-PAL,342,U1404,A,27,27-CC,H,CC,PAL,,0,5,236.45,236.5,236.48,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34a7a6fc11e17f89c49cb239d781840a
342-U1404A-28H-CC-PAL,342,U1404,A,28,28-CC,H,CC,PAL,,0,5,244.0,244.05,244.03,P,F,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,F,A,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,997d9b65dbfe1fe3344c3b59ea4ce1cd
342-U1404A-29H-CC-PAL,342,U1404,A,29,29-CC,H,CC,PAL,,0,7,253.01,253.08,253.05,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c134686746dcbdcda3fc58f288f38bbb
342-U1404A-30H-CC-PAL,342,U1404,A,30,30-CC,H,CC,PAL,,0,6,259.69,259.75,259.72,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300c8a910ce96a9f463d93e062271a1d
342-U1404A-31H-CC-PAL,342,U1404,A,31,31-CC,H,CC,PAL,,0,8,265.23,265.31,265.27,P,R,,,,,,,,F,,,,,,,,,,F,P,,,,,,,D,,,,F,,,F,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77a3ea06925d7242997a3f309584d667
342-U1404A-32H-CC-PAL,342,U1404,A,32,32-CC,H,CC,PAL,,0,12,270.58,270.7,270.64,G,P,,P,,P,,,,,,,,,,,,,,P,,,,,,,,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2cdf97f235b41c1f59e607b112001557
342-U1404A-33X-CC-PAL,342,U1404,A,33,33-CC,X,CC,PAL,,0,5,279.53,279.58,279.56,P,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,"few specimens, so all rated present",,,7fbbab1a947f43e9d25bf8fe7cad3052
342-U1404A-34X-7-PAL,342,U1404,A,34,34-7,X,7,PAL,,0,5,289.8,289.85,289.83,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fcefc05889bc54e687a221f9cf6d4a2f
342-U1404A-35X-CC-PAL,342,U1404,A,35,35-CC,X,CC,PAL,,0,5,293.95,294.0,293.98,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ef42afd565b13df80c0b3c3a0dde44e3
342-U1404A-36X-1-PAL,342,U1404,A,36,36-1,X,1,PAL,,0,5,299.77,299.82,299.8,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dc9a95632b721f75c51a209d94260337
