Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spongotrochus (?) venustum,Spongotrochus glacialis,Lamprocyrtis heteroporos,Cycladophora davisiana davisiana,Stylatractus universus,Siphocampe arachnea,Lamprocyrtis neoheteroporos,Lamprocyclas hannai,Haliommetta miocenica,Botryostrobus sp. aff. B. aquilonaris,Phormostichoartus crustula,Cycladophora bicornis amphora,Stylacontarium acquilonium,Phormostichoartus pitomorphus,Eucyrtidium calvertense,Botryostrobus bramlettei seriatus,Lychnocanoma nipponica sakaii,Eucyrtidium matuyamai,Pterocanium auritum,Botryostrobus bramlettei tumidulus,Stichocorys peregrina,Spongodiscus osculosus,Eucyrtidium teuscheri teuscheri,Ceratospyris borealis,Dictyophimus hirundo,Sphaeropyle langii,Pterocanium grandiporus,Pseudodictyophimus gracilipes,Botryostrobus bramlettei pretumidulus,Sphaeropyle robusta,Botryostrobus bramlettei bramlettei,Phormostichoartus schneideri,Pterocanium trilobum,Pterocorys clausus,Tricolocapsa papillosa,Gondwanaria dogieli,Cycladophora bicincta group,Amphimelissa setosa,Rhizosphaera antarctica,Actinomma popofskii,Ceratocyrtis histricosa group,Actinomma leptodermum,Lamprocyrtis nigriniae,Botryostrobus aquilonaris,Pterocanium korotnevi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  8,H, 4, 115.00,     92.1600,Caulet   ,Radiolarians                                 ,F              ,G                 ,                          ,R                      ,                        ,A                               ,R                     ,R                  ,R                          ,                   ,                     ,A                                    ,R                         ,                             ,R                         ,R                            ,                       ,                                 ,T                            ,                     ,                   ,C                                 ,                     ,                      ,                               ,R                    ,T                   ,                  ,                       ,                             ,                                     ,R                  ,                                   ,                            ,                    ,                  ,                      ,R                  ,C                          ,F                  ,R                      ,R                  ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  8,H, 5,  97.00,     93.3200,Caulet   ,Radiolarians                                 ,F              ,G                 ,T                         ,F                      ,                        ,C                               ,T                     ,                   ,                           ,                   ,                     ,C                                    ,                          ,                             ,R                         ,T                            ,                       ,                                 ,T                            ,                     ,                   ,C                                 ,                     ,                      ,                               ,C                    ,R                   ,                  ,                       ,                             ,                                     ,T                  ,                                   ,                            ,                    ,                  ,                      ,                   ,C                          ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  8,H,CC,  52.00,     94.1000,Caulet   ,Radiolarians                                 ,R              ,G                 ,T                         ,R                      ,                        ,A                               ,T                     ,R                  ,R                          ,                   ,                     ,                                     ,R                         ,                             ,R                         ,T                            ,                       ,                                 ,                             ,                     ,T                  ,R                                 ,                     ,                      ,                               ,R                    ,                    ,                  ,                       ,                             ,R                                    ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,R                          ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  9,H, 2,  42.00,     96.4200,Caulet   ,Radiolarians                                 ,R              ,G                 ,                          ,                       ,                        ,F                               ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,                          ,                             ,                       ,                                 ,                             ,                     ,                   ,R                                 ,                     ,                      ,                               ,                     ,R                   ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,R                          ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  9,H, 4, 111.00,     98.8800,Caulet   ,Radiolarians                                 ,C              ,G                 ,T                         ,T                      ,                        ,A                               ,T                     ,                   ,                           ,                   ,                     ,R                                    ,T                         ,                             ,                          ,R                            ,                       ,                                 ,                             ,                     ,                   ,R                                 ,                     ,                      ,T                              ,                     ,                    ,                  ,                       ,R                            ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,F                          ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  9,H, 6,  50.00,    101.1400,Caulet   ,Radiolarians                                 ,F              ,G                 ,R                         ,R                      ,                        ,A                               ,R                     ,R                  ,                           ,                   ,R                    ,R                                    ,                          ,                             ,                          ,                             ,                       ,                                 ,                             ,                     ,T                  ,R                                 ,                     ,                      ,R                              ,C                    ,R                   ,                  ,                       ,R                            ,                                     ,                   ,                                   ,                            ,                    ,                  ,T                     ,T                  ,C                          ,R                  ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  9,H, 8,  95.00,    103.0800,Caulet   ,Radiolarians                                 ,C              ,G                 ,R                         ,F                      ,                        ,A                               ,R                     ,R                  ,                           ,                   ,F                    ,R                                    ,                          ,R                            ,R                         ,R                            ,                       ,                                 ,                             ,T                    ,                   ,R                                 ,                     ,T                     ,                               ,F                    ,R                   ,T                 ,                       ,                             ,R                                    ,                   ,                                   ,                            ,                    ,                  ,R                     ,                   ,R                          ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 10,H, 1, 140.00,    105.4000,Caulet   ,Radiolarians                                 ,F              ,G                 ,                          ,C                      ,                        ,A                               ,                      ,                   ,                           ,                   ,C                    ,F                                    ,                          ,R                            ,R                         ,R                            ,                       ,                                 ,                             ,                     ,                   ,R                                 ,                     ,R                     ,                               ,F                    ,R                   ,R                 ,                       ,                             ,C                                    ,                   ,                                   ,                            ,                    ,                  ,R                     ,T                  ,R                          ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 10,H,CC,  22.00,    113.7700,Caulet   ,Radiolarians                                 ,R              ,G                 ,                          ,R                      ,                        ,F                               ,                      ,                   ,                           ,                   ,R                    ,R                                    ,                          ,                             ,                          ,                             ,                       ,                                 ,                             ,                     ,                   ,R                                 ,                     ,R                     ,                               ,F                    ,                    ,                  ,T                      ,                             ,                                     ,                   ,                                   ,                            ,                    ,R                 ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 11,H, 3,  85.00,    117.3500,Caulet   ,Radiolarians                                 ,A              ,G                 ,                          ,                       ,                        ,R                               ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,                          ,                             ,                       ,                                 ,                             ,                     ,                   ,                                  ,                     ,                      ,                               ,                     ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,R                 ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 11,H,CC,  20.00,    118.7600,Caulet   ,Radiolarians                                 ,C              ,G                 ,R                         ,F                      ,                        ,C                               ,R                     ,                   ,                           ,                   ,                     ,R                                    ,                          ,R                            ,R                         ,                             ,                       ,                                 ,                             ,                     ,                   ,R                                 ,                     ,R                     ,R                              ,R                    ,R                   ,                  ,R                      ,                             ,                                     ,                   ,                                   ,                            ,R                   ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 12,H, 1,  65.00,    119.6500,Caulet   ,Radiolarians                                 ,F              ,G                 ,T                         ,F                      ,                        ,C                               ,T                     ,                   ,                           ,                   ,R                    ,R                                    ,                          ,R                            ,                          ,                             ,                       ,                                 ,                             ,                     ,                   ,R                                 ,                     ,R                     ,                               ,R                    ,                    ,R                 ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 12,H, 4,  29.00,    122.9400,Caulet   ,Radiolarians                                 ,A              ,G                 ,                          ,R                      ,                        ,C                               ,                      ,R                  ,                           ,                   ,R                    ,R                                    ,                          ,F                            ,R                         ,                             ,                       ,                                 ,                             ,R                    ,                   ,                                  ,                     ,                      ,R                              ,R                    ,                    ,R                 ,T                      ,                             ,                                     ,                   ,?                                  ,T                           ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 12,H, 4, 124.00,    123.8900,Caulet   ,Radiolarians                                 ,C              ,G                 ,                          ,C                      ,                        ,A                               ,                      ,F                  ,                           ,R                  ,F                    ,C                                    ,R                         ,F                            ,                          ,                             ,                       ,                                 ,                             ,R                    ,                   ,C                                 ,                     ,R                     ,R                              ,F                    ,R                   ,F                 ,                       ,R                            ,A                                    ,T                  ,?                                  ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 12,H,CC,  55.00,    126.6000,Caulet   ,Radiolarians                                 ,A              ,G                 ,                          ,R                      ,                        ,A                               ,                      ,R                  ,                           ,                   ,                     ,R                                    ,                          ,R                            ,                          ,                             ,                       ,                                 ,                             ,R                    ,                   ,R                                 ,                     ,                      ,                               ,R                    ,                    ,                  ,R                      ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 13,H,CC,  22.00,    127.4400,Caulet   ,Radiolarians                                 ,A              ,G                 ,                          ,C                      ,                        ,A                               ,                      ,R                  ,R                          ,R                  ,F                    ,F                                    ,R                         ,F                            ,                          ,                             ,                       ,                                 ,                             ,R                    ,                   ,C                                 ,                     ,R                     ,                               ,F                    ,R                   ,F                 ,T                      ,R                            ,C                                    ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 14,H,CC,  24.00,    129.1900,Caulet   ,Radiolarians                                 ,VR             ,M                 ,                          ,F                      ,                        ,A                               ,                      ,R                  ,R                          ,R                  ,R                    ,F                                    ,                          ,C                            ,                          ,                             ,                       ,                                 ,                             ,R                    ,                   ,F                                 ,                     ,R                     ,                               ,C                    ,R                   ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 15,P, 1,  29.00,    129.2900,Caulet   ,Radiolarians                                 ,VR             ,M                 ,                          ,R                      ,                        ,R                               ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,                          ,                             ,                       ,                                 ,                             ,                     ,                   ,                                  ,T                    ,                      ,                               ,                     ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 16,H,CC,   0.00,    130.0000,Caulet   ,Radiolarians                                 ,VR             ,M                 ,                          ,T                      ,                        ,R                               ,                      ,                   ,                           ,                   ,                     ,T                                    ,                          ,                             ,                          ,                             ,                       ,                                 ,                             ,                     ,                   ,                                  ,                     ,                      ,                               ,                     ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 17,X,CC,   0.00,    131.9600,Caulet   ,Radiolarians                                 ,VR             ,M                 ,                          ,R                      ,                        ,R                               ,                      ,                   ,                           ,                   ,                     ,R                                    ,                          ,R                            ,                          ,                             ,                       ,                                 ,                             ,                     ,                   ,                                  ,                     ,R                     ,                               ,                     ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 18,X, 2,  40.00,    141.4300,Caulet   ,Radiolarians                                 ,VR             ,M                 ,                          ,R                      ,                        ,T                               ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,                          ,                             ,                       ,                                 ,                             ,                     ,                   ,                                  ,                     ,                      ,                               ,R                    ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 18,X, 3, 110.00,    143.6500,Caulet   ,Radiolarians                                 ,VR             ,M                 ,T                         ,R                      ,                        ,T                               ,                      ,F                  ,                           ,                   ,                     ,                                     ,                          ,R                            ,                          ,                             ,                       ,                                 ,                             ,                     ,                   ,R                                 ,                     ,R                     ,R                              ,                     ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 18,X, 4,  40.00,    144.3700,Caulet   ,Radiolarians                                 ,B              ,                  ,                          ,                       ,                        ,T                               ,                      ,R                  ,                           ,                   ,                     ,                                     ,                          ,T                            ,                          ,                             ,                       ,                                 ,                             ,                     ,                   ,                                  ,                     ,                      ,                               ,                     ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 19,X, 2,  55.00,    151.1600,Caulet   ,Radiolarians                                 ,B              ,                  ,                          ,                       ,                        ,T                               ,                      ,R                  ,T                          ,                   ,                     ,                                     ,                          ,T                            ,                          ,                             ,                       ,                                 ,                             ,                     ,                   ,T                                 ,                     ,                      ,                               ,                     ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 20,X, 1,  62.00,    159.2200,Caulet   ,Radiolarians                                 ,VR             ,M                 ,                          ,R                      ,                        ,                                ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,                          ,                             ,                       ,                                 ,R                            ,                     ,                   ,                                  ,R                    ,                      ,                               ,                     ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 20,X, 3,  50.00,    162.1000,Caulet   ,Radiolarians                                 ,B              ,                  ,                          ,                       ,                        ,                                ,                      ,R                  ,                           ,                   ,                     ,                                     ,                          ,T                            ,                          ,                             ,                       ,                                 ,                             ,                     ,                   ,T                                 ,                     ,                      ,                               ,                     ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 20,X,CC,  12.00,    165.8100,Caulet   ,Radiolarians                                 ,C              ,G                 ,                          ,R                      ,                        ,T                               ,                      ,R                  ,                           ,                   ,                     ,                                     ,                          ,                             ,T                         ,                             ,                       ,                                 ,                             ,T                    ,                   ,                                  ,                     ,                      ,                               ,                     ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 22,X, 5, 102.00,    183.6200,Caulet   ,Radiolarians                                 ,R              ,M                 ,                          ,R                      ,T                       ,A                               ,                      ,R                  ,R                          ,                   ,R                    ,R                                    ,                          ,R                            ,                          ,                             ,                       ,                                 ,                             ,R                    ,                   ,                                  ,                     ,                      ,                               ,                     ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 24,X, 3,  32.00,    190.4400,Caulet   ,Radiolarians                                 ,B              ,                  ,                          ,                       ,                        ,R                               ,                      ,                   ,                           ,                   ,R                    ,T                                    ,                          ,R                            ,                          ,                             ,                       ,                                 ,                             ,                     ,                   ,                                  ,                     ,                      ,                               ,                     ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 25,X, 2, 110.00,    199.9000,Caulet   ,Radiolarians                                 ,B              ,                  ,                          ,R                      ,                        ,R                               ,                      ,R                  ,                           ,                   ,                     ,                                     ,                          ,R                            ,                          ,                             ,                       ,T                                ,                             ,                     ,T                  ,                                  ,                     ,                      ,                               ,                     ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 26,X, 2, 111.00,    209.4100,Caulet   ,Radiolarians                                 ,B              ,                  ,                          ,                       ,                        ,R                               ,                      ,                   ,                           ,                   ,                     ,R                                    ,                          ,                             ,                          ,                             ,                       ,                                 ,                             ,T                    ,                   ,                                  ,                     ,                      ,                               ,                     ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 28,X, 2,  96.00,    219.7600,Caulet   ,Radiolarians                                 ,B              ,                  ,                          ,                       ,                        ,                                ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,T                            ,                          ,T                            ,                       ,                                 ,                             ,                     ,                   ,                                  ,                     ,                      ,                               ,                     ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 30,X, 4, 111.00,    233.4100,Caulet   ,Radiolarians                                 ,R              ,M                 ,                          ,R                      ,C                       ,                                ,                      ,R                  ,C                          ,                   ,                     ,                                     ,R                         ,T                            ,                          ,                             ,                       ,T                                ,                             ,                     ,                   ,                                  ,                     ,                      ,                               ,                     ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 30,X,CC,  21.00,    235.5100,Caulet   ,Radiolarians                                 ,R              ,M                 ,                          ,R                      ,                        ,R                               ,                      ,R                  ,R                          ,                   ,T                    ,                                     ,R                         ,R                            ,                          ,                             ,                       ,                                 ,                             ,                     ,                   ,                                  ,                     ,                      ,                               ,                     ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 31,X, 6,  66.00,    244.7700,Caulet   ,Radiolarians                                 ,R              ,G                 ,                          ,R                      ,R                       ,R                               ,                      ,R                  ,R                          ,                   ,                     ,                                     ,R                         ,T                            ,                          ,                             ,                       ,                                 ,R                            ,                     ,                   ,                                  ,                     ,                      ,                               ,                     ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 31,X,CC,  18.00,    246.7900,Caulet   ,Radiolarians                                 ,VR             ,M                 ,                          ,R                      ,                        ,                                ,                      ,R                  ,R                          ,T                  ,R                    ,T                                    ,                          ,R                            ,R                         ,T                            ,R                      ,R                                ,                             ,                     ,                   ,                                  ,                     ,                      ,                               ,                     ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 32,X,CC,  16.00,    250.8100,Caulet   ,Radiolarians                                 ,B              ,                  ,                          ,                       ,                        ,                                ,                      ,                   ,                           ,                   ,T                    ,                                     ,T                         ,T                            ,                          ,                             ,                       ,                                 ,                             ,                     ,                   ,                                  ,                     ,                      ,                               ,                     ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
