Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tenuitella reissi <150 µm	Subbotina triloculinoides	Subbotina triangularis	Subbotina pseudobulloides	Planorotalites spp. <150 µm	Planorotalites ehrenbergi	Planorotalites compressus	Morozovella angulata abundocamerata	Morozovella angulata	Chiloguembelinid  gen. et sp. indet <150 µm	Acarinina praepentacamerata	Morozovella tadjikistanensis dianensis	Morozovella simulatilis	Morozovella hispidicidaris	Chiloguembelinid gen. et sp. indet (mainly Ch. midwayensis) large	Acarininid gen.et sp. indet (subangular)	Acarinina whitei	Acarinina mckannai	Morozovella tadjikistanensis	Morozovella pusilla	Morozovella nicoli ex. group (biconvex)	Globigerinelloides sp.	Acarinina subsphaerica	Acarinina nitida	Subbotina patagonica	Subbotina eocaenica	Acarinina soldadoensis	Subbotinid gen. et sp. indet (with abortive chambers)	Globorotaloides spp.	Acarinina spiralis	Acarinina intermedia	Morozovella convexa	Globorotaloides sp. 1	Acarinina velascoensis	Acarinina gravelli	Acarinina chascanona	Globorotaloides oregonensis	Acarinina esnaensis	Planorotalites pseudoscitulus	Planorotalites planoconicus	Planorotalites australiformis	Morozovella sp.	Subbotina pseudoeocaena compacta	Subbotina higginsi	Subbotina eocaenica irregularis	Subbotina bakeri	Planorotalites pseudoscitulus elongatus	Planorotalites chapmani	Guembelitria spp. <150 µm	Chiloguembelina wilcoxensis	Morozovella gracilis	Morozovella aequa	Acarinina appressocamerata	Subbotina pseudoeocaena	Pseudohastigerina wilcoxensis	Morozovella wilcoxensis berggreni	Morozovella subbotinae	Morozovella marginodentata	Globorotalia praecentralis	Catapsydrax taroubaensis	Heterohelix sp.	Pseudohastigerina micra	Globorotaloides turgida	Subbotina hornibrooki	Subbotina eocaena	Subbotina corpulenta	Pseudohastigerina spp. <150 µm	Globorotaloides sp. aff. G.suteri	Globigerinatheka senni	Acarinina triplex	Acarinina spinuloinflata	Acarinina sp. aff. mattseensis alticonica	Acarinina soldadoensis angulosa	Acarinina rugosoaculeata	Acarinina rotundimarginata	Acarinina pseudotopilensis	Acarinina primitiva	Acarinina praetopilensis	Acarinina pentacamerata	Acarinina interposita	Acarinina decepta	Acarinina collactea	Acarinina acarinata	Acarinina bullbrooki/matthewsae	Morozovella lensiformis	Morozovella dolabrata	Morozovella crater	Morozovella broedermanni	Subbotina crociapertura	Subbotina lozanoi	Pseudohastigerina danvillensis	Cassigerinelloita amekiensis	Acarinina sp. cf. A.quadratoseptata	Acarinina sp. cf. A.punctocarinata	Acarinina sp.aff. libyaensis/hainesi	Acarinina cuneicamerata	Globigerinatheka luterbacheri	Acarinina topilensis	Acarinina boudreauxi	Acarinina aquiensis	Subbotina inaequispira	Dentoglobigerina pseudovenezuelana	Subbotina pseudoeocaena trilobata	Globorotaloides suteri	Subbotina sp. cf. S. azerbadjanica	Subbotina utilisindex	Subbotina angiporoides minima	Globigerina venezuelana	Catapsydrax spp.	Globigerinatheka index	Subbotina linaperta	Morozovella sp. cf. M. spinulosa	Turborotalia cerroazulensis frontosa	Subbotina angiporoides	Globigerinatheka subconglobata	Globigerinatheka sp. cf. G.mexicana	Catapsydrax africanus	Chiloguembelina cubensis	Pseudohastigerina barbadoensis <150 µm	Catapsydrax globiformis	Subbotina linaperta s.l.	Chiloguembelinid gen. et sp. indet >150 micron	Acarinina aculeata	Tenuitellid gen.et sp. indet.<150 µm	Tenuitella gemma <150 µm	Tenuitella clemenciae <150 µm	Globigerina ampliapertura	Comment

  SR	Middle Eocene    	                 	P11               	              	114	 702	B	 15	X	 1	  20.00	    130.0000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	R                        	                         	                      	                         	                           	                         	                         	                                   	                    	                                           	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	                                       	                      	                      	                	                    	F                  	                      	R                                                    	                    	                  	                    	                   	F                    	                      	                  	                    	F                          	                   	                             	                           	                             	               	                                	                  	                               	                	                                       	                       	R                        	                           	                    	                 	                          	                       	                             	                                 	                      	                          	                          	                        	               	F                      	                       	                     	F                	                    	F                             	                                 	F                     	                 	                        	                                         	                               	                        	                          	F                         	A                  	                        	                       	                     	                 	                   	                   	                               	                       	                     	                  	                        	                       	                 	r                             	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	                      	                                  	                     	                             	                       	                	                      	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	slight to medium etching of chambers from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Middle Eocene    	                 	P11               	              	114	 702	B	 15	X	 2	  20.00	    131.5000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                         	                         	                      	                         	                           	                         	                         	                                   	                    	                                           	                           	                                      	                       	                          	                                                                 	R                                       	                	                  	                            	                   	R                                      	                      	                      	                	                    	C                  	                      	F                                                    	                    	                  	                    	                   	C                    	                      	                  	                    	F                          	                   	                             	                           	                             	               	                                	                  	                               	                	                                       	                       	                         	                           	                    	                 	                          	F                      	                             	                                 	                      	                          	                          	                        	               	F                      	                       	                     	F                	                    	C                             	                                 	F                     	                 	                        	                                         	                               	                        	                          	                          	A                  	                        	                       	                     	R                	                   	                   	                               	                       	                     	                  	                        	                       	                 	F                             	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	                      	                                  	                     	                             	                       	                	                      	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	slight to medium etching of chambers from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Middle Eocene    	                 	P11               	              	114	 702	B	 15	X	 3	  10.00	    132.9000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                         	                         	                      	                         	                           	                         	                         	                                   	                    	                                           	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	                                       	                      	                      	                	                    	C                  	                      	                                                     	C                   	                  	                    	                   	F                    	                      	                  	                    	                           	                   	                             	                           	                             	               	                                	                  	                               	                	                                       	                       	                         	                           	                    	                 	                          	                       	                             	                                 	                      	                          	                          	                        	               	                       	                       	                     	F                	                    	                              	                                 	F                     	                 	                        	                                         	                               	                        	C                         	                          	A                  	                        	                       	                     	R                	                   	                   	                               	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	                      	                                  	                     	                             	                       	                	                      	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	slight to medium etching of chambers from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Middle Eocene    	                 	P11               	              	114	 702	B	 15	X	 4	  20.00	    134.5000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                         	                         	                      	                         	                           	                         	                         	                                   	                    	                                           	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	                                       	                      	                      	                	                    	C                  	                      	F                                                    	C                   	                  	                    	                   	                     	                      	                  	                    	C                          	                   	                             	                           	                             	               	                                	                  	                               	                	                                       	                       	R                        	                           	                    	                 	                          	                       	                             	                                 	                      	                          	                          	                        	               	C                      	                       	                     	F                	                    	C                             	                                 	F                     	                 	                        	                                         	                               	                        	F                         	                          	A                  	                        	                       	                     	R                	                   	                   	                               	                       	                     	                  	                        	                       	                 	F                             	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	F                     	                                  	                     	                             	                       	                	                      	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Middle Eocene    	                 	P11               	              	114	 702	B	 15	X	 5	  10.00	    135.9000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                         	                         	                      	                         	                           	                         	                         	                                   	                    	                                           	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	R                                      	                      	                      	                	                    	C                  	                      	                                                     	C                   	                  	                    	                   	C                    	                      	                  	                    	C                          	                   	                             	                           	                             	               	                                	                  	                               	                	                                       	                       	                         	                           	                    	                 	                          	                       	                             	                                 	                      	                          	                          	                        	               	F                      	                       	                     	                 	                    	C                             	                                 	F                     	                 	F                       	                                         	                               	                        	                          	                          	A                  	                        	                       	                     	F                	                   	                   	                               	                       	                     	                  	                        	                       	                 	F                             	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	F                     	                                  	F                    	                             	                       	                	                      	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Middle Eocene    	                 	P11               	              	114	 702	B	 15	X	 6	  20.00	    137.5000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                         	                         	                      	                         	                           	                         	                         	                                   	                    	C                                          	                           	                                      	                       	                          	                                                                 	R                                       	                	                  	                            	                   	                                       	                      	                      	                	                    	C                  	                      	                                                     	C                   	                  	                    	                   	C                    	                      	                  	                    	C                          	                   	                             	                           	                             	               	                                	                  	                               	                	                                       	                       	                         	                           	                    	                 	                          	                       	                             	                                 	                      	                          	                          	                        	               	C                      	                       	                     	                 	                    	C                             	                                 	F                     	                 	                        	                                         	                               	                        	                          	                          	A                  	                        	                       	                     	F                	                   	                   	                               	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	                      	                                  	                     	                             	                       	                	                      	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Middle Eocene    	                 	P11               	              	114	 702	B	 15	X	CC	  27.00	    139.0300	Nocchi   	Planktonic Foraminifers                      	A              	M                 	F                        	                         	                      	                         	                           	                         	                         	                                   	                    	C                                          	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	                                       	                      	                      	                	                    	C                  	                      	F                                                    	C                   	                  	                    	                   	C                    	                      	                  	                    	C                          	                   	                             	                           	                             	               	                                	R                 	                               	                	                                       	                       	                         	                           	                    	                 	                          	                       	                             	                                 	                      	                          	                          	                        	               	F                      	                       	                     	                 	R                   	C                             	                                 	F                     	                 	                        	F                                        	                               	                        	F                         	F                         	A                  	                        	                       	                     	R                	F                  	                   	F                              	                       	                     	                  	                        	                       	                 	F                             	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	R                                	F                     	                                  	                     	                             	                       	                	                      	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Middle Eocene    	                 	P11               	              	114	 702	B	 16	X	 1	  70.00	    140.0000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	R                        	                         	                      	                         	                           	                         	                         	                                   	                    	C                                          	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	                                       	                      	                      	                	F                   	C                  	                      	                                                     	                    	                  	                    	                   	F                    	                      	                  	                    	C                          	                   	                             	                           	                             	               	                                	                  	                               	                	                                       	                       	R                        	                           	                    	                 	                          	                       	                             	                                 	                      	                          	                          	                        	               	F                      	                       	                     	C                	                    	C                             	                                 	C                     	                 	                        	                                         	                               	                        	F                         	F                         	A                  	                        	                       	                     	R                	                   	                   	                               	                       	                     	                  	                        	                       	                 	F                             	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	                      	                                  	                     	                             	                       	                	                      	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	slight to medium etching of chambers from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Middle Eocene    	                 	P11               	              	114	 702	B	 16	X	 2	  70.00	    141.5000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	R                        	                         	                      	                         	                           	                         	                         	                                   	                    	C                                          	                           	                                      	                       	                          	                                                                 	R                                       	                	                  	                            	                   	R                                      	                      	                      	                	                    	C                  	                      	F                                                    	C                   	                  	                    	                   	F                    	                      	                  	                    	F                          	                   	                             	                           	                             	               	                                	                  	                               	                	                                       	                       	                         	                           	                    	                 	                          	                       	                             	                                 	                      	                          	                          	                        	               	F                      	                       	                     	F                	R                   	F                             	                                 	C                     	                 	                        	                                         	                               	                        	F                         	F                         	A                  	                        	                       	                     	R                	C                  	                   	F                              	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	F                     	                                  	F                    	F                            	                       	                	                      	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Middle Eocene    	                 	P11               	              	114	 702	B	 16	X	 3	  70.00	    143.0000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	F                        	                         	                      	                         	                           	                         	                         	                                   	                    	F                                          	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	                                       	                      	                      	                	                    	C                  	                      	                                                     	                    	                  	                    	                   	F                    	                      	                  	                    	F                          	                   	                             	                           	                             	               	                                	                  	                               	                	                                       	                       	F                        	                           	                    	                 	                          	                       	                             	                                 	                      	                          	                          	                        	               	F                      	                       	                     	F                	                    	F                             	                                 	C                     	                 	                        	                                         	                               	                        	                          	                          	A                  	                        	                       	                     	R                	F                  	                   	F                              	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	F                     	                                  	                     	                             	                       	                	                      	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	slight to medium etching of chambers from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Middle Eocene    	                 	P11               	              	114	 702	B	 16	X	 4	  70.00	    144.5000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	F                        	                         	                      	                         	                           	                         	                         	                                   	                    	                                           	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	                                       	                      	                      	                	                    	C                  	                      	F                                                    	F                   	                  	                    	                   	F                    	                      	                  	                    	C                          	                   	                             	                           	                             	               	                                	                  	                               	                	                                       	                       	F                        	                           	                    	                 	                          	                       	                             	                                 	                      	                          	                          	                        	               	F                      	                       	                     	F                	R                   	F                             	                                 	F                     	                 	F                       	                                         	                               	F                       	F                         	                          	A                  	                        	                       	                     	R                	F                  	                   	                               	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	F                     	                                  	                     	                             	                       	                	                      	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Middle Eocene    	                 	P11               	              	114	 702	B	 16	X	 5	  70.00	    146.0000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	R                        	                         	                      	                         	                           	                         	                         	                                   	                    	                                           	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	                                       	                      	                      	                	                    	C                  	                      	F                                                    	F                   	                  	F                   	                   	                     	                      	                  	                    	F                          	                   	                             	                           	                             	               	                                	                  	                               	                	                                       	                       	F                        	                           	                    	                 	                          	F                      	                             	                                 	                      	                          	                          	                        	               	F                      	                       	                     	F                	S                   	F                             	                                 	F                     	                 	                        	                                         	                               	                        	F                         	                          	A                  	                        	                       	                     	R                	F                  	                   	                               	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	F                     	                                  	                     	                             	                       	                	                      	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	slight to medium etching of chambers from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Middle Eocene    	                 	P11               	              	114	 702	B	 16	X	 6	  70.00	    147.5000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                         	                         	                      	                         	                           	                         	                         	                                   	                    	                                           	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	R                                      	                      	                      	                	                    	C                  	                      	F                                                    	F                   	                  	                    	                   	C                    	                      	                  	                    	F                          	                   	                             	                           	                             	               	R                               	                  	F                              	                	                                       	                       	F                        	                           	                    	                 	                          	F                      	                             	                                 	                      	                          	                          	                        	               	F                      	                       	                     	F                	                    	C                             	                                 	F                     	                 	                        	                                         	F                              	                        	                          	F                         	A                  	                        	                       	                     	R                	                   	                   	                               	                       	                     	                  	                        	                       	                 	F                             	                            	R                                  	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	F                     	                                  	                     	                             	                       	                	                      	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)
